Estado,Date,Type,INY,EXT
Aguascalientes,2020-01-01,MEAS,0,13.92004118
Baja California,2020-01-01,MEAS,339.8352573,335.7731305
Baja California Sur,2020-01-01,MEAS,0,0
Campeche,2020-01-01,MEAS,0,0.003442525
Coahuila,2020-01-01,MEAS,35.18721275,206.1308081
Colima,2020-01-01,MEAS,234.3620645,219.2846072
Chiapas,2020-01-01,MEAS,798.1733208,85.12623191
Chihuahua,2020-01-01,MEAS,547.3073785,366.2417499
Ciudad de México,2020-01-01,MEAS,0,0
Durango,2020-01-01,MEAS,0,162.3532511
Guanajuato,2020-01-01,MEAS,0,370.7407911
Guerrero,2020-01-01,MEAS,0,0
Hidalgo,2020-01-01,MEAS,0,197.1741449
Jalisco,2020-01-01,MEAS,0,86.71739227
México,2020-01-01,MEAS,0,381.386622
Michoacán,2020-01-01,MEAS,0,138.8846628
Morelos,2020-01-01,MEAS,0,8.089933515
Nayarit,2020-01-01,MEAS,0,0
Nuevo León,2020-01-01,MEAS,218.4560743,1062.892102
Oaxaca,2020-01-01,MEAS,0,17.989132
Puebla,2020-01-01,MEAS,0,210.3784646
Querétaro,2020-01-01,MEAS,0,122.3983496
Quintana Roo,2020-01-01,MEAS,0,0
San Luis Potosí,2020-01-01,MEAS,0,291.1507326
Sinaloa,2020-01-01,MEAS,0,143.5012667
Sonora,2020-01-01,MEAS,222.4553121,225.2507591
Tabasco,2020-01-01,MEAS,46.6093249,450.6671412
Tamaulipas,2020-01-01,MEAS,4502.85165,1052.292826
Tlaxcala,2020-01-01,MEAS,0,6.097092713
Veracruz,2020-01-01,MEAS,215.5232287,880.5928588
Yucatán,2020-01-01,MEAS,0,83.91522574
Zacatecas,2020-01-01,MEAS,0,13.03687857
Aguascalientes,2020-02-01,MEAS,0,13.99859798
Baja California,2020-02-01,MEAS,352.2112819,344.3170268
Baja California Sur,2020-02-01,MEAS,0,0
Campeche,2020-02-01,MEAS,0,0.017534833
Coahuila,2020-02-01,MEAS,33.24436806,189.6713625
Colima,2020-02-01,MEAS,251.2516207,251.2516207
Chiapas,2020-02-01,MEAS,816.0967343,86.23297333
Chihuahua,2020-02-01,MEAS,534.1954986,351.9927526
Ciudad de México,2020-02-01,MEAS,0,0
Durango,2020-02-01,MEAS,0,209.0506683
Guanajuato,2020-02-01,MEAS,0,284.1552838
Guerrero,2020-02-01,MEAS,0,0
Hidalgo,2020-02-01,MEAS,0,243.2894084
Jalisco,2020-02-01,MEAS,0,104.7023611
México,2020-02-01,MEAS,0,364.4244167
Michoacán,2020-02-01,MEAS,0,103.030205
Morelos,2020-02-01,MEAS,0,9.204491227
Nayarit,2020-02-01,MEAS,0,0
Nuevo León,2020-02-01,MEAS,207.8080911,980.6007019
Oaxaca,2020-02-01,MEAS,0,24.04519764
Puebla,2020-02-01,MEAS,0,223.758964
Querétaro,2020-02-01,MEAS,0,123.8542019
Quintana Roo,2020-02-01,MEAS,0,0
San Luis Potosí,2020-02-01,MEAS,0,307.2118204
Sinaloa,2020-02-01,MEAS,0,140.1931034
Sonora,2020-02-01,MEAS,231.7458895,221.1445325
Tabasco,2020-02-01,MEAS,37.20475732,489.834677
Tamaulipas,2020-02-01,MEAS,4626.84053,1155.977705
Tlaxcala,2020-02-01,MEAS,0,6.033142529
Veracruz,2020-02-01,MEAS,218.2003752,935.5134651
Yucatán,2020-02-01,MEAS,0,90.80822068
Zacatecas,2020-02-01,MEAS,0,12.51594606
Aguascalientes,2020-03-01,MEAS,0,12.36121925
Baja California,2020-03-01,MEAS,328.4730608,330.9290229
Baja California Sur,2020-03-01,MEAS,0,0
Campeche,2020-03-01,MEAS,0,0.00348601
Coahuila,2020-03-01,MEAS,41.95328902,185.3010505
Colima,2020-03-01,MEAS,191.1904194,191.1904194
Chiapas,2020-03-01,MEAS,816.0233288,90.28142125
Chihuahua,2020-03-01,MEAS,573.2484827,359.503874
Ciudad de México,2020-03-01,MEAS,0,0
Durango,2020-03-01,MEAS,0,206.150971
Guanajuato,2020-03-01,MEAS,0,389.3296259
Guerrero,2020-03-01,MEAS,0,0
Hidalgo,2020-03-01,MEAS,0,281.8604284
Jalisco,2020-03-01,MEAS,0,130.3191733
México,2020-03-01,MEAS,0,358.1224375
Michoacán,2020-03-01,MEAS,0,152.1859837
Morelos,2020-03-01,MEAS,0,9.195557762
Nayarit,2020-03-01,MEAS,0,0
Nuevo León,2020-03-01,MEAS,279.6286754,938.0606393
Oaxaca,2020-03-01,MEAS,0,26.49101731
Puebla,2020-03-01,MEAS,0,219.8364803
Querétaro,2020-03-01,MEAS,0,113.2782366
Quintana Roo,2020-03-01,MEAS,0,0
San Luis Potosí,2020-03-01,MEAS,0,305.6301597
Sinaloa,2020-03-01,MEAS,0,179.2191935
Sonora,2020-03-01,MEAS,296.1613695,244.4686393
Tabasco,2020-03-01,MEAS,45.55957589,442.9803936
Tamaulipas,2020-03-01,MEAS,4788.450126,1193.567279
Tlaxcala,2020-03-01,MEAS,0,5.570662383
Veracruz,2020-03-01,MEAS,209.3187846,948.7268119
Yucatán,2020-03-01,MEAS,0,92.38218476
Zacatecas,2020-03-01,MEAS,0,12.14455191
Aguascalientes,2020-04-01,MEAS,0,6.298228599
Baja California,2020-04-01,MEAS,305.6472281,304.3211127
Baja California Sur,2020-04-01,MEAS,0,0
Campeche,2020-04-01,MEAS,0,0
Coahuila,2020-04-01,MEAS,33.3592461,159.8005121
Colima,2020-04-01,MEAS,204.0865333,187.5853823
Chiapas,2020-04-01,MEAS,818.2975025,82.38591198
Chihuahua,2020-04-01,MEAS,600.0635589,379.5678615
Ciudad de México,2020-04-01,MEAS,0,0
Durango,2020-04-01,MEAS,0,197.7124039
Guanajuato,2020-04-01,MEAS,0,309.8931896
Guerrero,2020-04-01,MEAS,0,0
Hidalgo,2020-04-01,MEAS,0,233.4428149
Jalisco,2020-04-01,MEAS,0,95.34950165
México,2020-04-01,MEAS,0,289.6264071
Michoacán,2020-04-01,MEAS,0,147.1272463
Morelos,2020-04-01,MEAS,0,6.788064174
Nayarit,2020-04-01,MEAS,0,0
Nuevo León,2020-04-01,MEAS,217.7663954,867.4953208
Oaxaca,2020-04-01,MEAS,0,29.23337979
Puebla,2020-04-01,MEAS,0,172.4199277
Querétaro,2020-04-01,MEAS,0,77.96948614
Quintana Roo,2020-04-01,MEAS,0,0
San Luis Potosí,2020-04-01,MEAS,0,256.0707437
Sinaloa,2020-04-01,MEAS,0,179.3348667
Sonora,2020-04-01,MEAS,259.8791387,250.7146261
Tabasco,2020-04-01,MEAS,47.65838028,409.2659137
Tamaulipas,2020-04-01,MEAS,3997.770503,955.7535642
Tlaxcala,2020-04-01,MEAS,0,3.756223177
Veracruz,2020-04-01,MEAS,207.4246331,934.1643433
Yucatán,2020-04-01,MEAS,0,90.99213971
Zacatecas,2020-04-01,MEAS,0,7.877804084
Aguascalientes,2020-05-01,MEAS,0,7.675898892
Baja California,2020-05-01,MEAS,336.8535503,333.5428503
Baja California Sur,2020-05-01,MEAS,0,0
Campeche,2020-05-01,MEAS,0,0
Coahuila,2020-05-01,MEAS,28.64732964,167.8985333
Colima,2020-05-01,MEAS,219.0983226,219.0983226
Chiapas,2020-05-01,MEAS,743.5222957,60.39841121
Chihuahua,2020-05-01,MEAS,575.5481265,342.3837471
Ciudad de México,2020-05-01,MEAS,0,0
Durango,2020-05-01,MEAS,0,204.464084
Guanajuato,2020-05-01,MEAS,0,303.4797174
Guerrero,2020-05-01,MEAS,0,0
Hidalgo,2020-05-01,MEAS,0,209.6300165
Jalisco,2020-05-01,MEAS,0,119.3170593
México,2020-05-01,MEAS,0,284.1872702
Michoacán,2020-05-01,MEAS,0,124.7422481
Morelos,2020-05-01,MEAS,0,5.246091986
Nayarit,2020-05-01,MEAS,0,0
Nuevo León,2020-05-01,MEAS,245.0402647,897.9930371
Oaxaca,2020-05-01,MEAS,0,17.15586558
Puebla,2020-05-01,MEAS,0,141.1422685
Querétaro,2020-05-01,MEAS,0,82.02475552
Quintana Roo,2020-05-01,MEAS,0,0
San Luis Potosí,2020-05-01,MEAS,0,274.9392484
Sinaloa,2020-05-01,MEAS,0,188.9736452
Sonora,2020-05-01,MEAS,290.9702091,282.2023792
Tabasco,2020-05-01,MEAS,46.70532797,346.5575785
Tamaulipas,2020-05-01,MEAS,4033.448324,870.1653254
Tlaxcala,2020-05-01,MEAS,0,4.567400364
Veracruz,2020-05-01,MEAS,192.0409024,892.8508786
Yucatán,2020-05-01,MEAS,0,91.45092204
Zacatecas,2020-05-01,MEAS,0,7.824617562
Aguascalientes,2020-06-01,MEAS,0,11.09147206
Baja California,2020-06-01,MEAS,447.5069218,417.3269655
Baja California Sur,2020-06-01,MEAS,0,0
Campeche,2020-06-01,MEAS,0,0
Coahuila,2020-06-01,MEAS,40.39145709,198.6192086
Colima,2020-06-01,MEAS,235.9632,235.9632
Chiapas,2020-06-01,MEAS,757.3280309,71.78285902
Chihuahua,2020-06-01,MEAS,737.4428022,503.3127995
Ciudad de México,2020-06-01,MEAS,0,0
Durango,2020-06-01,MEAS,0,230.1782126
Guanajuato,2020-06-01,MEAS,0,343.3702855
Guerrero,2020-06-01,MEAS,0,0
Hidalgo,2020-06-01,MEAS,0,245.2833187
Jalisco,2020-06-01,MEAS,0,180.0396897
México,2020-06-01,MEAS,0,329.3473767
Michoacán,2020-06-01,MEAS,0,141.8063202
Morelos,2020-06-01,MEAS,0,8.011241252
Nayarit,2020-06-01,MEAS,0,0
