Fecha,Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12,Link13,Link14,Link15,Link16,Link17,Link18,Link19,Link20,Link21,Link22,Link23,Link24,Link25,Link26,Link27,Link28,Link29,Link30,Link31,Link32,Link33,Link34,Link35,Link36,Link37,Link38
2015-01-01,5004.12652,1580.25048,4434.778213,243.28462,482.78725,74.421593,107.244985,171.331055,681.020628,3673.711,62.403,393.959,5.864,0,201.542,0,0,419.361,1083.129348,42.900519,4354.732,2160.158922,1248.483,391.881,330.371,0.329,189.095,85.658,3249.246,1299.6984,1559.63808,389.90952,-1.467586,,1299.6984,1559.63808,389.90952,1904.870652
2015-02-01,5073.39216,1602.12384,4368.770131,266.280157,720.508077,73.775007,106.281332,169.045303,669.76406,3653.453,39.323,340.929,5.886,0,197.934,0,104.279,517.926,1206.278042,34.35988,4323.217,2182.465759,1247.133,404.651,343.42,0.31,186.952,85.656,3290.287,1316.1148,1579.33776,394.83444,2.073933,,1316.1148,1579.33776,394.83444,1934.721958
2015-03-01,4984.27684,1573.98216,4198.3026,275.332566,660.844816,73.897052,106.725013,162.030008,663.754375,3469.331,51.903,358.762,6.442,0,258.304,0,0,506.153,1283.911493,50.493859,4133.085,2147.567289,1230.887,403.956,334.97,0.317,177.437,83.743,3209.167,1283.6668,1540.40016,385.10004,6.424609,,1283.6668,1540.40016,385.10004,1972.088507
2015-04-01,4755.59816,1501.76784,3860.137014,537.530941,668.320553,66.826978,102.383672,145.394436,647.824605,3205.829,39.17,478.623,5.889,0,305.306,0,0,454.849,1386.897826,38.065166,3853.654,2013.599234,1164.79,366.484,291.667,0.328,190.331,84.903,2957.14,1182.856,1419.4272,354.8568,-0.517889,,1182.856,1419.4272,354.8568,2125.102174
2015-05-01,4713.63476,1488.51624,4077.625311,474.2567,678.487015,68.681068,108.078277,148.383865,635.355189,3315.915,57.744,390.912,18.316,0,203.651,0,0,443.603,1215.963218,39.730613,3951.27,2120.6859,1276.514,373.236,289.643,0.3,180.994,85.392,3081.06,1232.424,1478.9088,369.7272,-0.227657,,1232.424,1478.9088,369.7272,2157.036782
2015-06-01,4856.72832,1533.70368,4030.931927,581.239685,651.878104,69.430291,104.061556,153.102794,621.338541,3304.373,37.682,490.488,5.285,0,299.69,0,0,504.587,1439.269081,48.352407,3925.712,2135.755163,1285.105,375.633,293.63,0.336,181.051,90.657,3136.199,1254.4796,1505.37552,376.34388,0.200906,,1254.4796,1505.37552,376.34388,2247.730919
2015-07-01,4844.33728,1529.79072,4077.456426,516.921156,613.064863,70.23272,108.322477,153.357703,606.012907,3338.766,35.778,497.542,4.059,0,308.088,0,0,607.751,1554.657871,55.935747,3944.779,2167.074273,1294.447,394.62,288.696,0.334,188.977,87.995,3242.691,1297.0764,1556.49168,389.12292,4.739435,,1297.0764,1556.49168,389.12292,2794.342129
2015-08-01,4837.98596,1527.78504,4126.016737,497.237209,637.315549,71.332577,107.811412,152.264339,574.190997,3326.536,28.02,509.74,5.35,0,293.89,0,0,582.59,1521.03,53.036078,3900.727,2146.684798,1284.38,394.558,285.864,0.304,181.579,87.095,3226.699,1290.6796,1548.81552,387.20388,5.474194,,1290.6796,1548.81552,387.20388,2359.97
2015-09-01,4922.60588,1554.50712,4080.256079,511.689074,649.051384,67.354734,111.196751,140.765439,564.19411,3404.609,30.29,502.56,5.32,0,297.75,0,0,621.51,1561.345606,55.329677,3968.803,2119.249452,1267.338,375.684,297.453,0.323,178.451,89.434,3291.875,1316.75,1580.1,395.025,0.963333,,1316.75,1580.1,395.025,2207.654394
2015-10-01,4861.54292,1535.22408,4114.764644,415.184844,650.790674,67.898693,111.152745,137.251186,559.232821,3466.34,52.631,485.738,5.931,0,278.211,0,0,602.491,1526.927461,93.016371,4025.573,2091.8968,1273.218,392.597,243.916,0.316,181.85,91.439,3472.603,1389.0412,1666.84944,416.71236,5.907742,,1389.0412,1666.84944,416.71236,2121.072539
2015-11-01,4799.9244,1515.7656,3952.599263,482.588598,666.530261,63.509608,106.110934,131.557692,565.67672,3313.991,56.896,475.225,6.76,0,275.093,0,0,620.209,1539.233024,101.001078,3879.668,1967.367201,1242.702,374.817,169.997,0.314,149.865,90.522,3451.989,1380.7956,1656.95472,414.23868,8.083333,,1380.7956,1656.95472,414.23868,2110.766976
2015-12-01,4739.30452,1496.62248,3962.389632,424.638318,667.807386,62.426411,108.521414,133.207775,564.738196,3310.832,68.467,459.371,6.788,0,202.943,0,0,820.276,1659.672967,68.144293,3875.57,2095.840294,1238.913,375.635,311.954,0.355,141.837,89.149,3349.481,1339.7924,1607.75088,401.93772,-5.651935,,1339.7924,1607.75088,401.93772,2360.327033
2016-01-01,4683.20892,1478.90808,4025.492221,357.222234,649.434447,64.908461,111.072297,143.970602,555.546508,3385.762,77.513,440.345,6.7,0,249.944,0,0,718.563,1594.723138,62.269129,3941.309,2024.100192,1243.156,354.416,260.456,0.31,136.88,98.024,3381.655,1352.662,1623.1944,405.7986,16.927759,,1352.662,1623.1944,405.7986,1980.276862
2016-02-01,4652.57788,1469.23512,3807.324605,637.389838,684.279787,62.660999,104.914519,134.391262,548.162392,3199.703,57.349,395.54,3.581,0,220.036,0,0,1052.161,1833.423525,48.104652,3747.865,2047.455865,1219.976,349.183,294.646,0.343,152.394,59.294,3442.77,1377.108,1652.5296,413.1324,-12.902354,,1377.108,1652.5296,413.1324,2061.576475
2016-03-01,4582.44812,1447.08888,3807.97762,588.330908,672.88348,61.70587,100.861342,130.761776,529.017769,3176.902,41.721,407.035,4.902,0,211.06,0,0,1028.488,1796.138361,35.245626,3705.92,2081.97876,1235.647,353.952,326.003,0.316,137.25,81.945,3358.709,1343.4836,1612.18032,403.04508,-5.514598,,1343.4836,1612.18032,403.04508,1929.861639
2016-04-01,4499.63928,1420.93872,3718.183305,602.763669,688.098915,65.593206,101.594697,137.5387,523.633076,3119.803,37.543,371.547,4.804,0,231.14,0,0,1049.748,1797.85664,13.455532,3643.436,1987.257326,1218.53,354.464,239.469,0.347,146.899,85.666,3282.298,1312.9192,1575.50304,393.87576,10.964438,,1312.9192,1575.50304,393.87576,2462.14336
2016-05-01,4439.39864,1401.91536,3707.71222,652.003508,731.144046,65.654891,102.139638,136.578833,507.100634,3077.44,37.559,349.813,4.061,0,238.399,0,0,1144.267,1877.175358,11.429879,3584.541,2015.194783,1217.215,356.076,260.485,0.316,150.841,89.447,3310.817,1324.3268,1589.19216,397.29804,7.578313,,1324.3268,1589.19216,397.29804,2466.824642
2016-06-01,4469.20356,1411.32744,3782.841766,541.328978,861.395496,64.985452,112.65124,146.508891,495.639975,3114.028,36.407,457.647,3.844,0,199.551,0,0,1079.752,1880.345245,35.209079,3609.668,2071.081269,1278.268,362.148,253.399,0.34,148.516,87.539,3378.024,1351.2096,1621.45152,405.36288,2.140992,,1351.2096,1621.45152,405.36288,2633.654755
2016-07-01,4396.62128,1388.40672,3725.944595,544.548376,870.980426,64.661825,112.855142,144.302425,494.014697,3051.032,36.057,417.381,3.805,0,184.727,0,0,1195.313,1939.343307,33.074782,3545.047,2092.260844,1321.259,335.515,266.035,0.321,143.524,88.945,3385.143,1354.0572,1624.86864,406.21716,6.367644,,1354.0572,1624.86864,406.21716,2737.656693
2016-08-01,4321.02408,1364.53392,3656.927649,488.434972,824.696724,63.297702,117.496656,142.338755,481.225566,2998.463,31.19,355.03,3.6,0,255.05,0,0,1458.6,2205.916984,23.766698,3479.689,2140.355219,1349.115,337.361,277.116,0.363,152.761,88.157,3504.97,1401.988,1682.3856,420.5964,-3.894317,,1401.988,1682.3856,420.5964,2754.083016
2016-09-01,4270.43392,1348.55808,3580.614208,473.347354,818.131779,58.728997,107.768053,139.890509,472.165151,2929.314,38.021,354.836,4.002,0,258.135,0,0,1347.733,2104.955612,10.603913,3401.479,2064.781061,1279.292,332.694,268.38,0.33,156.008,88.269,3346.507,1338.6028,1606.32336,401.58084,-4.688169,,1338.6028,1606.32336,401.58084,2428.044388
2016-10-01,4242.80792,1339.83408,3568.44361,419.047254,829.385235,57.940005,100.170686,132.747839,453.323284,2963.69,34.639,362.543,4.881,0,205.638,0,0,1332.858,2044.778829,32.570102,3417.013,2052.416762,1272.193,328.881,270.965,0.318,152.314,91.419,3345.812,1338.3248,1605.98976,401.49744,3.855646,,1338.3248,1605.98976,401.49744,2657.221171
2016-11-01,4191.40912,1323.60288,3450.227171,448.740594,805.645384,56.98363,103.65416,139.593459,437.009179,2816.69,54.235,352.193,4.528,0,268.011,0,0,1378.4,2160.980211,14.100468,3253.699,1909.875981,1151.851,316.912,262.725,0.321,150.841,92.886,3351.27,1340.508,1608.6096,402.1524,7.85,,1340.508,1608.6096,402.1524,2356.019789
2016-12-01,4089.0584,1291.2816,3353.752382,392.707181,798.980977,55.684692,101.200261,138.323445,431.519699,2732.818,78.574,326.995,5.598,0,237.853,0,0,1216.55,1971.032886,8.819582,3164.338,1928.091215,1155.635,323.739,267.725,0.333,158.55,92.983,3084.66,1233.864,1480.6368,370.1592,-3.477097,,1233.864,1480.6368,370.1592,2138.967114
