Date,CARINY,CAREXT
2021-07-02,118561,94118
2021-07-03,64693,63763
2021-07-04,53982,70430
2021-07-05,63598,66580
2021-07-06,74272,76617
2021-07-07,58915,122136
2021-07-08,117190,116227
2021-07-09,109437,110207
2021-07-10,110862,110201
2021-07-11,139576,113097
2021-07-12,105086,107985
2021-07-13,104628,104689
2021-07-14,104836,130245
2021-07-15,143921,142974
2021-07-16,142234,143020
2021-07-17,130258,133417
2021-07-18,128694,128457
2021-07-19,142611,163429
2021-07-20,133559,133108
2021-07-21,145382,166940
2021-07-22,166687,166969
2021-07-23,150574,169715
2021-07-24,148054,153082
2021-07-25,148149,150923
2021-07-26,106014,136118
2021-07-27,129677,130270
2021-07-28,148012,145405
2021-07-29,85784,0
2021-07-30,0,0
2021-07-31,38315,31131
