Date,CL1
2019-08-01,5.823
2019-08-02,5.497
2019-08-03,4.836
2019-08-04,4.212
2019-08-05,5.346
2019-08-06,5.901
2019-08-07,5.857
2019-08-08,5.832
2019-08-09,5.554
2019-08-10,4.975
2019-08-11,3.769
2019-08-12,5.35
2019-08-13,5.67
2019-08-14,5.801
2019-08-15,5.347
2019-08-16,6.011
2019-08-17,5.134
2019-08-18,3.875
2019-08-19,5.277
2019-08-20,5.555
2019-08-21,5.898
2019-08-22,5.986
2019-08-23,5.732
2019-08-24,4.856
2019-08-25,3.696
2019-08-26,5.385
2019-08-27,5.899
2019-08-28,5.498
2019-08-29,5.379
2019-08-30,5.211
2019-08-31,4.559
2019-09-01,3.475
2019-09-02,2.181
2019-09-03,3.243
2019-09-04,3.309
2019-09-05,4.011
2019-09-06,5.491
2019-09-07,6.784
2019-09-08,3.991
2019-09-09,5.389
2019-09-10,6.075
2019-09-11,6.294
2019-09-12,5.924
2019-09-13,5.466
2019-09-14,3.993
2019-09-15,3.488
2019-09-16,4.226
2019-09-17,5.737
2019-09-18,6.106
2019-09-19,5.774
2019-09-20,5.928
2019-09-21,5.928
2019-09-22,4.755
2019-09-23,4.409
2019-09-24,6.028
2019-09-25,6.285
2019-09-26,6.413
2019-09-27,6.172
2019-09-28,5.763
2019-09-29,5.205
2019-09-30,4.33
2019-10-01,6.33
2019-10-02,6.364
2019-10-03,6.407
2019-10-04,5.889
2019-10-05,5.284
2019-10-06,3.985
2019-10-07,5.815
2019-10-08,6.526
2019-10-09,6.812
2019-10-10,6.259
2019-10-11,6.218
2019-10-12,4.562
2019-10-13,4.223
2019-10-14,6.256
2019-10-15,3.736
2019-10-16,5.988
2019-10-17,6.162
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,5.888
2019-11-02,5.125
2019-11-03,4.206
2019-11-04,6.096
2019-11-05,6.27
2019-11-06,6.762
2019-11-07,6.267
2019-11-08,6.356
2019-11-09,5.274
2019-11-10,3.812
2019-11-11,6.163
2019-11-12,6.389
2019-11-13,6.571
2019-11-14,6.848
2019-11-15,6.081
2019-11-16,5.006
2019-11-17,3.321
2019-11-18,3.925
