Date,RMS,DMS FB,DMS IB
2019-09-23,587847.00,585147.00,2700.00
2019-09-24,3800.00,0.00,3800.00
2019-09-25,587909.00,584109.00,0.00
2019-09-26,585397.00,581597.00,0.00
2019-09-27,576798.00,572998.00,3800.00
2019-09-28,406664.00,402864.00,0.00
2019-09-29,383369.00,380669.00,2700.00
2019-09-30,540265.00,537565.00,2700.00
2019-10-01,3800.00,0.00,3800.00
2019-10-02,449985.00,446185.00,3800.00
2019-10-03,460892.00,457092.00,0.00
2019-10-04,470707.00,466907.00,3800.00
2019-10-05,411156.00,407356.00,3800.00
2019-10-06,387121.00,385121.00,2500.00
2019-10-07,459437.00,456237.00,0.00
2019-10-08,404866.00,401066.00,3800.00
2019-10-09,430026.00,426226.00,3800.00
2019-10-10,390836.00,387036.00,3800.00
2019-10-11,405599.00,401799.00,3800.00
2019-10-12,,,
2019-10-13,,,
2019-10-14,512891.00,509691.00,3200.00
2019-10-15,515377.00,511577.00,3800.00
2019-10-16,496620.00,492820.00,3800.00
2019-10-17,511325.00,507525.00,3800.00
2019-10-18,521038.00,517238.00,3800.00
2019-10-19,479912.20,476112.00,3800.00
2019-10-20,454821.00,452321.00,2500.00
2019-10-21,502222.00,499022.00,3200.00
2019-10-22,522540.00,518740.00,3800.00
2019-10-23,427323.00,423523.00,3800.00
2019-10-24,427397.00,423597.00,3800.00
2019-10-25,412006.00,408206.00,3800.00
2019-10-26,382600.00,378800.00,3800.00
2019-10-27,368618.00,368618.00,0.00
2019-10-28,476060.00,472860.00,3200.00
2019-10-29,514144.00,510344.00,3800.00
2019-10-30,519233.00,515433.00,3800.00
2019-10-31,517892.00,514092.00,3800.00
2019-11-01,3850.00,0.00,3850.00
2019-11-02,266592.00,262742.00,3850.00
2019-11-03,254270.00,251770.00,2500.00
2019-11-04,293664.00,293664.00,0.00
2019-11-05,294768.00,294768.00,0.00
2019-11-06,298308.00,294458.00,3850.00
2019-11-07,277621.00,274321.00,3300.00
2019-11-08,277621.00,274321.00,3300.00
2019-11-09,239294.00,239294.00,0.00
2019-11-10,241176.00,238676.00,2500.00
2019-11-11,275684.00,275684.00,0.00
2019-11-12,283498.00,279648.00,3850.00
2019-11-13,283662.00,279812.00,3850.00
2019-11-14,277705.00,273855.00,3850.00
