Date,RMS,DMS FB,DMS IB
2019-09-16,344.495,348.548,2.225
2019-09-17,532.333,537.792,2.295
2019-09-18,527.523,395.851,2.825
2019-09-19,378.255,375.758,2.79
2019-09-20,445.141,442.205,3.708
2019-09-21,308.015,309.988,3.249
2019-09-22,399.939,389.455,2.366
2019-09-23,446.201,445.418,2.966
2019-09-24,470.391,468.58,3.355
2019-09-25,509.732,508.305,2.966
2019-09-26,457.042,456.26,3.673
2019-09-27,453.652,449.264,3.602
2019-09-28,329.239,326.27,3.602
2019-09-29,337.114,329.36,2.507
2019-09-30,385.46,384.063,3.002
2019-10-01,280.434,276.712,3.496
2019-10-02,354.948,350.914,3.461
2019-10-03,440.162,436.665,3.602
2019-10-04,435.712,428.622,3.602
2019-10-05,364.801,360.696,3.426
2019-10-06,308.544,304.872,2.401
2019-10-07,359.362,355.372,2.79
2019-10-08,309.886,305.896,3.249
2019-10-09,343.329,337.855,3.743
2019-10-10,373.347,368.428,3.531
2019-10-11,376.327,372.886,3.441
2019-10-12,341.408,337.967,3.441
2019-10-13,386.66,383.164,2.507
2019-10-14,446.66,444.718,2.966
2019-10-15,473.64,471.084,3.567
2019-10-16,389.627,385.83,3.426
2019-10-17,463.007,473.074,2.79
2019-10-18,471.802,468.361,3.441
2019-10-19,434.562,431.121,3.441
2019-10-20,417.914,416.881,2.154
2019-10-21,466.577,464.378,2.719
2019-10-22,423.599,420.778,3.39
2019-10-23,356.007,351.836,3.39
2019-10-24,390.333,386.829,3.355
2019-10-25,373.073,369.632,3.441
2019-10-26,315.84,315.84,1.72
2019-10-27,281.211,280.858,0
2019-10-28,425.966,423.573,3.531
2019-10-29,456.336,452.107,3.743
2019-10-30,476.819,473.341,3.708
2019-10-31,378.079,397.475,3.708
2019-11-01,271.381,267.894,3.486
2019-11-02,210.749,210.749,0
2019-11-03,201.647,202.939,0
2019-11-04,257.515,258.65,0
2019-11-05,254.583,255.8,0
2019-11-06,253.595,254.778,0
2019-11-07,244.519,247.026,0
2019-11-08,215.419,224.798,0
2019-11-09,171.735,174.384,0
2019-11-10,200.022,201.451,0
2019-11-11,230.617,236.478,0
2019-11-12,238.692,239.906,0
2019-11-13,224.566,225.47,0
