Date,FPE1,FPE1001F,FPE1002F,FPE2003F,FPE2010F,FPE1001I,FPE1002I,FPE2003I,FPE2010I
2020-07-01,,,,,,,,,
2020-07-02,,,,,,,,,
2020-07-03,,,,,,,,,
2020-07-04,,,,,,,,,
2020-07-05,,,,,,,,,
2020-07-06,,,,,,,,,
2020-07-07,,,,,,,,,
2020-07-08,,,,,,,,,
2020-07-09,20500,,,,,,,,
2020-07-10,25500,,,,,,,,
2020-07-11,15000,,,,,,,,
2020-07-12,,,,,,,,,
2020-07-13,,,,,,,,,
2020-07-14,113629.56,,,,,,,,
2020-07-15,113629.56,,,,,,,,
2020-07-16,116040.79,,,,,,,,
2020-07-17,163041.79,,,,,,,,
2020-07-18,166039.79,,,,,,,,
2020-07-19,180542.23,,,,,,,,
2020-07-20,130429,,,,,,,,
2020-07-21,127430,,,,,,,,
2020-07-22,,,,,,,,,
2020-07-23,,,,,,,,,
2020-07-24,,,,,,,,,
2020-07-25,,,,,,,,,
2020-07-26,,,,,,,,,
2020-07-27,,,,,,,,,
2020-07-28,,,,,,,,,
2020-07-29,,,,,,,,,
2020-07-30,,,,,,,,,
2020-07-31,,,,,,,,,
2020-08-01,,,,,,,,,
2020-08-02,,,,,,,,,
2020-08-03,,,,,,,,,
2020-08-04,,,,,,,,,
2020-08-05,,,,,,,,,
2020-08-06,,,,,,,,,
2020-08-07,,,,,,,,,
2020-08-08,,,,,,,,,
2020-08-09,,,,,,,,,
2020-08-10,,,,,,,,,
2020-08-11,,,,,,,,,
2020-08-12,,,,,,,,,
2020-08-13,,,,,,,,,
2020-08-14,,,,,,,,,
2020-08-15,,,,,,,,,
2020-08-16,,,,,,,,,
2020-08-17,,,,,,,,,
2020-08-18,,,,,,,,,
2020-08-19,,,,,,,,,
2020-08-20,,,,,,,,,
2020-08-21,,,,,,,,,
2020-08-22,,,,,,,,,
2020-08-23,18000,,,,,,,,
2020-08-24,64408,,,,,,,,
2020-08-25,80000,,,,,,,,
2020-08-26,80000,,,,,,,,
2020-08-27,80000,,,,,,,,
2020-08-28,80000,,,,,,,,
2020-08-29,80000,,,,,,,,
2020-08-30,78002,,,,,,,,
2020-08-31,60000,,,,,,,,
2020-09-01,75000,,,,,,,,
2020-09-02,83264,,,,,,,,
2020-09-03,83264,,,,,,,,
2020-09-04,80254,,,,,,,,
2020-09-05,41093,,,,,,,,
2020-09-06,82261,,,,,,,,
2020-09-07,82261,,,,,,,,
2020-09-08,65386,,,,,,,,
2020-09-09,62329,,,,,,,,
2020-09-10,78922,,,,,,,,
2020-09-11,62333,,,,,,,,
2020-09-12,50159,,,,,,,,
2020-09-13,40127,,,,,,,,
2020-09-14,70223,,,,,,,,
2020-09-15,60191,,,,,,,,
2020-09-16,50159,,,,,,,,
2020-09-17,65207,,,,,,,,
2020-09-18,60191,,,,,,,,
2020-09-19,75176,,,,,,,,
2020-09-20,75176,,,,,,,,
2020-09-21,80192,,,,,,,,
2020-09-22,83704,,,,,,,,
2020-09-23,52165,,,,,,,,
2020-09-24,60191,,,,,,,,
2020-09-25,67213,,,,,,,,
2020-09-26,165167,,,,,,,,
2020-09-27,159419,,,,,,,,
2020-09-28,50159,,,,,,,,
2020-09-29,89724,,,,,,,,
2020-09-30,70223,,,,,,,,
2020-10-01,350955.4,,,,,,,,
2020-10-02,271464.18,,,,,,,,
2020-10-03,279836.22,,,,,,,,
2020-10-04,307445.07,,,,,,,,
2020-10-05,355417.7,,,,,,,,
2020-10-06,342337.88,,,,,,,,
2020-10-07,394178.53,,,,,,,,
2020-10-08,342337.88,,,,,,,,
2020-10-09,336005.54,,,,,,,,
2020-10-10,308615.62,,,,,,,,
2020-10-11,327472.37,,,,,,,,
2020-10-12,350249.27,,,,,,,,
2020-10-13,363351.85,,,,,,,,
2020-10-14,357420.43,,,,,,,,
2020-10-15,376758.67,,,,,,,,
2020-10-16,374954.98,,,,,,,,
2020-10-17,382645.69,,,,,,,,
2020-10-18,379781.24,,,,,,,,
2020-10-19,379689.31,,,,,,,,
2020-10-20,330808.67,,,,,,,,
2020-10-21,449570.64,,,,,,,,
2020-10-22,454934.32,,,,,,,,
2020-10-23,424028.97,,,,,,,,
2020-10-24,265819.95,,,,,,,,
2020-10-25,408619.42,,,,,,,,
2020-10-26,399757.36,,,,,,,,
2020-10-27,399757.36,,,,,,,,
2020-10-28,461577.54,,,,,,,,
2020-10-29,322795.86,,,,,,,,
2020-10-30,392186.7,,,,,,,,
2020-10-31,357491.28,,,,,,,,
2020-11-01,309303.74,,,,,,,,
2020-11-02,244903.61,,,,,,,,
2020-11-03,331631.38,,,,,,,,
2020-11-04,407146.51,,,,,,,,
2020-11-05,360564.33,,,,,,,,
2020-11-06,349973.46,,,,,,,,
2020-11-07,369792.24,,,,,,,,
2020-11-08,365538.45,,,,,,,,
2020-11-09,365633.23,,,,,,,,
2020-11-10,373364.55,,,,,,,,
2020-11-11,376083.82,,,,,,,,
2020-11-12,377774.72,,,,,,,,
2020-11-13,390663.09,,,,,,,,
2020-11-14,323359.71,,,,,,,,
