Date,FPE1,FPE2,FPE4,FPE5,FPE1001,FPE1002,FPE2003,FPE2010
2020-08-01,0,0,0,0,,,0,
2020-08-02,0,0,0,0,,,0,
2020-08-03,0,0,0,0,,,0,
2020-08-04,0,0,0,0,,,0,
2020-08-05,0,0,0,0,,,0,
2020-08-06,0,0,0,0,,,0,
2020-08-07,0,0,0,0,,,0,
2020-08-08,0,0,0,0,,,0,
2020-08-09,0,0,0,0,,,0,
2020-08-10,0,0,0,0,,,0,
2020-08-11,0,0,0,0,,,0,
2020-08-12,0,0,0,0,,,0,
2020-08-13,0,0,0,0,,,0,
2020-08-14,0,0,0,0,,,0,
2020-08-15,0,0,0,0,,,0,
2020-08-16,0,0,0,0,,,0,
2020-08-17,0,0,0,0,,,0,
2020-08-18,0,0,0,0,,,0,
2020-08-19,0,0,0,0,,,0,
2020-08-20,0,0,0,0,,,0,
2020-08-21,0,0,0,0,,,0,
2020-08-22,0,0,0,0,,,0,
2020-08-23,0,0,0,0,,,3662.187114,
2020-08-24,0,0,0,0,,,74900.5452,
2020-08-25,0,0,0,0,,,72720.66464,
2020-08-26,0,0,0,0,,,80219.44028,
2020-08-27,0,0,0,0,,,80568.22202,
2020-08-28,0,0,0,0,,,80481.02131,
2020-08-29,0,0,0,0,,,80568.22202,
2020-08-30,0,0,0,0,,,79260.29579,
2020-08-31,0,0,0,0,,,76528.41838,
2020-09-01,0,0,0,0,,,73796.55152,
2020-09-02,0,0,0,0,,,69068.95427,
2020-09-03,0,0,0,0,,,59959.69284,
2020-09-04,0,0,0,0,,,61689.30545,
2020-09-05,0,0,0,0,,,48313.67679,
2020-09-06,0,0,0,0,,,48198.36928,
2020-09-07,0,0,0,0,,,65609.7396,
2020-09-08,0,0,0,0,,,46353.45972,
2020-09-09,0,0,0,0,,,47506.52424,
2020-09-10,0,0,0,0,,,55001.49112,
2020-09-11,0,0,0,0,,,47967.75427,
2020-09-12,0,0,0,0,,,64110.75255,
2020-09-13,0,0,0,0,,,52695.35152,
2020-09-14,0,0,0,0,,,54540.26109,
2020-09-15,0,0,0,0,,,73796.55152,
2020-09-16,0,0,0,0,,,63995.44504,
2020-09-17,0,0,0,0,,,63303.6,
2020-09-18,0,0,0,0,,,56269.86315,
2020-09-19,0,0,0,0,,,49697.36688,
2020-09-20,0,0,0,28480.85937,,,49697.36688,
2020-09-21,0,0,0,0,,,59383.1553,
2020-09-22,0,0,0,18564.44539,,,57538.24573,
2020-09-23,0,0,0,0,,,66301.58464,
2020-09-24,0,0,0,0,,,69760.79931,
2020-09-25,0,0,0,114384.6464,,,68146.49421,
2020-09-26,0,0,0,73450.629,,,72989.39897,
2020-09-27,0,0,0,11415.40103,,,69876.10682,
2020-09-28,0,0,0,0,,,51542.27645,
2020-09-29,0,0,0,0,,,61573.99794,
2020-09-30,0,0,0,0,,,50735.1239,
2020-10-01,0,0,0,329915.5845,,,32237.94913,
2020-10-02,0,0,0,295584.2697,,,39774.08445,
2020-10-03,0,0,0,263765,,,35587.34261,
2020-10-04,0,0,0,300189.691,,,37680.71881,
2020-10-05,0,0,0,316518,,,43542.15739,
2020-10-06,0,0,0,351267.9942,,,39774.08445,
2020-10-07,0,0,0,361316.1852,,,42704.80902,
2020-10-08,0,0,0,286792.1065,,,38099.38772,
2020-10-09,0,0,0,277999.9328,,,42704.80902,
2020-10-10,0,0,0,263765,,,39355.41555,
2020-10-11,0,0,0,309819.2025,,,33912.64587,
