Date,FPL1,FPL1001F,FPL2003F,FPL1001I,FPL2003I
2020-07-01,0,,,,
2020-07-02,0,,,,
2020-07-03,0,,,,
2020-07-04,0,,,,
2020-07-05,0,,,,
2020-07-06,0,,,,
2020-07-07,0,,,,
2020-07-08,0,,,,
2020-07-09,0,,,,
2020-07-10,0,,,,
2020-07-11,0,,,,
2020-07-12,0,,,,
2020-07-13,0,,,,
2020-07-14,0,,,,
2020-07-15,51608.44,,,,
2020-07-16,82573.5,,,,
2020-07-17,76380.49,,,,
2020-07-18,75348.32,,,,
2020-07-19,73283.98,,,,
2020-07-20,75348.32,,,,
2020-07-21,76380.49,,,,
2020-07-22,0,,,,
2020-07-23,0,,,,
2020-07-24,0,,,,
2020-07-25,0,,,,
2020-07-26,0,,,,
2020-07-27,0,,,,
2020-07-28,0,,,,
2020-07-29,0,,,,
2020-07-30,0,,,,
2020-07-31,0,,,,
2020-08-01,0,,,,
2020-08-02,0,,,,
2020-08-03,0,,,,
2020-08-04,0,,,,
2020-08-05,0,,,,
2020-08-06,0,,,,
2020-08-07,0,,,,
2020-08-08,0,,,,
2020-08-09,0,,,,
2020-08-10,0,,,,
2020-08-11,0,,,,
2020-08-12,0,,,,
2020-08-13,0,,,,
2020-08-14,0,,,,
2020-08-15,0,,,,
2020-08-16,0,,,,
2020-08-17,0,,,,
2020-08-18,0,,,,
2020-08-19,0,,,,
2020-08-20,0,,,,
2020-08-21,0,,,,
2020-08-22,0,,,,
2020-08-23,0,,,,
2020-08-24,0,,,,
2020-08-25,0,,,,
2020-08-26,0,,,,
2020-08-27,0,,,,
2020-08-28,0,,,,
2020-08-29,0,,,,
2020-08-30,0,,,,
2020-08-31,0,,,,
2020-09-01,0,,,,
2020-09-02,0,,,,
2020-09-03,0,,,,
2020-09-04,0,,,,
2020-09-05,0,,,,
2020-09-06,0,,,,
2020-09-07,0,,,,
2020-09-08,0,,,,
2020-09-09,0,,,,
2020-09-10,17416.07,,,,
2020-09-11,20646.22,,,,
2020-09-12,0,,,,
2020-09-13,0,,,,
2020-09-14,0,,,,
2020-09-15,0,,,,
2020-09-16,0,,,,
2020-09-17,0,,,,
2020-09-18,0,,,,
2020-09-19,13932.86,,,,
2020-09-20,13932.86,,,,
2020-09-21,12533.88,,,,
2020-09-22,0,,,,
2020-09-23,0,,,,
2020-09-24,0,,,,
2020-09-25,149999.05,,,,
2020-09-26,52749.61,,,,
2020-09-27,0,,,,
2020-09-28,0,,,,
2020-09-29,23403.41,,,,
2020-09-30,27236.37,,,,
2020-10-01,290239.42,,,,
2020-10-02,212018.27,,,,
2020-10-03,232314.75,,,,
2020-10-04,259759.63,,,,
2020-10-05,297969.78,,,,
2020-10-06,290239.42,,,,
2020-10-07,341772.98,,,,
2020-10-08,290239.42,,,,
2020-10-09,283944.99,,,,
2020-10-10,266195.29,,,,
2020-10-11,284940.19,,,,
2020-10-12,298104.37,,,,
2020-10-13,311129.22,,,,
2020-10-14,315498.64,,,,
2020-10-15,338672.68,,,,
2020-10-16,334787.6,,,,
2020-10-17,344361.46,,,,
2020-10-18,344361.46,,,,
2020-10-19,339530.45,,,,
2020-10-20,290939.85,,,,
2020-10-21,407102.91,,,,
2020-10-22,410539.68,,,,
2020-10-23,381712.89,,,,
2020-10-24,363568.9,,,,
2020-10-25,370184.63,,,,
2020-10-26,359480.03,,,,
2020-10-27,351271.97,,,,
2020-10-28,399433.21,,,,
2020-10-29,261192.73,,,,
2020-10-30,330312.97,,,,
2020-10-31,295752.85,,,,
2020-11-01,296880.75,,,,
2020-11-02,262901.64,,,,
2020-11-03,310427.84,,,,
2020-11-04,366417.08,,,,
2020-11-05,352773.3,,,,
2020-11-06,339393.97,,,,
2020-11-07,343196.6,,,,
2020-11-08,343196.6,,,,
2020-11-09,336956.19,,,,
2020-11-10,342176.75,,,,
2020-11-11,347691.13,,,,
2020-11-12,350978.14,,,,
2020-11-13,292674.35,,,,
2020-11-14,332021.88,,,,
2020-11-15,286539.15,,,,
2020-11-16,326284.76,,,,
2020-11-17,326291.4,,,,
2020-11-18,352535.4,,,,
2020-11-19,353108.83,,,,
2020-11-20,368426.44,,,,
2020-11-21,348596.29,,,,
2020-11-22,344732.05,,,,
2020-11-23,290764.51,,,,
2020-11-24,287139.12,,,,
2020-11-25,326226,,,,
2020-11-26,321012.08,,,,
2020-11-27,333566.81,,,,
2020-11-28,341351.2,,,,
2020-11-29,337459.01,,,,
2020-11-30,339405.1,,,,
2020-12-01,365291.07,,,,
2020-12-02,326022.22,,,,
2020-12-03,302941.06,,,,
2020-12-04,314256.06,,,,
2020-12-05,289836.6,,,,
2020-12-06,271337.18,,,,
2020-12-07,314000.15,,,,
2020-12-08,307663.07,,,,
2020-12-09,350164.92,,,,
2020-12-10,322705.82,,,,
2020-12-11,318612.21,,,,
2020-12-12,303191.29,,,,
2020-12-13,233167.78,,,,
2020-12-14,261227.8,,,,
2020-12-15,322702.03,,,,
2020-12-16,358894.28,,,,
2020-12-17,369968.53,,,,
2020-12-18,354725.8,,,,
2020-12-19,343555.82,,,,
2020-12-20,339912.42,,,,
2020-12-21,350853.98,,,,
2020-12-22,491174.91,,,,
2020-12-23,532969.69,,,,
2020-12-24,500061.61,,,,
2020-12-25,395532.96,,,,
2020-12-26,527529.24,,,,
2020-12-27,533452.13,,,,
2020-12-28,503816.84,,,,
2020-12-29,507953,,,,
2020-12-30,0,,,,
2020-12-31,0,,,,
2021-01-01,492976.7,,,,
2021-01-02,495884.59,,,,
2021-01-03,485103.22,,,,
2021-01-04,496910.13,,,,
2021-01-05,587241.48,,,,
2021-01-06,474031.81,,,,
2021-01-07,476537.83,,,,
2021-01-08,533918.45,,,,
2021-01-09,520677.5,,,,
2021-01-10,468184.75,,,,
2021-01-11,530583.09,,,,
2021-01-12,447200.16,,,,
2021-01-13,483189.58,,,,
2021-01-14,478952.86,,,,
2021-01-15,486752.41,,,,
2021-01-16,488979.77,,,,
2021-01-17,455112.51,,,,
2021-01-18,483002.86,,,,
2021-01-19,512134.85,,,,
2021-01-20,506507.69,,,,
2021-01-21,559260.14,,,,
2021-01-22,636743.88,,,,
2021-01-23,618965.75,,,,
2021-01-24,494170,,,,
2021-01-25,565871.14,,,,
2021-01-26,562132.01,,,,
2021-01-27,597810.55,,,,
2021-01-28,499879.63,,,,
2021-01-29,610638.26,,,,
2021-01-30,580058.95,,,,
2021-01-31,595348.61,,,,
2021-02-01,259826.93,,,,
2021-02-02,476280.97,,,,
2021-02-03,579168.01,,,,
2021-02-04,582591.51,,,,
2021-02-05,588413.93,,,,
2021-02-06,541713.27,,,,
2021-02-07,505525.75,,,,
2021-02-08,569133.51,,,,
2021-02-09,661170.93,,,,
2021-02-10,611944.34,,,,
