Date,FPL1001,FPL2003
2020-07-01,,0
2020-07-02,,0
2020-07-03,,0
2020-07-04,,0
2020-07-05,,0
2020-07-06,,0
2020-07-07,,0
2020-07-08,,0
2020-07-09,,0
2020-07-10,,0
2020-07-11,,0
2020-07-12,,0
2020-07-13,,0
2020-07-14,,0
2020-07-15,,24579.83833
2020-07-16,,20986.51498
2020-07-17,,26376.5
2020-07-18,,25420.82665
2020-07-19,,38761.9865
2020-07-20,,26567.63467
2020-07-21,,26567.63467
2020-07-22,,0
2020-07-23,,0
2020-07-24,,0
2020-07-25,,0
2020-07-26,,0
2020-07-27,,0
2020-07-28,,0
2020-07-29,,0
2020-07-30,,0
2020-07-31,,0
2020-08-01,,0
2020-08-02,,0
2020-08-03,,0
2020-08-04,,0
2020-08-05,,0
2020-08-06,,0
2020-08-07,,0
2020-08-08,,0
2020-08-09,,0
2020-08-10,,0
2020-08-11,,0
2020-08-12,,0
2020-08-13,,0
2020-08-14,,0
2020-08-15,,0
2020-08-16,,0
2020-08-17,,0
2020-08-18,,0
2020-08-19,,0
2020-08-20,,0
2020-08-21,,0
2020-08-22,,0
2020-08-23,,0
2020-08-24,,0
2020-08-25,,0
2020-08-26,,0
2020-08-27,,0
2020-08-28,,0
2020-08-29,,0
2020-08-30,,0
2020-08-31,,0
2020-09-01,,0
2020-09-02,,0
2020-09-03,,0
2020-09-04,,0
2020-09-05,,0
2020-09-06,,0
2020-09-07,,0
2020-09-08,,0
2020-09-09,,0
2020-09-10,,0
2020-09-11,,0
2020-09-12,,0
2020-09-13,,0
2020-09-14,,0
2020-09-15,,0
2020-09-16,,0
2020-09-17,,0
2020-09-18,,0
2020-09-19,,0
2020-09-20,,25384.90186
2020-09-21,,0
2020-09-22,,0
2020-09-23,,0
2020-09-24,,0
2020-09-25,,197129.6366
2020-09-26,,5552.94959
2020-09-27,,15270.60082
2020-09-28,,0
2020-09-29,,0
2020-09-30,,46010.13264
2020-10-01,,235038.1217
2020-10-02,,289358.0441
2020-10-03,,309728.0137
2020-10-04,,305027.2466
2020-10-05,,355691.0168
2020-10-06,,361436.3988
2020-10-07,,330620.2907
2020-10-08,,295103.4155
2020-10-09,,288313.4292
2020-10-10,,277344.9832
2020-10-11,,281001.1248
2020-10-12,,305549.554
2020-10-13,,336365.6621
2020-10-14,,316518
2020-10-15,,336365.6621
2020-10-16,,344722.5708
2020-10-17,,348901.0304
2020-10-18,,358824.8615
2020-10-19,,385984.8174
2020-10-20,,367181.7702
2020-10-21,,389640.9696
2020-10-22,,420979.3851
2020-10-23,,396953.2634
2020-10-24,,380239.446
2020-10-25,,372404.8447
2020-10-26,,367181.7702
2020-10-27,,352557.1826
2020-10-28,,379194.8311
2020-10-29,,302415.7093
2020-10-30,,340805.2702
2020-10-31,,321610.4898
2020-11-01,,252796.554
2020-11-02,,310250.3211
2020-11-03,,309728.0137
2020-11-04,,342633.3515
2020-11-05,,360914.0913
2020-11-06,,353601.787
2020-11-07,,367704.0776
2020-11-08,,361958.7062
2020-11-09,,360914.0913
2020-11-10,,352034.8752
2020-11-11,,340021.8143
2020-11-12,,346811.8006
2020-11-13,,347334.1081
2020-11-14,,294058.8006
2020-11-15,,310250.3211
2020-11-16,,312339.5404
2020-11-17,,361436.3988
2020-11-18,,359347.1689
2020-11-19,,352034.8752
2020-11-20,,368748.6925
2020-11-21,,370315.6149
2020-11-22,,363525.6286
2020-11-23,,352034.8752
2020-11-24,,322785.6789
2020-11-25,,417845.5404
2020-11-26,,232948.8919
2020-11-27,,336887.9696
2020-11-28,,346811.8006
2020-11-29,,352034.8752
2020-11-30,,352034.8752
2020-12-01,,367085.9602
2020-12-02,,358345.822
2020-12-03,,317142.3001
2020-12-04,,324009.5485
2020-12-05,,304032.0823
2020-12-06,,284678.9163
2020-12-07,,327755.328
2020-12-08,,337119.7662
2020-12-09,,356472.9323
2020-12-10,,357097.2324
2020-12-11,,332125.3971
2020-12-12,,295291.9442
2020-12-13,,224746.5073
2020-12-14,,287800.3957
2020-12-15,,308402.1514
2020-12-16,,358345.822
2020-12-17,,372080.3294
2020-12-18,,356472.9323
2020-12-19,,337744.0558
2020-12-20,,329003.9177
2020-12-21,,350854.2736
2020-12-22,,471343.3705
2020-12-23,,525032.8207
2020-12-24,,508801.1235
2020-12-25,,430139.8486
2020-12-26,,508801.1235
2020-12-27,,521287.0412
2020-12-28,,524408.5206
2020-12-29,,500060.9854
2020-12-30,,512234.753
2020-12-31,,506147.8692
2021-01-01,,499436.6853
2021-01-02,,507552.5339
2021-01-03,,495690.9163
2021-01-04,,511298.3028
2021-01-05,,566860.6427
2021-01-06,,526281.4103
2021-01-07,,473840.5604
2021-01-08,,527530
2021-01-09,,491945.1368
2021-01-10,,462603.2324
2021-01-11,,491320.8367
2021-01-12,,436382.8074
2021-01-13,,454487.3838
2021-01-14,,460106.0425
2021-01-15,,483204.9986
2021-01-16,,494442.3161
2021-01-17,,463851.822
2021-01-18,,487575.0677
2021-01-19,,516292.672
2021-01-20,,529402.8898
2021-01-21,,563114.8632
2021-01-22,,620550.0823
2021-01-23,,621174.3824
2021-01-24,,501309.575
2021-01-25,,553126.1354
2021-01-26,,583092.3294
2021-01-27,,688598.3294
2021-01-28,,518165.5618
2021-01-29,,569982.1222
2021-01-30,,527530
2021-01-31,,527530
2021-02-01,,267403.1423
2021-02-02,,516009.2301
2021-02-03,,603324.5397
2021-02-04,,602111.8327
2021-02-05,,602111.8327
2021-02-06,,562698.6631
2021-02-07,,502063.0356
2021-02-08,,608781.7426
2021-02-09,,658502.9644
2021-02-10,,638493.2029
2021-02-11,,507520.2385
2021-02-12,,357750.2301
2021-02-13,,254669.6548
2021-02-14,,173417.9122
2021-02-15,,81251.74264
2021-02-16,,171598.841
2021-02-17,,169173.4163
2021-02-18,,154620.8577
2021-02-19,,113388.6276
2021-02-20,,137642.8849
2021-02-21,,137642.8849
2021-02-22,,187970.4603
2021-02-23,,316518
2021-02-24,,323187.9205
2021-02-25,,319852.9603
2021-02-26,,321520.4404
2021-02-27,,320686.7003
2021-02-28,,321103.5651
2021-03-01,,"369,844.40"
2021-03-02,,"366,403.99"
2021-03-03,,"369,844.40"
2021-03-04,,"366,403.99"
2021-03-05,,"534,410.83"
2021-03-06,,"581,429.81"
2021-03-07,,"490,832.26"
2021-03-08,,"500,580.10"
2021-03-09,,"508,034.33"
2021-03-10,,"498,859.89"
2021-03-11,,"527,530.00"
2021-03-12,,"509,181.14"
2021-03-13,,"474,777.00"
2021-03-14,,"469,042.98"
2021-03-15,,"469,616.39"
2021-03-16,,"524,662.99"
2021-03-17,,"571,681.97"
2021-03-18,,"590,030.84"
2021-03-19,,"567,094.75"
2021-03-20,,"518,928.97"
2021-03-21,,"467,322.77"
