Date,FPO1,FPO1001F,FPO1002F,FPO2001F,FPO2004F,FPO2007F,FPO2008F,FPO1001I,FPO1002I,FPO2001I,FPO2004I,FPO2007I,FPO2008I
2020-09-01,0,,,,,,,,,,,,
2020-09-02,5275,,,,,,,,,,,,
2020-09-03,0,,,,,,,,,,,,
2020-09-04,339,,,,,,,,,,,,
2020-09-05,5614,,,,,,,,,,,,
2020-09-06,5614,,,,,,,,,,,,
2020-09-07,5614,,,,,,,,,,,,
2020-09-08,5614,,,,,,,,,,,,
2020-09-09,9291,,,,,,,,,,,,
2020-09-10,18375,,,,,,,,,,,,
2020-09-11,18783,,,,,,,,,,,,
2020-09-12,339,,,,,,,,,,,,
2020-09-13,339,,,,,,,,,,,,
2020-09-14,339,,,,,,,,,,,,
2020-09-15,339,,,,,,,,,,,,
2020-09-16,339,,,,,,,,,,,,
2020-09-17,339,,,,,,,,,,,,
2020-09-18,339,,,,,,,,,,,,
2020-09-19,14700,,,,,,,,,,,,
2020-09-20,14700,,,,,,,,,,,,
2020-09-21,14700,,,,,,,,,,,,
2020-09-22,13224,,,,,,,,,,,,
2020-09-23,339,,,,,,,,,,,,
2020-09-24,339,,,,,,,,,,,,
2020-09-25,200339,,,,,,,,,,,,
2020-09-26,8751,,,,,,,,,,,,
2020-09-27,0,,,,,,,,,,,,
2020-09-28,0,,,,,,,,,,,,
2020-09-29,24692,,,,,,,,,,,,
2020-09-30,0,,,,,,,,,,,,
2020-10-01,328089,,,,,,,,,,,,
2020-10-02,244940,,,,,,,,,,,,
2020-10-03,263499,,,,,,,,,,,,
2020-10-04,292455,,,,,,,,,,,,
2020-10-05,368376,,,,,,,,,,,,
2020-10-06,358973,,,,,,,,,,,,
2020-10-07,360591,,,,,,,,,,,,
2020-10-08,306220,,,,,,,,,,,,
2020-10-09,299579,,,,,,,,,,,,
2020-10-10,280852,,,,,,,,,,,,
2020-10-11,300629,,,,,,,,,,,,
2020-10-12,314518,,,,,,,,,,,,
2020-10-13,328260,,,,,,,,,,,,
2020-10-14,332870,,,,,,,,,,,,
2020-10-15,357320,,,,,,,,,,,,
2020-10-16,353221,,,,,,,,,,,,
2020-10-17,363322,,,,,,,,,,,,
2020-10-18,363322,,,,,,,,,,,,
2020-10-19,360054,,,,,,,,,,,,
2020-10-20,323264,,,,,,,,,,,,
2020-10-21,323264,,,,,,,,,,,,
2020-10-22,429518,,,,,,,,,,,,
2020-10-23,439193,,,,,,,,,,,,
2020-10-24,402730,,,,,,,,,,,,
2020-10-25,383587,,,,,,,,,,,,
2020-10-26,390567,,,,,,,,,,,,
2020-10-27,379273,,,,,,,,,,,,
2020-10-28,370613,,,,,,,,,,,,
2020-10-29,421426,,,,,,,,,,,,
2020-10-30,275574,,,,,,,,,,,,
2020-10-31,348500,,,,,,,,,,,,
2020-11-01,328220,,,,,,,,,,,,
2020-11-02,319819,,,,,,,,,,,,
2020-11-03,336079,,,,,,,,,,,,
2020-11-04,386592,,,,,,,,,,,,
2020-11-05,372197,,,,,,,,,,,,
2020-11-06,358081,,,,,,,,,,,,
2020-11-07,358081,,,,,,,,,,,,
2020-11-08,370285,,,,,,,,,,,,
2020-11-09,370285,,,,,,,,,,,,
2020-11-10,355509,,,,,,,,,,,,
2020-11-11,352825,,,,,,,,,,,,
2020-11-12,358643,,,,,,,,,,,,
2020-11-13,370303,,,,,,,,,,,,
2020-11-14,308789,,,,,,,,,,,,
2020-11-15,350303,,,,,,,,,,,,
2020-11-16,302316,,,,,,,,,,,,
2020-11-17,344250,,,,,,,,,,,,
2020-11-18,344257,,,,,,,,,,,,
2020-11-19,371946,,,,,,,,,,,,
2020-11-20,372551,,,,,,,,,,,,
2020-11-21,388712,,,,,,,,,,,,
2020-11-22,367790,,,,,,,,,,,,
2020-11-23,363713,,,,,,,,,,,,
2020-11-24,306744,,,,,,,,,,,,
2020-11-25,302949,,,,,,,,,,,,
2020-11-26,344188,,,,,,,,,,,,
2020-11-27,338687,,,,,,,,,,,,
2020-11-28,351933,,,,,,,,,,,,
2020-11-29,360146,,,,,,,,,,,,
2020-11-30,360146,,,,,,,,,,,,
2020-12-01,385404,,,,,,,,,,,,
2020-12-02,343973,,,,,,,,,,,,
2020-12-03,319621,,,,,,,,,,,,
2020-12-04,331559,,,,,,,,,,,,
2020-12-05,305795,,,,,,,,,,,,
2020-12-06,286277,,,,,,,,,,,,
2020-12-07,331289,,,,,,,,,,,,
2020-12-08,324603,,,,,,,,,,,,
2020-12-09,369445,,,,,,,,,,,,
2020-12-10,346605,,,,,,,,,,,,
2020-12-11,342286,,,,,,,,,,,,
2020-12-12,319885,,,,,,,,,,,,
2020-12-13,246006,,,,,,,,,,,,
2020-12-14,275521,,,,,,,,,,,,
2020-12-15,340473,,,,,,,,,,,,
2020-12-16,378655,,,,,,,,,,,,
2020-12-17,390339,,,,,,,,,,,,
2020-12-18,374257,,,,,,,,,,,,
2020-12-19,358628,,,,,,,,,,,,
2020-12-20,358628,,,,,,,,,,,,
2020-12-21,370172,,,,,,,,,,,,
2020-12-22,518219,,,,,,,,,,,,
2020-12-23,562315,,,,,,,,,,,,
2020-12-24,527595,,,,,,,,,,,,
2020-12-25,417311,,,,,,,,,,,,
2020-12-26,556575,,,,,,,,,,,,
2020-12-27,562824,,,,,,,,,,,,
2020-12-28,531557,,,,,,,,,,,,
2020-12-29,535921,,,,,,,,,,,,
2020-12-30,543434,,,,,,,,,,,,
2020-12-31,536970.67,,,,,,,,,,,,
2021-01-01,520120,,,,,,,,,,,,
2021-01-02,523188,,,,,,,,,,,,
2021-01-03,511813,,,,,,,,,,,,
2021-01-04,533561,,,,,,,,,,,,
2021-01-05,619575,,,,,,,,,,,,
2021-01-06,500132,,,,,,,,,,,,
2021-01-07,502776,,,,,,,,,,,,
2021-01-08,563316,,,,,,,,,,,,
2021-01-09,529326,,,,,,,,,,,,
2021-01-10,493963,,,,,,,,,,,,
2021-01-11,559797,,,,,,,,,,,,
2021-01-12,471823,,,,,,,,,,,,
2021-01-13,486530,,,,,,,,,,,,
2021-01-14,482060,,,,,,,,,,,,
2021-01-15,513553,,,,,,,,,,,,
2021-01-16,515903,,,,,,,,,,,,
2021-01-17,480171,,,,,,,,,,,,
2021-01-18,509597,,,,,,,,,,,,
2021-01-19,540333,,,,,,,,,,,,
2021-01-20,534396,,,,,,,,,,,,
2021-01-21,590053,,,,,,,,,,,,
2021-01-22,671803,,,,,,,,,,,,
2021-01-23,653046,,,,,,,,,,,,
2021-01-24,521379,,,,,,,,,,,,
2021-01-25,597028,,,,,,,,,,,,
2021-01-26,593083,,,,,,,,,,,,
2021-01-27,630726,,,,,,,,,,,,
2021-01-28,611904.5,,,,,,,,,,,,
2021-01-29,621315.25,,,,,,,,,,,,
2021-01-30,616609.88,,,,,,,,,,,,
2021-01-31,618962.56,,,,,,,,,,,,
2021-02-01,217293.23,,,,,,,,,,,,
2021-02-02,502505,,,,,,,,,,,,
2021-02-03,611057,,,,,,,,,,,,
2021-02-04,614669,,,,,,,,,,,,
2021-02-05,620812,,,,,,,,,,,,
2021-02-06,571540,,,,,,,,,,,,
2021-02-07,553360,,,,,,,,,,,,
2021-02-08,600470,,,,,,,,,,,,
2021-02-09,697575,,,,,,,,,,,,
2021-02-10,645638,,,,,,,,,,,,
2021-02-11,506357,,,,,,,,,,,,
2021-02-12,347106,,,,,,,,,,,,
2021-02-13,270317,,,,,,,,,,,,
2021-02-14,196240.6,,,,,,,,,,,,
2021-02-15,65413.53,,,,,,,,,,,,
2021-02-16,244360.9,,,,,,,,,,,,
2021-02-17,118796.99,,,,,,,,,,,,
2021-02-18,172180.45,,,,,,,,,,,,
2021-02-19,217293.23,,,,,,,,,,,,
2021-02-20,108418,,,,,,,,,,,,
2021-02-21,148418,,,,,,,,,,,,
2021-02-22,199661,,,,,,,,,,,,
2021-02-23,328151,,,,,,,,,,,,
2021-02-24,334016,,,,,,,,,,,,
2021-02-25,331083.5,,,,,,,,,,,,
2021-02-26,332549.75,,,,,,,,,,,,
2021-02-27,331816.63,,,,,,,,,,,,
2021-02-28,332183.19,,,,,,,,,,,,
2021-03-01,384540,,,,,,,,,,,,
2021-03-02,410198,,,,,,,,,,,,
2021-03-03,377731,,,,,,,,,,,,
2021-03-04,388240,,,,,,,,,,,,
2021-03-05,628370,,,,,,,,,,,,
2021-03-06,605758,,,,,,,,,,,,
