Date,FPO1001,FPO1002,FPO2001,FPO2004,FPO2007,FPO2008
2020-09-01,,,0,0,,0
2020-09-02,,,0,0,,4954.192489
2020-09-03,,,0,0,,0
2020-09-04,,,0,0,,0
2020-09-05,,,0,0,,4954.192489
2020-09-06,,,0,0,,5321.174009
2020-09-07,,,0,0,,5504.659493
2020-09-08,,,0,0,,3669.772996
2020-09-09,,,0,0,,9174.432489
2020-09-10,,,0,0,,17798.40852
2020-09-11,,,0,0,,16697.47452
2020-09-12,,,0,0,,0
2020-09-13,,,0,0,,0
2020-09-14,,,0,0,,0
2020-09-15,,,0,0,,0
2020-09-16,,,0,0,,0
2020-09-17,,,0,0,,0
2020-09-18,,,0,0,,0
2020-09-19,,,0,0,,0
2020-09-20,,,0,0,,0
2020-09-21,,,0,0,,13394.67249
2020-09-22,,,0,0,,12844.20548
2020-09-23,,,0,0,,11192.81502
2020-09-24,,,0,0,,0
2020-09-25,,,0,0,,189910.8
2020-09-26,,,0,21101.2,,0
2020-09-27,,,0,0,,0
2020-09-28,,,0,0,,0
2020-09-29,,,0,0,,26055.39249
2020-09-30,,,0,0,,0
2020-10-01,,,0,180771.4272,,19488.37198
2020-10-02,,,0,263765,,19152.36702
2020-10-03,,,0,311141.8996,,17808.33664
2020-10-04,,,0,297701.6485,,18816.35151
2020-10-05,,,0,306101.8041,,50736.9597
2020-10-06,,,0,266453.0502,,50736.9597
2020-10-07,,,0,314501.9597,,0
2020-10-08,,,0,295349.6032,,0
2020-10-09,,,0,290645.5127,,0
2020-10-10,,,0,284261.3869,,0
2020-10-11,,,0,270821.1358,,0
2020-10-12,,,0,304421.7688,,0
2020-10-13,,,0,286949.4371,,0
2020-10-14,,,0,290645.5127,,24192.4625
2020-10-15,,,0,292325.5375,,48048.90948
2020-10-16,,,0,308789.8543,,38304.72349
2020-10-17,,,0,282581.3515,,54433.03534
2020-10-18,,,0,310469.8897,,52753
2020-10-19,,,0,276869.2461,,58801.11035
2020-10-20,,,0,273509.186,,60481.14569
2020-10-21,,,0,311813.9095,,91057.72349
2020-10-22,,,0,298373.6584,,79969.51767
2020-10-23,,,0,313829.9498,,73249.38686
2020-10-24,,,0,294005.5728,,79969.51767
2020-10-25,,,0,291653.5276,,82657.56789
2020-10-26,,,0,263765,,83329.5778
2020-10-27,,,0,274517.2009,,91729.74396
2020-10-28,,,0,288629.4724,,82993.57285
2020-10-29,,,0,275637.2209,,86017.62802
2020-10-30,,,0,279594.6349,,86913.64828
2020-10-31,,,0,281287.1094,,85308.27953
2020-11-01,,,0,233524.4272,,26544.50775
2020-11-02,,,0,263765,,71905.36702
2020-11-03,,,0,237892.5127,,81985.55797
2020-11-04,,,0,299381.6733,,49728.94483
2020-11-05,,,0,297701.6485,,65857.24612
2020-11-06,,,0,302069.7235,,67873.28642
2020-11-07,,,0,302069.7235,,68545.29634
2020-11-08,,,0,304085.7638,,68545.29634
2020-11-09,,,0,302741.744,,67873.28642
2020-11-10,,,0,272837.1761,,76273.44203
2020-11-11,,,0,274853.2058,,67873.28642
2020-11-12,,,0,282581.3515,,67873.28642
2020-11-13,,,0,276197.2362,,63841.20582
2020-11-14,,,0,249988.744,,24192.4625
2020-11-15,,,0,244276.628,,65521.24116
2020-11-16,,,0,259732.9194,,56449.06509
2020-11-17,,,0,313493.9448,,54433.03534
2020-11-18,,,0,302069.7235,,54433.03534
2020-11-19,,,0,300053.6832,,66865.27155
2020-11-20,,,0,291989.5325,,72241.37198
2020-11-21,,,0,267461.0651,,52753
