Date,GAP1,GAP2,GAP3,GAP4,GAP5
2019-09-16,52841,2992,35412,13302,997
2019-09-17,102067,1903,35412,63853,634
2019-09-18,78988,2992,36885,37908,997
2019-09-19,102334,2992,34253,63826,997
2019-09-20,100614,1844,33520,64375,614
2019-09-21,,,,,
2019-09-22,,,,,
2019-09-23,63607,2992,33520,25933,997
2019-09-24,87620,1847,31812,53118,615
2019-09-25,100035,1833,33520,63811,611
2019-09-26,99840,1826,33520,63627,608
2019-09-27,49521,2992,32109,13294,997
2019-09-28,46674,2969,33621,8966,997
2019-09-29,,,,,
2019-09-30,36477,2969,32416,0,997
2019-10-01,40885,2969,30578,6234,997
2019-10-02,47021,3431,32416,9829,1223
2019-10-03,51310,3431,32343,14180,1223
2019-10-04,37166,3431,32416,0,1223
2019-10-05,37166,3431,32416,0,1223
2019-10-06,37166,3431,32416,0,1223
2019-10-07,37166,3431,32416,0,1223
2019-10-08,37166,3431,32416,0,1223
2019-10-09,88921,3431,32416,51621,1223
2019-10-10,81055,3431,32416,43775,1223
2019-10-11,83506,3431,32416,46220,1223
2019-10-12,84535,3431,49870,29792,1223
2019-10-13,62188,3431,43387,13986,1223
2019-10-14,55956,3431,43387,7770,1223
2019-10-15,55956,3431,43387,7770,1223
2019-10-16,52664,3431,39896,7977,1223
2019-10-17,71742,3431,39896,27006,1223
2019-10-18,44666,3431,39896,0,1223
2019-10-19,44666,3431,39896,0,1223
2019-10-20,,,,,
2019-10-21,91560,3431,39896,46772,1223
2019-10-22,99885,3431,39896,55076,1223
2019-10-23,,,,,
2019-10-24,80156,2901,38899,37560,587
2019-10-25,83089,3431,39896,38323,1223
2019-10-26,85318,3431,37901,42541,1223
2019-10-27,,,,,
2019-10-28,83818,3431,36405,42541,1223
2019-10-29,48017,3396,34411,8863,1223
2019-10-30,39143,2411,35408,0,1223
2019-10-31,40143,2411,36405,0,1223
2019-11-01,40288,3546,35408,0,1230
2019-11-02,40833,3591,35907,0,1230
2019-11-03,,,,,
2019-11-04,39555,3546,35907,0,0
2019-11-05,39555,3546,35907,0,0
2019-11-06,84707,3546,38400,42541,0
2019-11-07,,,,,
2019-11-08,70387,3546,37403,28360,896
2019-11-09,56816,3546,,9339,896
2019-11-10,57432,3591,42888,9574,1230
2019-11-11,56931,3546,42888,9453,896
2019-11-12,56931,3546,42888,9453,896
2019-11-13,50288,3546,45382,0,1230
2019-11-14,54788,3546,49870,0,1230
2019-11-15,54788,3546,49870,0,1230
2019-11-16,51288,3546,46379,0,1230
2019-11-17,51257,3546,46379,0,1199
2019-11-18,51257,3546,46379,0,1199
2019-11-19,62766,3546,48374,9453,1230
2019-11-20,69050,3591,49870,14180,1230
2019-11-21,,,,,
2019-11-22,53953,3546,49372,0,896
2019-11-23,50953,3546,46379,0,896
2019-11-24,,,,,
2019-11-25,,,,,
2019-11-26,49738,3331,45382,0,896
2019-11-27,52910,3511,48366,0,896
2019-11-28,52904,3546,48325,0,896
2019-11-29,13816,3546,0,9005,1230
2019-11-30,13679,3546,0,8912,1186
2019-12-01,10849,0,0,9453,1367
2019-12-02,59270,3497,45159,9093,1367
2019-12-03,,,,,
2019-12-04,52377,3497,47377,0,1367
2019-12-05,51377,3497,46379,0,1367
2019-12-06,,,,,
2019-12-07,65631,3497,46379,14217,1367
2019-12-08,51377,3497,46379,0,1367
2019-12-09,51377,3497,46379,0,1367
2019-12-10,66170,3497,47335,14217,950
2019-12-11,,,,,
2019-12-12,,,,,
2019-12-13,,,,,
2019-12-14,49121,3497,0,44547,950
2019-12-15,49121,3497,0,44547,950
2019-12-16,49121,3497,0,44547,950
2019-12-17,,,,,
2019-12-18,51972,3497,0,47391,950
2019-12-19,,,,,
2019-12-20,51972,3497,0,47391,950
2019-12-21,,,,,
2019-12-22,,,,,
2019-12-23,,,,,
2019-12-24,,,,,
2019-12-25,,,,,
2019-12-26,,,,,
2019-12-27,51972,3497,0,47391,950
2019-12-28,51972,3497,0,47391,950
2019-12-29,51972,3497,0,47391,950
2019-12-30,51972,3497,0,47391,950
2019-12-31,57992,3497,6004,47391,950
2020-01-01,34757,3502,30000,0,1165
2020-01-02,80482,3502,30000,45889,883
2020-01-03,,,,,
2020-01-04,45217,3502,0,40715,883
2020-01-05,47158,3502,0,42651,883
2020-01-06,47158,3502,0,42651,883
2020-01-07,47441,3502,0,42651,1165
2020-01-08,47441,3502,0,42651,1165
2020-01-09,47441,3502,0,42651,1165
2020-01-10,,,,,
2020-01-11,56944,3502,0,52129,1165
2020-01-12,56944,3502,0,52129,1165
2020-01-13,56944,3502,0,52129,1165
2020-01-14,61413,3502,0,56869,883
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-18,,,,,
2020-01-19,,,,,
2020-01-20,60508,3502,0,55684,1165
2020-01-21,60225,3502,0,55684,883
2020-01-22,61413,3502,0,56869,883
2020-01-23,81198,3502,19734,56869,883
2020-01-24,86491,3502,25013,56869,883
2020-01-25,,,,,
2020-01-26,,,,,
2020-01-27,86761,3502,25000,56869,1165
2020-01-28,61413,3502,0,56869,883
2020-01-29,54093,3502,0,49286,1165
2020-01-30,53810,3502,0,49286,883
2020-01-31,53810,3502,0,49286,883
2020-02-01,50272,1982,0,47391,769
2020-02-02,50553,1982,0,47391,1049
2020-02-03,50272,1982,0,47391,769
2020-02-04,54653,3508,0,50234,769
2020-02-05,54653,3508,0,50234,769
2020-02-06,50847,3508,0,46158,1049
2020-02-07,56553,3508,0,52129,769
2020-02-08,53667,3508,0,48971,1049
2020-02-09,53667,3508,0,48971,1049
2020-02-10,53667,3508,0,48971,1049
2020-02-11,76545,3508,20000,52129,709
2020-02-12,56553,3508,0,52129,769
2020-02-13,,,,,
2020-02-14,56537,3508,0,52114,769
2020-02-15,54221,3508,0,49523,1049
2020-02-16,54221,3508,0,49523,1049
2020-02-17,54221,3508,0,49523,1049
2020-02-18,54221,3508,0,49523,1049
2020-02-19,58786,3508,0,54076,1049
2020-02-20,61586,3508,0,56869,1049
2020-02-21,66807,3508,18399,43958,769
2020-02-22,62853,3508,0,58133,1049
2020-02-23,,,,,
2020-02-24,,,,,
2020-02-25,61286,3508,0,57134,485
2020-02-26,89106,3508,28013,56869,485
2020-02-27,92215,3508,31114,56869,485
2020-02-28,,,,,
2020-02-29,61586,3508,0,56869,1049
2020-03-01,59115,3552,0,54499,911
2020-03-02,,,,,
2020-03-03,60533,3552,19352,36730,743
2020-03-04,94862,3552,38024,52129,911
2020-03-05,92833,3552,38958,49172,911
2020-03-06,57652,3552,0,53040,911
2020-03-07,95250,3552,37500,53040,911
2020-03-08,100186,3552,42500,52963,911
2020-03-09,88736,3552,33763,50280,911
2020-03-10,96313,3552,35013,56869,629
2020-03-11,91653,3552,36914,50320,629
2020-03-12,91741,3552,35013,52028,911
2020-03-13,51706,3552,0,47391,629
2020-03-14,52190,3552,0,47874,629
2020-03-15,53290,3552,0,48971,629
2020-03-16,64844,3552,15000,45495,629
2020-03-17,57350,3552,5629,47391,629
2020-03-18,90206,3552,38400,47391,629
2020-03-19,78138,3552,27021,46733,629
2020-03-20,73784,3552,22021,47391,629
2020-03-21,,,,,
2020-03-22,,,,,
2020-03-23,,,,,
2020-03-24,73216,3552,24909,43940,625
2020-03-25,82254,2767,24619,54026,629
2020-03-26,94491,2026,39233,52378,609
2020-03-27,71995,3534,19973,47391,911
2020-03-28,58622,3534,0,54026,911
2020-03-29,70840,3534,12468,54026,629
2020-03-30,82370,3534,23701,54292,629
2020-03-31,88025,3534,31504,52129,629
2020-04-01,89423,3549,33513,52129,0
2020-04-02,90393,3549,33513,52129,967
2020-04-03,,,,,
2020-04-04,,,,,
2020-04-05,,,,,
2020-04-06,,,,,
2020-04-07,84584,3549,33425,47391,0
2020-04-08,85570,3549,32513,49286,0
2020-04-09,77823,3549,21943,52129,0
2020-04-10,,,,,
2020-04-11,51482,3549,0,47800,0
2020-04-12,51998,3549,0,48314,0
2020-04-13,52107,3549,0,48423,0
2020-04-14,62975,3549,10687,48576,0
2020-04-15,,,,,
