Date,GDB1,GDB2,GDB3,GDB4,GDB5,GDB6,GDB7,GDB8,GDB9,GDB10,GDB11,GDB22,GDB12,GDB13,GDB14,GDB15,GDB16,GDB17,GDB18,GDB19,GDB20,GDB21
2019-09-01,68515.00,,,,,,,,,,,,,,,3318.00,,,,,,
2019-09-02,76676.00,,,,,,,,,,,,,,,7118.00,,,,,,
2019-09-03,76705.00,,,,,,,,,,,,,,,7365.00,,,,,,
2019-09-04,76053.00,,,,,,,,,,,,,,,7577.00,,,,,,
2019-09-05,76384.00,,,,,,,,,,,,,,,7187.00,,,,,,
2019-09-06,74925.00,,,,,,,,,,,,,,,6815.00,,,,,,
2019-09-07,71695.00,,,,,,,,,,,,,,,1978.00,,,,,,
2019-09-08,68863.00,,,,,,,,,,,,,,,1447.00,,,,,,
2019-09-09,78024.00,,,,,,,,,,,,,,,6497.00,,,,,,
2019-09-10,76512.00,,,,,,,,,,,,,,,6245.00,,,,,,
2019-09-11,76512.00,,,,,,,,,,,,,,,6353.00,,,,,,
2019-09-12,78084.00,,,,,,,,,,,,,,,6607.00,,,,,,
2019-09-13,76525.00,,,,,,,,,,,,,,,6258.00,,,,,,
2019-09-14,71195.00,,,,,,,,,,,,,,,2547.00,,,,,,
2019-09-15,68063.00,,,,,,,,,,,,,,,0.00,,,,,,
2019-09-16,70395.00,,,,,,,,,,,,,,,0.00,,,,,,
2019-09-17,76883.00,,,,,,,,,,,,,,,6903.00,,,,,,
2019-09-18,74127.00,,,,,,,,,,,,,,,6497.00,,,,,,
2019-09-19,77250.00,,,,,,,,,,,,,,,7025.00,,,,,,
2019-09-20,75296.00,,,,,,,,,,,,,,,6016.00,,,,,,
2019-09-21,70226.00,,,,,,,,,,,,,,,1273.00,,,,,,
2019-09-22,67264.00,,,,,,,,,,,,,,,962.00,,,,,,
2019-09-23,76695.00,,,,,,,,,,,,,,,3394.00,,,,,,
2019-09-24,77583.00,,,,,,,,,,,,,,,4378.00,,,,,,
2019-09-25,78462.00,,,,,,,,,,,,,,,6802.00,,,,,,
2019-09-26,78236.00,,,,,,,,,,,,,,,7120.00,,,,,,
2019-09-27,76282.00,,,,,,,,,,,,,,,8300.00,,,,,,
2019-09-28,71452.00,,,,,,,,,,,,,,,3538.00,,,,,,
2019-09-29,68364.00,,,,,,,,,,,,,,,1491.00,,,,,,
2019-09-30,77825.00,,,,,,,,,,,,,,,7369.00,,,,,,
2019-10-01,80865.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-02,80762.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-03,76177.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-04,79211.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-05,74246.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-06,70547.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-07,79672.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-08,80907.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-09,80058.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-10,80807.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-11,78907.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-12,65839.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-13,70547.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-14,78998.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-15,80507.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-16,85533.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-17,80257.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-18,78357.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-19,73464.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-20,69747.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-21,79123.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-22,80864.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-23,80465.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-24,80864.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-25,79214.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-26,74721.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-27,71647.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-28,80073.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-29,79814.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-30,80115.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-10-31,80455.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-01,76961.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-02,63448.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-03,66352.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-04,76503.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-05,77359.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-06,77679.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-07,77421.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-08,76955.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-09,71555.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-10,66232.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-11,76953.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-12,77759.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-13,77979.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-14,78071.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-15,77405.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-16,72305.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-17,66982.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-18,64078.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-19,78129.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-20,78129.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-21,69659.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-22,69793.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-23,72655.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-24,66346.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-25,76497.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-26,70603.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-27,70723.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-28,68815.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-29,71317.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-11-30,71000.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-12-01,72056.00,,,,,,,,,,,,,,,,,,,,15908.00,
2019-12-02,79770.00,,,,,,,,,,,,,,,,,,,,15908.00,
