Date,GDB1,GDB2,GDB3,GDB4,GDB5,GDB6,GDB7,GDB8,GDB9,GDB10,GDB11,GDB22,GDB12,GDB13,GDB14,GDB15,GDB16,GDB17,GDB18,GDB19,GDB20,GDB21
2019-09-01,40612,0,118,118,4139,186,1708,0,351,,2534,,3929,,3306,901,2783,59577,352710,,15908,8074
2019-09-02,56947,0,281,474,5479,244,2491,0,402,,4642,,6928,,5650,966,6007,61568,352263,,15908,14457
2019-09-03,60410,0,270,407,5729,280,2493,0,268,,4654,,7522,,5947,1039,7421,42170,411546,,15908,14450
2019-09-04,60365,0,258,359,5626,265,2501,0,279,,4564,,7599,,5809,974,8445,47373,412144,,15908,14600
2019-09-05,60816,0,259,389,5771,243,2545,0,233,,4513,,7383,,7155,1025,9565,55212,423489,,15908,14527
2019-09-06,59018,0,201,360,5175,237,2447,0,231,,4564,,6449,,5282,1101,5983,65355,413731,,15908,14622
2019-09-07,50229,0,8,13,4447,185,1980,0,212,,4205,,5154,,3668,949,8461,57623,383021,,15908,11915
2019-09-08,42638,0,117,128,4191,120,1644,0,276,,3141,,3770,,4503,983,6372,60929,375299,,15908,8401
2019-09-09,57998,0,283,457,5196,221,2571,0,343,,4526,,7217,,6213,976,6225,45808,361121,,15908,14267
2019-09-10,59274,0,248,339,5402,197,2421,0,298,,4427,,7086,,6216,993,6212,44790,399364,,15908,14679
2019-09-11,58028,0,256,353,5109,210,2106,0,229,,4473,,7508,,5796,976,6977,49132,390384,,15908,14815
2019-09-12,60142,0,269,365,5164,205,2673,0,297,,4648,,6841,,5648,949,5260,59852,412714,,15908,15207
2019-09-13,58014,0,196,312,4957,190,2622,0,462,,4554,,5935,,5247,933,8710,58926,371577,,15908,14864
2019-09-14,47150,0,3,7,4121,230,2084,120,444,,4153,,4139,,3474,937,5512,55395,369956,,15908,10647
2019-09-15,33268,0,121,159,2791,131,1390,0,489,,894,,1429,,3047,693,5609,58625,335969,,15908,6883
2019-09-16,35306,0,119,157,3616,89,1896,0,426,,2305,,1196,,4011,662,5026,45475,339478,,15908,6933
2019-09-17,56574,0,264,412,5195,229,2461,0,272,,4685,,5929,,5798,985,5883,52686,384613,,15908,14127
2019-09-18,57968,0,250,361,5308,254,2506,6,448,,4535,,6623,,6355,1023,4038,62216,348155,,15908,14730
2019-09-19,59561,0,247,392,5009,249,2448,0,755,,4482,,7466,,6216,1004,8340,48699,371651,,15908,14823
2019-09-20,60020,0,184,325,5000,238,2436,120,640,,4470,,7045,,6217,893,12877,59986,394272,,15908,14345
2019-09-21,52433,0,0,3,4247,233,1972,0,537,,4027,,5894,,4362,806,10207,62429,404979,,15908,12056
2019-09-22,43564,0,97,172,4019,155,1669,74,700,,2500,,3603,,4400,865,6721,50379,397610,,15908,43731
2019-09-23,58841,0,286,477,5164,230,2520,137,844,,4845,,6949,,6230,1001,6406,42436,350924,,15908,14765
2019-09-24,60791,0,255,412,5100,219,2471,43,898,,4663,,7529,,6390,1116,8575,49986,391514,,15908,14570
2019-09-25,61862,0,246,393,4867,210,2514,0,908,,4383,,7692,,6279,1106,6535,62864,409392,,15908,14717
2019-09-26,60665,0,226,332,4765,198,2507,80,905,,4343,,7622,,6246,1079,7454,66052,389618,,15908,14312
2019-09-27,59987,0,176,339,4690,188,2441,0,971,,4362,,7125,,6013,1083,8602,63231,380390,,15908,14266
2019-09-28,48267,0,5,6,4086,133,1955,0,1007,,3569,,5499,,3957,887,6539,46426,368299,,15908,11005
2019-09-29,42118,0,120,173,4060,123,1706,0,1418,,2060,,3490,,4126,919,4822,63873,366381,,15908,8362
2019-09-30,58098,0,261,415,5386,225,2457,0,934,,4220,,7225,,5690,1002,7403,48545,353172,,15908,15057
2019-10-01,58336,8,241,399,5443,209,2117,0,903,,2826,,7173,,5754,1024,289,341,2441,,13520,14934
2019-10-02,58321,139,245,427,5402,222,2420,41,886,,1961,,8034,,5740,905,267,332,2537,,13783,15215
2019-10-03,60133,169,261,428,5369,237,2316,3,858,,2132,,8435,,5953,966,309,519,2106,,14504,14933
2019-10-04,58292,134,204,369,4960,171,2328,0,978,,1903,,7779,,5744,1002,283,417,2622,,14570,14590
2019-10-05,49067,128,1,0,4301,136,1810,0,918,,1629,,6462,,4180,833,77,430,2335,,13796,11799
2019-10-06,41520,100,99,113,4486,123,1568,19,936,,1173,,4111,,3960,583,69,331,2251,,13610,8339
2019-10-07,57938,69,300,452,5420,213,2580,114,973,,2032,,8204,,5525,1054,278,424,1780,,14219,14636
