Date,GDC1,GDC2,GDC3,GDC4,GDC5
2019-09-01,,,,,0
2019-09-02,181,48,138,86,0
2019-09-03,185,40,137,85,0
2019-09-04,180,47,135,90,0
2019-09-05,177,45,131,86,0
2019-09-06,169,50,130,82,0
2019-09-07,171,39,135,72,0
2019-09-08,176,41,131,77,0
2019-09-09,172,43,154,62,0
2019-09-10,152,41,129,53,0
2019-09-11,159,40,120,69,0
2019-09-12,162,31,120,69,0
2019-09-13,149,33,112,64,0
2019-09-14,148,42,115,69,0
2019-09-15,148,37,117,65,0
2019-09-16,140,37,109,63,0
2019-09-17,128,38,99,66,0
2019-09-18,137,36,100,65,0
2019-09-19,135,52,112,73,0
2019-09-20,162,48,115,80,0
2019-09-21,154,42,111,79,0
2019-09-22,140,52,110,78,0
2019-09-23,,,,,0
2019-09-24,,,,,0
2019-09-25,,,,,0
2019-09-26,,,,,0
2019-09-27,,,,,0
2019-09-28,,,,,0
2019-09-29,,,,,0
2019-09-30,150,48,128,69,0
2019-10-01,162,59,123,85,0
2019-10-02,160,54,129,87,0
2019-10-03,172,53,125,92,0
2019-10-04,179,51,141,86,0
2019-10-05,169,45,134,79,0
2019-10-06,151,44,104,97,0
2019-10-07,184,47,160,76,0
2019-10-08,203,52,157,80,0
2019-10-09,185,41,140,80,0
2019-10-10,134,46,110,67,0
2019-10-11,122,55,101,73,0
2019-10-12,130,51,104,74,0
2019-10-13,131,48,109,65,0
2019-10-14,154,53,129,78,0
2019-10-15,167,50,125,87,0
2019-10-16,162,55,128,89,0
2019-10-17,185,42,127,89,0
2019-10-18,170,45,146,68,0
2019-10-19,161,43,131,76,0
2019-10-20,164,43,121,85,0
2019-10-21,128,57,108,79,0
2019-10-22,120,48,102,67,0
2019-10-23,145,37,109,72,0
2019-10-24,162,53,128,88,0
2019-10-25,143,57,130,74,0
2019-10-26,161,42,105,92,0
2019-10-27,101,43,47,99,0
2019-10-28,133,39,61,113,0
2019-10-29,96,62,66,102,0
2019-10-30,133,63,98,90,0
2019-10-31,154,41,82,111,0
2019-11-01,101,48,58,112,0
2019-11-02,104,49,52,97,0
2019-11-03,94,53,59,91,0
2019-11-04,94,47,53,98,0
2019-11-05,85,48,56,95,0
2019-11-06,90,48,52,96,0
2019-11-07,110,40,51,102,0
2019-11-08,107,49,52,104,0
2019-11-09,107,41,47,101,0
2019-11-10,93,44,46,94,0
2019-11-11,102,51,58,112,0
2019-11-12,109,58,62,115,0
2019-11-13,96,50,80,121,0
2019-11-14,97,49,57,106,0
2019-11-15,115,45,52,105,0
2019-11-16,81,44,59,99,0
2019-11-17,92,43,53,97,0
2019-11-18,91,44,53,100,0
2019-11-19,105,53,55,106,0
2019-11-20,93,56,73,114,0
2019-11-21,123,62,68,110,0
2019-11-22,106,54,68,111,0
2019-11-23,104,47,54,109,0
2019-11-24,89,44,62,108,0
2019-11-25,0,0,0,0,0
2019-11-26,0,0,0,0,0
2019-11-27,0,0,0,0,0
2019-11-28,0,0,0,0,0
2019-11-29,0,0,0,0,0
2019-11-30,0,0,0,0,0
2019-12-01,0,0,0,0,0
2019-12-02,62,40,68,89,0
2019-12-03,53,39,68,85,0
2019-12-04,74,52,56,71,0
2019-12-05,95,61,63,91,0
2019-12-06,112,63,77,94,0
2019-12-07,93,63,73,78,0
2019-12-08,93,52,69,73,0
2019-12-09,118,56,95,87,0
2019-12-10,110,60,96,85,0
2019-12-11,135,56,110,76,0
2019-12-12,121,52,87,85,0
2019-12-13,106,59,87,77,0
2019-12-14,118,55,96,76,0
2019-12-15,99,63,76,77,0
2019-12-16,124,50,91,75,0
2019-12-17,104,57,90,76,0
2019-12-18,120,55,92,79,0
2019-12-19,117,53,94,82,0
2019-12-20,105,59,86,72,0
2019-12-21,105,49,80,69,0
2019-12-22,93,51,75,66,0
2019-12-23,,,,,0
2019-12-24,,,,,0
2019-12-25,,,,,0
2019-12-26,,,,,0
2019-12-27,,,,,0
2019-12-28,,,,,0
2019-12-29,,,,,0
2019-12-30,101,50,69,83,0
2019-12-31,97,50,85,63,0
2020-01-01,77,49,73,53,0
2020-01-02,116,65,94,67,0
2020-01-03,121,51,91,66,0
2020-01-04,107,55,86,62,0
2020-01-05,103,49,85,61,0
2020-01-06,90,63,80,68,0
2020-01-07,118,56,96,67,0
2020-01-08,107,65,87,71,0
2020-01-09,100,56,89,61,0
2020-01-10,114,52,96,65,0
2020-01-11,98,61,86,62,0
2020-01-12,106,49,82,58,0
2020-01-13,124,45,92,65,0
2020-01-14,111,46,92,64,0
2020-01-15,120,56,99,72,0
2020-01-16,150,45,112,66,0
2020-01-17,119,52,96,70,0
2020-01-18,123,44,93,71,0
2020-01-19,112,51,90,71,0
2020-01-20,109,64,97,74,0
2020-01-21,96,66,90,69,0
2020-01-22,93,54,85,62,0
2020-01-23,104,47,83,61,0
2020-01-24,93,40,76,55,0
2020-01-25,86,33,71,53,0
2020-01-26,100,26,75,56,0
2020-01-27,98,49,85,63,0
2020-01-28,97,52,85,66,0
2020-01-29,103,63,94,67,0
2020-01-30,114,57,94,73,0
2020-01-31,107,55,103,58,0
2020-02-01,112,56,90,70,0
2020-02-02,100,55,84,67,0
2020-02-03,106,64,96,78,0
2020-02-04,154,54,112,83,0
2020-02-05,110,61,69,83,0
2020-02-06,141,65,103,101,0
2020-02-07,128,56,110,75,0
2020-02-08,109,49,85,61,0
2020-02-09,99,46,82,59,0
2020-02-10,107,57,98,71,0
2020-02-11,142,64,118,81,0
2020-02-12,105,65,89,74,0
2020-02-13,112,44,92,60,0
2020-02-14,107,44,89,62,0
2020-02-15,91,54,78,60,0
2020-02-16,83,52,77,59,0
2020-02-17,99,51,83,64,0
2020-02-18,91,49,80,59,0
2020-02-19,77,23,67,30,0
2020-02-20,78,20,59,27,0
2020-02-21,87,25,73,33,0
2020-02-22,79,23,67,34,0
2020-02-23,65,19,57,29,0
2020-02-24,117,18,97,35,0
2020-02-25,127,58,110,77,0
2020-02-26,124,62,113,77,0
2020-02-27,116,56,83,57,0
2020-02-28,134,62,109,82,0
2020-02-29,117,59,97,76,0
2020-03-01,99,57,91,67,0
2020-03-02,105,67,95,73,0
2020-03-03,119,64,116,65,0
2020-03-04,111,69,100,78,0
2020-03-05,115,70,99,76,0
2020-03-06,124,62,100,79,0
