Date,GDM1,GDM2,GDM3,GDM4,GDM5
2017-01-01,0,0,7079.19,0,7079.19
2017-01-02,0,0,7079.19,0,7079.19
2017-01-03,0,0,7079.19,0,7079.19
2017-01-04,0,0,7079.19,0,7079.19
2017-01-05,0,0,7079.19,0,7079.19
2017-01-06,0,0,7385,0,7385
2017-01-07,0,0,7385,0,7385
2017-01-08,0,0,7385,0,7385
2017-01-09,0,0,7385,0,7385
2017-01-10,0,0,7385,0,7385
2017-01-11,0,0,7385,0,7385
2017-01-12,0,31117,7385,0,7385
2017-01-13,43336.52,91516,8885,0,7385
2017-01-14,67521.51,96624,8885,0,7385
2017-01-15,89693.55,96624,8885,0,7385
2017-01-16,59452.31,96624,8885,0,7385
2017-01-17,71747.2,96624,8385,0,7385
2017-01-18,91591.61,96624,8385,0,7385
2017-01-19,90568.1,96624,8385,0,7385
2017-01-20,51628.81,96624,8384.96,0,7385
2017-01-21,56143.59,89834,8400,0,7385
2017-01-22,61793.08,79822,8400,0,7385
2017-01-23,61885.86,96624,8400,0,7385
2017-01-24,62049.22,96624,8400,0,7385
2017-01-25,62328.99,28092,8985,0,7385
2017-01-26,0,0,8985,0,7385
2017-01-27,0,0,8985,0,7385
2017-01-28,0,0,8985,0,7385
2017-01-29,0,0,8985,0,7385
2017-01-30,0,0,8985,0,7385
2017-01-31,0,0,8985,0,7385
2017-02-01,0,0,7385,0,7385
2017-02-02,0,0,7385,0,7385
2017-02-03,0,48501,7385,0,7385
2017-02-04,15295.92,96120,7385,0,7385
2017-02-05,31488.73,57936,7385,0,7385
2017-02-06,47024.57,94933,7385,0,7385
2017-02-07,62170.65,92144,7385,0,7385
2017-02-08,89336.6,94040,7385,0,7385
2017-02-09,26791.8,96120,8385,0,7385
2017-02-10,27405.76,92768,8385,0,7385
2017-02-11,63639.92,67632,8385,0,7385
2017-02-12,79066.43,67632,8385,0,7385
2017-02-13,64427.73,94040,8385,0,7385
2017-02-14,21603.07,46830,8385,0,7385
2017-02-15,0,0,8385,0,7385
2017-02-16,0,0,7500,0,7385
2017-02-17,7995.26,53480,7500,0,7385
2017-02-18,9530.67,0,7385,0,7385
2017-02-19,41003.26,0,7385,0,7385
2017-02-20,39421.41,67632,7385,0,7385
2017-02-21,34091.83,40660,7385,0,7385
2017-02-22,80660.76,82128,7200,0,7200
2017-02-23,79919.75,51130,7200,0,7200
2017-02-24,16071.29,0,7200,0,7200
