Date,GDM1,GDM2,GDM3,GDM4,GDM5,GDM6
2017-01-01,0,0,9363.732,0,7869.97,0
2017-01-02,0,0,15446.989,0,7869.66,0
2017-01-03,0,0,14602.771,0,7834.66,0
2017-01-04,0,0,4752.252,0,7841.21,0
2017-01-05,0,0,1761.558,0,7780.6,0
2017-01-06,0,0,1919.991,0,7671.98,0
2017-01-07,0,0,7212.044,0,7639.65,0
2017-01-08,0,0,7207.593,0,7685.51,0
2017-01-09,0,0,7204.043,0,7723.56,0
2017-01-10,0,0,7216.955,0,7751.51,0
2017-01-11,0,116.858,7210.302,0,7828.1,0
2017-01-12,0,26923.44,7215.439,0,7891.67,0
2017-01-13,43336.52,60481.22,7801.461,0,7946.79,0
2017-01-14,67521.51,44008.95,8885,0,7888.32,0
2017-01-15,89693.55,41567.93,8885,0,7915.05,0
2017-01-16,59452.31,41222.05,8885,0,8052.05,0
2017-01-17,71747.2,83783.33,8385,0,7912.53,0
2017-01-18,91591.61,92497.71,8385,0,7972.31,0
2017-01-19,90568.1,95924.64,8385,0,8029.49,0
2017-01-20,51628.81,62674.39,8385,0,8088.29,0
2017-01-21,56143.59,77216.22,8400,0,8052.51,0
2017-01-22,61793.08,56797.85,8400,0,8076.16,0
2017-01-23,61885.86,70939.47,8400,0,8089.61,0
2017-01-24,62049.22,66721.81,8400,0,8022.49,0
2017-01-25,62328.99,23050.09,8985,0,7990.15,0
2017-01-26,0,0,9367.199,0,7910.43,0
2017-01-27,0,0,9266.891,0,7937.64,0
2017-01-28,0,0,9324.431,0,7880.39,0
2017-01-29,0,0,9353.454,0,7769.84,0
2017-01-30,0,0,9386.877,0,7867.85,0
2017-01-31,0,0,9318.774,0,7893.99,0
2017-02-01,0,0,2650.437,0,7878.64,0
2017-02-02,0,0,6028.682,0,7788.19,0
2017-02-03,0,0,7331.518,0,7767.07,0
2017-02-04,15295.92,6527.14,7385,0,7748.56,0
2017-02-05,31488.73,58966.19,7385,0,7786.09,0
2017-02-06,47024.57,67590.87,7385,0,7764.36,0
2017-02-07,62170.65,58407.66,7385,0,7664.42,0
2017-02-08,89336.6,51536.69,7385,0,7656.57,0
2017-02-09,26791.8,35908.25,8385,0,7551.08,0
2017-02-10,27405.76,65667.98,8385,0,7554.94,0
2017-02-11,63639.92,44505.07,8385,0,7406.38,0
2017-02-12,79066.43,41125.69,8385,0,7313.13,0
2017-02-13,64427.73,69619.51,8385,0,7317.29,0
2017-02-14,21603.07,18953.86,8385,0,7262.31,0
2017-02-15,0,7.878,8275.905,0,7223.56,0
2017-02-16,0,0,7336.94,0,7214.8,0
2017-02-17,7995.26,108.537,7500,0,7243.34,0
2017-02-18,9530.67,14141.86,7385,0,7252.24,0
2017-02-19,41003.26,33042.36,7385,0,7217.39,0
2017-02-20,39421.41,43349.84,7385,0,7176.76,0
2017-02-21,34091.83,56653.78,7385,0,7215.07,0
2017-02-22,80660.76,77887.81,7200,0,7276.88,0
2017-02-23,79919.75,82222.68,7200,0,7304.08,0
2017-02-24,16071.29,12997.36,7200,0,7317.58,0
2017-02-25,0,0,7318.606,0,7320.48,0
2017-02-26,0,0,7485.521,0,7314.13,0
2017-02-27,0,0,7250.382,0,7322.05,0
2017-02-28,0,0,7243.968,0,7354.74,0
2017-03-01,0,12.651,7191.235,0,7322.07,0
2017-03-02,0,0,13.934,0,7399.13,0
2017-03-03,0,0,6934.911,0,7330.42,0
