Date,GOE1,GOE2,GOE3,GOE4
2019-09-15,194665,194593,0,0
2019-09-16,188314,188244,0,0
2019-09-17,189817,189747,0,0
2019-09-18,274618,274516,0,0
2019-09-19,176926,176861,0,0
2019-09-20,164017,163956,0,0
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,86567,86535,0,0
2019-09-24,90538,90505,0,0
2019-09-25,142385,142332,0,0
2019-09-26,265589,265491,0,0
2019-09-27,240085,239996,0,0
2019-09-28,240685,240596,0,0
2019-09-29,,,,
2019-09-30,276833,276731,0,0
2019-10-01,283180,283075,0,
2019-10-02,277686,277583,0,0
2019-10-03,197039,196966,0,
2019-10-04,186441,186372,0,
2019-10-05,201025,200951,0,
2019-10-06,269933,269833,0,
2019-10-07,278248,278145,0,
2019-10-08,311862,311747,0,0
2019-10-09,278439,278336,0,
2019-10-10,264143,264045,0,
2019-10-11,306087,305974,0,0
2019-10-12,302778,302666,0,0
2019-10-13,,,,
2019-10-14,282585,282480,0,0
2019-10-15,260979,260882,0,0
2019-10-16,288401,288294,0,0
2019-10-17,270103,270003,0,0
2019-10-18,70195,70169,0,0
2019-10-19,101177,101140,0,0
2019-10-20,,,,
2019-10-21,128619,128571,0,0
2019-10-22,123360,123314,0,0
2019-10-23,177373,177307,0,0
2019-10-24,163185,163125,0,0
2019-10-25,153609,153552,0,0
2019-10-26,114919,114876,0,0
2019-10-27,131091,131043,0,0
2019-10-28,176503,176438,0,0
2019-10-29,192873,192802,0,0
2019-10-30,216717,216637,0,0
2019-10-31,226923,226839,0,0
2019-11-01,168031,167969,0,0
2019-11-02,,,,
2019-11-03,174708,174643,0,0
2019-11-04,174708,174643,0,0
2019-11-05,178124,178058,0,0
2019-11-06,259191,259095,0,0
2019-11-07,246741,246650,0,0
2019-11-08,247699,247607,0,0
2019-11-09,232328,232242,0,0
2019-11-10,232328,232242,0,0
2019-11-11,232328,232242,0,0
2019-11-12,240037,239948,0,0
2019-11-13,172559,224318,0,0
2019-11-14,227492,227408,0,0
2019-11-15,224246,224163,0,0
2019-11-16,158103,158045,0,0
2019-11-17,158103,158045,0,0
2019-11-18,158103,158045,0,0
2019-11-19,166808,166746,0,0
2019-11-20,193926,193854,0,0
2019-11-21,,,,
2019-11-22,,,,
2019-11-23,145564,145510,0,0
2019-11-24,,,,
2019-11-25,,,,
2019-11-26,233907,233820,0,0
2019-11-27,227161,227077,0,0
2019-11-28,227161,227077,0,0
2019-11-29,227161,227077,0,0
2019-11-30,227161,227077,0,0
2019-12-01,235057,234970,0,0
2019-12-02,235057,234970,0,0
2019-12-03,160360,160301,0,0
2019-12-04,,,,
2019-12-05,196846,196773,0,0
2019-12-06,,,,
2019-12-07,206519,206443,0,0
2019-12-08,190578,190508,0,0
2019-12-09,190578,190508,0,0
2019-12-10,190578,190508,0,0
2019-12-11,206519,206443,0,0
2019-12-12,,,,
2019-12-13,,,,
2019-12-14,,,,
2019-12-15,166809,166747,0,0
2019-12-16,,,,
2019-12-17,,,,
2019-12-18,163262,163202,0,0
2019-12-19,161347,161287,0,0
2019-12-20,165216,165155,0,0
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,,,
2019-12-24,,,,
2019-12-25,,,,
2019-12-26,,,,
2019-12-27,,,,
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,,,
2019-12-31,,,,
2020-01-01,167514,167452,0,0
2020-01-02,167514,144773,22679,0
2020-01-03,,,,
2020-01-04,149927,149872,0,0
2020-01-05,149927,149872,0,0
2020-01-06,149927,130958,18914,0
2020-01-07,162686,148813,13813,0
2020-01-08,172689,153647,18978,0
2020-01-09,119540,100517,18979,0
2020-01-10,,,,
2020-01-11,117997,97933,20021,0
2020-01-12,117997,97933,20021,0
2020-01-13,117997,117953,0,0
2020-01-14,201399,201325,0,0
2020-01-15,,,,
2020-01-16,,,,
2020-01-17,,,,
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,110130,110089,0,0
2020-01-21,110130,110089,0,0
2020-01-22,182290,182223,0,0
2020-01-23,211307,211229,0,0
2020-01-24,211307,211229,0,0
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,201960,201885,0,0
2020-01-28,193974,193902,0,0
2020-01-29,192847,158433,34342,0
2020-01-30,202079,183224,18780,0
2020-01-31,,,,
2020-02-01,189942,176280,13592,0
2020-02-02,189942,176280,13592,0
2020-02-03,189942,175430,14442,0
2020-02-04,197369,173904,23392,0
2020-02-05,196402,172937,23392,0
2020-02-06,151556,110090,41410,0
2020-02-07,197109,162742,34294,0
2020-02-08,199073,173023,25976,0
2020-02-09,199073,164427,34572,0
2020-02-10,199073,164235,34777,0
2020-02-11,177778,143595,34117,0
2020-02-12,143648,143595,0,0
2020-02-13,167590,167528,0,0
2020-02-14,164270,157594,6616,0
2020-02-15,170300,160368,9869,0
2020-02-16,170300,169521,716,0
2020-02-17,170300,160368,9869,0
2020-02-18,170300,160368,9869,0
2020-02-19,186398,168103,18226,0
2020-02-20,185383,168102,17213,0
2020-02-21,196078,167097,28908,0
2020-02-22,162553,143347,19146,0
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,178850,160397,18387,0
2020-02-26,218156,189546,28529,0
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,157525,157467,0,0
2020-03-01,162313,162253,0,0
2020-03-02,,,,
2020-03-03,163281,163221,0,0
2020-03-04,161346,161286,0,0
2020-03-05,163128,155485,7582,0
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,153225,153168,0,0
2020-03-16,172378,172314,0,0
2020-03-17,251000,250907,0,0
2020-03-18,223584,223501,0,0
2020-03-19,322216,322097,0,0
2020-03-20,238197,238109,0,0
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,137327,137276,0,0
2020-03-25,166057,165996,0,0
2020-03-26,164961,164900,0,0
2020-03-27,141582,141530,0,0
2020-03-28,201912,201837,0,0
2020-03-29,187414,187345,0,0
2020-03-30,198714,198641,0,0
2020-03-31,154929,154872,0,0
2020-04-01,161586,161526,0,0
2020-04-02,152172,152116,0,0
2020-04-03,,,,
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,,,
2020-04-07,166566,166504,0,0
2020-04-08,220684,220602,0,0
2020-04-09,192423,192352,0,0
2020-04-10,,,,
2020-04-11,161778,161718,0,0
2020-04-12,163693,163632,0,0
2020-04-13,144540,144487,0,0
2020-04-14,192423,192352,0,0
2020-04-15,,,,
2020-04-16,204293,204217,0,0
2020-04-17,176463,176398,0,0
2020-04-18,188476,188406,0,0
2020-04-19,271563,271463,0,0
2020-04-20,125387,125341,0,0
2020-04-21,178122,178057,0,0
2020-04-22,201110,201036,0,0
2020-04-23,179735,179669,0,0
2020-04-24,184112,184044,0,0
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,,,
2020-04-28,232465,232380,0,0
2020-04-29,172011,171948,0,0
2020-04-30,279607,279504,0,0
2020-05-01,308519,308405,0,0
2020-05-02,119964,119920,0,0
2020-05-03,126287,126241,0,0
2020-05-04,126657,126611,0,0
2020-05-05,241248,241159,0,0
2020-05-06,198926,198853,0,0
2020-05-07,273455,273354,0,0
2020-05-08,296758,296649,0,0
2020-05-09,211006,210928,0,0
2020-05-10,216273,216193,0,0
2020-05-11,250935,250843,0,0
2020-05-12,216273,216193,0,0
2020-05-13,244530,244440,0,0
2020-05-14,274085,273984,0,0
