Date,GRO1,GRO2,GRO3,GRO4,GRO5,GRO6,GRO7,GRO8,GRO9,GRO10,GRO11,GRO12,GRO13,GRO14,GRO15,GRO16,GRO17,GRO18,GRO19,GRO20,GRO21,GRO22,GRO23
2019-11-07,353015,6536,7011,37732,1000,6536,122908,1728,84969,36723,105078,35304,812,700,1096,0,6536,0,0,0,0,0,0
2019-11-08,374805,14689,7011,38922,1000,14689,114600,1728,92945,37913,108382,45923,812,700,1096,0,14689,0,0,0,0,0,0
2019-11-09,335281,20916,7011,33922,1000,13656,93277,1728,84484,32913,99131,46576,812,700,1096,0,20916,0,0,0,0,0,0
2019-11-10,337264,13360,7011,33922,1000,13656,88529,1728,91209,32913,99131,46576,812,700,1096,0,13360,0,0,0,0,0,0
2019-11-11,344211,13656,7011,33922,1000,13656,130495,1728,56168,32913,99131,46576,812,700,1096,0,13656,0,0,0,0,0,0
2019-11-12,356766,5082,7011,36934,1000,5082,131428,1728,83156,35925,92292,46576,812,700,1096,0,5082,0,0,0,0,0,0
2019-11-13,340563,7918,7011,33922,1000,7918,96127,1728,92636,32913,99131,46576,812,700,1096,0,7918,0,0,0,0,0,0
2019-11-14,312978.5,6116.38,26098.63,37850.5,1000,5286,136101.25,1296,72082.88,33898,88284.75,36083,823.25,424,631.5,0,6116.38,0,0,0,0,0,0
2019-11-15,317893.08,8350.17,30586.42,42350.25,1000,8350.17,138735.92,1526.5,76974.75,35454.25,96336.75,29237.75,823.25,471.67,650.17,0,8350.17,0,0,0,0,0,0
2019-11-16,313734.5,16675.5,27031.5,34668.25,1000,12004.5,131158,1641.75,77083.75,33659.25,85628.75,30477.75,823.25,495.5,711,0,16675.5,0,0,0,0,0,0
2019-11-17,311474.75,11963.83,22559.58,37184.08,1000,10997.67,124435.67,1555.5,82878.08,34212.75,86001.92,27089.83,785.75,442.5,865.67,0,11963.83,0,0,0,0,0,0
2019-11-18,316957.25,13045.75,23180,35226.75,1000,11467.25,140222,1555.5,68765.25,34217.75,86252.75,28990.75,785.75,442.5,882,0,13045.75,0,0,0,0,0,0
2019-11-19,331152.75,8536.75,18663.75,35171.25,1000,8536.75,143368,1555.5,73806.25,34162.25,83336,35683,785.75,442.5,1423.25,0,8536.75,0,0,0,0,0,0
2019-11-20,359933,18444,7011,37974,1000,12479,139450,1728,71419,36965,92192,46576,877,498,888,0,18444,0,0,0,0,0,0
2019-11-21,334165,9774.5,18809.5,48726,1000,6792,137336,1728,75327.5,35943,93165,46576,877,498,820,0,9774.5,0,0,0,0,0,0
2019-11-22,308397,1105,30608,59478,1000,1105,135222,1728,79236,34921,94138,46576,877,498,752,0,1105,0,0,0,0,0,0
2019-11-23,315732,18444,32161,35990,1000,12276,125208,1728,68844,34981,97148,39648,877,498,828,0,18444,0,0,0,0,0,0
2019-11-24,316013,12664.33,31643.33,43819.33,1000,8503.67,130242.67,1728,73461.33,34961,96144.67,41957.33,877,498,822.67,0,12664.33,0,0,0,0,0,0
2019-11-25,323910,18444,32161,35990,1000,12130,130298,1728,72304,34981,97148,39648,877,498,888,0,18444,0,0,0,0,0,0
2019-11-26,325656,0,7011,35990,1000,0,133555,1728,66617,34981,97998,29739,877,498,828,0,0,0,0,0,0,0,0
2019-11-27,304289,8155,7011,26922,1000,8155,105978,1728,77253,25913,104299,10904,877,498,828,0,8155,0,0,0,0,0,0
2019-11-28,302655,8155,37011,26922,1000,7816,129604,1728,82246,25913,90209,25774,877,498,148,0,8155,0,0,0,0,0,0
2019-11-29,303007,8898,37011,35740,1000,8898,136517,1728,74531,34731,115983,0,877,498,148,0,8898,0,0,0,0,0,0
2019-11-30,296266,8898,24381,35740,1000,3642,118307,1728,79098,34731,80296,35687,877,498,148,0,8898,0,0,0,0,0,0
2019-12-01,283871,3387,7011,37974,1000,3387,98895,1383,82080,36965,82792,19826,727,286,772,0,3387,0,0,0,0,0,0
