Date,HER1
2019-08-01,5.007
2019-08-02,3.796
2019-08-03,3.195
2019-08-04,4.247
2019-08-05,4.43
2019-08-06,4.869
2019-08-07,4.692
2019-08-08,3.931
2019-08-09,5.213
2019-08-10,4.953
2019-08-11,3.077
2019-08-12,5.078
2019-08-13,4.861
2019-08-14,4.574
2019-08-15,4.624
2019-08-16,4.054
2019-08-17,3.723
2019-08-18,3.637
2019-08-19,4.636
2019-08-20,4.486
2019-08-21,4.632
2019-08-22,5.131
2019-08-23,4.979
2019-08-24,4.167
2019-08-25,2.477
2019-08-26,3.744
2019-08-27,4.969
2019-08-28,4.464
2019-08-29,5.196
2019-08-30,5.736
2019-08-31,3.623
2019-09-01,3.085
2019-09-02,4.581
2019-09-03,4.895
2019-09-04,4.695
2019-09-05,5.15
2019-09-06,4.773
2019-09-07,5.264
2019-09-08,4.134
2019-09-09,5.127
2019-09-10,5.077
2019-09-11,5.287
2019-09-12,5.229
2019-09-13,4.597
2019-09-14,4.307
2019-09-15,3.352
2019-09-16,3.3
2019-09-17,5.736
2019-09-18,5.128
2019-09-19,5.835
2019-09-20,4.801
2019-09-21,4.392
2019-09-22,2.827
2019-09-23,3.821
2019-09-24,5.061
2019-09-25,4.756
2019-09-26,5.09
2019-09-27,5.226
2019-09-28,4.352
2019-09-29,3.46
2019-09-30,4.424
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,4.762
2019-11-02,4.05
2019-11-03,4.005
2019-11-04,5.601
2019-11-05,4.921
2019-11-06,5.073
2019-11-07,4.841
2019-11-08,5.373
2019-11-09,3.196
2019-11-10,5.078
2019-11-11,5.543
2019-11-12,5.422
2019-11-13,5.31
2019-11-14,5.072
2019-11-15,5.504
2019-11-16,5.569
2019-11-17,2.953
2019-11-18,3.926
2019-11-19,5.12
2019-11-20,5.887
2019-11-21,5.595
2019-11-22,6.332
2019-11-23,5.347
2019-11-24,4.084
2019-11-25,5.857
2019-11-26,5.796
2019-11-27,4.739
2019-11-28,6.68
2019-11-29,7.03
2019-11-30,4.021
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-07,
2019-12-08,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-14,
2019-12-15,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-21,
2019-12-22,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
2020-01-01,2.189
2020-01-02,3.879
2020-01-03,4.582
2020-01-04,4.885
2020-01-05,3.724
2020-01-06,5.787
2020-01-07,6.72
2020-01-08,7.026
2020-01-09,6.624
2020-01-10,6.113
2020-01-11,5.473
2020-01-12,4.236
2020-01-13,5.832
2020-01-14,6.165
2020-01-15,6.012
2020-01-16,6.628
2020-01-17,5.958
2020-01-18,4.531
2020-01-19,4.5
2020-01-20,6.513
2020-01-21,6.117
2020-01-22,6.991
2020-01-23,5.858
2020-01-24,5.91
2020-01-25,5.163
2020-01-26,3.731
2020-01-27,5.91
2020-01-28,6.741
2020-01-29,6.057
2020-01-30,6.342
2020-01-31,5.639
2020-02-01,4.838
2020-02-02,3.524
2020-02-03,5.255
2020-02-04,6.322
