Date,RMS,DMS FB,DMS IB
2019-09-23,217860.39,215000.53,0.00
2019-09-24,175419.55,173000.32,0.00
2019-09-25,158330.62,156000.68,0.00
2019-09-26,230196.16,227214.03,0.00
2019-09-27,192609.64,190000.03,0.00
2019-09-28,202609.50,200000.88,0.00
2019-09-29,202609.50,200100.98,0.00
2019-09-30,202609.50,199900.78,0.00
2019-10-01,258547.73,255234.57,0.00
2019-10-02,292039.55,288394.46,0.00
2019-10-03,276788.66,273394.82,0.00
2019-10-04,212015.36,209213.42,0.00
2019-10-05,203548.51,200880.53,0.00
2019-10-06,203548.51,200880.53,0.00
2019-10-07,203548.51,200880.53,0.00
2019-10-08,295070.74,291395.61,0.00
2019-10-09,304827.94,301056.10,0.00
2019-10-10,291000.32,287395.56,0.00
2019-10-11,291020.37,287395.38,0.00
2019-10-12,,,
2019-10-13,,,
2019-10-14,283570.59,280059.48,0.00
2019-10-15,271343.50,267913.53,0.00
2019-10-16,284869.37,281395.43,0.00
2019-10-17,286899.30,283395.24,0.00
2019-10-18,216999.47,214198.18,0.00
2019-10-19,214656.18,211848.08,0.00
2019-10-20,193562.36,191013.38,0.00
2019-10-21,214656.18,211848.08,0.00
2019-10-22,205351.60,202615.71,0.00
2019-10-23,200670.30,198000.82,0.00
2019-10-24,187509.48,185000.47,0.00
2019-10-25,177308.11,175000.29,0.00
2019-10-26,249691.55,246716.41,0.00
2019-10-27,127985.11,126716.67,0.00
2019-10-28,,,0.00
2019-10-29,171702.58,170000.87,0.00
2019-10-30,198264.77,196299.80,0.00
2019-10-31,225535.96,223300.72,0.00
2019-11-01,265633.51,263000.87,0.00
2019-11-02,184258.84,182432.69,0.00
2019-11-03,184258.84,182432.69,0.00
2019-11-04,184258.84,182432.69,0.00
2019-11-05,187862.93,186001.06,0.00
2019-11-06,273360.77,270000.90,0.00
2019-11-07,260230.55,257000.81,0.00
2019-11-08,,,
2019-11-09,245029.25,242000.21,0.00
2019-11-10,245029.25,242000.21,0.00
2019-11-11,245029.25,242000.21,0.00
2019-11-12,253159.54,249999.88,0.00
2019-11-13,236668.95,233722.77,0.00
2019-11-14,239929.08,237000.65,0.00
2019-11-15,236505.42,233560.86,0.00
2019-11-16,167086.69,165000.30,0.00
2019-11-17,166746.96,164693.96,0.00
2019-11-18,166746.96,164643.91,0.00
2019-11-19,175927.03,173662.94,0.00
2019-11-20,204527.60,202000.07,0.00
2019-11-21,224677.14,221999.96,0.00
2019-11-22,199427.44,197000.51,0.00
2019-11-23,,,
2019-11-24,153521.78,152000.26,0.00
2019-11-25,153521.78,152000.26,0.00
2019-11-26,246694.13,243798.75,0.00
2019-11-27,253467.61,250495.09,0.00
2019-11-28,253467.61,250495.09,0.00
2019-11-29,239579.86,236754.98,0.00
2019-11-30,239579.86,236754.98,0.00
2019-12-01,247907.45,245000.04,0.00
2019-12-02,247907.45,245000.04,0.00
2019-12-03,169127.17,167000.54,0.00
2019-12-04,207608.38,205000.26,0.00
2019-12-05,217809.75,215000.44,0.00
2019-12-06,221849.58,219000.22,0.00
2019-12-07,200997.37,198324.65,0.00
2019-12-08,200997.37,198354.68,0.00
2019-12-09,200997.37,198324.65,0.00
2019-12-10,217809.75,215000.44,0.00
2019-12-11,179327.49,176999.67,0.00
2019-12-12,198736.38,196266.24,0.00
2019-12-13,174227.33,172000.10,0.00
2019-12-14,175928.09,173667.31,0.00
2019-12-15,175928.09,173667.31,0.00
2019-12-16,175928.09,173667.31,0.00
2019-12-17,179327.49,176999.67,0.00
2019-12-18,172187.90,170000.89,0.00
2019-12-19,170167.46,168000.48,0.00
2019-12-20,174248.43,172000.96,0.00
2019-12-21,170857.47,168666.97,0.00
2019-12-22,170857.47,168666.97,0.00
2019-12-23,170857.47,168666.97,0.00
2019-12-24,176297.36,173999.57,0.00
2019-12-25,148896.40,147000.29,0.00
2019-12-26,148896.40,147000.29,0.00
2019-12-27,179492.08,177262.72,0.00
2019-12-28,153946.97,152000.81,0.00
2019-12-29,153946.97,152000.81,0.00
2019-12-30,134239.50,132682.04,0.00
2019-12-31,148896.40,147000.29,0.00
2020-01-01,,,
2020-01-02,176671.91,174574.85,0.00
2020-01-03,153945.92,151999.77,0.00
2020-01-04,158123.95,156126.39,0.00
2020-01-05,158123.95,156136.40,0.00
2020-01-06,138168.55,136553.41,0.00
2020-01-07,157006.64,155000.13,0.00
2020-01-08,162106.80,159999.70,0.00
2020-01-09,106051.47,105000.41,0.00
2020-01-10,113120.37,111999.26,0.00
2020-01-11,103325.19,102301.16,0.00
2020-01-12,103325.19,102301.16,0.00
2020-01-13,124447.49,123214.12,0.00
2020-01-14,212607.25,209999.65,0.00
2020-01-15,213832.18,211712.93,0.00
2020-01-16,186609.52,184760.07,0.00
2020-01-17,121201.07,119999.87,0.00
2020-01-18,116150.50,114999.36,0.00
2020-01-19,116150.50,114999.36,0.00
2020-01-20,116150.50,114999.36,0.00
2020-01-21,116150.50,114999.36,0.00
2020-01-22,192256.20,189963.89,0.00
2020-01-23,222859.27,219999.91,0.00
2020-01-24,222859.27,219999.91,0.00
2020-01-25,213000.79,210365.60,0.00
2020-01-26,213000.79,210316.05,0.00
2020-01-27,213000.79,210316.05,0.00
2020-01-28,204578.24,202000.16,0.00
2020-01-29,167156.32,164999.18,0.00
2020-01-30,193312.31,190875.92,0.00
2020-01-31,159096.72,156999.43,0.00
2020-02-01,185985.98,183625.93,0.00
2020-02-02,185985.98,183625.93,0.00
2020-02-03,185089.18,182746.82,0.00
2020-02-04,183479.15,181000.07,0.00
2020-02-05,182458.91,179999.95,0.00
2020-02-06,116151.56,115000.40,0.00
2020-02-07,171702.58,170000.87,0.00
2020-02-08,182549.65,180740.43,0.00
2020-02-09,174566.01,172835.92,0.00
2020-02-10,173277.78,171560.46,0.00
2020-02-11,,,0.00
2020-02-12,151501.34,149999.84,0.00
2020-02-13,176752.09,175000.34,0.00
2020-02-14,166271.13,164623.25,0.00
2020-02-15,169197.86,167000.45,0.00
2020-02-16,178854.83,176466.95,0.00
2020-02-17,169197.86,167000.45,0.00
2020-02-18,169197.86,167000.45,0.00
2020-02-19,177424.17,175064.51,0.00
2020-02-20,177357.70,174999.35,0.00
2020-02-21,176297.36,173999.57,0.00
2020-02-22,151239.69,149346.92,0.00
2020-02-23,169340.30,167090.52,0.00
2020-02-24,150439.95,148562.96,0.00
2020-02-25,169228.46,167000.71,0.00
2020-02-26,199982.40,197439.86,0.00
2020-02-27,177308.11,175000.29,0.00
2020-02-28,166137.13,164000.09,0.00
2020-02-29,166137.13,164000.09,0.00
2020-03-01,171186.65,168999.57,0.00
2020-03-02,171186.65,168999.57,0.00
2020-03-03,172207.95,170000.72,0.00
2020-03-04,170166.41,167999.45,0.00
2020-03-05,164046.00,161999.76,0.00
2020-03-06,190686.27,188376.01,0.00
2020-03-07,,,
2020-03-08,,,
2020-03-09,152023.45,150164.77,0.00
2020-03-10,199477.03,196999.56,0.00
2020-03-11,172207.95,170000.72,0.00
2020-03-12,233263.22,230350.79,0.00
2020-03-13,228163.06,225351.23,0.00
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,154658.73,152999.94,126.00
2020-03-18,221251.48,218350.21,208.00
2020-03-19,216174.55,213350.65,231.00
2020-03-20,241574.07,238351.40,348.00
2020-03-21,214662.51,211711.33,320.00
2020-03-22,214662.51,211934.54,99.00
2020-03-23,214662.51,211675.85,342.00
2020-03-24,175288.72,172604.91,396.00
2020-03-25,149481.96,147600.51,396.00
2020-03-26,182544.37,180335.25,396.00
2020-03-27,119180.63,117599.49,396.00
2020-03-28,136519.49,134777.38,385.24
2020-03-29,136519.49,134.42,297.64
2020-03-30,136519.49,134521.26,395.79
2020-03-31,228694.81,225531.97,395.79
2020-04-01,170186.45,167999.28,0.00
2020-04-02,185306.52,182573.32,430.46
2020-04-03,170622.19,168000.23,430.46
