Date,RMS,DMS FB,DMS IB
2019-09-16,344.5,348.55,2.23
2019-09-17,532.33,537.79,2.3
2019-09-18,527.52,395.85,2.83
2019-09-19,378.26,375.76,2.79
2019-09-20,491.43,487.99,3.44
2019-09-21,95.59,92.86,0
2019-09-22,82.89,72.68,0
2019-09-23,86.69,95.05,0
2019-09-24,136.33,194.75,0
2019-09-25,254.29,254.19,0
2019-09-26,229.87,203.8,0
2019-09-27,230.45,256.98,0
2019-09-28,257.29,256.41,0
2019-09-29,265.06,255.38,0
2019-09-30,271.13,258.56,0
2019-10-01,265.87,269.82,0
2019-10-02,188.66,211.57,0
2019-10-03,178.51,210.97,0
2019-10-04,192.47,220.05,0
2019-10-05,258.45,267.33,0
2019-10-06,266.41,262.57,0
2019-10-07,298.6,298.21,0
2019-10-08,266.6,266.24,0
2019-10-09,252.91,294.51,0
2019-10-10,293.07,296.78,0
2019-10-11,289.9,287.14,0
2019-10-12,270.18,286.19,0
2019-10-13,270.56,251.23,0
2019-10-14,249.88,267.86,0
2019-10-15,276.13,269.91,0
2019-10-16,258.61,251.02,0
2019-10-17,76.8,94.29,0
2019-10-18,96.87,97.15,0
2019-10-19,72.05,108.7,0
2019-10-20,123.15,101.07,0
2019-10-21,118.11,154.45,0
2019-10-22,169.83,165.63,0
2019-10-23,156.24,160.43,0
2019-10-24,147.08,137.12,0
2019-10-25,110.03,132.17,0
2019-10-26,116.19,146.24,0
2019-10-27,125.52,166.84,0
2019-10-28,169,187.38,0
2019-10-29,184.74,185.82,0
2019-10-30,207.5,214.01,0
2019-10-31,217.27,166.48,0
2019-11-01,160.88,159.29,0
2019-11-02,130.6,129.31,0
2019-11-03,133.77,168.17,0
2019-11-04,118.68,165.13,0
2019-11-05,177.23,185.97,0
2019-11-06,238.91,218.25,0
2019-11-07,199.44,222.8,0
2019-11-08,246.74,255.82,0
2019-11-09,232.02,224.14,0
2019-11-10,181.93,179.12,0
2019-11-11,193.79,197.87,0
2019-11-12,190.31,198.72,0
2019-11-13,210.23,206.98,0
2019-11-14,205.96,187.45,0
2019-11-15,159.09,157.06,0
2019-11-16,151.38,149.49,0
2019-11-17,151.38,149.51,0
2019-11-18,149.87,180.35,0
2019-11-19,194.96,233.54,0
2019-11-20,287.24,278.24,0
2019-11-21,252.61,204.08,0
2019-11-22,183.65,206.77,0
2019-11-23,194.66,202.46,0
2019-11-24,180.12,191.76,0
2019-11-25,156.29,174,0
2019-11-26,178.11,200.09,0
2019-11-27,154.47,157.22,0
2019-11-28,154.47,160.51,0
2019-11-29,153.54,176.47,0
2019-11-30,153.54,179.68,0
2019-12-01,151.69,166.51,0
2019-12-02,153.54,182.93,0
2019-12-03,199.66,205.39,0
2019-12-04,188.47,206.06,0
2019-12-05,225.52,210.02,0
2019-12-06,201.4,167.71,0
2019-12-07,147.06,163.79,0
2019-12-08,130.39,157.82,0
2019-12-09,148.91,158.53,0
2019-12-10,139.09,162.55,0
2019-12-11,172.06,170.11,0
2019-12-12,180.4,179.32,0
2019-12-13,148.44,163.51,0
2019-12-14,159.71,152.88,0
