Date,RMS,DMS FB,DMS IB
2019-09-17,668160.097,666893,0
2019-09-18,666156.297,664893,0
2019-09-19,647598.103,646370,0
2019-09-20,,,
2019-09-21,509300.837,508335,0
2019-09-22,453740.472,452880,0
2019-09-23,509300.837,508335,0
2019-09-24,580995.799,579894,0
2019-09-25,526382.23,525384,0
2019-09-26,578478.847,577381.822,0
2019-09-27,536891.546,535873.387,0
2019-09-28,631343.735,630146.457,0
2019-09-29,631343.735,630146.457,0
2019-09-30,631343.733,630146.455,0
2019-10-01,771205.603,769743.091,0
2019-10-02,742337.052,740929.286,0
2019-10-03,762465.486,761019.549,0
2019-10-04,759643.201,758202.616,0
2019-10-05,695719.196,695719.196,0
2019-10-06,695884.87,694565.196,0
2019-10-07,695884.87,694565.196,0
2019-10-08,689013.265,687706.622,0
2019-10-09,654827.21,653585.398,0
2019-10-10,658876.527,657627.036,0
2019-10-11,666487.732,665223.807,0
2019-10-12,,,
2019-10-13,,,
2019-10-14,612946.601,611784.211,0
2019-10-15,688505.893,688505.893,0
2019-10-16,703830.526,702495.784,0
2019-10-17,697227.96,695905.739,0
2019-10-18,696339.6,695019.064,0
2019-10-19,663427.289,662169.168,0
2019-10-20,663427.289,662169.168,0
2019-10-21,663427.289,662169.168,0
2019-10-22,685789.001,684488.473,0
2019-10-23,721167.273,719799.654,0
2019-10-24,706890.201,705549.657,0
2019-10-25,707642.459,706300.488,0
2019-10-26,696339.6,695019.064,0
2019-10-27,696339.6,695019.064,0
2019-10-28,696339.6,695019.064,0
2019-10-29,711300.352,709951.444,0
2019-10-30,709527.851,708182.305,0
2019-10-31,709527.851,708182.305,0
2019-11-01,727991.402,726610.841,0
2019-11-02,738542.001,737141.4323,0
2019-11-03,738542.001,737141.432,0
2019-11-04,738542.001,737141.432,0
2019-11-05,770193.8,768733.207,0
2019-11-06,754367.901,752937.32,0
2019-11-07,719550.921,718186.367,0
2019-11-08,,,
2019-11-09,696339.6,695019.064,0
2019-11-10,696339.6,695019.064,0
2019-11-11,792385.287,790882.61,0
2019-11-12,899663.141,897957.023,0
2019-11-13,896801.001,895100.31,0
2019-11-14,896801.001,895100.31,0
2019-11-15,891525.7,889835.013,0
2019-11-16,791294.999,789794.39,0
2019-11-17,791294.999,789794.39,0
2019-11-18,791294.999,789794.39,0
2019-11-19,791294.999,789794.39,0
2019-11-20,791295.001,789794.392,0
2019-11-21,738542.001,737141.432,0
2019-11-22,738541.999,737141.43,0
2019-11-23,,,
2019-11-24,696339.6,695019.064,0
2019-11-25,696339.598,695019.062,0
2019-11-26,755211.948,753779.766,0
2019-11-27,819781.618,818226.987,0
2019-11-28,819781.618,818226.987,0
2019-11-29,819781.62,818226.989,0
2019-11-30,819781.62,818226.989,0
2019-12-01,714897.051,713612.548,0
2019-12-02,677969.95,676751.797,0
2019-12-03,762374.75,761004.941,0
2019-12-04,687706.045,686470.398,0
2019-12-05,762374.75,761004.941,0
2019-12-06,762374.75,761004.941,0
2019-12-07,722800.504,721501.801,0
2019-12-08,722800.504,721501.801,0
2019-12-09,722800.503,721501.799,0
2019-12-10,863929.55,830189.41,32245.799
2019-12-11,863199.448,829460.62,32245.799
2019-12-12,868474.748,834726.442,32245.799
2019-12-13,842098.25,808397.336,32245.799
2019-12-14,794620.549,761004.942,32245.799
2019-12-15,794620.549,761004.942,32245.799
2019-12-16,794620.549,761004.942,32245.799
2019-12-17,,,
