Date,RMS,DMS FB,DMS IB
2019-09-10,0.66,0.00,0.00
2019-09-11,0.66,0.00,0.00
2019-09-12,0.33,0.00,0.00
2019-09-13,0.28,0.00,0.00
2019-09-14,0.29,0.00,0.00
2019-09-15,0.33,0.00,0.00
2019-09-16,0.66,0.00,0.00
2019-09-17,527.55,526.55,0.00
2019-09-18,577.15,609.88,0.00
2019-09-19,552.37,503.66,0.00
2019-09-20,603.78,510.46,0.00
2019-09-21,467.16,484.02,0.00
2019-09-22,464.67,420.35,0.00
2019-09-23,464.67,470.53,0.00
2019-09-24,530.64,522.76,0.00
2019-09-25,404.99,490.52,0.00
2019-09-26,511.78,563.80,0.00
2019-09-27,526.58,490.03,0.00
2019-09-28,582.55,586.01,0.00
2019-09-29,581.99,582.06,0.00
2019-09-30,580.64,536.04,0.00
2019-10-01,673.88,686.87,0.00
2019-10-02,204.72,737.58,0.00
2019-10-03,700.14,719.18,0.00
2019-10-04,700.34,749.66,0.00
2019-10-05,656.01,663.60,0.00
2019-10-06,638.23,673.20,0.00
2019-10-07,621.64,642.48,0.00
2019-10-08,659.08,641.77,0.00
2019-10-09,625.11,597.38,0.00
2019-10-10,576.76,629.34,0.00
2019-10-11,630.69,644.25,0.00
2019-10-12,578.95,574.01,0.00
2019-10-13,564.05,561.22,0.00
2019-10-14,574.15,579.37,0.00
2019-10-15,633.02,647.92,0.00
2019-10-16,646.79,634.78,0.00
2019-10-17,637.44,637.04,0.00
2019-10-18,633.03,639.30,0.00
2019-10-19,616.56,612.11,0.00
2019-10-20,604.86,630.65,0.00
2019-10-21,624.51,637.15,0.00
2019-10-22,634.22,630.86,0.00
2019-10-23,661.59,688.28,0.00
2019-10-24,662.48,646.29,0.00
2019-10-25,651.63,658.48,0.00
2019-10-26,644.88,652.30,0.00
2019-10-27,639.23,629.87,0.00
2019-10-28,634.36,662.79,0.00
2019-10-29,646.84,661.27,0.00
2019-10-30,661.27,586.86,0.00
2019-10-31,560.79,388.74,0.00
2019-11-01,529.05,483.63,0.00
2019-11-02,656.75,712.16,0.00
2019-11-03,654.13,690.93,0.00
2019-11-04,678.96,714.38,0.00
2019-11-05,685.85,743.37,0.00
2019-11-06,615.54,615.92,0.00
2019-11-07,583.72,569.84,0.00
2019-11-08,602.50,555.82,0.00
2019-11-09,591.52,616.49,0.00
2019-11-10,654.31,779.43,0.00
2019-11-11,681.93,647.71,0.00
2019-11-12,670.20,724.45,0.00
2019-11-13,749.24,799.45,0.00
2019-11-14,819.27,866.23,0.00
2019-11-15,751.85,745.71,0.00
2019-11-16,739.84,703.08,0.00
2019-11-17,688.71,675.36,0.00
2019-11-18,680.58,660.81,0.00
2019-11-19,710.00,701.74,0.00
2019-11-20,721.02,690.90,0.00
2019-11-21,633.37,636.26,0.00
2019-11-22,625.85,614.90,0.00
2019-11-23,640.54,639.13,0.00
2019-11-24,595.05,603.00,0.00
2019-11-25,631.36,667.69,0.00
2019-11-26,695.28,750.37,0.00
2019-11-27,754.43,757.68,0.00
2019-11-28,764.39,774.42,0.00
2019-11-29,742.21,721.41,0.00
2019-11-30,721.06,724.80,0.00
2019-12-01,654.59,625.32,0.00
2019-12-02,647.21,653.29,0.00
2019-12-03,672.96,699.37,0.00
2019-12-04,645.48,658.41,0.00
2019-12-05,682.39,724.23,0.00
2019-12-06,699.87,725.65,0.00
2019-12-07,677.62,675.85,0.00
2019-12-08,671.40,655.94,0.00
2019-12-09,676.35,681.68,0.00
2019-12-10,712.65,692.47,28.45
2019-12-11,741.68,611.65,24.08
2019-12-12,735.15,682.98,27.27
2019-12-13,764.99,726.94,28.90
2019-12-14,748.46,702.62,30.09
2019-12-15,738.04,674.66,28.63
2019-12-16,773.74,695.39,29.02
2019-12-17,813.26,789.92,28.71
2019-12-18,823.86,761.44,24.52
2019-12-19,777.86,691.25,25.75
2019-12-20,764.77,702.22,27.84
2019-12-21,800.58,856.57,36.72
2019-12-22,732.43,628.95,29.39
2019-12-23,771.13,736.64,29.69
2019-12-24,653.66,626.48,29.86
2019-12-25,393.29,338.81,33.79
2019-12-26,498.99,550.53,31.79
2019-12-27,471.33,523.17,30.45
2019-12-28,582.66,610.75,30.93
2019-12-29,583.52,597.49,33.91
2019-12-30,631.08,619.13,28.42
2019-12-31,558.24,635.48,34.68
2020-01-01,496.38,549.74,0.00
2020-01-02,521.25,608.97,0.00
2020-01-03,127.23,240.54,0.00
2020-01-04,648.19,768.29,0.00
2020-01-05,755.37,739.14,0.00
2020-01-06,773.03,737.65,0.00
2020-01-07,748.13,720.24,0.00
2020-01-08,905.51,773.14,0.00
2020-01-09,780.09,797.44,0.00
2020-01-10,851.44,765.66,0.00
2020-01-11,797.23,766.18,0.00
2020-01-12,743.31,757.92,0.00
2020-01-13,715.12,794.61,0.00
2020-01-14,744.71,757.20,0.00
2020-01-15,833.64,848.70,0.00
2020-01-16,147.97,66.64,0.00
2020-01-17,0.96,0.00,0.00
2020-01-18,0.94,0.00,0.00
2020-01-19,0.80,0.00,0.00
2020-01-20,0.84,0.69,0.00
2020-01-21,0.00,0.00,0.00
2020-01-22,4.61,15.82,0.00
2020-01-23,667.17,809.38,0.00
2020-01-24,794.62,757.78,0.00
2020-01-25,814.22,739.07,0.00
2020-01-26,797.72,751.14,0.00
2020-01-27,805.88,871.60,0.00
2020-01-28,841.41,825.59,0.00
2020-01-29,822.48,842.15,0.00
2020-01-30,882.48,912.60,0.00
2020-01-31,517.18,507.48,0.00
2020-02-01,696.39,620.10,0.00
2020-02-02,586.93,499.75,0.00
2020-02-03,588.34,526.50,0.00
2020-02-04,590.94,568.12,0.00
2020-02-05,501.60,474.66,0.00
2020-02-06,631.03,735.78,0.00
2020-02-07,683.42,694.67,0.00
2020-02-08,711.66,714.80,0.00
2020-02-09,713.30,710.66,0.00
2020-02-10,727.65,786.80,0.00
2020-02-11,851.12,930.14,0.00
2020-02-12,872.78,887.41,0.00
2020-02-13,859.41,884.43,0.00
2020-02-14,923.94,882.56,11.54
2020-02-15,950.11,812.69,25.64
2020-02-16,881.86,825.59,27.05
2020-02-17,898.20,839.75,26.18
2020-02-18,927.72,876.92,26.43
2020-02-19,891.34,839.04,24.56
2020-02-20,863.90,842.57,25.18
2020-02-21,786.22,849.14,25.35
2020-02-22,868.21,766.08,26.10
2020-02-23,868.49,744.23,25.26
2020-02-24,891.52,828.02,28.31
2020-02-25,880.39,827.99,26.41
2020-02-26,809.07,790.53,20.85
2020-02-27,854.02,843.82,29.35
2020-02-28,863.94,829.30,28.35
2020-02-29,862.52,736.22,24.73
2020-03-01,719.97,620.64,14.57
2020-03-02,721.23,679.68,13.46
2020-03-03,719.39,719.36,14.14
2020-03-04,778.24,752.31,12.81
2020-03-05,844.94,854.82,12.89
2020-03-06,840.57,876.58,13.45
2020-03-07,817.09,754.38,14.20
2020-03-08,824.19,697.98,13.31
2020-03-09,749.56,825.14,13.84
2020-03-10,760.79,817.69,14.20
2020-03-11,658.56,805.03,15.68
2020-03-12,784.19,893.99,15.11
2020-03-13,804.91,890.06,15.63
2020-03-14,811.44,863.68,19.35
2020-03-15,688.09,693.99,13.29
2020-03-16,759.12,743.84,13.94
2020-03-17,855.00,820.12,14.54
2020-03-18,889.86,818.93,15.49
2020-03-19,785.50,724.28,14.15
2020-03-20,771.84,754.45,14.10
2020-03-21,740.36,678.47,14.26
2020-03-22,757.62,638.82,14.19
2020-03-23,655.70,654.78,16.47
2020-03-24,679.67,724.53,15.62
2020-03-25,701.27,774.98,15.98
2020-03-26,737.81,753.03,16.94
2020-03-27,741.76,779.58,17.38
2020-03-28,722.24,766.25,17.46
2020-03-29,718.72,695.98,16.64
2020-03-30,758.66,770.87,18.52
2020-03-31,749.10,699.50,15.31
2020-04-01,833.95,786.89,13.82
2020-04-02,1011.59,908.28,15.49
2020-04-03,1484.35,1387.03,60.75
2020-04-04,1307.42,1233.51,43.17
2020-04-05,1192.97,948.47,42.80
2020-04-06,1013.75,1000.75,39.85
2020-04-07,896.68,1003.28,72.79
2020-04-08,928.17,992.35,107.66
2020-04-09,964.83,1022.62,63.80
2020-04-10,810.59,807.43,29.15
2020-04-11,821.33,711.39,42.01
2020-04-12,817.12,783.45,40.00
2020-04-13,751.75,618.07,37.72
2020-04-14,809.35,767.28,33.33
2020-04-15,890.96,760.77,28.80
2020-04-16,636.07,448.92,20.99
2020-04-17,526.92,614.39,31.74
2020-04-18,634.45,659.12,39.13
2020-04-19,587.89,600.33,30.18
2020-04-20,659.08,692.65,27.48
2020-04-21,694.75,738.72,29.81
2020-04-22,736.12,746.43,26.72
2020-04-23,946.81,884.73,21.67
2020-04-24,697.10,841.93,26.96
2020-04-25,784.40,602.39,19.20
2020-04-26,,,
2020-04-27,,,
2020-04-28,481.25,394.67,11.65
2020-04-29,560.74,562.74,10.38
2020-04-30,554.96,568.62,25.04
2020-05-01,644.40,656.36,14.59
2020-05-02,528.42,555.86,15.39
2020-05-03,499.82,465.28,12.78
2020-05-04,514.45,527.40,17.67
2020-05-05,553.77,500.81,14.26
2020-05-06,609.58,561.13,11.36
2020-05-07,712.21,699.28,13.15
2020-05-08,717.63,723.66,14.26
2020-05-09,560.80,540.50,15.53
2020-05-10,570.93,518.55,10.82
2020-05-11,530.14,503.90,10.63
2020-05-12,540.60,540.89,12.07
2020-05-13,510.54,501.65,14.58
2020-05-14,486.25,577.61,5.01
2020-05-15,517.82,561.56,4.96
2020-05-16,565.74,656.44,14.78
2020-05-17,601.59,556.30,13.46
2020-05-18,572.52,666.52,16.32
