Date,KMMty1,KMMty2
2019-08-01,584167,0
2019-08-02,583894,0
2019-08-03,578670,0
2019-08-04,578452,0
2019-08-05,593793,0
2019-08-06,593620,0
2019-08-07,593491,0
2019-08-08,577526,0
2019-08-09,577739,0
2019-08-10,567993,0
2019-08-11,567935,0
2019-08-12,555317,0
2019-08-13,571946,0
2019-08-14,594090,0
2019-08-15,594196,0
2019-08-16,593490,0
2019-08-17,564883,0
2019-08-18,565127,0
2019-08-19,599855,0
2019-08-20,592265,0
2019-08-21,596522,0
2019-08-22,596062,0
2019-08-23,595673,0
2019-08-24,573481,0
2019-08-25,573251,0
2019-08-26,593665,0
2019-08-27,594660,0
2019-08-28,599489,0
2019-08-29,599772,0
2019-08-30,583782,0
2019-08-31,577964,0
2019-09-01,525297,0
2019-09-02,599001,0
2019-09-03,598795,0
2019-09-04,598329,0
2019-09-05,585667,0
2019-09-06,555826,0
2019-09-07,555333,0
2019-09-08,555072,0
2019-09-09,597303,0
2019-09-10,598572,0
2019-09-11,582817,0
2019-09-12,583821,0
2019-09-13,552646,0
2019-09-14,505094,0
2019-09-15,504855,0
2019-09-16,519892,0
2019-09-17,597473,0
2019-09-18,618854,0
2019-09-19,623374,0
2019-09-20,606473,0
2019-09-21,577293,0
2019-09-22,573773,0
2019-09-23,600483,0
2019-09-24,593530,0
2019-09-25,573444,0
2019-09-26,598087,0
2019-09-27,594185,0
2019-09-28,589109,0
2019-09-29,584759,0
2019-09-30,582017,0
2019-10-01,602523,0
2019-10-02,609338,0
2019-10-03,604692,0
2019-10-04,603179,0
2019-10-05,588128,0
2019-10-06,587343,0
2019-10-07,589206,0
2019-10-08,598691,0
2019-10-09,592924,0
2019-10-10,587647,0
2019-10-11,598249,0
2019-10-12,595082,0
2019-10-13,443038,0
2019-10-14,515321,0
2019-10-15,500129,0
2019-10-16,516143,0
2019-10-17,465269,0
2019-10-18,488885,0
2019-10-19,437912,0
2019-10-20,439841,0
2019-10-21,463936,0
2019-10-22,507863,0
2019-10-23,476353,0
2019-10-24,519382,0
2019-10-25,466792,0
2019-10-26,458264,0
2019-10-27,447291,0
2019-10-28,488412,0
2019-10-29,516153,0
2019-10-30,513780,0
2019-10-31,496485,0
2019-11-01,446192,0
2019-11-02,485371,0
2019-11-03,471647,0
2019-11-04,442984,0
2019-11-05,435728,0
2019-11-06,435486,0
2019-11-07,435094,0
2019-11-08,437339,0
2019-11-09,424299,0
2019-11-10,413239,0
2019-11-11,436445,0
2019-11-12,443000,0
2019-11-13,441046,0
2019-11-14,436121,0
2019-11-15,443112,0
2019-11-16,426129,0
2019-11-17,416636,0
2019-11-18,424211,0
2019-11-19,424188,0
2019-11-20,425061,0
2019-11-21,424978,0
2019-11-22,416820,0
2019-11-23,383574,0
2019-11-24,365937,0
2019-11-25,373212,0
2019-11-26,389610,0
2019-11-27,428942,0
2019-11-28,428777,0
2019-11-29,393075,0
2019-11-30,419411,0
2019-12-01,420678,0
2019-12-02,439645,0
2019-12-03,434664,0
2019-12-04,434812,0
2019-12-05,435770,0
2019-12-06,373047,0
2019-12-07,380405,0
2019-12-08,406015,0
2019-12-09,410351,0
2019-12-10,398068,0
2019-12-11,442899,0
2019-12-12,444059,0
2019-12-13,440557,0
2019-12-14,440121,0
2019-12-15,429692,0
2019-12-16,441865,0
2019-12-17,447124,0
2019-12-18,440932,0
2019-12-19,445984,0
2019-12-20,461805,0
2019-12-21,427097,0
2019-12-22,426751,0
2019-12-23,405205,0
2019-12-24,367572,0
2019-12-25,386474,0
2019-12-26,336212,0
2019-12-27,397062,0
2019-12-28,398365,0
2019-12-29,393509,0
2019-12-30,400956,0
2019-12-31,382197,0
2020-01-01,330733,0
2020-01-02,446597,0
2020-01-03,457463,0
2020-01-04,433346,0
2020-01-05,433515,0
2020-01-06,464806,0
2020-01-07,456035,0
2020-01-08,497406,0
2020-01-09,475488,0
2020-01-10,483188,0
2020-01-11,463448,0
2020-01-12,463244,0
2020-01-13,491680,0
2020-01-14,495687,0
2020-01-15,485359,0
2020-01-16,536111,0
2020-01-17,573357,0
2020-01-18,542537,0
2020-01-19,524849,0
2020-01-20,584632,0
2020-01-21,547247,0
2020-01-22,561212,0
2020-01-23,557236,0
2020-01-24,557136,0
2020-01-25,540783,0
2020-01-26,546505,0
2020-01-27,547891,0
2020-01-28,549862,0
2020-01-29,556184,0
2020-01-30,556520,0
2020-01-31,456160,0
2020-02-01,496135,0
2020-02-02,481820,0
2020-02-03,386687,0
2020-02-04,458963,0
2020-02-05,454173,0
2020-02-06,490791,0
2020-02-07,442351,0
2020-02-08,433665,0
2020-02-09,374257,0
2020-02-10,411160,0
2020-02-11,521428,0
2020-02-12,488643,0
2020-02-13,439324,0
2020-02-14,439998,0
2020-02-15,423703,0
2020-02-16,422128,0
2020-02-17,422947,0
2020-02-18,476181,0
2020-02-19,491180,0
2020-02-20,482739,0
2020-02-21,440907,0
2020-02-22,425301,0
2020-02-23,415687,0
2020-02-24,426969,0
2020-02-25,481850,0
2020-02-26,440020,0
2020-02-27,440881,0
2020-02-28,437971,0
2020-02-29,439165,0
2020-03-01,437259,0
2020-03-02,369097,0
2020-03-03,420048,0
2020-03-04,421646,0
2020-03-05,408736,0
2020-03-06,438628,0
2020-03-07,360442,0
2020-03-08,366715,0
2020-03-09,259957,0
2020-03-10,368221,0
2020-03-11,361231,0
2020-03-12,344072,0
2020-03-13,353140,0
2020-03-14,339670,0
2020-03-15,341680,0
2020-03-16,334896,0
2020-03-17,382098,0
2020-03-18,375991,0
2020-03-19,381299,0
2020-03-20,463319,0
2020-03-21,434307,0
2020-03-22,403870,0
2020-03-23,371187,0
2020-03-24,476714,0
2020-03-25,494802,0
2020-03-26,442158,0
2020-03-27,443016,0
2020-03-28,359788,0
2020-03-29,386499,0
2020-03-30,384973,0
2020-03-31,427589,0
2020-04-01,384492,0
2020-04-02,411008,0
2020-04-03,542635,0
2020-04-04,576474,0
2020-04-05,423036,0
2020-04-06,577670,0
2020-04-07,576484,0
2020-04-08,569459,0
2020-04-09,426373,0
2020-04-10,405931,0
2020-04-11,413924,0
2020-04-12,434346,0
2020-04-13,436790,0
2020-04-14,418781,0
2020-04-15,437873,0
2020-04-16,405627,0
2020-04-17,404637,0
2020-04-18,423912,0
2020-04-19,421569,0
2020-04-20,398459,0
2020-04-21,419626,0
2020-04-22,410346,0
2020-04-23,408723,0
2020-04-24,403235,0
2020-04-25,403417,0
2020-04-26,400094,0
2020-04-27,388234,0
2020-04-28,361007,0
2020-04-29,405914,0
2020-04-30,365258,0
2020-05-01,378377,0
2020-05-02,377394,0
2020-05-03,377472,0
2020-05-04,373155,0
2020-05-05,429801,0
2020-05-06,431754,0
2020-05-07,378939,0
2020-05-08,380068,0
2020-05-09,376362,0
2020-05-10,376138,0
2020-05-11,379419,0
2020-05-12,347186,0
2020-05-13,378839,0
2020-05-14,364096,0
2020-05-15,356149,0
2020-05-16,370421,0
2020-05-17,404106,0
2020-05-18,427850,0
2020-05-19,428446,0
2020-05-20,447109,0
2020-05-21,440181,0
2020-05-22,449658,0
2020-05-23,317490,0
2020-05-24,318067,0
2020-05-25,387970,0
2020-05-26,389097,0
2020-05-27,426309,0
2020-05-28,460563,0
2020-05-29,428170,0
2020-05-30,447600,0
2020-05-31,320778,0
2020-06-01,478123,0
2020-06-02,414429,0
2020-06-03,434311,0
2020-06-04,402411,0
2020-06-05,449956,0
2020-06-06,406053,0
2020-06-07,446053,0
2020-06-08,423919,0
2020-06-09,421189,0
2020-06-10,535362,0
2020-06-11,540245,0
2020-06-12,539756,0
2020-06-13,491721,0
2020-06-14,388524,0
2020-06-15,539607,0
2020-06-16,476173,0
2020-06-17,537046,0
2020-06-18,535767,0
2020-06-19,534005,0
2020-06-20,510641,0
2020-06-21,426948,0
2020-06-22,465643,0
2020-06-23,519732,0
2020-06-24,474753,0
2020-06-25,468364,0
2020-06-26,473423,0
2020-06-27,379263,0
2020-06-28,333596,0
2020-06-29,463410,0
2020-06-30,466797,0
2020-07-01,481965,0
2020-07-02,482296,0
2020-07-03,483566,0
2020-07-04,457490,0
2020-07-05,412718,0
2020-07-06,514821,0
2020-07-07,529005,0
