Date,KMMty1,KMMty2
2019-09-01,522835,0
2019-09-02,599204,0
2019-09-03,601032,0
2019-09-04,596327,0
2019-09-05,587259,0
2019-09-06,562260,0
2019-09-07,552339,0
2019-09-08,555928,0
2019-09-09,599200,0
2019-09-10,599328,0
2019-09-11,585279,0
2019-09-12,585516,0
2019-09-13,553464,0
2019-09-14,501689,0
2019-09-15,500310,0
2019-09-16,517021,0
2019-09-17,598633,0
2019-09-18,625914,0
2019-09-19,625481,0
2019-09-20,606189,0
2019-09-21,573863,0
2019-09-22,571575,0
2019-09-23,604344,0
2019-09-24,599804,0
2019-09-25,581033,0
2019-09-26,599249,0
2019-09-27,587181,0
2019-09-28,591623,0
2019-09-29,587522,0
2019-09-30,584655,0
2019-10-01,601264,0
2019-10-02,609189,0
2019-10-03,604386,0
2019-10-04,602192,0
2019-10-05,580017,0
2019-10-06,562938,0
2019-10-07,585839,0
2019-10-08,593073,0
2019-10-09,593040,0
2019-10-10,591079,0
2019-10-11,594808,0
2019-10-12,581186,0
2019-10-13,438238,0
2019-10-14,523320,0
2019-10-15,505586,0
2019-10-16,511581,0
2019-10-17,463407,0
2019-10-18,486681,0
2019-10-19,435902,0
2019-10-20,454376,0
2019-10-21,470461,0
2019-10-22,511924,0
2019-10-23,473868,0
2019-10-24,517893,0
2019-10-25,461201,0
2019-10-26,440703,0
2019-10-27,438289,0
2019-10-28,485230,0
2019-10-29,516538,0
2019-10-30,516012,0
2019-10-31,488961,0
2019-11-01,426006,0
2019-11-02,466987,0
2019-11-03,453693,0
2019-11-04,433442,0
2019-11-05,433153,0
2019-11-06,436151,0
2019-11-07,444078,0
2019-11-08,440781,0
2019-11-09,416300,0
2019-11-10,406241,0
2019-11-11,439531,0
2019-11-12,441382,0
2019-11-13,446008,0
2019-11-14,443301,0
2019-11-15,434885,0
2019-11-16,405778,0
2019-11-17,402655,0
2019-11-18,403769,0
2019-11-19,419128,0
2019-11-20,428475,0
2019-11-21,435233,0
2019-11-22,423480,0
2019-11-23,386243,0
2019-11-24,362969,0
2019-11-25,381431,0
2019-11-26,393040,0
2019-11-27,425982,0
2019-11-28,415407,0
2019-11-29,392977,0
