Date,KMS1,KMS2
2019-11-01,5698712.41,1538275.75
2019-11-02,5273369.52,197650.37
2019-11-03,5531002.15,178693.11
2019-11-04,7067018.01,225060.8
2019-11-05,6956381.18,252500.79
2019-11-06,6939767.1,240538.26
2019-11-07,6682247.19,241744.12
2019-11-08,5730403.5,369629.61
2019-11-09,4309300.62,553683.18
2019-11-10,5433088.01,231169.44
2019-11-11,6401988.48,261564.26
2019-11-12,6504748.84,254438.56
2019-11-13,6091109.72,268408.07
2019-11-14,5822388.78,231389.3
2019-11-15,5131796.28,189560.98
2019-11-16,4665254.34,157145.05
2019-11-17,4452447.68,127161.28
2019-11-18,4823873.5,168791.27
2019-11-19,5476177.31,201990
2019-11-20,6101462.86,190301.63
2019-11-21,6843816.45,711284.47
2019-11-22,6788266.81,688905.68
2019-11-23,6364686.54,662862.2
2019-11-24,5600281.83,127591.79
2019-11-25,9089496.78,192475.59
2019-11-26,9606764.78,206134.79
2019-11-27,0,0
2019-11-28,0,0
2019-11-29,0,0
2019-11-30,0,0
2019-12-01,6944447.45,181685.05
2019-12-02,8036397.33,234218.6
2019-12-03,8748344.51,239747.55
2019-12-04,9440297.93,353989.14
2019-12-05,8884921.76,343128.36
2019-12-06,8214403.44,370834.12
2019-12-07,6766063.62,291399.69
2019-12-08,6748507.31,248491.99
2019-12-09,8679628.1,320257.07
2019-12-10,8841397.7,266936.71
2019-12-11,7842355.2,359449.25
2019-12-12,6925529.76,368159.1
2019-12-13,7780293.7,373645.57
2019-12-14,7737040.95,299762.31
2019-12-15,6374066.73,276663.27
2019-12-16,8920239.09,336311.2
2019-12-17,7661464.84,372497.68
2019-12-18,7638273.67,416745.68
2019-12-19,5722439.38,337336.76
2019-12-20,0,0
2019-12-21,0,0
2019-12-22,0,0
2019-12-23,0,0
2019-12-24,0,0
2019-12-25,0,0
2019-12-26,0,0
2019-12-27,0,0
2019-12-28,0,0
2019-12-29,0,0
2019-12-30,0,0
2019-12-31,0,0
2020-01-01,4825987.48,275610.69
2020-01-02,5951812.87,276917.58
2020-01-03,5884009.26,321263.38
2020-01-04,4811957.22,275691.54
2020-01-05,4793582.69,243848.6
2020-01-06,5138090.98,312761.2
2020-01-07,4957380.86,343129.98
2020-01-08,5239036.67,335002.11
2020-01-09,5753680.43,319590.36
2020-01-10,6343404.78,339159.65
2020-01-11,5549781.52,273166.64
2020-01-12,5226982.35,231713.5
2020-01-13,6552588.59,345410.47
2020-01-14,6654633.43,382851.78
2020-01-15,6724795.29,368770.24
2020-01-16,6804942.4,749432.05
2020-01-17,7386713.7,925591.42
