Date,MER1
2019-09-01,0.046
2019-09-02,0.598
2019-09-03,0.579
2019-09-04,0.336
2019-09-05,0.55
2019-09-06,0.876
2019-09-07,0.809
2019-09-08,0.756
2019-09-09,0.88
2019-09-10,0.928
2019-09-11,0.909
2019-09-12,0.538
2019-09-13,0.84
2019-09-14,0.646
2019-09-15,0.749
2019-09-16,0.634
2019-09-17,0.345
2019-09-18,0.433
2019-09-19,0.317
2019-09-20,0.54
2019-09-21,0.551
2019-09-22,0.109
2019-09-23,0.362
2019-09-24,0.091
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-28,0
2019-09-29,0
2019-09-30,0
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,0.471
2019-11-02,0.823
2019-11-03,0.585
2019-11-04,0.644
2019-11-05,0.744
2019-11-06,0.966
2019-11-07,0.542
2019-11-08,0.501
2019-11-09,0.251
2019-11-10,0
2019-11-11,0
2019-11-12,0.582
2019-11-13,0.907
2019-11-14,0.911
2019-11-15,0.987
2019-11-16,0.238
2019-11-17,0
2019-11-18,0.101
2019-11-19,0.429
2019-11-20,0.887
2019-11-21,0.825
2019-11-22,0.914
2019-11-23,0.357
2019-11-24,0.127
2019-11-25,0.484
2019-11-26,0.86
2019-11-27,0.806
2019-11-28,0.566
2019-11-29,0.195
2019-11-30,0.208
2019-12-01,0
2019-12-02,0.25
2019-12-03,0.797
2019-12-04,0.803
2019-12-05,0.886
2019-12-06,0.404
2019-12-07,0.035
2019-12-08,0.065
2019-12-09,0.52
2019-12-10,0.671
2019-12-11,0.289
2019-12-12,0.422
2019-12-13,0.576
2019-12-14,0.138
2019-12-15,0.048
2019-12-16,0.203
2019-12-17,0.572
2019-12-18,0.75
2019-12-19,1.046
2019-12-20,0.502
2019-12-21,0.572
2019-12-22,0.367
2019-12-23,0.206
2019-12-24,0.044
2019-12-25,0.256
2019-12-26,0.524
2019-12-27,0.956
2019-12-28,0.418
2019-12-29,0.652
2019-12-30,0.439
2019-12-31,0.057
2020-01-01,0.195
2020-01-02,0.32
2020-01-03,0.577
2020-01-04,0.212
2020-01-05,0.267
2020-01-06,0.995
2020-01-07,1.064
2020-01-08,0.911
2020-01-09,0.734
2020-01-10,0.755
2020-01-11,0.271
2020-01-12,0.041
2020-01-13,0.317
2020-01-14,0.724
2020-01-15,0.765
2020-01-16,0.868
2020-01-17,0.743
2020-01-18,0.202
2020-01-19,0.068
2020-01-20,0.636
2020-01-21,0.748
2020-01-22,0.869
2020-01-23,0.969
2020-01-24,0.491
2020-01-25,0.145
2020-01-26,0.083
2020-01-27,0.219
2020-01-28,0.821
2020-01-29,0.971
2020-01-30,0.578
2020-01-31,0.42
2020-02-01,0.549
2020-02-02,0.193
2020-02-03,0.059
2020-02-04,0.262
2020-02-05,0.745
2020-02-06,0.95
2020-02-07,0.637
2020-02-08,0.139
2020-02-09,0.079
2020-02-10,0.451
2020-02-11,1.061
2020-02-12,0.904
2020-02-13,0.878
2020-02-14,0.561
2020-02-15,0.253
2020-02-16,0.067
2020-02-17,0.471
2020-02-18,1.062
2020-02-19,1.005
2020-02-20,1.135
2020-02-21,0.821
2020-02-22,0.136
2020-02-23,0.137
2020-02-24,0.567
2020-02-25,1.231
2020-02-26,1.183
2020-02-27,0.948
2020-02-28,0.678
2020-02-29,0.352
2020-03-01,0.09
2020-03-02,0.73
2020-03-03,0.725
2020-03-04,0.69
2020-03-05,0.927
2020-03-06,0.707
2020-03-07,0.138
2020-03-08,0.1
2020-03-09,0.696
2020-03-10,1.036
2020-03-11,0.987
2020-03-12,0.681
2020-03-13,0.42
2020-03-14,0.154
2020-03-15,0
2020-03-16,0.132
2020-03-17,0.631
2020-03-18,0.92
2020-03-19,0.635
2020-03-20,0.412
2020-03-21,0.219
2020-03-22,0.096
2020-03-23,0.243
2020-03-24,0.387
2020-03-25,0.64
2020-03-26,0.752
2020-03-27,0.897
2020-03-28,0.13
2020-03-29,0.114
2020-03-30,0.311
2020-03-31,0.426
2020-04-01,0.421
2020-04-02,0.289
2020-04-03,0.252
2020-04-04,0.134
2020-04-05,0.079
2020-04-06,0.28
2020-04-07,0.381
2020-04-08,0.239
2020-04-09,0.219
2020-04-10,0.236
2020-04-11,0.125
2020-04-12,0.176
2020-04-13,0.277
2020-04-14,0.676
2020-04-15,0.24
2020-04-16,0.213
2020-04-17,0.227
2020-04-18,0.113
2020-04-19,0.086
2020-04-20,0.208
2020-04-21,0.244
2020-04-22,0.505
2020-04-23,0.78
2020-04-24,0.423
2020-04-25,0.221
2020-04-26,0.115
2020-04-27,0.235
2020-04-28,0.148
2020-04-29,0.267
2020-04-30,0.191
2020-05-01,0.082
2020-05-02,0.059
2020-05-03,0.058
2020-05-04,0.117
2020-05-05,0.72
2020-05-06,0.471
2020-05-07,0.237
2020-05-08,0.165
2020-05-09,0.074
2020-05-10,0.144
2020-05-11,0.366
2020-05-12,0.341
2020-05-13,0.363
2020-05-14,0.466
2020-05-15,0.345
2020-05-16,0.294
2020-05-17,0.129
2020-05-18,0.49
2020-05-19,0.177
2020-05-20,0.199
2020-05-21,0.239
2020-05-22,0.233
2020-05-23,0.156
2020-05-24,0.086
2020-05-25,0.358
2020-05-26,0.469
2020-05-27,0.119
2020-05-28,0.078
2020-05-29,0.093
2020-05-30,0.069
2020-05-31,0.092
2020-06-01,0.228
2020-06-02,0.621
2020-06-03,0.603
2020-06-04,0.25
2020-06-05,0.067
2020-06-06,0.057
2020-06-07,0.045
2020-06-08,0.23
2020-06-09,0.68
2020-06-10,0.448
2020-06-11,0.506
2020-06-12,0.497
2020-06-13,0.242
2020-06-14,0.066
2020-06-15,0.099
2020-06-16,0.467
2020-06-17,0.569
2020-06-18,0.604
2020-06-19,0.644
2020-06-20,0.473
2020-06-21,0.147
2020-06-22,0.567
2020-06-23,0.569
2020-06-24,1
2020-06-25,1
2020-06-26,1
2020-06-27,1
2020-06-28,0
2020-06-29,1
2020-06-30,1
2020-07-01,1
2020-07-02,1
2020-07-03,1
2020-07-04,1
2020-07-05,0
2020-07-06,1
2020-07-07,1
2020-07-08,1
2020-07-09,1
2020-07-10,1
2020-07-11,1
2020-07-12,0
2020-07-13,1
2020-07-14,1
2020-07-15,1
2020-07-16,1
2020-07-17,1
2020-07-18,1
2020-07-19,0
2020-07-20,1
2020-07-21,1
2020-07-22,1
2020-07-23,1
2020-07-24,1
2020-07-25,1
2020-07-26,0
2020-07-27,0
2020-07-28,1
2020-07-29,1
2020-07-30,1
2020-07-31,1
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,1
2020-08-05,1
2020-08-06,1
2020-08-07,1
2020-08-08,0
2020-08-09,0
2020-08-10,1
2020-08-11,1
2020-08-12,1
2020-08-13,1
2020-08-14,1
2020-08-15,1
2020-08-16,0
2020-08-17,1
2020-08-18,1
2020-08-19,1
2020-08-20,1
2020-08-21,1
2020-08-22,0
2020-08-23,0
2020-08-24,1
2020-08-25,1
2020-08-26,1
2020-08-27,1
2020-08-28,1
2020-08-29,0
2020-08-30,0
2020-08-31,1
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-04,1
2020-09-05,0
2020-09-06,0
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-10,1
2020-09-11,1
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,1
2020-09-16,1
2020-09-17,1
2020-09-18,1
2020-09-19,0
2020-09-20,0
2020-09-21,1
2020-09-22,1
2020-09-23,1
2020-09-24,1
2020-09-25,1
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,1
2020-09-30,1
2020-10-01,1
2020-10-02,1
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,1
2020-10-09,1
2020-10-10,1
2020-10-11,1
2020-10-12,1
2020-10-13,1
2020-10-14,1
2020-10-15,1
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,1
2020-10-21,1
2020-10-22,1
2020-10-23,1
2020-10-24,1
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,1
2020-10-29,1
2020-10-30,1
2020-10-31,1
2020-11-01,1
2020-11-02,1
2020-11-03,1
2020-11-04,1
2020-11-05,1
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,1
2020-11-11,1
2020-11-12,1
2020-11-13,1
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,1
2020-11-18,1
2020-11-19,1
2020-11-20,1
2020-11-21,0
2020-11-22,0
2020-11-23,1
2020-11-24,1
2020-11-25,1
2020-11-26,1
2020-11-27,1
2020-11-28,0
2020-11-29,0
2020-11-30,1
2020-12-01,1
2020-12-02,1
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,1
2020-12-08,1
2020-12-09,1
2020-12-10,1
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,1
2020-12-15,1
2020-12-16,1
2020-12-17,1
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,1
2020-12-22,1
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,1
2020-12-29,1
2020-12-30,1
2020-12-31,0
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,0
2021-02-02,1
2021-02-03,1
2021-02-04,1
2021-02-05,1
2021-02-06,0
2021-02-07,0
2021-02-08,1
2021-02-09,1
2021-02-10,1
2021-02-11,1
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,1
2021-03-10,1
2021-03-11,1
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,1
2021-03-17,1
2021-03-18,1
2021-03-19,1
2021-03-20,0
2021-03-21,0
2021-03-22,1
2021-03-23,1
2021-03-24,1
2021-03-25,1
2021-03-26,0
2021-03-27,0
2021-03-28,0
2021-03-29,1
2021-03-30,1
2021-03-31,1
2021-04-01,0.43
2021-04-02,0.3
2021-04-03,0.06
2021-04-04,0.21
2021-04-05,0.89
2021-04-06,1.2
2021-04-07,0.84
2021-04-08,0.19
2021-04-09,0.42
2021-04-10,0.07
2021-04-11,0.04
2021-04-12,0.59
2021-04-13,0.76
2021-04-14,1.06
2021-04-15,1.25
2021-04-16,0.71
2021-04-17,0.08
2021-04-18,0.25
2021-04-19,0.85
2021-04-20,1.24
2021-04-21,0.93
2021-04-22,0.84
2021-04-23,0.18
2021-04-24,0.07
2021-04-25,0.2
2021-04-26,1.14
2021-04-27,1.22
2021-04-28,1.18
2021-04-29,0.46
2021-04-30,0.1
2021-05-01,0
2021-05-02,0
2021-05-03,1
2021-05-04,1
2021-05-05,1
2021-05-06,1
2021-05-07,1
2021-05-08,0
2021-05-09,0
2021-05-10,1
2021-05-11,1
2021-05-12,1
2021-05-13,1
2021-05-14,0
2021-05-15,0
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,1
2021-06-02,1
2021-06-03,1
2021-06-04,1
2021-06-05,1
2021-06-06,0
2021-06-07,1
2021-06-08,1
2021-06-09,1
2021-06-10,1
2021-06-11,1
2021-06-12,0
2021-06-13,0
2021-06-14,1
2021-06-15,1
2021-06-16,1
2021-06-17,1
2021-06-18,1
2021-06-19,0
2021-06-20,0
2021-06-21,1
2021-06-22,1
2021-06-23,1
2021-06-24,1
2021-06-25,1
2021-06-26,0
2021-06-27,0
2021-06-28,0
2021-06-29,1
2021-06-30,1
2021-07-01,1
2021-07-02,1
2021-07-03,0
2021-07-04,0
2021-07-05,1
2021-07-06,1
2021-07-07,1
2021-07-08,1
2021-07-09,0
2021-07-10,0
2021-07-11,0
2021-07-12,1
2021-07-13,1
2021-07-14,1
2021-07-15,1
2021-07-16,1
2021-07-17,0
2021-07-18,0
2021-07-19,1
2021-07-20,1
2021-07-21,1
2021-07-22,1
2021-07-23,0
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,1
2021-07-28,1
2021-07-29,1
2021-07-30,1
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-03,1
2021-08-04,1
2021-08-05,1
2021-08-06,1
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,1
2021-08-11,1
2021-08-12,1
2021-08-13,1
2021-08-14,0
2021-08-15,0
