Date,MYK1,MYK7,MYK13,MYK14,MYK17,MYK19
2019-01-01,69153,56861,115,11000,0,1177
2019-01-02,38501,26584,115,11000,0,803
2019-01-03,43344,31287,115,11000,0,942
2019-01-04,52882,41053,115,11000,0,714
2019-01-05,53621,42344,115,11000,0,161
2019-01-06,60880,49016,115,11000,0,750
2019-01-07,49687,37394,115,11000,0,1179
2019-01-08,46960,34646,115,11000,0,1199
2019-01-09,47163,34713,115,11000,0,135
2019-01-10,38217,26472,115,11000,0,630
2019-01-11,42487,31222,115,11000,0,150
2019-01-12,39779,28514,115,11000,0,150
2019-01-13,61057,49793,115,11000,0,150
2019-01-14,47235,35970,115,11000,0,150
2019-01-15,26778,15514,115,11000,0,150
2019-01-16,39309,27284,115,11000,0,910
2019-01-17,50792,38773,115,11000,0,904
2019-01-18,54844,42765,115,11000,0,964
2019-01-19,52862,40898,115,11000,0,850
2019-01-20,59998,47892,115,11000,0,991
2019-01-21,56713,44683,115,11000,0,915
2019-01-22,45978,33975,115,11000,0,887
2019-01-23,42641,30504,115,11000,0,1021
2019-01-24,43116,30538,115,11000,0,1463
2019-01-25,44284,31693,115,11000,0,1476
2019-01-26,45928,33631,115,11000,0,1182
2019-01-27,53303,41014,115,11000,0,1174
2019-01-28,56537,44710,115,11000,0,712
2019-01-29,39308,27159,115,11000,0,1034
2019-01-30,47342,35044,115,11000,0,1183
2019-01-31,53084,40640,115,11000,0,1329
2019-02-01,61652,49100,115,11000,0,1436
2019-02-02,58229,45785,115,11000,0,1329
2019-02-03,54916,42568,115,11000,0,1233
2019-02-04,49723,37177,115,11000,0,1432
2019-02-05,33219,20604,115,11000,0,1500
2019-02-06,46867,34117,115,11000,0,1636
2019-02-07,45284,32698,115,11000,0,1471
2019-02-08,48749,36298,115,11000,0,1335
2019-02-09,49681,37605,115,11000,0,961
2019-02-10,50670,38403,115,11000,0,1152
2019-02-11,47207,34546,115,11000,0,1546
2019-02-12,44052,31490,115,11000,0,1447
2019-02-13,37395,24805,115,11000,0,1476
2019-02-14,38680,25793,115,11000,0,1772
2019-02-15,44986,31592,115,11000,0,2279
2019-02-16,49680,36852,115,11000,0,1713
2019-02-17,57636,45239,115,11000,0,1282
2019-02-18,58734,45832,115,11000,0,1786
2019-02-19,52448,39184,115,11000,0,2150
