Date,MYK1,MYK2,MYK3,MYK4,MYK5,MYK6,MYK8,MYK9,MYK10,MYK11,MYK12,MYK15,MYK16,MYK18
2019-01-01,69153,0,0,0,0,27979,5809,132,268,76,58,0,0,326
2019-01-02,38501,0,0,0,0,37002,7489,868,1311,664,989,0,0,640
2019-01-03,43344,0,0,0,0,37230,8380,784,1231,654,1297,0,0,1095
2019-01-04,52882,0,0,0,0,36207,8228,465,1302,633,1121,0,0,1115
2019-01-05,53621,0,0,0,0,33517,8037,755,945,504,1308,0,0,910
2019-01-06,60880,386,0,0,0,31408,7146,711,188,90,1146,0,0,617
2019-01-07,49687,392,0,0,0,36272,7218,970,1088,605,994,0,0,1116
2019-01-08,46960,397,0,0,0,35522,7365,977,1220,704,896,0,0,943
2019-01-09,47163,414,0,0,0,34972,7095,1021,1274,652,1101,0,0,41
2019-01-10,38217,415,0,0,0,36290,7895,1022,1289,679,1076,0,0,1168
2019-01-11,42487,143,0,0,0,37858,7964,832,1249,643,1239,0,0,1379
2019-01-12,39779,0,0,0,0,33286,7901,781,401,544,993,0,0,1266
2019-01-13,61057,0,0,0,0,32110,7970,693,272,108,1302,0,0,1337
2019-01-14,47235,0,0,0,0,35874,8085,965,1246,639,968,0,0,1275
2019-01-15,26778,0,0,0,0,35328,7892,1024,1263,716,1351,0,0,1275
2019-01-16,39309,0,0,0,0,40230,8209,1031,1332,685,937,0,0,556
2019-01-17,50792,0,0,0,0,39281,7813,1023,1284,696,1292,0,0,1197
2019-01-18,54844,0,0,0,0,39906,7727,1036,1254,657,1325,0,0,1419
2019-01-19,52862,0,0,0,0,35196,7551,1017,312,565,1124,0,0,1369
2019-01-20,59998,0,0,0,0,29529,7865,763,279,104,411,0,0,1341
2019-01-21,56713,0,0,0,0,35243,8278,981,1236,669,182,0,0,1277
2019-01-22,45978,0,0,0,0,36452,8012,993,1310,704,203,0,0,1096
2019-01-23,42641,0,0,0,0,35746,7992,948,1277,681,64,0,0,421
2019-01-24,43116,251,0,0,0,36077,8585,988,1292,692,956,0,0,916
2019-01-25,44284,1406,0,0,0,35621,7937,993,1175,662,1004,0,0,1107
2019-01-26,45928,199,0,0,0,32093,7706,1028,318,510,1270,0,0,1193
2019-01-27,53303,1,0,0,0,28592,8016,765,203,73,1030,0,0,1290
2019-01-28,56537,20,0,0,0,30270,7651,1008,1288,660,1306,0,0,719
2019-01-29,39308,0,0,0,0,34248,6990,987,1266,737,1257,0,0,496
2019-01-30,47342,0,0,0,0,36480,6964,978,1270,651,1317,0,0,1195
2019-01-31,53084,0,0,0,0,39913,7274,948,1375,688,1286,0,0,1355
2019-02-01,61652,0,0,0,0,37615,6774,933,1073,717,1200,0,0,1433
2019-02-02,58229,0,0,0,0,37289,2545,956,255,575,1068,0,0,1356
2019-02-03,54916,0,0,0,0,39616,2360,683,206,82,1193,0,0,1131
2019-02-04,49723,0,0,0,0,38367,2525,361,927,632,995,0,0,1137
2019-02-05,33219,955,0,0,0,40068,6393,980,1216,684,917,0,0,1323
2019-02-06,46867,1,0,0,0,40017,7413,1003,1276,678,1271,0,0,679
2019-02-07,45284,0,0,0,0,38145,7322,997,1236,649,1361,0,0,583
2019-02-08,48749,0,0,0,0,37092,8168,1010,1242,669,1179,0,0,981
2019-02-09,49681,0,0,0,0,35876,8050,964,157,576,1055,0,0,1283
2019-02-10,50670,0,0,0,0,32500,7655,730,269,87,1150,0,0,924
2019-02-11,47207,0,0,0,0,38605,6303,956,1196,650,1149,0,0,1028
2019-02-12,44052,0,0,0,0,36857,6473,1007,1300,733,1308,0,0,1036
2019-02-13,37395,251,0,0,0,35950,6582,1037,1313,706,1283,0,0,398
2019-02-14,38680,235,0,0,0,38854,6950,973,1296,723,1265,0,0,525
2019-02-15,44986,0,0,0,0,39972,7130,974,1199,668,1014,0,0,978
2019-02-16,49680,0,0,0,0,38651,6847,936,204,330,1299,0,0,773
2019-02-17,57636,0,0,0,0,37665,6992,717,215,73,1094,0,0,840
2019-02-18,58734,0,0,0,0,42134,5926,1004,1059,677,1247,0,0,642
2019-02-19,52448,0,0,0,0,38886,6250,1028,1240,712,1339,0,0,673
2019-02-20,36705,0,0,0,0,39134,6983,1040,1229,681,1098,0,0,609
2019-02-21,54657,0,0,0,0,39559,7146,1004,1210,688,1242,0,0,1040
2019-02-22,56695,0,0,0,0,40204,7002,951,1089,696,1328,0,0,868
2019-02-23,41977,0,0,0,0,40202,7071,952,388,312,299,0,0,983
2019-02-24,44625,54,0,0,0,34248,6724,734,209,77,627,0,0,956
2019-02-25,73063,437,0,0,0,40197,6507,953,1039,660,549,0,0,1015
2019-02-26,56497,15,0,0,0,39182,7496,1002,1085,683,953,0,0,748
2019-02-27,56498,228,0,0,0,39351,7352,1004,1250,703,1209,0,0,451
2019-02-28,55098,316,0,0,0,40075,5763,986,1171,714,1097,0,0,613
2019-03-01,66546,0,0,0,0,69810,7325,613,297,61,1713,0,0,93
2019-03-02,92687,0,0,0,0,81321,7318,814,1297,700,2128,0,0,755
2019-03-03,117779,0,0,0,0,85930,7729,840,1222,709,1754,0,0,752
2019-03-04,72056,0,0,0,0,84951,8256,848,1258,712,1991,0,0,717
2019-03-05,116176,0,0,0,0,80328,8693,882,1280,718,1964,0,0,958
2019-03-06,109653,36,0,0,0,82216,8861,874,1067,705,2072,0,0,722
2019-03-07,53471,0,0,0,0,74163,8529,825,208,726,2157,0,0,140
2019-03-08,87797,0,0,0,0,73326,8628,569,282,15,2089,0,0,101
2019-03-09,128358,0,0,0,0,77531,8345,840,1157,83,2238,0,0,711
2019-03-10,65555,0,0,0,0,81327,8301,850,1336,639,1874,0,0,1061
2019-03-11,121705,0,0,0,0,81651,8449,832,1255,706,2176,0,0,1013
2019-03-12,118137,0,0,0,0,82929,8415,827,1219,703,2093,0,0,702
2019-03-13,47514,0,0,0,0,74768,8046,817,1090,698,2020,0,0,438
2019-03-14,57428,0,0,0,0,48981,8006,835,233,576,1886,0,0,161
2019-03-15,58861,0,0,0,0,60412,7830,490,287,0,1785,0,0,0
2019-03-16,101101,0,0,0,0,84478,6898,491,1271,79,2148,0,0,140
2019-03-17,121872,24,0,0,0,84117,7182,849,1233,724,2125,0,0,667
2019-03-18,106641,46,0,0,0,82464,7559,837,1236,764,2077,0,0,974
2019-03-19,48019,0,14,0,0,84315,7441,810,1220,770,2238,0,0,673
2019-03-20,111190,0,56,0,0,84598,7390,826,1143,624,2121,0,0,434
2019-03-21,122115,0,0,0,0,79777,7183,827,232,448,2079,0,0,230
2019-03-22,38975,0,0,0,0,74015,7335,631,278,64,1915,0,0,101
2019-03-23,115420,0,0,0,0,89692,7009,719,1275,649,2243,0,0,257
2019-03-24,109031,0,0,0,0,90096,7348,317,1233,825,2145,0,0,408
2019-03-25,102138,0,0,0,0,89768,8911,313,1173,823,1867,0,0,676
2019-03-26,115894,0,0,0,0,89844,9130,262,1245,825,2369,0,0,795
2019-03-27,111671,0,0,0,0,89380,8793,313,1095,819,2054,0,0,947
2019-03-28,102998,0,0,0,0,89176,8404,269,314,433,2033,0,0,137
2019-03-29,72645,0,0,0,0,89343,8449,25,326,52,2031,0,0,120
2019-03-30,112342,0,0,0,0,89382,8539,291,1274,733,2446,0,0,326
2019-03-31,104225,0,0,0,0,89324,8377,292,1199,815,2122,0,0,447
2019-04-01,101048,0,0,0,0,89206,8892,314,1321,798,2019,0,0,441
2019-04-02,126912,0,0,0,0,89733,8662,299,1249,788,2324,0,0,302
2019-04-03,97502,0,0,0,0,83773,8062,304,1126,772,2227,0,0,263
2019-04-04,64961,0,0,0,0,81130,7673,305,236,662,2054,0,0,140
2019-04-05,114797,0,0,0,0,85501,8217,315,274,621,1831,0,0,83
2019-04-06,106916,0,0,0,0,90138,7964,323,1220,717,2198,0,0,294
2019-04-07,99776,0,0,0,0,89899,8033,409,1166,631,1946,0,0,403
