"","Date","NRBJ01","dc"
"1",2014-10-01,291196,618000
"2",2014-10-02,318098,618000
"3",2014-10-03,231204,618000
"4",2014-10-04,287153,618000
"5",2014-10-05,303035,618000
"6",2014-10-06,267642,618000
"7",2014-10-07,348525,618000
"8",2014-10-08,353002,618000
"9",2014-10-09,336189,618000
"10",2014-10-10,330293,618000
"11",2014-10-11,306477,618000
"12",2014-10-12,291587,618000
"13",2014-10-13,286120,618000
"14",2014-10-14,309424,618000
"15",2014-10-15,317469,618000
"16",2014-10-16,297682,618000
"17",2014-10-17,293260,618000
"18",2014-10-18,304521,618000
"19",2014-10-19,304526,618000
"20",2014-10-20,266395,618000
"21",2014-10-21,295328,618000
"22",2014-10-22,340569,618000
"23",2014-10-23,332787,618000
"24",2014-10-24,332605,618000
"25",2014-10-25,273667,618000
"26",2014-10-26,282516,618000
"27",2014-10-27,266663,618000
"28",2014-10-28,295837,618000
"29",2014-10-29,305799,618000
"30",2014-10-30,310971,618000
"31",2014-10-31,297627,618000
"32",2014-11-01,251278,618000
"33",2014-11-02,227262,618000
"34",2014-11-03,251468,618000
"35",2014-11-04,310679,618000
"36",2014-11-05,261193,618000
"37",2014-11-06,285280,618000
"38",2014-11-07,293851,618000
"39",2014-11-08,268459,618000
"40",2014-11-09,278290,618000
"41",2014-11-10,270479,618000
"42",2014-11-11,300269,618000
"43",2014-11-12,289882,618000
"44",2014-11-13,278903,618000
"45",2014-11-14,289070,618000
"46",2014-11-15,215636,618000
"47",2014-11-16,224711,618000
"48",2014-11-17,207129,618000
"49",2014-11-18,274472,618000
"50",2014-11-19,291792,618000
"51",2014-11-20,261372,618000
"52",2014-11-21,221552,618000
"53",2014-11-22,234385,618000
"54",2014-11-23,234451,618000
"55",2014-11-24,234469,618000
"56",2014-11-25,200975,618000
"57",2014-11-26,255755,618000
"58",2014-11-27,290008,618000
"59",2014-11-28,310790,618000
"60",2014-11-29,310086,618000
"61",2014-11-30,277280,618000
"62",2014-12-01,259854,618000
"63",2014-12-02,293510,618000
"64",2014-12-03,344265,618000
"65",2014-12-04,333240,618000
"66",2014-12-05,308532,618000
"67",2014-12-06,253729,618000
"68",2014-12-07,248794,618000
"69",2014-12-08,233322,618000
"70",2014-12-09,254308,618000
"71",2014-12-10,327474,618000
"72",2014-12-11,309483,618000
"73",2014-12-12,306398,618000
"74",2014-12-13,293250,618000
"75",2014-12-14,289618,618000
"76",2014-12-15,293617,618000
"77",2014-12-16,346022,618000
"78",2014-12-17,365029,618000
"79",2014-12-18,362431,618000
"80",2014-12-19,332624,618000
"81",2014-12-20,318675,618000
"82",2014-12-21,310459,618000
"83",2014-12-22,269531,0
"84",2014-12-23,234444,0
"85",2014-12-24,275680,0
"86",2014-12-25,265574,0
"87",2014-12-26,261899,0
"88",2014-12-27,242011,0
"89",2014-12-28,232196,0
