Date,NER1,NER2,NER3,NER4,NER5
2019-09-25,279790,68579,118000,47478,45734
2019-09-26,345967,110489,141893,47478,46107
2019-09-27,,,,,
2019-09-28,,,,,
2019-09-29,,,,,
2019-09-30,,,,,
2019-10-01,,,,,
2019-10-02,,,,,
2019-10-03,,,,,
2019-10-04,,,,,
2019-10-05,,,,,
2019-10-06,,,,,
2019-10-07,,,,,
2019-10-08,,,,,
2019-10-09,,,,,
2019-10-10,,,,,
2019-10-11,,,,,
2019-10-12,,,,,
2019-10-13,,,,,
2019-10-14,,,,,
2019-10-15,,,,,
2019-10-16,,,,,
2019-10-17,264431,115999,84910,47241,14494
2019-10-18,394519,135048,114000,47241,95511
2019-10-19,,,,,
2019-10-20,336158,84405,86999,47241,115213
2019-10-21,336158,126193,109998,47241,50426
2019-10-22,409634,135048,113000,47241,111520
2019-10-23,404104,135048,110999,47241,108030
2019-10-24,400087,135048,108000,47241,107041
2019-10-25,380619,135048,93000,47241,102711
2019-10-26,,,,,
2019-10-27,225991,77672,31634,47241,67930
2019-10-28,396015,135048,110000,47241,100999
2019-10-29,368298,135048,78000,39764,112942
2019-10-30,342113,135048,72000,45731,86988
2019-10-31,,,,,
2019-11-01,,,,,
2019-11-02,,,,,
2019-11-03,256823,105506,44450,47241,58131
2019-11-04,321671,135053,75003,47241,62489
2019-11-05,332248,135053,80004,47241,68002
2019-11-06,328577,135053,75002,47241,69354
2019-11-07,332249,135053,80003,47241,68003
2019-11-08,332295,135053,80002,47241,68050
2019-11-09,,,,,
2019-11-10,357345,135054,75003,47241,97946
2019-11-11,47478,0,0,47241,0
2019-11-12,374504,135053,80003,47241,110005
2019-11-13,366456,135048,77000,47241,105012
2019-11-14,372492,135054,76002,47241,112003
2019-11-15,368468,135053,77002,47241,107004
2019-11-16,,,,,
2019-11-17,,,,,
2019-11-18,213378,42582,78003,40843,50709
2019-11-19,332862,135052,40003,40843,115004
2019-11-20,325818,135054,38002,40843,110003
2019-11-21,323805,135052,38001,40843,108003
2019-11-22,309722,135048,35010,40843,97001
2019-11-23,,,,,
2019-11-24,312798,135053,28001,40843,100669
2019-11-25,312798,135053,38002,40843,90669
2019-11-26,322187,135053,38001,47241,100004
2019-11-27,318666,135053,38001,47241,96504
2019-11-28,318666,135053,38001,47241,96504
2019-11-29,322188,135053,38001,47241,100005
2019-11-30,,,,,
2019-12-01,351689,135048,78000,41999,94949
2019-12-02,351689,135048,78000,41999,94949
2019-12-03,353751,135048,75000,41999,100001
2019-12-04,353752,135048,75000,41999,100001
2019-12-05,360886,135048,80000,41999,102101
2019-12-06,358777,135048,80000,41999,100002
2019-12-07,332249,135053,80003,47241,68003
2019-12-08,313894,135048,28001,41999,107335
2019-12-09,356096,135048,78000,41999,99335
2019-12-10,356601,131883,78000,41999,103001
2019-12-11,338514,131883,60000,41999,103001
2019-12-12,341694,135048,60000,41999,103000
2019-12-13,341694,135048,60001,41999,103000
2019-12-14,,,,,
2019-12-15,338344,135048,55000,41999,104667
2019-12-16,338344,135048,60000,41999,99667
2019-12-17,309334,135048,70000,41999,60797
2019-12-18,311549,135048,30000,41999,103001
2019-12-19,,,,,
2019-12-20,303509,135048,30000,41999,95001
2019-12-21,306954,135048,30000,43879,96550
2019-12-22,306954,135048,30000,43879,96550
2019-12-23,328612,135048,30000,43879,118103
2019-12-24,308784,135048,30000,47249,95000
2019-12-25,307780,135048,28000,47249,96001
2019-12-26,307780,135048,30000,47249,94001
2019-12-27,,,,,
2019-12-28,,,,,
2019-12-29,,,,,
2019-12-30,254125,103437,30000,47249,72215
2019-12-31,259511,135048,30000,47249,72340
2020-01-01,211275,135048,0,53585,21766
2020-01-02,157467,135048,21766,53585,0
2020-01-03,269681,135048,30000,53585,103516
2020-01-04,241985,112983,30000,53585,98001
2020-01-05,264142,135048,30000,53585,98001
2020-01-06,264142,135048,30000,53585,98001
2020-01-07,313628,135048,30000,53585,100002
2020-01-08,324738,135048,30000,53585,104761
2020-01-09,319959,135048,30000,53585,100002
2020-01-10,324980,135048,30000,53585,105002
2020-01-11,324980,135048,30000,53585,105002
2020-01-12,324980,135048,30000,53585,105002
2020-01-13,324980,135048,30000,53585,105002
2020-01-14,318913,135048,30000,47544,105002
2020-01-15,320658,135048,30000,47281,107002
2020-01-16,310705,135048,30000,47807,96564
2020-01-17,283503,135048,30000,47281,70000
2020-01-18,269593,89367,53172,45180,80759
2020-01-19,296455,135048,30000,45180,85001
2020-01-20,296455,135048,30000,45180,85001
2020-01-21,311518,135048,30000,45180,100002
2020-01-22,324980,135048,40000,53585,95000
2020-01-23,340042,135048,40000,53585,110000
2020-01-24,342050,135048,40000,53585,112000
2020-01-25,,,,,
2020-01-26,318953,135048,30001,53585,98999
2020-01-27,342050,135048,40000,53585,112000
2020-01-28,342050,135048,40000,53585,112000
2020-01-29,335725,135048,40000,47281,112005
2020-01-30,297548,135048,30000,26267,105002
2020-01-31,308607,135048,30000,47281,95002
2020-02-01,,,,,
2020-02-02,272255,87761,30000,53639,100001
2020-02-03,319691,135048,30000,53639,100000
2020-02-04,319691,135048,30000,53639,100000
2020-02-05,324706,135048,30001,53639,104999
2020-02-06,329722,135048,40000,53639,100000
2020-02-07,319691,135048,30001,53639,99999
2020-02-08,,,,,
2020-02-09,252257,124493,0,53639,73334
2020-02-10,305010,127081,40000,53639,83333
2020-02-11,325497,135048,35786,53639,100003
2020-02-12,276255,135048,10000,53639,76701
2020-02-13,297098,129525,15000,53639,98000
2020-02-14,299104,129525,10000,53639,105001
2020-02-15,301616,129525,15000,43121,113022
2020-02-16,301616,129525,15000,43121,113022
2020-02-17,311648,129525,25000,43121,113022
2020-02-18,296076,129525,35000,43121,87501
2020-02-19,306575,135048,20443,43121,107001
2020-02-20,282054,135048,0,43121,103000
2020-02-21,306131,135048,20000,43121,107001
2020-02-22,,,,,
2020-02-23,176517,96199,20000,43121,16641
2020-02-24,300485,135048,20000,43121,101372
2020-02-25,318727,135048,30000,43121,109557
2020-02-26,304124,135048,20000,43121,105000
2020-02-27,304124,135048,20000,43121,105000
2020-02-28,311085,135048,20000,52062,102999
2020-02-29,,,,,
2020-03-01,259545,135048,10000,53705,60292
2020-03-02,302335,135048,10000,53705,103001
2020-03-03,301513,124228,20000,53705,103000
2020-03-04,327644,135048,45000,53705,93261
2020-03-05,334396,135048,45001,53705,99999
2020-03-06,327383,135048,38000,53705,100000
2020-03-07,,,,,
2020-03-08,,,,,
2020-03-09,317099,0,0,53705,0
2020-03-10,317099,0,0,53705,0
2020-03-11,297772,0,0,53705,0
2020-03-12,287646,0,0,53705,0
2020-03-13,289173,135048,0,53705,99865
2020-03-14,210738,101991,0,43174,65166
2020-03-15,,,,,
2020-03-16,226564,117898,0,43174,65055
2020-03-17,301609,140323,0,53705,107000
2020-03-18,292315,135048,0,53705,102999
2020-03-19,294251,135048,0,53705,104932
2020-03-20,328455,135048,34071,53705,105000
2020-03-21,303549,135048,9970,42121,115826
2020-03-22,261347,145046,0,42121,73675
2020-03-23,287723,145048,0,42121,100000
2020-03-24,299055,135048,0,53705,109726
2020-03-25,329455,135048,30001,53705,110068
2020-03-26,331391,135048,32000,46333,110001
2020-03-27,291944,135048,0,46333,110000
2020-03-28,,,,,
2020-03-29,296994,135048,0,40015,121359
2020-03-30,268244,135045,0,40015,92666
2020-03-31,283255,135048,0,37593,110069
2020-04-01,337311,135048,34000,48446,119218
2020-04-02,317481,135048,15000,48446,118423
2020-04-03,310826,141800,0,48446,120027
2020-04-04,300780,141800,0,48446,109998
2020-04-05,147971,116057,0,31652,0
2020-04-06,292339,141800,0,40021,109998
2020-04-07,299193,141800,0,36862,119999
2020-04-08,279916,141800,0,31596,106023
2020-04-09,268667,141800,0,31596,94794
2020-04-10,237869,141800,0,36862,58785
2020-04-11,,,,,
