Date,NER1,NER2,NER3,NER4,NER5
2019-09-18,143670,0,121143,49636,73350
2019-09-19,151363,0,115424,48577,73430
2019-09-20,128595,0,105492,48647,73287
2019-09-21,168910,0,119578,42525,73489
2019-09-22,139812,0,108879,39354,73146
2019-09-23,137242,0,112147,46828,73615
2019-09-24,164856,18,121971,51146,73621
2019-09-25,,,,,
2019-09-26,,,,,
2019-09-27,,,,,
2019-09-28,,,,,
2019-09-29,,,,,
2019-09-30,,,,,
2019-10-01,,,,,
2019-10-02,,,,,
2019-10-03,318659,141747,121748,50613,78965
2019-10-04,386877,141497,114291,48685,133430
2019-10-05,312633,141811,78704,41410,1229814
2019-10-06,324410,136548,79902,38545,139962
2019-10-07,318916,113935,99077,49562,123648
2019-10-08,323764,141676,96148,49890,124507
2019-10-09,296475,142015,70571,46180,117506
2019-10-10,348045,142088,94882,48759,16901
2019-10-11,250177,42533,94854,49695,117421
2019-10-12,210657,33,77997,43133,113569
2019-10-13,217620,68149,58064,39227,108746
2019-10-14,279951,135223,73270,49516,116713
2019-10-15,343032,135169,107378,50863,117566
2019-10-16,308770,105508,93183,52753,114585
2019-10-17,236932,139073,101211,51583,1470
2019-10-18,267455,142761,121310,49594,6901
2019-10-19,254226,82221,104139,37182,107232
2019-10-20,245413,68143,89115,35454,115845
2019-10-21,318955,112225,104533,45418,116573
2019-10-22,277826,138819,90953,46770,114850
2019-10-23,299007,139048,81578,44842,117914
2019-10-24,313605,116058,90386,45826,116765
2019-10-25,273762,56012,66469,46297,97991
2019-10-26,175310,99701,27199,39976,40732
2019-10-27,169301,102515,57250,37668,46419
2019-10-28,253066,133590,68301,47990,72778
2019-10-29,227128,138746,75035,50878,72515
2019-10-30,212628,117113,64987,53256,72033
2019-10-31,229658,134637,67155,53739,72386
2019-11-01,247233,135107,66036,45808,78018
2019-11-02,268014,99527,60283,41248,70027
2019-11-03,210503,92935,57801,37039,64813
2019-11-04,272566,136469,75993,46662,72739
2019-11-05,257242,137502,74511,47681,72889
2019-11-06,259069,140029,81189,42310,72880
2019-11-07,269069,139354,77649,46253,72992
2019-11-08,289626,142088,84579,46890,101427
2019-11-09,319995,138491,74025,42350,118942
2019-11-10,270116,96445,59193,39911,109123
2019-11-11,275897,120905,64099,49675,107356
2019-11-12,304091,142770,80666,53189,101083
2019-11-13,320463,140112,79617,55796,116828
2019-11-14,281216,94315,69714,53091,115868
2019-11-15,285267,132127,59238,49533,94620
2019-11-16,257393,105201,52267,41522,97019
2019-11-17,236436,96221,29137,35678,91667
2019-11-18,195013,114457,29111,40946,105987
2019-11-19,229427,112376,29179,50100,104552
2019-11-20,270509,122094,29183,50517,92547
2019-11-21,244723,126195,38700,48955,105360
2019-11-22,220117,123565,29209,46829,105360
2019-11-23,242924,142059,29153,41909,105137
2019-11-24,255427,135124,29168,40074,97575
2019-11-25,277342,142544,43855,49365,115404
2019-11-26,281913,142859,56372,49351,115924
2019-11-27,243522,132022,46885,52385,115619
2019-11-28,260243,141140,53619,50624,116076
2019-11-29,254017,138933,37932,46896,116066
2019-11-30,294457,139092,37273,32405,115452
2019-12-01,233056,112286,29257,37227,103940
2019-12-02,241784,141217,37297,48262,115806
2019-12-03,257572,141546,54096,48224,116122
2019-12-04,261994,141135,39950,43359,115648
2019-12-05,257573,133986,36785,45243,115648
2019-12-06,248015,139103,58042,41723,115622
2019-12-07,238705,129295,47415,35979,110476
2019-12-08,206328,87685,29213,35349,91668
2019-12-09,224807,142925,40524,44866,111985
2019-12-10,246111,139959,58790,47407,97847
2019-12-11,245333,11423,58736,48864,98776
2019-12-12,,,,,
2019-12-13,282127,135290,65357,46415,109382
2019-12-14,255403,92983,47596,38367,66524
2019-12-15,196270,86301,29156,37789,93749
2019-12-16,211927,115257,29873,49124,103916
2019-12-17,223132,116291,29117,51834,102927
2019-12-18,250025,142456,29130,52677,117611
2019-12-19,272703,141913,33453,52059,119306
2019-12-20,,,,,
2019-12-21,,,,,
2019-12-22,,,,,
2019-12-23,,,,,
2019-12-24,193850,64656,29129,23220,80119
2019-12-25,40744,20780,31192,23092,1641
2019-12-26,108417,88810,35736,38142,49626
2019-12-27,235117,54614,34832,39291,114443
2019-12-28,126104,64483,32254,36078,111404
2019-12-29,201772,109192,28999,35243,103353
2019-12-30,207681,93840,29011,37560,93880
2019-12-31,181451,107736,29059,26356,96357
2020-01-01,200485,121797,28945,23523,110090
2020-01-02,218558,124968,29050,47383,112560
2020-01-03,218650,98480,29207,51188,67559
2020-01-04,131435,70728,16404,25546,19805
2020-01-05,,,,,
2020-01-06,271071,129991,15442,54708,112409
2020-01-07,254884,123568,31803,57348,95804
2020-01-08,249909,123981,32624,52748,104082
2020-01-09,242327,120971,34134,55263,118737
2020-01-10,255550,130003,29129,52469,114981
2020-01-11,247850,117495,30896,46286,111908
2020-01-12,226775,118823,32936,43138,102803
2020-01-13,269723,137999,37457,55735,117171
2020-01-14,229467,141754,35694,54854,53864
2020-01-15,176371,141924,38900,56036,4150
2020-01-16,184468,137242,39939,54579,9917
2020-01-17,163640,136355,42405,52751,827
2020-01-18,155187,125524,37590,44941,833
2020-01-19,131873,121096,34117,43900,26622
2020-01-20,193764,135590,39582,57109,96566
2020-01-21,246512,125409,38976,53883,119355
2020-01-22,275719,141661,42714,54225,117252
2020-01-23,263916,133349,36041,50709,112533
2020-01-24,222402,114328,29905,50460,106197
2020-01-25,238081,123557,29606,41303,109600
2020-01-26,224553,113215,30892,38610,104075
2020-01-27,233499,125466,19722,49118,110423
2020-01-28,232282,109554,29336,51550,92762
2020-01-29,207415,108524,29125,53197,86222
2020-01-30,215090,117094,31628,51966,106302
2020-01-31,246185,123582,29097,49229,107531
2020-02-01,221041,99817,29111,41851,96040
2020-02-02,208319,86732,20142,34492,76254
2020-02-03,167276,90043,25037,40079,83330
2020-02-04,195490,127113,35205,51631,112957
2020-02-05,244862,111203,30115,56056,114728
2020-02-06,223834,114861,38485,54948,110220
2020-02-07,204944,91852,19489,51793,98233
2020-02-08,207959,89764,22,44448,92567
2020-02-09,148639,109870,0,41687,92776
2020-02-10,182239,142158,2974,52073,117926
2020-02-11,226363,119017,11036,56415,104935
