Date,NMYK1,NMYK2
2021-01-01,140338,130001
2021-01-02,153074,141000
2021-01-03,146845,135001
2021-01-04,89007,76000
2021-01-05,88839,76000
2021-01-06,94521,82000
2021-01-07,93552,81000
2021-01-08,111071,99500
2021-01-09,92978,81000
2021-01-10,102777,91000
2021-01-11,54919,41500
2021-01-12,99255,86000
2021-01-13,94663,81501
2021-01-14,137792,125000
2021-01-15,152661,140001
2021-01-16,149251,138001
2021-01-17,149047,138001
2021-01-18,150780,138001
2021-01-19,151380,138001
2021-01-20,155408,142001
2021-01-21,159441,146001
2021-01-22,171408,158501
2021-01-23,154289,138000
2021-01-24,124100,108000
2021-01-25,152784,140000
2021-01-26,156165,143000
2021-01-27,194874,182000
2021-01-28,155928,143001
2021-01-29,155048,143001
2021-01-30,164076,143001
2021-01-31,163469,143001
2021-02-01,165949,143501
2021-02-02,159311,146001
2021-02-03,159521,146001
2021-02-04,181559,168501
2021-02-05,191213,178000
2021-02-06,161708,150000
2021-02-07,161503,150000
2021-02-08,178490,166000
2021-02-09,179708,167000
2021-02-10,189500,176000
2021-02-11,192066,179000
2021-02-12,161222,150000
2021-02-13,160216,149001
2021-02-14,159808,149001
2021-02-15,161582,149001
2021-02-16,82240,70025
2021-02-17,96594,85000
2021-02-18,96496,85000
2021-02-19,154971,145001
2021-02-20,147826,139001
2021-02-21,147665,139001
2021-02-22,59451,50587
2021-02-23,152292,140001
2021-02-24,169373,159000
2021-02-25,169712,160000
2021-02-26,166406,155000
2021-02-27,7095,
2021-02-28,149646,146001
2021-03-01,147572,136155
2021-03-02,118251,108000
2021-03-03,121937,111068
2021-03-04,147027,135280
2021-03-05,186362,174379
2021-03-06,168466,157000
2021-03-07,111035,99852
2021-03-08,110063,98642
2021-03-09,149487,137297
2021-03-10,70642,58000
2021-03-11,129823,118001
2021-03-12,106887,95000
2021-03-13,121465,110001
2021-03-14,126097,115001
2021-03-15,136388,125001
2021-03-16,127074,115001
2021-03-17,137020,125001
2021-03-18,142836,130931
2021-03-19,139860,128001
2021-03-20,137545,126001
2021-03-21,137177,126001
2021-03-22,137465,126001
2021-03-23,140179,128001
2021-03-24,168442,156000
2021-03-25,138086,126001
2021-03-26,147782,136001
2021-03-27,138129,126001
2021-03-28,167687,156000
2021-03-29,138037,126001
2021-03-30,138312,126001
2021-03-31,132442,120000
2021-04-01,107599,96000
2021-04-02,97380,86000
2021-04-03,91354,80000
2021-04-04,91037,80000
2021-04-05,91318,80000
2021-04-06,91703,80000
2021-04-07,131516,120000
2021-04-08,134878,123000
2021-04-09,116179,104400
2021-04-10,87024,74999
2021-04-11,149738,138001
2021-04-12,149964,138001
2021-04-13,150421,138001
2021-04-14,161352,148859
2021-04-15,158735,152000
2021-04-16,166295,159560
2021-04-17,156637,150000
2021-04-18,161537,150000
2021-04-19,161637,150000
2021-04-20,164530,151533
2021-04-21,165105,152000
2021-04-22,108129,95000
2021-04-23,108183,95000
2021-04-24,104453,92000
2021-04-25,124414,112000
2021-04-26,167453,155000
2021-04-27,159486,147001
2021-04-28,170553,158000
2021-04-29,178834,166000
2021-04-30,177667,165000
2021-05-01,174593,163000
2021-05-02,174563,162999
2021-05-03,190104,178000
