Date,NMYK1,NMYK3,NMYK4,NMYK5,NMYK6,NMYK7,NMYK8,NMYK9,NMYK10,NMYK11,NMYK12,NMYK13,NMYK14,NMYK15,NMYK16,NMYK17,NMYK18,NMYK19,NMYK20
2021-01-01,81480,5519,4818,0,0,60959,65530,4137,400,27,0,43,0,0,92,5,192,107,0
2021-01-02,143121,5584,6490,0,0,61219,67382,4474,1757,391,0,103,64,0,161,247,797,165,0
2021-01-03,150769,5354,6490,0,0,30804,72878,4320,1760,479,402,45,266,1,206,288,307,138,0
2021-01-04,51200,5632,7375,0,0,0,83811,4984,1611,479,1442,52,723,49,1017,309,1394,648,0
2021-01-05,9702,5661,7178,0,0,0,63777,4645,1986,476,1515,141,688,45,904,266,1375,729,0
2021-01-06,63946,5638,6883,0,0,4692,48633,4809,1844,447,1492,110,700,30,1314,299,1332,752,0
2021-01-07,73928,5806,5618,1127,0,30734,43312,4796,1829,456,1508,143,711,26,1185,296,1353,667,0
2021-01-08,128746,5653,5618,300,0,17650,34330,5153,1834,243,1505,43,704,21,721,310,901,696,0
2021-01-09,147340,5577,5801,600,0,0,54923,5704,1964,177,1446,149,761,26,187,292,571,635,0
2021-01-10,113718,5376,5801,600,0,0,66949,5471,1718,484,1444,47,190,5,208,276,257,492,0
2021-01-11,72188,5641,7178,600,0,0,84393,5591,1566,488,1501,157,571,15,898,271,1335,685,0
2021-01-12,70590,5522,6883,850,0,0,86662,5382,2012,480,1495,50,653,44,783,290,1329,722,0
2021-01-13,108670,5527,6785,850,0,7150,85866,5482,2044,399,1480,85,658,36,699,298,1377,772,0
2021-01-14,145072,5557,6293,942,0,55556,86927,5141,1925,488,1440,143,704,41,888,319,1382,730,0
2021-01-15,159723,5612,6293,755,0,62613,83511,5269,1784,276,1571,97,776,0,786,0,1094,730,0
2021-01-16,157860,5542,4818,890,0,62037,77896,5223,1808,176,1474,119,628,0,396,0,226,688,0
2021-01-17,150285,5338,4818,890,0,59913,70246,5232,1852,487,1491,88,256,0,223,0,324,475,0
2021-01-18,112172,5596,6293,890,0,59480,67894,5254,1532,476,1576,62,656,0,819,0,1467,743,0
2021-01-19,168881,5606,6883,890,0,62507,84214,4579,1920,478,1582,86,678,0,854,0,1335,732,0
2021-01-20,158844,5509,6883,1015,0,62397,83878,4948,1887,444,1628,75,543,0,825,0,1338,736,0
2021-01-21,159881,5557,6785,1098,0,64752,86581,5314,1388,484,1616,148,781,0,795,0,1330,789,0
2021-01-22,173750,5659,6490,759,0,85321,79248,5797,1799,222,1545,95,572,0,852,0,1090,753,0
2021-01-23,165794,5636,4818,5835,0,82569,48018,5861,1833,186,1507,108,682,0,410,0,100,687,0
2021-01-24,136493,5447,4818,5835,0,67002,40552,5800,1837,478,1509,85,587,0,250,0,238,418,0
2021-01-25,157620,5656,6293,835,0,103205,47958,5616,1872,461,1633,37,698,0,1027,0,1323,680,0
2021-01-26,155608,5661,6490,1015,0,102512,62500,5375,1960,465,1597,128,700,0,1333,0,1277,684,0
2021-01-27,173065,5600,6293,981,0,86854,78271,5686,1941,476,1612,84,532,0,1071,0,1313,712,0
2021-01-28,176151,5619,6293,1015,0,62988,84226,5777,1923,448,1542,113,568,0,1076,0,1281,715,0
2021-01-29,173266,5646,5801,600,0,62399,83770,5147,1940,282,1583,74,813,0,956,0,1138,736,0
2021-01-30,162539,5657,4818,10600,0,61000,82364,5521,1276,255,1527,101,766,0,772,0,546,737,0
2021-01-31,147610,5450,4818,10200,0,57448,65800,5657,1665,357,1463,79,122,0,396,0,209,440,0
2021-02-01,158277,3900,7705,10843,0,60769,60769,5867,1636,368,1550,28,600,0,365,185,1047,685,0
2021-02-02,169643,4041,8395,874,0,62705,62705,5476,1930,363,1605,74,712,28,839,228,1259,659,0
2021-02-03,151453,4076,8395,1049,0,67563,67563,5078,2057,304,1546,160,621,23,631,258,1307,709,0
2021-02-04,176380,4103,8394,561,0,99682,99682,5099,2027,329,1525,103,604,26,664,263,1261,703,0
2021-02-05,179177,3899,8418,896,0,63542,63542,4534,1949,88,1534,121,636,23,615,248,1142,743,0
