Date,PER1
2019-08-01,1.697
2019-08-02,1.71
2019-08-03,1.711
2019-08-04,1.717
2019-08-05,1.597
2019-08-06,1.447
2019-08-07,1.73
2019-08-08,1.709
2019-08-09,1.786
2019-08-10,1.771
2019-08-11,1.745
2019-08-12,0.589
2019-08-13,0.137
2019-08-14,0
2019-08-15,0.002
2019-08-16,0.15
2019-08-17,0.173
2019-08-18,0.103
2019-08-19,0.138
2019-08-20,0.186
2019-08-21,0.24
2019-08-22,0.198
2019-08-23,0.234
2019-08-24,0.228
2019-08-25,0.074
2019-08-26,0.233
2019-08-27,0.199
2019-08-28,0.193
2019-08-29,0.24
2019-08-30,0.22
2019-08-31,0.243
2019-09-01,0.202
2019-09-02,0.188
2019-09-03,0.243
2019-09-04,0.279
2019-09-05,0.199
2019-09-06,0.239
2019-09-07,0.215
2019-09-08,0.165
2019-09-09,0.202
2019-09-10,0.24
2019-09-11,0.186
2019-09-12,0.207
2019-09-13,0.292
2019-09-14,0.164
2019-09-15,0.131
2019-09-16,0.129
2019-09-17,0.139
2019-09-18,0.081
2019-09-19,0.143
2019-09-20,0.172
2019-09-21,0.077
2019-09-22,1.266
2019-09-23,1.894
2019-09-24,1.646
2019-09-25,1.612
2019-09-26,1.167
2019-09-27,1.614
2019-09-28,1.609
2019-09-29,1.57
2019-09-30,1.605
2019-10-01,1.623
2019-10-02,1.514
2019-10-03,1.588
2019-10-04,1.589
2019-10-05,1.611
2019-10-06,1.583
2019-10-07,1.599
2019-10-08,1.63
2019-10-09,1.559
2019-10-10,1.529
2019-10-11,1.603
2019-10-12,1.622
2019-10-13,1.611
2019-10-14,1.617
2019-10-15,1.627
2019-10-16,1.603
2019-10-17,1.58
2019-10-18,1.609
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-16,
2019-11-17,
2019-11-18,
2019-11-19,
