Date,PVR1
2019-08-01,4
2019-08-02,3
2019-08-03,3
2019-08-04,3
2019-08-05,3
2019-08-06,3
2019-08-07,1
2019-08-08,3
2019-08-09,3
2019-08-10,3
2019-08-11,3
2019-08-12,3
2019-08-13,3
2019-08-14,3
2019-08-15,3
2019-08-16,3
2019-08-17,3
2019-08-18,3
2019-08-19,3
2019-08-20,3
2019-08-21,3
2019-08-22,3
2019-08-23,2
2019-08-24,3
2019-08-25,3
2019-08-26,3
2019-08-27,3
2019-08-28,3
2019-08-29,3
2019-08-30,3
2019-08-31,3
2019-09-01,3
2019-09-02,3
2019-09-03,3
2019-09-04,2
2019-09-05,3
2019-09-06,3
2019-09-07,3
2019-09-08,3
2019-09-09,3
2019-09-10,3
2019-09-11,4
2019-09-12,4
2019-09-13,4
2019-09-14,4
2019-09-15,4
2019-09-16,4
2019-09-17,3
2019-09-18,1
2019-09-19,3
2019-09-20,4
2019-09-21,4
2019-09-22,4
2019-09-23,3
2019-09-24,3
2019-09-25,3
2019-09-26,4
2019-09-27,3
2019-09-28,4
2019-09-29,4
2019-09-30,4
2019-10-01,4
2019-10-02,3
2019-10-03,3
2019-10-04,3
2019-10-05,3
2019-10-06,3
2019-10-07,3
2019-10-08,3
2019-10-09,1
2019-10-10,3
2019-10-11,3
2019-10-12,4
2019-10-13,5
2019-10-14,5
2019-10-15,5
2019-10-16,4
2019-10-17,5
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,4
2019-11-02,5
2019-11-03,4
2019-11-04,3
2019-11-05,3
2019-11-06,2
2019-11-07,3
2019-11-08,3
2019-11-09,4
2019-11-10,4
2019-11-11,5
2019-11-12,4
2019-11-13,4
2019-11-14,4
2019-11-15,4
2019-11-16,4
2019-11-17,4
2019-11-18,4
2019-11-19,4
2019-11-20,4
2019-11-21,4
2019-11-22,4
2019-11-23,4
2019-11-24,4
2019-11-25,4
2019-11-26,3
2019-11-27,3
2019-11-28,3
2019-11-29,3
2019-11-30,3
2019-12-01,3
2019-12-02,4
2019-12-03,4
2019-12-04,2
2019-12-05,4
2019-12-06,4
2019-12-07,4
2019-12-08,4
2019-12-09,4
2019-12-10,4
2019-12-11,4
2019-12-12,4
2019-12-13,4
2019-12-14,3
2019-12-15,4
2019-12-16,4
2019-12-17,4
2019-12-18,5
2019-12-19,4
2019-12-20,4
2019-12-21,5
2019-12-22,4
2019-12-23,4
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,1
2020-01-05,2
2020-01-06,3
2020-01-07,4
2020-01-08,4
2020-01-09,4
2020-01-10,4
2020-01-11,5
2020-01-12,5
2020-01-13,5
2020-01-14,4
2020-01-15,4
2020-01-16,4
2020-01-17,4
2020-01-18,5
2020-01-19,5
2020-01-20,5
2020-01-21,5
2020-01-22,5
2020-01-23,5
2020-01-24,5
2020-01-25,5
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,5
2020-02-02,6
2020-02-03,6
2020-02-04,5
2020-02-05,5
2020-02-06,5
2020-02-07,5
2020-02-08,5
2020-02-09,5
2020-02-10,4
2020-02-11,4
2020-02-12,2
2020-02-13,5
2020-02-14,5
2020-02-15,5
2020-02-16,4
2020-02-17,4
2020-02-18,5
2020-02-19,5
2020-02-20,5
2020-02-21,6
2020-02-22,6
2020-02-23,5
2020-02-24,5
2020-02-25,5
2020-02-26,5
2020-02-27,5
2020-02-28,5
2020-02-29,5
2020-03-01,5
2020-03-02,5
2020-03-03,3
2020-03-04,2
2020-03-05,3
2020-03-06,6
2020-03-07,6
2020-03-08,4
2020-03-09,6
2020-03-10,5
2020-03-11,4
2020-03-12,6
2020-03-13,6
2020-03-14,5
2020-03-15,6
2020-03-16,6
2020-03-17,6
2020-03-18,6
2020-03-19,5
2020-03-20,6
2020-03-21,5
2020-03-22,4
2020-03-23,4
2020-03-24,5
2020-03-25,6
2020-03-26,5
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,6
2020-03-31,6
2020-04-01,6
2020-04-02,5
2020-04-03,4
2020-04-04,5
2020-04-05,5
2020-04-06,5
2020-04-07,5
2020-04-08,2
2020-04-09,5
2020-04-10,6
2020-04-11,6
2020-04-12,6
2020-04-13,6
2020-04-14,6
2020-04-15,5
2020-04-16,5
2020-04-17,6
2020-04-18,6
2020-04-19,5
2020-04-20,3
2020-04-21,5
2020-04-22,6
2020-04-23,6
2020-04-24,6
2020-04-25,6
2020-04-26,6
2020-04-27,6
2020-04-28,5
2020-04-29,5
2020-04-30,5
2020-05-01,5
2020-05-02,5
2020-05-03,5
2020-05-04,5
2020-05-05,6
2020-05-06,6
2020-05-07,6
2020-05-08,6
2020-05-09,5
2020-05-10,5
2020-05-11,5
2020-05-12,5
2020-05-13,5
2020-05-14,5
2020-05-15,5
2020-05-16,5
2020-05-17,4
2020-05-18,4
2020-05-19,4
2020-05-20,4
2020-05-21,4
2020-05-22,4
2020-05-23,4
2020-05-24,4
2020-05-25,4
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,1
2020-06-02,0
2020-06-03,0
2020-06-04,1
2020-06-05,1
2020-06-06,1
2020-06-07,1
2020-06-08,4
2020-06-09,4
2020-06-10,4
2020-06-11,4
2020-06-12,4
2020-06-13,4
2020-06-14,4
2020-06-15,5
2020-06-16,5
2020-06-17,6
2020-06-18,6
2020-06-19,6
2020-06-20,6
2020-06-21,6
2020-06-22,4
2020-06-23,4
2020-06-24,4
2020-06-25,4
2020-06-26,4
2020-06-27,4
2020-06-28,4
2020-06-29,4
2020-06-30,4
2020-07-01,4
2020-07-02,4
2020-07-03,4
2020-07-04,4
2020-07-05,4
2020-07-06,4
2020-07-07,4
2020-07-08,2
2020-07-09,4
2020-07-10,5
2020-07-11,6
2020-07-12,5
2020-07-13,5
2020-07-14,5
2020-07-15,5
2020-07-16,5
2020-07-17,5
2020-07-18,5
2020-07-19,5
2020-07-20,5
2020-07-21,5
2020-07-22,3
2020-07-23,6
2020-07-24,5
2020-07-25,5
2020-07-26,5
2020-07-27,6
2020-07-28,5
2020-07-29,4
2020-07-30,4
2020-07-31,4
2020-08-01,4
2020-08-02,4
2020-08-03,4
2020-08-04,4
2020-08-05,2
2020-08-06,3
2020-08-07,3
2020-08-08,4
2020-08-09,4
2020-08-10,5
2020-08-11,5
2020-08-12,5
2020-08-13,6
2020-08-14,5
2020-08-15,4
2020-08-16,4
2020-08-17,4
2020-08-18,4
2020-08-19,2
2020-08-20,3
2020-08-21,3
2020-08-22,4
2020-08-23,4
2020-08-24,5
2020-08-25,5
2020-08-26,5
2020-08-27,6
2020-08-28,5
2020-08-29,6
2020-08-30,6
2020-08-31,5
2020-09-01,6
2020-09-02,6
2020-09-03,6
2020-09-04,6
2020-09-05,6
2020-09-06,6
2020-09-07,6
2020-09-08,5
2020-09-09,0
2020-09-10,4
2020-09-11,6
2020-09-12,6
2020-09-13,6
2020-09-14,5
2020-09-15,6
2020-09-16,6
2020-09-17,6
2020-09-18,6
2020-09-19,5
2020-09-20,6
2020-09-21,6
2020-09-22,6
2020-09-23,5
2020-09-24,6
2020-09-25,6
2020-09-26,6
2020-09-27,6
2020-09-28,6
2020-09-29,6
2020-09-30,6
2020-10-01,5
2020-10-02,6
2020-10-03,6
2020-10-04,6
2020-10-05,6
2020-10-06,6
2020-10-07,6
2020-10-08,5
2020-10-09,6
2020-10-10,6
2020-10-11,6
2020-10-12,6
2020-10-13,5
2020-10-14,3
2020-10-15,4
2020-10-16,5
2020-10-17,5
2020-10-18,5
2020-10-19,6
2020-10-20,6
2020-10-21,6
2020-10-22,6
2020-10-23,6
2020-10-24,6
2020-10-25,6
2020-10-26,6
2020-10-27,6
2020-10-28,6
2020-10-29,6
2020-10-30,6
2020-10-31,6
2020-11-01,5
2020-11-02,7
2020-11-03,7
2020-11-04,7
2020-11-05,7
2020-11-06,7
2020-11-07,6
2020-11-08,5
2020-11-09,7
2020-11-10,8
2020-11-11,8
2020-11-12,8
2020-11-13,8
2020-11-14,6
2020-11-15,5
2020-11-16,5
2020-11-17,7
2020-11-18,7
2020-11-19,7
2020-11-20,7
2020-11-21,6
2020-11-22,5
2020-11-23,7
2020-11-24,8
2020-11-25,8
2020-11-26,8
2020-11-27,7
2020-11-28,7
2020-11-29,6
2020-11-30,8
2020-12-01,8
2020-12-02,8
2020-12-03,8
2020-12-04,7
2020-12-05,7
2020-12-06,5
2020-12-07,8
2020-12-08,8
2020-12-09,8
2020-12-10,8
2020-12-11,7
2020-12-12,5
2020-12-13,6
2020-12-14,8
2020-12-15,7
2020-12-16,7
2020-12-17,7
2020-12-18,7
2020-12-19,6
2020-12-20,6
2020-12-21,8
2020-12-22,8
2020-12-23,7
2020-12-24,3
2020-12-25,3
2020-12-26,4
2020-12-27,4
2020-12-28,5
2020-12-29,6
2020-12-30,5
2020-12-31,3
2021-01-01,6
2021-01-02,6
2021-01-03,6
2021-01-04,6
2021-01-05,6
2021-01-06,6
2021-01-07,6
2021-01-08,6
2021-01-09,6
2021-01-10,6
2021-01-11,6
2021-01-12,6
2021-01-13,6
2021-01-14,6
2021-01-15,6
2021-01-16,6
2021-01-17,7
2021-01-18,6
2021-01-19,5
2021-01-20,0
2021-01-21,1
2021-01-22,3
2021-01-23,5
2021-01-24,6
2021-01-25,5
2021-01-26,6
2021-01-27,7
2021-01-28,6
2021-01-29,5
2021-01-30,6
2021-01-31,6
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
