Date,PVR1
2019-08-01,3.637
2019-08-02,3.316
2019-08-03,3.237
2019-08-04,3.287
2019-08-05,3.367
2019-08-06,2.885
2019-08-07,0.86
2019-08-08,2.942
2019-08-09,3.102
2019-08-10,3.091
2019-08-11,3.12
2019-08-12,3.208
2019-08-13,3.085
2019-08-14,3.051
2019-08-15,2.875
2019-08-16,2.947
2019-08-17,3.054
2019-08-18,2.976
2019-08-19,2.943
2019-08-20,2.862
2019-08-21,2.873
2019-08-22,2.868
2019-08-23,2.344
2019-08-24,2.982
2019-08-25,2.746
2019-08-26,2.614
2019-08-27,3.056
2019-08-28,3.184
2019-08-29,3.172
2019-08-30,3.309
2019-08-31,3.333
2019-09-01,3.218
2019-09-02,2.734
2019-09-03,2.879
2019-09-04,2.414
2019-09-05,3.007
2019-09-06,2.866
2019-09-07,2.645
2019-09-08,2.924
2019-09-09,2.97
2019-09-10,2.916
2019-09-11,3.616
2019-09-12,4.083
2019-09-13,3.819
2019-09-14,3.714
2019-09-15,3.828
2019-09-16,3.851
2019-09-17,2.812
2019-09-18,0.496
2019-09-19,3.412
2019-09-20,3.777
2019-09-21,3.899
2019-09-22,3.867
2019-09-23,3.23
2019-09-24,3.417
2019-09-25,3.168
2019-09-26,4.071
2019-09-27,2.932
2019-09-28,3.78
2019-09-29,3.998
2019-09-30,3.835
2019-10-01,3.882
2019-10-02,3.251
2019-10-03,3.011
2019-10-04,3.201
2019-10-05,3.118
2019-10-06,3.15
2019-10-07,3.084
2019-10-08,2.673
2019-10-09,1.115
2019-10-10,3.429
2019-10-11,3.33
2019-10-12,3.52
2019-10-13,4.459
2019-10-14,4.959
2019-10-15,4.792
2019-10-16,3.439
2019-10-17,4.537
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,4.316
2019-11-02,4.421
2019-11-03,4.176
2019-11-04,3.078
2019-11-05,2.867
2019-11-06,1.486
2019-11-07,3.317
2019-11-08,3.393
2019-11-09,3.927
2019-11-10,4.104
2019-11-11,4.442
2019-11-12,4.213
2019-11-13,4.203
2019-11-14,4.398
2019-11-15,4.398
2019-11-16,4.319
2019-11-17,3.819
2019-11-18,3.773
2019-11-19,3.693
2019-11-20,3.932
2019-11-21,3.906
2019-11-22,3.973
2019-11-23,3.682
2019-11-24,3.84
2019-11-25,3.853
2019-11-26,3.254
2019-11-27,2.922
2019-11-28,3.01
2019-11-29,2.97
2019-11-30,3.251
2019-12-01,3.364
2019-12-02,3.865
2019-12-03,3.446
2019-12-04,1.489
2019-12-05,3.517
2019-12-06,4.003
2019-12-07,4.029
2019-12-08,4.137
2019-12-09,4.19
2019-12-10,3.881
2019-12-11,4.005
2019-12-12,4.28
2019-12-13,3.658
2019-12-14,3.293
2019-12-15,3.471
2019-12-16,4.04
2019-12-17,4.345
2019-12-18,4.449
2019-12-19,3.777
2019-12-20,4.17
2019-12-21,4.472
2019-12-22,4.4
2019-12-23,4.161
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0.078
2020-01-02,0.298
2020-01-03,0.469
2020-01-04,1.341
2020-01-05,1.876
2020-01-06,3.23
2020-01-07,3.953
2020-01-08,4.054
2020-01-09,3.888
2020-01-10,4.114
2020-01-11,4.614
2020-01-12,4.423
2020-01-13,4.767
2020-01-14,4.355
2020-01-15,4.284
2020-01-16,3.953
2020-01-17,4.342
2020-01-18,4.519
2020-01-19,4.434
2020-01-20,4.853
2020-01-21,4.54
2020-01-22,5.047
2020-01-23,5.153
2020-01-24,5.056
2020-01-25,4.863
2020-01-26,4.98
2020-01-27,5.226
2020-01-28,4.5
2020-01-29,5.345
2020-01-30,5.307
2020-01-31,5.195
2020-02-01,5.158
2020-02-02,5.807
2020-02-03,5.416
