Date,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12
2019-01-01,"831,026.00","31,040.00",0.00,"1,500.00","1,736.00","1,380.00","89,320.00","1,287.00","97,045.00",0.00,0.00,"602,762.00"
2019-01-02,"934,946.00","43,900.00",0.00,"1,500.00","1,736.00","2,350.00","97,966.00","1,017.00","103,075.00",0.00,0.00,"677,827.00"
2019-01-03,"934,759.00","43,900.00",0.00,"1,500.00","1,765.00","2,161.00","97,966.00",991.00,"103,075.00",0.00,0.00,"677,827.00"
2019-01-04,"1,141,649.00","46,458.00",0.00,"1,500.00","2,244.00","2,220.00","100,664.00",910.00,"98,888.00",0.00,0.00,"881,956.00"
2019-01-05,"1,193,812.00","45,111.00",0.00,"1,500.00","2,253.00","2,564.00","102,126.00","1,108.00","102,905.00",0.00,0.00,"929,126.00"
2019-01-06,"1,193,717.00","46,458.00",0.00,"1,500.00","2,253.00","2,570.00","100,664.00","1,007.00","98,888.00",0.00,0.00,"933,256.00"
2019-01-07,"1,190,118.00","38,257.00",0.00,"1,500.00","2,253.00",0.00,"89,165.00",0.00,"103,245.00",0.00,0.00,"948,600.00"
2019-01-08,"1,193,186.00","51,577.00",0.00,"1,500.00","1,898.00","2,210.00","93,106.00","1,194.00","103,413.00",0.00,0.00,"931,171.00"
2019-01-09,"1,193,928.00","51,577.00",0.00,"1,500.00","2,299.00","2,611.00","93,106.00","1,130.00","103,413.00",0.00,0.00,"931,171.00"
2019-01-10,"1,197,147.00","51,577.00","4,000.00","1,500.00","2,088.00","2,161.00","115,000.00",991.00,"121,000.00",0.00,0.00,"891,690.00"
2019-01-11,"1,243,496.00","46,694.00","50,000.00","1,500.00","2,183.00","2,220.00","102,715.00",910.00,"104,390.00",0.00,0.00,"925,468.00"
2019-01-12,"1,238,735.00","35,690.00","45,000.00","1,500.00","1,908.00","2,564.00","95,953.00","1,108.00","98,063.00",0.00,0.00,"949,561.00"
2019-01-13,"1,238,640.00","34,619.00","45,000.00","1,500.00","1,908.00","2,570.00","91,209.00","1,007.00","100,188.00",0.00,0.00,"953,251.00"
2019-01-14,"1,232,938.00","51,745.00","40,000.00","1,500.00","1,908.00","2,033.00","97,699.00",877.00,"107,718.00",0.00,0.00,"922,106.00"
2019-01-15,"1,228,304.00","56,543.00","35,000.00","1,500.00","1,807.00","2,210.00","95,518.00","1,194.00","106,619.00",0.00,0.00,"920,588.00"
2019-01-16,"1,237,031.00","56,558.00","42,915.00","1,500.00","2,230.00","2,611.00","99,534.00","1,130.00","91,693.00",0.00,0.00,"931,483.00"
2019-01-17,"1,236,448.00","56,580.00","42,915.00","1,500.00","2,239.00","2,161.00","114,904.00",991.00,"79,571.00",0.00,0.00,"928,212.00"
2019-01-18,"1,241,300.00","56,257.00","50,000.00","1,500.00",0.00,"2,220.00","102,517.00",910.00,"100,172.00",0.00,0.00,"920,321.00"
2019-01-19,"1,228,894.00","46,167.00","35,000.00","1,500.00","2,126.00","2,564.00","96,236.00","1,108.00","97,879.00",0.00,0.00,"938,984.00"
2019-01-20,"1,228,799.00","41,410.00","35,000.00","1,500.00","2,126.00","2,570.00","90,869.00","1,007.00","94,778.00",0.00,0.00,"952,210.00"
2019-01-21,"1,233,158.00","41,410.00","40,000.00","1,500.00","2,126.00","2,033.00","90,869.00",877.00,"94,778.00",0.00,0.00,"952,210.00"
2019-01-22,"1,231,379.00","50,000.00","37,915.00","1,500.00","2,126.00","2,033.00","131,217.00","1,194.00","135,000.00",0.00,0.00,"863,050.00"
2019-01-23,"1,234,141.00","41,410.00","42,915.00","1,500.00",0.00,"2,033.00","131,217.00","1,066.00","135,000.00",0.00,0.00,"871,639.00"
2019-01-24,"1,078,330.00","30,490.00","40,800.00","1,500.00","1,824.00","1,416.00","124,044.00",991.00,"103,045.00",0.00,0.00,"767,787.00"
2019-01-25,"1,180,436.00","30,490.00","40,799.00","1,500.00",0.00,"2,220.00","124,044.00",910.00,"115,000.00",0.00,0.00,"858,432.00"
2019-01-26,"1,094,167.00","29,901.00","55,000.00","1,500.00","2,102.00","2,564.00","121,690.00","1,108.00","103,161.00",0.00,0.00,"770,615.00"
2019-01-27,"1,094,081.00","29,901.00","55,000.00","1,500.00","2,102.00","2,570.00","121,690.00","1,016.00","103,161.00",0.00,0.00,"770,615.00"
2019-01-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019-01-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019-01-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
