Date,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12
2019-01-01,769950,18439,0,1792,3081,572,85994,1344,87218,0,0,569767
2019-01-02,811983,43900,0,2237,2619,2431,97966,1208,103075,0,0,582955
2019-01-03,1009756,46458,0,1773,2628,2118,100664,1206,98888,0,0,747943
2019-01-04,1130373,45111,0,2818,2768,2194,102126,1204,102968,0,0,848478
2019-01-05,1143139,39562,0,2716,2851,2608,91411,1204,106531,0,0,872980
2019-01-06,1139927,38257,0,2045,3036,2481,89165,1198,103245,0,0,881129
2019-01-07,1151533,51577,0,2205,2866,2010,93106,934,103413,0,0,883758
2019-01-08,1170135,51511,0,3289,2343,2182,100807,1734,103085,0,0,901167
2019-01-09,1177295,51478,0,2932,1228,2622,102913,1338,103004,0,0,907539
2019-01-10,1177600,51473,3552,2046,2873,2397,102839,1558,102926,0,0,909415
2019-01-11,1172748,46694,48352,2101,2753,1838,102715,1272,104390,0,0,867178
2019-01-12,1165195,35690,47332,1648,3091,2637,95953,806,98063,0,0,874013
2019-01-13,1167401,34619,46853,2160,3084,2524,91209,1168,100188,0,0,871813
2019-01-14,1174958,51745,43538,2722,3046,1594,97699,1389,107718,0,0,870092
2019-01-15,1131273,56543,38771,2013,2946,2060,95518,1513,106619,0,0,826927
2019-01-16,1126299,56558,40500,1990,3003,2454,99534,1189,91693,0,0,840318
2019-01-17,1168389,56580,44692,1849,2815,2228,114904,1126,79571,0,0,864109
2019-01-18,1180753,56257,50168,2030,3139,2345,102517,1825,100172,0,0,861466
2019-01-19,1179631,46167,37363,2346,2860,2702,96236,686,97879,0,0,877712
2019-01-20,1145069,41410,37480,3328,2870,2752,90869,1473,94778,0,0,855648
2019-01-21,1140744,20154,41563,3600,2859,2191,131217,1180,102802,0,0,849206
2019-01-22,1129007,18088,39737,2288,2938,2273,121035,1606,103104,0,0,838623
2019-01-23,1134158,30490,38279,2775,2730,2596,124044,1049,103045,0,0,832511
2019-01-24,1035919,29824,49864,3708,2723,2181,122389,1277,102806,0,0,759454
2019-01-25,1105324,29901,43127,3001,2675,2121,121690,1530,103161,0,0,742090
2019-01-26,1137989,29860,54344,2771,2821,2627,113824,1397,94067,0,0,810256
2019-01-27,1128506,35395,55486,4133,2847,2647,103748,1210,92964,0,0,815371
2019-01-28,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-30,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,1131278,41024,0,2795,3161,2256,109013,1433,108228,0,0,856946
2019-02-02,1123829,38119,0,2494,3223,2607,91917,1219,103631,0,0,872705
2019-02-03,1119873,35940,0,2723,3358,2621,88070,1389,102158,0,0,888644
2019-02-04,1114681,36549,0,2083,3210,2210,88408,1366,102783,0,0,877449
2019-02-05,1106023,45248,0,2626,3174,2236,78258,1306,99179,0,0,886559
2019-02-06,1104218,42651,0,2205,2989,2575,111024,1386,96434,0,0,854220
2019-02-07,1133065,46028,0,2249,2906,2189,107864,1299,102133,0,0,856104
2019-02-08,1131525,44024,191,1530,2790,2266,107709,1244,98521,0,0,862943
2019-02-09,1096330,47979,21524,1706,2618,2621,85257,1438,95170,0,0,825812
2019-02-10,1109485,40824,26734,2272,2453,2628,91428,1400,90625,0,0,847468
2019-02-11,1111093,52923,26243,1685,2899,2257,108296,1283,83889,0,0,846615
