Date,SAGU1,SAGU2,SAGU3,SAGU4,SAGU5,SAGU6,SAGU7
2020-01-01,129257,0,0,6746,0,20486,94556
2020-01-02,129257,0,0,6746,0,24998,94556
2020-01-03,121080,0,0,6746,0,12499,98878
2020-01-04,112903,0,0,6746,0,0,103201
2020-01-05,112903,0,0,6746,0,0,103201
2020-01-06,111273,0,0,6746,0,0,101571
2020-01-07,124589,0,0,6746,0,23696,91190
2020-01-08,110837,0,0,6746,0,28434,72701
2020-01-09,77393,0,0,3859,0,0,71996
2020-01-10,74937,0,0,3859,0,0,69540
2020-01-11,90545,0,0,3859,0,0,85146
2020-01-12,90608,0,0,3859,0,0,85209
2020-01-13,84092,0,0,3859,0,0,78694
2020-01-14,121656,0,0,3859,0,22931,93324
2020-01-15,120047,0,0,6746,0,24460,83629
2020-01-16,103325,0,0,5302.5,0,12499,83276
2020-01-17,106712.88,0,0,5663.38,0,9240,88820
2020-01-18,101724,0,0,5302.5,0,0,94173
2020-01-19,101755.5,0,0,5302.5,0,0,94205
2020-01-20,81359,0,0,3859,0,0,77492
2020-01-21,71719,0,0,3859,0,0,67853
2020-01-22,94966,0,0,3859,0,18220,72878
2020-01-23,89084,0,0,3859,0,11155,74062
2020-01-24,110877,0,0,3859,0,24854,82154
2020-01-25,101724,0,0,5302.5,0,0,94173
2020-01-26,101755.5,0,0,5302.5,0,0,94205
2020-01-27,122928,0,0,3859,0,24765,94293
2020-01-28,114833,0,0,3859,0,14235,94823
2020-01-29,115810,0,0,6023,0,9380,98489
2020-01-30,85088,0,0,6023,0,0,77150
2020-01-31,93070,0,0,6023,0,0,85131
2020-02-01,101517,0,0,4322,0,0,95654
2020-02-02,101517,0,0,4322,0,0,95654
2020-02-03,92217,0,0,4322,0,0,86355
2020-02-04,102296,0,0,5969,0,0,94787
2020-02-05,88446,0,0,0,0,0,88437
2020-02-06,97757,0,0,4321,0,0,91896
2020-02-07,103431,0,0,4761,0,19383,78277
2020-02-08,134333,0,0,4322,0,23696,105302
2020-02-09,135133,0,0,4322,0,23696,106102
2020-02-10,128087,0,0,4322,0,23696,99057
2020-02-11,97106,0,0,7420,0,0,87915
2020-02-12,89093,0,0,7299,0,0,80785
2020-02-13,91966,0,0,6864,0,0,84693
2020-02-14,97360,0,0,6350,0,0,90600
2020-02-15,100724,0,0,4322,0,0,95992
2020-02-16,100724,0,0,4322,0,0,95992
2020-02-17,100337,0,0,4322,0,0,95605
2020-02-18,99103,0,0,4322,0,0,94372
2020-02-19,104379,0,0,6550,0,0,97418
2020-02-20,82652,0,0,6965,0,0,75278
2020-02-21,101213,0,0,6241,0,0,94562
2020-02-22,122064,0,0,4322,0,3160,114171
2020-02-23,106342,0,0,4882,0,3385,96367
2020-02-24,102899,0,0,4469.86,0,6923,90438
2020-02-25,124370,0,0,5944,0,26538,91475
2020-02-26,98299,0,0,4864,0,0,93026
2020-02-27,108106,0,0,6895,0,0,100800
2020-02-28,96815,0,0,5182,0,7373,83377
2020-02-29,108801,0,0,4322,0,0,101524
2020-03-01,96341,0,0,4322,0,0,91510
2020-03-02,96416,0,0,4322,0,0,91585
2020-03-03,86399,0,0,6526,0,9478,69886
2020-03-04,114069,0,0,6948,0,37912,67101
2020-03-05,125960,0,0,7266,0,33174,83412
2020-03-06,4822,0,0,4322,0,0,0
2020-03-07,4822,0,0,4322,0,0,0
2020-03-08,4822,0,0,4322,0,0,0
2020-03-09,142773,0,0,7421,0,37998,94394
2020-03-10,119447,0,0,7421,0,14288,94782
2020-03-11,102563,0,0,7421,0,9999,82188
2020-03-12,114518,0,0,7421,0,3555,100803
2020-03-13,104265,0,0,4322,0,0,98402
2020-03-14,109141,0,0,4322,0,0,103278
2020-03-15,109141,0,0,4322,0,0,103278
2020-03-16,103813,0,0,7421,0,0,94851
2020-03-17,97997,0,0,7421,0,0,88645
2020-03-18,91203,0,0,7421,0,0,80828
2020-03-19,109744,0,0,7421,0,14218,85149
2020-03-20,66430,0,0,4322,0,0,59157
2020-03-21,111401,0,0,4747,0,3357,101662
2020-03-22,107982,0,0,4817,0,3385.14,98289
2020-03-23,107246,0,0,4973,0,6923,94219
2020-03-24,90457,0,0,7421,0,9478,71628
2020-03-25,110188,0,0,7421,0,20852,79983
2020-03-26,99066,0,0,7421,0,0,88690
2020-03-27,88988,0,0,7421,0,0,79637
2020-03-28,95678,0,0,7421,0,0,86326
2020-03-29,95678,0,0,7421,0,4740,81587
2020-03-30,92286,0,0,7421,0,39808,43127
2020-03-31,100736,0,0,7225,0,39808,51558
2020-04-01,103202,0,0,4322,0,18956,77780
2020-04-02,118053,0,0,4322,0,0,111586
2020-04-03,92908,0,0,5483,0,3822,82083
2020-04-04,108799,0,0,4825,0,3864,98533
2020-04-05,106645,0,0,4835,0,4545,96058
2020-04-06,102914,0,0,5300,0,10061,86399
2020-04-07,92509,0,0,4322,0,0,86044
2020-04-08,94202,0,0,6755,0,0,85303
2020-04-09,91506,0,0,4322,0,0,85303
2020-04-10,92885,0,0,5406,0,4368,81647
2020-04-11,91988,0,0,4322,0,9538,76247
2020-04-12,99586,0,0,4322,0,9498,83885
2020-04-13,95300,0,0,4322,0,14247,74851
2020-04-14,99956,0,0,4322,0,17060,76692
2020-04-15,100799,0,0,6555,0,9746.56,82712
2020-04-16,109194,0,0,2000,0,23696,81354
2020-04-17,103250,0,0,2000,0,23696,75410
2020-04-18,102680,0,0,2000,0,23696,74841
2020-04-19,105245,0,0,2000,0,23696,77405
2020-04-20,105030,0,0,2000,0,23696,77190
2020-04-21,84873,0,0,2000,0,23696,57035
2020-04-22,98713,0,0,2000,0,23696,70874
2020-04-23,125522,0,0,6016,0,23696,93664
2020-04-24,114381,0,0,4322,0,23696,83408
2020-04-25,96782,0,0,4581,0,11078,79138
2020-04-26,100170,0,0,4581,0,12645,80959
2020-04-27,97539,0,0,4581,0,25917,65056
2020-04-28,95188,0,0,4516,0,26855,61762
2020-04-29,100905,0,0,4293,0,17466,77122
2020-04-30,117590,0,0,4113,0,15797,95535
2020-05-01,131412,0,0,4353,0,26538,98412
2020-05-02,154608,0,0,4322,0,45811,102364
2020-05-03,154608,0,0,4322,0,45811,102364
2020-05-04,154608,0,0,4322,0,45811,102364
2020-05-05,132893,0,0,4649,0,23696,102440
2020-05-06,140425,0,0,4755,0,25591,107969
2020-05-07,152314,0,0,5963,0,33174,111066
2020-05-08,160927,0,0,4322,0,42652,111842
2020-05-09,155468,0,0,4322,0,28434,120601
2020-05-10,155468,0,0,4322,0,28434,120601
2020-05-11,155468,0,0,4322,0,28434,120601
2020-05-12,176158,0,0,7198,0,61608,104390
2020-05-13,145987,0,0,6570,0,28434,108023
2020-05-14,135229,0,0,5803,0,25591,100876
2020-05-15,142664,0,0,7031,0,23696,108978
2020-05-16,137022,0,0,4322,0,23696,106046
2020-05-17,137018,0,0,4322,0,23696,106042
2020-05-18,134659,0,0,3661,0,22748,105292
2020-05-19,131818,0,0,3000,0,21800,104061
2020-05-20,132777,0,0,3000,0,21800,105019
2020-05-21,142553,0,0,3000,0,27669,108925
2020-05-22,137565,0,0,1998,0,23696,108999
2020-05-23,139506,0,0,2000,0,24407,110141
2020-05-24,139142,0,0,2000,0,24229,109977
2020-05-25,139749,0,0,2000,0,24407,110384
2020-05-26,139749,0,0,2000,0,24407,110384
2020-05-27,145235,0,0,2000,0,28434,111842
2020-05-28,134290,0,0,2000,0,29382,99950
2020-05-29,141444,0,0,2000,0,28434,108051
2020-05-30,141444,0,0,2000,0,28434,108051
2020-05-31,141444,0,0,2000,0,28434,108051
2020-06-01,127191,0,0,3000,0,28434,92800
2020-06-02,141131,0,0,1003,0,30330,108800
2020-06-03,146236,0,0,3000,0,31278,108999
2020-06-04,145934,0,0,1750,0,32226,108999
2020-06-05,145632,0,0,500,0,33174,108999
2020-06-06,153820,0,0,500,0,35283.5,115076.5
2020-06-07,162008,0,0,500,0,37393,121154
2020-06-08,142840,0,0,500,0,33226,106155
2020-06-09,159270,0,0,500,0,47390,108419
2020-06-10,152563,0,0,500,0,52130,96973
2020-06-11,131497,0,0,500,0,52130,75909
2020-06-12,140521,0,0,500,0,52130,84933
