Date,V024,V025,V028,V030,V032,V033,V034,V036,V037,V042,V045,V051,V055,V056,V059,V061,V062,V067,V074,V075,V076,V077,V078,V905,V907,V908,V918,V9B6,E016,E017,E018,E019,E020,E023,E025,E026,E027,E028,E030,E031,E032,E034,E036,E039,E042,E043,E044,E045,E046,E047,E048,E049,E050,E051,E052,E054,E055,E056,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066,E067,E068,E069,E070,E071,E072,E073,E075,E076,E077,E078,E079,E086,E087,E090,E091,E092,E094,E095,E096,E097,E101,E102,E103,E104,E105,E117,E118,E119,E120,E123,E132,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E152,E153,E154,E155,E156,E157,E158,E160,E163,E165,E167,E168,E170,E171,E174,E175,E176,E180,E181,E182,E185,E187,E188,E189,E202,E207,E208,E209,N001,N002,N003,N004,N005,N007,N008,N010,N011,N012,N014,N015,N016,N017,N018,N019,N022,N024,N025,N026,N029,N030,N031,N032,N034,N035,N036,N037,N038,N045,N046,N054,N055,N056,N057,N059,N064,N070,N072,N073,N075,N076,N077,N078,N080,N081,N082,N089,N090,N091,N092,N093,N097,N098,N099,N100,N101,N102,N103,N112,N115,N116,N117,N118,N119,N120,N121,N122,N124,N125,N126,N127,N128,N129,N130,N131,N132
2015-01-01,584716.464,1073351.32,0,103695.174,0,91986.112,0,32010.415,48532.576,106135.078,313086.07,16321.79,1.00E+05,220190.431,29549.905,88815.669,0,0,0,0,0,0,0,98018.675,142448.01,15567.752,105000,845328.921,10445.527,5732.829,2475.995,711.124,25467.25,54796.54,1828.372,4605.766,22879.13,0,1080.265,7152.284,71450.958,49765.927,16335.635,152302.354,14805.889,5234.687,158258.369,16952.749,206786.468,7738.885,78738.777,8598.031,6160.026,89969.62,415.374,142811.573,245.742,110241.431,30002.69,14468.488,4449.861,1555.862,1038.53,68797.066,11870.905,32436.693,28280.855,37000,0,2279.07,0,31724.726,10600.609,13184.14,117647.773,2644.981,51001.509,1636.32,176.719,115.915,4683.491,469.862,6788.232,7523.813,7375.765,61691.676,128332.428,821.039,19152.408,0,152768.599,75817.464,86955.756,34178.421,144958.421,176624.793,39385.193,18699.279,18906.476,116119.523,0,82897.727,246459.673,42258.561,44777.133,52325.306,42085.193,0,30929.785,30601.294,23608.756,19347.341,38709.047,0,0,0,0,345294.968,75394.814,58392.025,2287.458,0,0,52425.957,0,0,19788.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,555386.759,1087682.954,0,99377.998,0,126160.431,0,32162.016,48532.576,108395.228,316515.749,17015.459,150000,219029.824,31342.072,88815.669,0,0,0,0,0,0,0,99705.562,142701.599,15338.772,105000,841352.356,15704.761,4656.826,2451.667,1705.24,33572.614,55088.862,2763.308,7149.209,30261.437,0,1232.307,7460.375,71720.453,69826.719,24144.869,163416.029,14360.903,6621.599,158258.399,20148.061,205390.56,7628.16,94403.665,13245.828,7526.245,96080.604,1329.239,140597.948,236.238,120354.828,35731.882,13966.431,5638.138,2275.99,1190.468,75690.236,18794.854,51225.904,43030.74,37000,0,3152.879,0,33557.139,11290.083,17926.731,120165.884,2644.981,90556.56,3895.083,254.844,676.694,7506.156,408.568,13200.096,7509.245,6995.793,84221.64,131244.258,760.903,23940.862,0,173512.841,99137.772,99088.282,82079.35,168644.17,180614.384,44425.153,33656.192,21278.919,116064.353,0,86008.101,246459.673,42137.446,56289.786,52064.878,49419.053,0,46263.591,39658.132,23171.717,30149.92,71403.563,0,0,0.036,0,347247.312,76225.5,66728.753,2287.458,0,0,51988.986,0,0,32159.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,438214.62,1174889.642,0,99771.827,46962.653,190763.62,0,25257.85,384304.148,107927.359,315277.151,17039.9,150000,217695.973,28426.766,215249.36,0,0,0,0,0,0,0,97907.535,144265.293,15372.985,105000,843754.793,14909.39,4859.248,2427.62,1383.514,33363.147,59549.043,3345.591,6811.373,32219.399,0,1178.968,7480.048,73517.878,72715.477,27101.548,161322.512,14539.138,5994.144,158258.4,19711.646,213716.841,8062.036,93876.436,13440.174,7641.589,96859.129,1319.27,140023.172,233.483,123919.437,35165.383,12907.499,6555.839,2640.394,1223.251,71754.986,18884.035,45836.481,42051.936,40500,0,4558.427,0,36611.482,11220.262,17231.813,115111.21,2644.981,139964.632,3439.508,169.226,710.713,7629.59,348.592,14057.674,7448.075,6526.365,74757.596,132033.916,796.89,24691.371,0,177408.306,56038.949,93578.634,81795.854,158244.963,191183.865,47200.128,36856.65,21795.78,120575.951,0,85157.695,246604.078,42406.397,73992.91,52230.784,49545.176,0,43874.811,37473.819,23997.88,32597.369,66974.05,0,0,0,0,343462.533,78356.364,56459.66,2287.458,0,0,52361.645,0,0,33255.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,417838.872,1241813.695,0,110559.262,130945.11,190763.62,0,25401.29,384304.148,108843.852,314165.427,16998.71,190000.001,216717.305,28865.449,215249.36,0,0,0,0,0,0,0,100939.605,144623.993,15475.423,105000,841167.063,14181.648,6867.01,2480.8,1246.501,32808.17,64665.834,4484.951,6890.976,32484.773,0,1271.256,7471.847,79531.946,68581.846,26613.525,160540.518,14147.484,6014.204,158258.4,21135.254,212597.546,7828.717,88062.816,13799.898,7304.911,97463.116,1423.314,146556.01,233.198,121706.272,35817.642,14395.675,6261.707,3595.972,1208.012,72663.624,23374.627,47628.061,45840.149,40500,0,4912.514,0,35251.312,10088.166,16704.909,115885.451,2644.981,99143.592,3308.655,330.468,683.892,6884.813,484.719,15974.964,7437.604,3989.613,67827.527,133190.474,863.51,22668.143,0,159001.785,99564.082,94415.84,78874.263,157732.599,190068.949,48248.149,34629.563,23059.992,124849.455,0,85397.752,286276.385,43497.955,88422.369,59089.634,67898.102,0,35636.268,37418.696,24240.266,27634.862,64580.096,0,3771.017,650.747,0,344669.891,76097.024,67688.476,2287.458,0,0,41026.785,0,0,33327.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,490727.359,1192548.016,0,105181.821,88953.881,145554.471,41683.152,30382.161,384304.148,108289.555,312806.046,16876.668,220000.001,220516.965,30234.135,276721.143,0,0,0,0,0,0,0,99515.457,144716.56,15675.633,105000,833999.326,17058.72,39517.258,3421.978,2350.246,36300.845,66745.88,4023.856,9154.721,39428.191,0,2163.209,7155.263,84719.483,78666.386,28019.911,144362.264,14490.833,7940.272,158258.399,21195.786,198433.281,8307.219,95439.277,17663.369,8074.721,100993.939,1461.902,147008.544,222.014,126982.329,41651.946,14419.5,5943.673,7873.832,1147.583,59243.495,32691.669,61497.07,54365.705,52000,0,5894.492,0,36350.739,14052.85,22305.029,117711.043,2644.981,193907.355,4313.957,369.93,671.187,8527.315,427.533,18187.978,7243.857,7295.103,82600.867,132815.453,850.718,25121.854,0,171614.295,110096.357,96071.014,83738.152,164590.159,197296.459,37653.961,33382.707,25067.36,123239.111,0,86408.364,296194.462,43610.14,87993.879,105906.94,69359.943,0,41108.792,37451.952,24198.666,45833.988,67089.103,0,35725.515,29607.614,0,350825.899,77003.521,75334.995,3431.187,0,0,40285.254,0,0,44118.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,469923.669,1174556.21,0,112099.314,161193.566,180956.875,35255.751,27576.882,502895.608,107225.164,313727.413,16923.399,265000,218515.619,31265.974,419627.423,0,0,0,0,0,0,0,96368.265,127043.373,15195.77,105000,835562.504,16805.793,60413.724,4697.256,2737.364,36187.909,64540.689,3783.548,8594.468,36523.052,0,2194.471,2377.468,86386.717,83009.746,27564.688,140492.066,9387.929,7766.176,158258.4,21436.708,210235.787,8169.729,102398.227,19607.385,7624.369,100842.855,1365.328,136091.344,226.246,129900.043,41166.52,14290.4,5468.212,8047.632,1097.474,65822.407,30444.574,58826.419,54394.333,52000,0,5450.965,0,36212.386,14426.94,23755.971,113465.781,2644.981,200075.61,4499.802,443.018,684.896,8398.8,464.447,20626.587,6706.371,7522.721,80238.283,134334.145,840.875,26227.087,0,159927.479,108463.485,93659.867,79777.464,160020.384,155034.282,40087.248,31642.224,27602.313,122389.454,0,85162.593,292423.969,42688.282,86870.359,104607.909,68988.125,0,39644.914,38662.356,45978.228,47474.555,65864.795,0,36319.532,47378.863,0,351121.206,71809.456,72700.022,3422.87,0,0,40442.821,0,0,44824.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,454787.783,1189991.966,0,101666.793,183764.379,188954.2,0,27411.163,467735.866,106458.96,313411.812,10725.058,265000,218186.426,30487.886,417723.047,0,0,0,0,0,0,0,97146.428,118170.963,15466.498,105000,838330.701,17139.046,62254.362,4948.324,2833.247,34897.495,65521.467,4324.334,8391.93,40463.884,0,2155.363,7351.521,90107.728,87313.525,29002.168,119362.327,10224.036,8140.118,158258.4,21917.973,214169.046,8078.211,91465.678,19215.096,6778.511,102891.934,1430.404,130455.931,249.159,130294.061,41899.645,14080.437,5292.485,8171.837,1050.539,60440.301,36261.29,58757.806,54956.25,52000,0,6843.713,0,36419.021,14652.418,23186.932,112338.73,2644.981,202395.991,4541.458,394.098,689.66,7772.271,382.947,18983.938,7192.797,7873.665,82887.989,132496.02,730.875,26516.953,0,173574.211,109443.296,94951.776,55723.369,165911.027,171112.008,43944.55,32027.082,30980.479,122825.941,0,85648.438,292304.678,42730.915,94958.601,104282.198,69807.063,0,37899.956,42387.121,47391.734,46803.496,62814.824,0,36273.797,47347.035,0,318049.525,72518.324,75396.518,3422.87,0,0,40877.002,0,0,45683.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,468846.791,1137983.442,0,98785.97,183764.379,187905.474,0,25063.692,467735.866,106576.602,313337.581,15117.953,275000,216095.06,29990.6,418366.631,0,0,0,0,0,0,0,94412.203,106563.058,15803.483,105000,836982.412,18915.084,62691.992,4927.412,2924.292,40348.349,63188.644,2929.076,7753.516,41182.769,0,2280.089,7355.641,89075.243,91571.815,30215.473,99420.866,10368.898,8831.835,158258.399,21435.435,219611.459,8114.203,93976.766,19435.897,7363.734,102797.808,1375.241,135775.289,226.861,132880.173,43087.267,13474.623,4890.621,8353.667,1190.45,58996.15,39591.197,62687.088,55620.669,52000,0,6583.656,0,35569.37,14746.656,23878.568,115834.124,2449.246,205815.203,4470.832,368.84,639.59,7756.444,333.542,18682.179,6814.692,9838.901,86344.375,131358.942,733.219,28024.023,0,176330.28,91443.304,96875.834,40930.295,168598.165,169729.001,43583.995,38237.592,33265.804,124785.338,0,86625.386,301502.823,42694.05,104308.713,88300.86,71311.918,0,41005.892,38689.938,47628.115,48052.24,70830.398,0,36253.776,48857.377,0,312681.307,72584.437,79605.564,2385.257,0,0,47866.717,0,0,46646.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,388806.974,1120636.194,0,95508.532,89231.361,92090.563,0,25555.825,467735.866,106225.148,311645.923,16782.234,275000,218365.084,31279.182,574014.822,0,0,0,0,0,0,0,99284.2,111679.885,15092.664,105000,831246.012,18676.817,63361.984,3462.974,2722.032,39188.988,68408.124,3786.404,8501.198,43061.044,0,2185.356,8295.402,83934.469,91119.321,29259.877,122005.287,10373.029,8926.986,158258.399,20709.251,216848.369,8287.945,96052.046,19838.724,8251.262,104414.22,1322.767,130439.199,233.415,133778.399,40987.178,13324.261,4563.183,7191.86,1190.928,56268.374,37010.507,61409.947,52739.192,52000,0,7011.348,0,35786.557,14545.863,22745.155,112139.575,2449.246,190091.752,4535.347,197.64,652.531,8731.197,322.186,19310.445,6793.602,9166.48,75654.655,130619.489,1258.996,27250.494,0,172126.968,75407.137,96192.503,42502.145,169419.398,187965.727,41196.83,41591.107,32929.291,122521.518,0,86320.487,301481.895,40737.723,100223.927,103819.296,71575.874,0,39096.502,42324.483,46998.358,45250.21,72595.199,0,36270.698,25920.194,0,316258.434,73614.696,82623.443,2385.257,0,0,55442.673,0,0,44029.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,377275.582,1028709.477,0,109420.871,118362.512,105727.162,0,26074.836,467524.855,106087.492,312182.391,16606.662,275000,214526.544,33113.973,605194.892,0,0,0,0,0,0,0,97583.299,111065.74,15204.005,105000,813848.815,19785.711,63197.642,3369.145,2145.601,36659.074,65815.375,4206.972,6765.264,38290.544,0,864.096,7925.744,83586.206,84184.802,27553.871,132969.512,10446.874,6062.747,105505.599,20431.283,222196.615,8248.727,91123.446,17508.142,8415.667,101296.512,1543.241,136767.517,240.688,132128.112,37710.166,14085.534,4826.935,4874.117,1157.149,60096.323,30896.126,51952.758,45484.663,40500,0,5522.062,0,35329.902,12926.478,18379.039,116564.09,2449.246,130297.748,4071.45,218.898,669.634,9275.559,467.341,19072.565,7005.732,9576.551,46406.026,132844.105,748.145,25213.883,3.268,159753.575,84875.823,92736.274,42367.607,160741.552,192602.641,27522.825,39811.816,32389.514,121623.76,0,87240.159,301427.481,39347.153,79013.947,103798.178,69224.905,0,32001.588,42325.094,47220.279,34355.491,65616.191,0,37362.643,13.605,0,339788.439,72834.067,76874.971,2385.257,0,0,51336.28,0,0,39028.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
