Date,SIS1,SIS2,SIS3,SIS4,SIS5
2019-09-15,80000,79813,0,0,0
2019-09-16,90147,82352,0,7584,0
2019-09-17,88904,77024,0,11673,0
2019-09-18,71160,70994,0,0,0
2019-09-19,87810,76132,0,11473,0
2019-09-20,73270,63122,0,9977,0
2019-09-21,,,,,
2019-09-22,,,,,
2019-09-23,84537,82344,0,0,0
2019-09-24,83566,81371,0,2000,0
2019-09-25,76844,62697,0,13967,0
2019-09-26,41903,31456,0,10349,0
2019-09-27,62001,43898,0,17958,0
2019-09-28,77298,57061,0,20056,0
2019-09-29,,,,,
2019-09-30,74430,55301,0,18956,0
2019-10-01,71960,51839,0,19953,0
2019-10-02,102127,84801,0,17087,0
2019-10-03,109227,84030,0,24941,0
2019-10-04,130136,93249,0,36582,0
2019-10-05,124400,100165,0,23944,0
2019-10-06,107980,94147,0,13580,0
2019-10-07,117482,104237,0,12970,0
2019-10-08,107980,94357,0,13370,0
2019-10-09,,,,,
2019-10-10,156575,87414,0,68794,0
2019-10-11,97193,47082,0,49883,0
2019-10-12,75499,55369,0,19953,0
2019-10-13,59729,59589,0,0,0
2019-10-14,104949,56551,0,48152,0
2019-10-15,105193,73021,0,31925,0
2019-10-16,138483,88276,0,49883,0
2019-10-17,152236,118072,0,33808,0
2019-10-18,190337,112193,0,77697,0
2019-10-19,117801,68658,0,48867,0
2019-10-20,,,,,
2019-10-21,116105,94503,0,21330,0
2019-10-22,89160,59021,0,29930,0
2019-10-23,119307,57203,0,61825,0
2019-10-24,123820,60677,0,62852,0
2019-10-25,104148,91932,0,11972,0
2019-10-26,117942,61572,0,56093,0
2019-10-27,110685,72515,0,37911,0
2019-10-28,136057,91004,0,44734,0
2019-10-29,69300,61797,0,7341,0
2019-10-30,98091,49378,0,48483,0
2019-10-31,139567,112303,0,26937,0
2019-11-01,136478,101137,0,35019,0
2019-11-02,,,,,
2019-11-03,100000,89788,0,9976,0
2019-11-04,100000,89788,0,9976,0
2019-11-05,106975,105770,0,953,0
2019-11-06,100029,88160,0,11634,0
2019-11-07,116883,88160,0,28448,0
2019-11-08,105473,77733,0,27492,0
2019-11-09,90904,90690,0,0,0
2019-11-10,90904,90690,0,0,0
2019-11-11,,,,,
2019-11-12,,,,,
2019-11-13,,,,,
2019-11-14,,,,,
2019-11-15,,,,,
2019-11-16,,,,,
2019-11-17,,,,,
2019-11-18,,,,,
2019-11-19,,,,,
2019-11-20,,,,,
2019-11-21,,,,,
2019-11-22,,,,,
2019-11-23,,,,,
2019-11-24,,,,,
2019-11-25,,,,,
2019-11-26,,,,,
2019-11-27,,,,,
2019-11-28,,,,,
2019-11-29,,,,,
2019-11-30,,,,,
2019-12-01,118779,68244,0,50257,0
2019-12-02,118779,68244,0,50257,0
2019-12-03,105478,54974,0,50257,0
2019-12-04,93104,50235,0,42652,0
2019-12-05,90254,52129,0,37913,0
2019-12-06,,,,,
2019-12-07,81387,81196,0,0,0
2019-12-08,81387,40756,0,40440,0
2019-12-09,,,,,
2019-12-10,137756,75825,0,61608,0
2019-12-11,,,,,
2019-12-12,193702,75825,0,117423,0
2019-12-13,,,,,
2019-12-14,71183,36017,0,34999,0
2019-12-15,71183,36016,0,35000,0
2019-12-16,71183,42652,0,28364,0
2019-12-17,95004,47391,0,47391,0
2019-12-18,125405,30330,0,94781,0
2019-12-19,121550,24326,0,96939,0
2019-12-20,104220,30330,0,73646,0
2019-12-21,,,,,
2019-12-22,,,,,
2019-12-23,,,,,
2019-12-24,,,,,
2019-12-25,,,,,
2019-12-26,,,,,
2019-12-27,34201,34121,0,0,0
2019-12-28,28501,28434,0,0,0
2019-12-29,18501,18458,0,0,0
2019-12-30,28501,28434,0,0,0
2019-12-31,73248,30330,0,42747,0
2020-01-01,76573,32222,0,44164,0
2020-01-02,76573,32222,0,44164,0
2020-01-03,,,,,
2020-01-04,89598,47391,0,41988,0
2020-01-05,89598,47391,0,41988,0
2020-01-06,,,,,
2020-01-07,155590,32226,0,122984,0
2020-01-08,155590,32226,0,122984,0
2020-01-09,155590,32226,0,122984,0
2020-01-10,127319,32226,0,94782,0
2020-01-11,90858,32226,0,58410,0
2020-01-12,90858,32226,0,58410,0
2020-01-13,,,,,
2020-01-14,32305,32226,0,0,0
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-18,,,,,
2020-01-19,,,,,
2020-01-20,105502,51183,0,54062,0
2020-01-21,105502,51183,0,54062,0
2020-01-22,135871,51183,0,84356,0
2020-01-23,152307,32226,0,119709,0
2020-01-24,152307,32226,0,119709,0
2020-01-25,,,,,
2020-01-26,,,,,
2020-01-27,141570,32226,0,108998,0
2020-01-28,133368,32226,0,100816,0
2020-01-29,135868,32226,0,103310,0
2020-01-30,161713,32226,0,129092,0
2020-01-31,135014,32226,0,102458,0
2020-02-01,127318,32216,0,94751,0
2020-02-02,127318,32216,0,94751,0
2020-02-03,127318,32216,0,94751,0
2020-02-04,67150,32216,0,34749,0
2020-02-05,136235,60642,0,75218,0
2020-02-06,170358,64452,0,105437,0
2020-02-07,56739,51167,0,5416,0
2020-02-08,70000,60642,0,9166,0
2020-02-09,70000,47376,0,22431,0
2020-02-10,70000,60642,0,9166,0
2020-02-11,101010,51167,0,49565,0
2020-02-12,75494,28447,0,46839,0
2020-02-13,,,,,
2020-02-14,164207,32226,0,131529,0
2020-02-15,103853,32226,0,71341,0
2020-02-16,103853,32226,0,71341,0
2020-02-17,103853,32226,0,71341,0
2020-02-18,103853,32226,0,71341,0
2020-02-19,103597,32226,0,71086,0
2020-02-20,103597,32226,0,71086,0
2020-02-21,169469,32226,0,76204,60573
2020-02-22,146904,32226,0,56903,57371
2020-02-23,,,,,
2020-02-24,,,,,
2020-02-25,189544,47390,0,75056,66576
2020-02-26,219048,56869,0,95000,66576
2020-02-27,,,,,
2020-02-28,,,,,
2020-02-29,210038,47390,0,100945,61124
2020-03-01,210253,56870,0,82564,70242
2020-03-02,,,,,
2020-03-03,200269,40912,0,80564,78242
2020-03-04,224560,56870,0,76832,90242
2020-03-05,206822,28435,0,87577,90242
2020-03-06,,,,,
2020-03-07,,,,,
2020-03-08,,,,,
2020-03-09,,,,,
2020-03-10,209564,34226,0,87577,87191
2020-03-11,221829,64452,0,87578,69191
2020-03-12,189827,34209,0,87578,67524
2020-03-13,161723,32226,0,68665,60387
2020-03-14,161723,32226,0,70666,58387
2020-03-15,114797,32226,0,71604,10652
2020-03-16,152843,30945,0,74503,46976
2020-03-17,130496,29000,0,51757,49381
2020-03-18,166357,35226,0,63283,67399
2020-03-19,181941,30782,0,90000,60659
2020-03-20,135663,34000,0,61267,40033
2020-03-21,,,,,
2020-03-22,,,,,
2020-03-23,,,,,
2020-03-24,148009,33330,0,50000,64281
2020-03-25,180241,49000,0,50000,80754
2020-03-26,204350,65991,0,50000,87806
2020-03-27,171193,54925,0,50000,65798
2020-03-28,167980,52290,0,50000,65229
2020-03-29,162691,54503,0,50000,57741
2020-03-30,142391,25772,0,55000,61228
