Date,E010,E013,E014,E015,E135,E159,E162,E183,PAYBACK1,V020,V021,WR1610
2019-09-01,3181.52,35796.07,0,128.32,0,79.99,641.6,0,0,36265,4084.24,0
2019-09-02,0,35796.07,0,128.32,0,79.99,641.6,0,0,36265,861.04,0
2019-09-03,14274.67,35796.07,0,128.32,0,79.99,641.6,0,0,36265,15322.71,0
2019-09-04,15955.51,29467.86,0,128.32,0,79.99,641.6,0,0,29853.89,17025.57,0
2019-09-05,31999.63,29467.86,0,128.32,0,79.99,641.6,0,0,29853.89,33279.87,0
2019-09-06,30000.11,28682.64,0,128.32,0,79.99,641.6,0,0,32223.56,28088.97,0
2019-09-07,172.88,31780.85,0,128.32,0,79.99,641.6,0,0,32197.17,1036.18,0
2019-09-08,30000.11,31780.85,0,128.32,0,79.99,641.6,0,0,32197.17,31254.15,0
2019-09-09,28731.7,30224.95,0,128.32,0,79.99,641.6,0,0,35263.2,25326.83,0
2019-09-10,35588.36,30224.97,0,128.32,0,79.99,641.6,0,0,34216.56,33319.96,0
2019-09-11,32980.56,31719.41,0,128.32,0,79.99,641.6,0,0,32134.93,34273.64,0
2019-09-12,33000.44,29307.08,0,128.32,0,79.99,641.6,0,0,29691,34293.78,0
2019-09-13,32962.85,27923.44,0,128.32,0,79.99,641.6,0,0,28289.24,34255.7,0
2019-09-14,7152.4,32749.38,0,128.32,0,79.99,641.6,0,0,33178.4,8107.14,0
2019-09-15,26260.33,32749.36,0,128.32,0,79.99,641.6,0,0,52128.26,8515.5,0
2019-09-16,10490.17,32749.36,0,128.32,0,79.99,641.6,0,0,33312.37,11354.64,0
2019-09-17,8350.08,34111.53,0,128.32,0,79.99,641.6,0,0,42998.87,880.03,0
2019-09-18,2493.15,31677.74,0,128.32,0,79.99,641.6,0,0,33300.76,2178.81,0
2019-09-19,17429.11,30998.75,0,128.32,0,79.99,641.6,0,0,37178.1,12745.2,0
2019-09-20,25088.79,38308.16,0,128.32,0,79.99,641.6,0,0,47250.48,17838.01,0
2019-09-21,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-22,21570.91,30998.72,0,67.27,0,79.99,641.6,0,0,46831.89,7225.59,0
2019-09-23,19787.96,30998.75,0,0,0,79.99,641.6,0,0,34475.04,17708.01,0
2019-09-24,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-25,5685.1,30998.75,0,128.32,0,79.99,641.6,0,0,32590.72,5434.73,0
2019-09-26,8752.07,30120.83,0,128.32,0,79.99,641.6,0,0,34704,5539.18,0
2019-09-27,4505.17,31093.52,0,128.32,0,79.99,641.6,0,0,31500.84,5425.23,0
2019-09-28,8748.93,29680.31,0,128.32,0,79.99,641.6,0,0,33234.3,6559.4,0
2019-09-29,0,29680.31,0,128.32,0,79.99,641.6,0,0,30069.13,861.04,0
2019-09-30,4509.33,28753.45,0,128.32,0,79.99,641.6,0,0,30532.3,4027.27,0
2019-10-01,3762.64,29680.31,0,0,0,100,789.66,0,0,31824.75,2957.62,0
2019-10-02,3125.29,29680.31,0,0,0,100,789.66,0,0,31827.91,2308.76,0
2019-10-03,0,29680.31,0,0,0,100,789.66,0,0,30069.12,901.31,0
2019-10-04,0,29680.31,0,26.73,0,100,789.66,0,0,30069.12,928.39,0
2019-10-05,0,29680.19,0,128.32,0,100,789.66,0,0,30069,1031.31,0
2019-10-06,0,29680.31,0,128.32,0,100,789.66,0,0,30069.13,1031.31,0
2019-10-07,0,29680.31,0,128.32,0,100,789.66,0,0,30069.12,1031.31,0
2019-10-08,14999.5,29680.31,0,128.32,0,100,789.66,0,0,30069.12,16227.3,0
2019-10-09,3351.28,29680.31,0,128.32,0,100,789.66,0,0,31827.91,2667.71,0
2019-10-10,16875.11,29680.31,0,128.32,0,100,789.66,0,0,33925.35,14271.26,0
2019-10-11,14658.99,38308.16,0,128.32,0,100,789.66,0,0,38810,15882.34,0
2019-10-12,6251.63,36634.09,0,263.55,0,92.59,727.27,0,0,40280.24,4264.89,0
2019-10-13,3473.13,36634.09,0,263.66,0,92.1,727.31,0,0,38872.79,2857.1,0
2019-10-14,3534.57,36634.09,0,263.66,0,92.1,727.31,0,0,38894.94,2897.19,0
2019-10-15,0,30982.13,0,286.25,0,100,789.66,0,0,31388,1191.31,0
2019-10-16,17995.62,30982.13,0,286.25,0,100,789.66,0,0,39073.06,11737.61,0
2019-10-17,25000.27,30982.13,0,286.25,0,100,789.66,0,0,56715.77,1191.31,0
2019-10-18,3127.38,30354.36,0,286.25,0,100,789.66,0,0,32511.84,2599.82,0
2019-10-19,11081.72,31191.39,0,286.25,0,100,789.66,0,0,40040.48,3977.72,0
2019-10-20,19848.35,31191.39,0,286.25,0,100,789.66,0,0,39886.42,13013.26,0
2019-10-21,14738.1,31191.39,0,286.25,0,100,789.66,0,0,39104.62,8617.86,0
2019-10-22,0,33703.48,0,286.25,0,100,789.66,0,0,34145,1191.31,0
