Date,RMS,DMS FB,DMS IB
2019-09-17,666893,666893,0
2019-09-18,664893,664893,0
2019-09-19,646790,646790,0
2019-09-20,,,
2019-09-21,508685,508685,0
2019-09-22,452920,452920,0
2019-09-23,508735,508735,0
2019-09-24,580236.5,580236.5,0
2019-09-25,525824,525824,0
2019-09-26,577821.822,577821.822,0
2019-09-27,536313.387,536313.387,0
2019-09-28,631783.735,631783.735,0
2019-09-29,631383.735,631383.735,0
2019-09-30,631943.733,631943.733,0
2019-10-01,770543.091,770543.091,0
2019-10-02,741679.286,741679.286,0
2019-10-03,761769.549,761769.549,0
2019-10-04,758952.616,758952.616,0
2019-10-05,695065.196,695065.196,0
2019-10-06,694605.196,694605.196,0
2019-10-07,695065.196,695065.196,0
2019-10-08,688406.622,688406.622,0
2019-10-09,654285.398,654285.398,0
2019-10-10,658327.036,658327.036,0
2019-10-11,665223.807,665223.807,0
2019-10-12,,,
2019-10-13,,,
2019-10-14,613184.211,613184.211,0
2019-10-15,688505.893,688505.893,0
2019-10-16,703895.784,703895.784,0
2019-10-17,697305.739,697305.739,0
2019-10-18,696419.064,696419.064,0
2019-10-19,664827.289,664827.289,0
2019-10-20,663527.289,663527.289,0
2019-10-21,664827.289,664827.289,0
2019-10-22,686288.473,686288.473,0
2019-10-23,721599.654,721599.654,0
2019-10-24,707349.657,707349.657,0
2019-10-25,708400.488,708400.488,0
2019-10-26,697119.064,697119.064,0
2019-10-27,695119.064,695119.064,0
2019-10-28,695019.064,695019.064,0
2019-10-29,711751.444,711751.444,0
2019-10-30,709582.304,709582.304,0
2019-10-31,680576.114,680576.114,0
2019-11-01,728010.841,728010.841,0
2019-11-02,737161.432,737161.432,0
2019-11-03,737181.432,737181.432,0
2019-11-04,737141.432,737141.432,0
2019-11-05,768733.207,768733.207,0
2019-11-06,754337.32,754337.32,0
2019-11-07,719586.367,719586.367,0
2019-11-08,,,
2019-11-09,696419.064,696419.064,0
2019-11-10,695119.064,695119.064,0
2019-11-11,695064.664,695064.664,0
2019-11-12,749357.023,749357.023,0
2019-11-13,731500.31,731500.31,0
2019-11-14,721500.31,721500.31,0
2019-11-15,711235.014,711235.014,0
2019-11-16,646194.39,646194.39,0
2019-11-17,644894.39,644894.39,0
2019-11-18,646194.39,646194.39,0
2019-11-19,616194.39,616194.39,0
2019-11-20,621194.391,621194.391,0
2019-11-21,568541.432,568541.432,0
2019-11-22,573541.43,573541.43,0
2019-11-23,,,
2019-11-24,565119.064,565119.064,0
2019-11-25,541419.062,541419.062,0
2019-11-26,605179.766,605179.766,0
2019-11-27,654626.987,654626.987,0
2019-11-28,654626.987,654626.987,0
2019-11-29,654626.989,654626.989,0
2019-11-30,654626.989,654626.989,0
2019-12-01,578612.549,578612.549,0
2019-12-02,561801.797,561801.797,0
2019-12-03,612404.941,612404.941,0
2019-12-04,537192.398,537192.398,0
2019-12-05,612704.941,612704.941,0
2019-12-06,611004.941,611004.941,0
2019-12-07,572326.801,572326.801,0
2019-12-08,565447.801,565447.801,0
2019-12-09,546589.799,546589.799,0
2019-12-10,639840.41,639840.41,0
2019-12-11,611836.621,611836.621,0
2019-12-12,622519.442,622519.442,0
2019-12-13,604029.336,604029.336,0
2019-12-14,579591.941,579591.941,0
2019-12-15,578231.941,578231.941,0
2019-12-16,540181.941,540181.941,0
2019-12-17,646890.015,646890.015,0
2019-12-18,649096.015,649096.015,0
2019-12-19,606,606,0
2019-12-20,567537.72,567537.72,0
2019-12-21,554406.799,554406.799,0
2019-12-22,550252.799,550252.799,0
2019-12-23,536046.799,536046.799,0
2019-12-24,456927.653,456927.653,0
2019-12-25,463126.439,463126.439,0
2019-12-26,607482.94,607482.94,0
2019-12-27,493247.083,493247.083,0
2019-12-28,498731.154,498731.154,0
2019-12-29,571225.154,571225.154,0
2019-12-30,571670.154,571670.154,0
2019-12-31,520286.156,520286.156,0
2020-01-01,,,
2020-01-02,495487.223,495487.223,0
2020-01-03,568354,568354,0
2020-01-04,600776.515,600776.515,0
2020-01-05,600695.515,600695.515,0
2020-01-06,575776.515,575776.515,0
2020-01-07,580145.871,580145.871,0
2020-01-08,593343.824,593343.824,0
2020-01-09,584471.227,584471.227,0
2020-01-10,614683.803,614683.803,0
2020-01-11,590114.229,590114.229,0
2020-01-12,596314.229,596314.229,0
2020-01-13,579614.229,579614.229,0
2020-01-14,637195.265,637195.265,0
2020-01-15,666755.486,666755.486,0
2020-01-16,455825,455825,0
2020-01-17,404148,404148,0
2020-01-18,490937,490937,0
2020-01-19,476636,476636,0
2020-01-20,411541,411541,0
2020-01-21,459125,459125,0
2020-01-22,412409,412409,0
2020-01-23,659088.706,659088.706,0
2020-01-24,658546.75,658546.75,0
2020-01-25,586126.58,586126.58,0
2020-01-26,592822.58,592822.58,0
2020-01-27,662822.58,662822.58,0
2020-01-28,641812.017,641812.017,0
2020-01-29,634403.017,634403.017,0
2020-01-30,634421.037,634421.037,0
2020-01-31,684918.803,684918.803,0
2020-02-01,397654.49,397654.49,0
2020-02-02,422559.49,422559.49,0
2020-02-03,445235.49,445235.49,0
2020-02-04,419349.61,419349.61,0
2020-02-05,403800.049,403800.049,0
2020-02-06,532771.206,532771.206,0
2020-02-07,543136.277,543136.277,0
2020-02-08,572847.565,572847.565,0
2020-02-09,513092,513092.564,0
2020-02-10,544598.66,544598.66,0
2020-02-11,,,
2020-02-12,645913.782,645913.782,0
2020-02-13,614584.674,614584.674,0
2020-02-14,695212.796,687306.176,7906.62
2020-02-15,677268.547,668828.067,8440.48
2020-02-16,647694.548,639254.068,8440.48
2020-02-17,658025.548,649585.068,8440.48
2020-02-18,636962.264,628521.784,8440.48
2020-02-19,644958.599,636518.119,8440.48
2020-02-20,606403.344,599017.924,7385.42
2020-02-21,558253.33,551078.922,7174.408
2020-02-22,587941.761,579501.281,8440.48
2020-02-23,587414.231,579501.281,7912
2020-02-24,588725.243,580601.281,8123.962
2020-02-25,556424.697,548511.747,7912.95
2020-02-26,591144.985,586924.745,4220.24
2020-02-27,592068.5,583839.032,8229.468
2020-02-28,521896.583,513456.103,8440.48
2020-02-29,580240.583,571800.103,8440.48
2020-03-01,475844.505,467615.037,8229.468
2020-03-02,523902.505,515673.037,8229.468
2020-03-03,580610.714,572697.764,7912.95
2020-03-04,644180.161,636583.729,7596.432
2020-03-05,634745.568,627571.16,7174.408
2020-03-06,656847.139,649672.731,7174.408
2020-03-07,,,
2020-03-08,,,
2020-03-09,544973.521,538010.121,6963.4
2020-03-10,568396.067,559955.587,8440.48
2020-03-11,569501.041,561377.079,8123.962
2020-03-12,600113.978,591990.016,8123.962
2020-03-13,492000.38,484298.442,7701.938
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,563973.616,555533.136,8440.48
2020-03-18,476079.527,467639.047,8440.48
2020-03-19,560623.152,551971.66,8651.492
2020-03-20,576609.073,568063.087,8545.986
2020-03-21,650288.577,641637.085,8651.492
2020-03-22,649786.577,641135.085,8651.492
2020-03-23,649888.577,641237.085,8651.492
2020-03-24,565518.361,556866.869,8651.492
2020-03-25,474926.573,466275.081,8651.492
2020-03-26,490278.222,481204.706,9073.516
2020-03-27,490129.912,481056.396,9073.516
2020-03-28,475748.706,466675.19,9073.516
2020-03-29,475858.708,466785.192,9073.516
2020-03-30,469017.706,459944.19,9073.516
2020-03-31,593407.31,583595.252,9812.058
2020-04-01,636744.015,627063.819,8651.519
2020-04-02,376974.862,368255.859,8651.519
2020-04-03,622069.555,612492.379,8651.519
2020-04-04,635648.468,625763.021,8651.519
2020-04-05,666180.468,656293.617,8651.519
2020-04-06,666780.468,656889.405,8651.519
2020-04-07,599601.34,590392.478,8440.941
2020-04-08,548077.457,539758.328,7912.924
2020-04-09,730299.467,721229.089,7384.907
2020-04-10,481631.405,473659.729,7912.924
2020-04-11,413143.097,405171.421,7912.924
2020-04-12,413143.097,405171.421,7912.924
2020-04-13,413143.097,405171.421,7912.924
2020-04-14,440325.377,432141.634,8123.502
2020-04-15,532359.981,524151.194,7912.924
2020-04-16,425712.306,417528.563,8123.502
2020-04-17,355255.151,346964.847,8229.315
2020-04-18,491755.718,483784.042,7912.924
2020-04-19,490570.718,482601.148,7912.924
2020-04-20,490870.718,482899.042,7912.924
2020-04-21,407403.077,399431.401,7912.924
2020-04-22,579611.579,571915.477,7068.516
2020-04-23,687526.635,678756.538,7384.907
2020-04-24,549593.496,542318.71,6857.937
2020-04-25,486803.746,479575.887,7174.328
2020-04-26,494978.744,487752.991,7174.328
2020-04-27,509753.672,502442.185,7174.328
2020-04-28,340068.25,332627.622,7384.907
2020-04-29,413789.752,406349.124,7384.907
2020-04-30,410005.155,403629.429,6329.92
2020-05-01,481808.527,475431.731,6330.339
2020-05-02,380568.846,373661.297,6858.304
2020-05-03,6957.478,49.644,6858.304
2020-05-04,440224.215,433315.669,6858.304
2020-05-05,293317.452,286408.906,6858.304
2020-05-06,406200.244,400355.199,5802.374
2020-05-07,503025.638,496709.912,6224.537
2020-05-08,427707.145,421437.622,6224.537
2020-05-09,343554.003,337283.768,6224.537
2020-05-10,427707.145,421437.622,6224.537
2020-05-11,427807.145,421536.91,6224.537
2020-05-12,363643.535,357373.3,6224.537
2020-05-13,278283.104,272013.937,6224.537
2020-05-14,314024.687,314023.619,6013.979
2020-05-15,299290.508,299289.44,6013.979
2020-05-16,400317.096,394152.367,6119.782
2020-05-17,424922.224,418758.207,6119.782
2020-05-18,390415.245,384250.516,6119.782
2020-05-19,562098.955,555362.689,6224.537
2020-05-20,547623.963,540990.744,6224.537
2020-05-21,547849.838,541215.011,6224.537
2020-05-22,500653.767,494354.927,6224.537
2020-05-23,591692.385,584745.445,6224.537
