Date,RMS,DMS FB,DMS IB
2019-09-10,539.008,533.053,0
2019-09-11,505.565,506.225,0
2019-09-12,509.132,518.507,0
2019-09-13,524.705,533.954,0
2019-09-14,471.31,468.322,0
2019-09-15,394.112,370.698,0
2019-09-16,417.102,407.992,0
2019-09-17,551.58,537.232,0
2019-09-18,590.814,567.485,0
2019-09-19,503.658,498.922,0
2019-09-20,506.483,505.706,0
2019-09-21,484.023,472.263,0
2019-09-22,420.351,410.992,0
2019-09-23,470.533,465.345,0
2019-09-24,522.763,519.263,0
2019-09-25,490.521,482.25,0
2019-09-26,563.799,523.823,0
2019-09-27,490.026,476.466,0
2019-09-28,586.012,558.113,0
2019-09-29,582.056,556.595,0
2019-09-30,536.041,560.974,0
2019-10-01,686.87,619.221,0
2019-10-02,737.582,728.414,0
2019-10-03,719.183,711.714,0
2019-10-04,749.66,722.379,0
2019-10-05,663.598,646.541,0
2019-10-06,673.204,646.79,0
2019-10-07,642.48,636.447,0
2019-10-08,641.773,629.709,0
2019-10-09,597.383,587.565,0
2019-10-10,629.343,613.853,0
2019-10-11,644.246,626.058,0
2019-10-12,574.005,552.222,0
2019-10-13,561.221,532.404,0
2019-10-14,579.372,575.029,0
2019-10-15,647.918,643.68,0
2019-10-16,634.781,634.618,0
2019-10-17,637.041,637.111,0
2019-10-18,638.342,638.342,0
2019-10-19,609.455,609.455,0
2019-10-20,630.649,610.591,0
2019-10-21,637.147,621.382,0
2019-10-22,630.861,613.082,0
2019-10-23,688.283,671.154,0
2019-10-24,646.294,646.095,0
2019-10-25,658.477,630.507,0
2019-10-26,652.297,632.598,0
2019-10-27,629.872,618.946,0
2019-10-28,662.786,635.96,0
2019-10-29,661.267,650.142,0
2019-10-30,586.859,634.124,0
2019-10-31,388.744,396.947,0
2019-11-01,483.634,466.966,0
2019-11-02,712.156,620.797,0
2019-11-03,690.932,660.879,0
2019-11-04,714.38,701.914,0
2019-11-05,743.374,722.326,0
2019-11-06,615.923,606.14,0
2019-11-07,569.838,581.596,0
2019-11-08,554.546,569.179,0
2019-11-09,615.217,598.265,0
2019-11-10,684.822,645.164,0
2019-11-11,468.449,506.786,0
2019-11-12,544.164,538.456,0
2019-11-13,638.03,586.881,0
2019-11-14,752.979,701.285,0
2019-11-15,586.994,586.994,0
2019-11-16,592.731,592.731,0
2019-11-17,556.948,526.295,0
2019-11-18,534.452,497.632,0
2019-11-19,549.32,553.782,0
2019-11-20,564.046,545.201,0
2019-11-21,542.892,558.938,0
2019-11-22,535.3,535.3,0
2019-11-23,550.193,550.193,0
2019-11-24,518.349,514.358,0
2019-11-25,524.352,501.516,0
2019-11-26,611.191,591.223,0
2019-11-27,615.853,613.16,0
2019-11-28,632.662,612.462,0
2019-11-29,610.591,605.682,0
2019-11-30,600.985,574.782,0
2019-12-01,501.751,497.983,0
2019-12-02,507.331,502.682,0
2019-12-03,538.196,528.837,0
2019-12-04,498.89,488.746,0
2019-12-05,569.732,558.925,0
2019-12-06,581.562,556.418,0
2019-12-07,533.322,513.361,0
2019-12-08,506.801,494.336,0
2019-12-09,496.666,492.525,0
2019-12-10,534.558,527.826,0
2019-12-11,436.595,444.285,0
2019-12-12,536.218,499.34,0
2019-12-13,557.113,566.297,0
2019-12-14,534.557,553.641,0
2019-12-15,530.355,523.471,0
2019-12-16,526.718,533.971,0
2019-12-17,621.75,614.572,0
2019-12-18,537.701,558.563,0
2019-12-19,517.042,518.94,0
2019-12-20,519.973,508.31,0
2019-12-21,666.388,563.366,0
2019-12-22,494.088,512.089,0
2019-12-23,558.855,547.278,0
2019-12-24,486.286,462.667,0
2019-12-25,364.913,357.738,0
2019-12-26,456.444,450.898,0
2019-12-27,412.165,417.327,0
2019-12-28,502.654,504.18,0
2019-12-29,517.376,490.843,0
2019-12-30,531.899,554.052,0
2019-12-31,568.555,515.912,0
2020-01-01,456.869,452.788,0
2020-01-02,490.444,513.651,0
2020-01-03,425.031,446.059,0
2020-01-04,570.738,545.666,0
2020-01-05,557.244,533.886,0
2020-01-06,553.5,542.997,0
2020-01-07,538.431,528.023,0
2020-01-08,558.754,550.413,0
2020-01-09,575.058,541.655,0
2020-01-10,571.85,574.215,0
2020-01-11,567.909,536.781,0
2020-01-12,571.22,544.833,0
2020-01-13,585.587,555.491,0
2020-01-14,543.079,570.111,0
2020-01-15,630.01,633.677,0
2020-01-16,422.293,429.064,0
2020-01-17,395.948,412.396,0
2020-01-18,454.57,446.969,0
2020-01-19,440.621,424.261,0
2020-01-20,388.108,415.157,0
2020-01-21,407.673,406.152,0
2020-01-22,429.638,437.546,0
2020-01-23,628.99,599.29,0
2020-01-24,560.656,514.252,0
2020-01-25,541.268,527.46,0
2020-01-26,550.061,529.579,0
2020-01-27,616.947,592.931,0
2020-01-28,563.693,551.916,0
2020-01-29,577.254,570.386,0
2020-01-30,583.963,562.899,0
2020-01-31,341.32,586.666,0
2020-02-01,393.135,380.979,0
2020-02-02,388.628,373.28,0
2020-02-03,381.414,375.682,0
2020-02-04,415.493,409.469,0
2020-02-05,298.268,342.185,0
2020-02-06,451.883,434.682,0
2020-02-07,425.914,412.242,0
2020-02-08,487.352,473.553,0
2020-02-09,478.254,467.437,0
2020-02-10,596.66,575.4,0
2020-02-11,587.498,572.822,0
2020-02-12,611.016,623.252,0
2020-02-13,598.652,589.032,0
2020-02-14,546.731,536.486,6.848
2020-02-15,559.187,521.34,6.844
2020-02-16,567.034,530,8.054
2020-02-17,568.664,565.586,7.393
2020-02-18,576.104,560.634,7.684
2020-02-19,565.596,542.136,7.252
