Date,TGN1,TGN2,TGN3,TGN4,TGN5,TGN6,TGN7
2019-09-15,197446,0,550,2080,187951,6470,0
2019-09-16,192337,0,550,2080,182853,6470,0
2019-09-17,194358,0,550,2080,184870,6470,0
2019-09-18,192697,0,550,2080,183212,6470,0
2019-09-19,191874,2023,550,2080,180368,6470,0
2019-09-20,198922,4318,550,2080,185106,6470,0
2019-09-21,,,,,,,0
2019-09-22,,,,,,,0
2019-09-23,211254,5005,550,2080,196727,6470,0
2019-09-24,187666,0,550,2080,178191,6470,0
2019-09-25,198397,0,550,2080,188900,6470,0
2019-09-26,175943,15078,550,2080,151414,6470,0
2019-09-27,147883,19247,550,2080,120110,5600,0
2019-09-28,136970,11008,550,2080,117459,5600,0
2019-09-29,,,,,,,0
2019-09-30,72111,2065,550,2080,61672,5600,0
2019-10-01,103557,14916,550,2080,80204,5600,0
2019-10-02,125782,29147,550,2080,88354,5400,0
2019-10-03,130259,16335,550,2080,105799,5234,0
2019-10-04,134308,26655,550,2080,99521,5234,0
2019-10-05,160805,21034,550,2080,131585,5234,0
2019-10-06,102850,0,550,2080,94780,5234,0
2019-10-07,107869,5009,550,2080,94780,5234,0
2019-10-08,121846,0,550,2080,113738,5234,0
2019-10-09,,,,,,,0
2019-10-10,155113,8360,550,2080,136913,6900,0
2019-10-11,163906,13568,550,2080,140480,6900,0
2019-10-12,76203,4912,550,2080,61609,6900,0
2019-10-13,124697,30056,550,2080,84862,6900,0
2019-10-14,77164,6314,550,2080,61165,6900,0
2019-10-15,115396,11296,550,2080,94339,6900,0
2019-10-16,42378,0,304,1151,37085,3753,0
2019-10-17,157699,0,550,2080,147854,6900,0
2019-10-18,111428,0,550,2080,101675,6900,0
2019-10-19,114018,0,550,2080,104260,6900,0
2019-10-20,,,,,,,0
2019-10-21,56776,0,550,2080,47133,6900,0
2019-10-22,111651,7118,550,2080,94780,6900,0
2019-10-23,115076,5194,550,2080,99523,7500,0
2019-10-24,120113,5515,550,2080,104152,7576,0
2019-10-25,106341,2876,550,2080,92625,7997,0
2019-10-26,86272,1109,550,2080,75564,6797,0
2019-10-27,53577,0,550,2080,44043,6797,0
2019-10-28,78682,4643,550,2080,64455,6797,0
2019-10-29,98902,0,550,2080,89277,6797,0
2019-10-30,62072,0,550,2080,52521,6797,0
2019-10-31,72718,0,550,2080,63145,6797,0
2019-11-01,47073,0,550,2080,37799,6550,0
2019-11-02,,,,,,,0
2019-11-03,60215,0,550,2080,50915,6550,0
2019-11-04,84732,0,550,2080,75383,6550,0
2019-11-05,58143,0,550,2080,48847,6550,0
2019-11-06,67337,11938,550,2080,46085,6550,0
2019-11-07,,,,,,,0
2019-11-08,75678,0,550,2080,66347,6550,0
2019-11-09,59355,0,550,2080,50057,6550,0
2019-11-10,54607,0,550,2080,45318,6550,0
2019-11-11,,,,,,,0
2019-11-12,94494,0,550,2080,85125,6550,0
2019-11-13,62205,0,550,2080,52901,6550,0
2019-11-14,54997,7643,550,2080,37615,7000,0
2019-11-15,89159,0,550,2080,79351,7000,0
2019-11-16,57135,0,550,2080,47391,7000,0
2019-11-17,55928,10019,701,2080,36017,7000,0
2019-11-18,76923,10019,700,2300,56870,6880,0
2019-11-19,98032,21966,700,2300,65990,6880,0
2019-11-20,101476,25047,700,2300,66346,6880,0
2019-11-21,,,,,,,0
2019-11-22,77151,0,700,2300,67116,6880,0
2019-11-23,89218,25048,700,2300,54362,6630,0
2019-11-24,,,,,,,0
2019-11-25,,,,,,,0
2019-11-26,79664,0,700,2300,69875,6630,0
2019-11-27,79056,4136,700,2300,65132,6630,0
2019-11-28,82050,9286,700,2300,62291,7308,0
2019-11-29,70840,0,700,2300,60390,7308,0
2019-11-30,82567,17299,700,2300,54794,7308,0
2019-12-01,60921,0,250,1700,0,4825,0
2019-12-02,72380,1956,250,1700,63505,4825,0
2019-12-03,89727,14531,250,1700,68242,4825,0
2019-12-04,99338,19385,250,1700,72980,4825,0
2019-12-05,116535,34411,0,0,79187,2704,0
2019-12-06,,,,,,,0
2019-12-07,113539,18861,250,1700,85301,7200,0
2019-12-08,107156,17707,250,1700,82461,4825,0
2019-12-09,,,,,,,0
2019-12-10,121620,26924,250,1700,85303,7200,0
2019-12-11,,,,,,,0
2019-12-12,114433,23592,250,1700,80563,8100,0
2019-12-13,,,,,,,0
2019-12-14,136211,47719,299,1900,77719,8300,0
2019-12-15,137910,54154,299,1900,72980,8300,0
2019-12-16,120960,24915,299,1900,85303,8300,0
2019-12-17,132467,36320,379,1900,85302,8300,0
2019-12-18,119359,23237,379,1900,85303,8300,0
2019-12-19,84887,0,379,1900,76582,5856,0
2019-12-20,113269,17500,400,2100,87200,5843,0
2019-12-21,,,,,,,0
2019-12-22,,,,,,,0
2019-12-23,,,,,,,0
2019-12-24,,,,,,,0
2019-12-25,,,,,,,0
2019-12-26,,,,,,,0
2019-12-27,61213,13749,303,1900,40997,4141,0
2019-12-28,34112,0,303,1900,30028,1812,0
2019-12-29,33813,0,303,1900,30028,1514,0
2019-12-30,33995,0,303,1900,30028,1696,0
2019-12-31,42137,0,303,1179,37976,2595,0
2020-01-01,50207,0,401,1700,39806,8200,0
2020-01-02,62556,0,401,1700,52131,8200,0
2020-01-03,,,,,,,0
2020-01-04,48200,0,401,1700,39543,6460,0
2020-01-05,80078,30074,401,1700,39544,8200,0
2020-01-06,,,,,,,0
2020-01-07,74782,0,401,1700,66346,6186,0
2020-01-08,79373,0,401,1700,71088,6026,0
2020-01-09,104676,0,401,1700,96661,5705,0
2020-01-10,90059,0,401,1700,81514,6265,0
2020-01-11,79968,0,401,1700,72238,5469,0
2020-01-12,84983,0,401,1700,75827,6886,0
2020-01-13,,,,,,,0
2020-01-14,96202,494,401,1700,87200,6215,0
2020-01-15,,,,,,,0
2020-01-16,,,,,,,0
2020-01-17,,,,,,,0
2020-01-18,,,,,,,0
2020-01-19,,,,,,,0
2020-01-20,113632,0,300,1900,103101,8103,0
2020-01-21,82412,2811,24,155,77720,1537,0
2020-01-22,93001,0,300,1900,85302,5313,0
2020-01-23,97750,0,300,1900,90042,5313,0
2020-01-24,86668,5053,300,1900,73929,5313,0
2020-01-25,,,,,,,0
2020-01-26,,,,,,,0
