Date,TGT1,TGT1001F,TGT2001F,TGT2002F,TGT2003F,TGT2004F,TGT1001I,TGT2001I,TGT2002I,TGT2003I,TGT2004I
2019-09-01,"54,000.00",,,,,,,,,,
2019-09-02,"60,800.00",,,,,,,,,,
2019-09-03,"61,333.33",,,,,,,,,,
2019-09-04,"60,666.67",,,,,,,,,,
2019-09-05,"61,066.67",,,,,,,,,,
2019-09-06,"60,000.00",,,,,,,,,,
2019-09-07,"55,400.00",,,,,,,,,,
2019-09-08,"53,333.33",,,,,,,,,,
2019-09-09,"59,600.00",,,,,,,,,,
2019-09-10,"60,866.67",,,,,,,,,,
2019-09-11,"60,800.00",,,,,,,,,,
2019-09-12,"61,333.33",,,,,,,,,,
2019-09-13,"59,533.33",,,,,,,,,,
2019-09-14,"53,333.33",,,,,,,,,,
2019-09-15,"46,400.00",,,,,,,,,,
2019-09-16,"46,000.00",,,,,,,,,,
2019-09-17,"55,866.67",,,,,,,,,,
2019-09-18,"60,000.00",,,,,,,,,,
2019-09-19,"56,466.67",,,,,,,,,,
2019-09-20,"54,866.67",,,,,,,,,,
2019-09-21,"52,066.67",,,,,,,,,,
2019-09-22,"49,533.33",,,,,,,,,,
2019-09-23,"52,066.67",,,,,,,,,,
2019-09-24,"49,533.33",,,,,,,,,,
2019-09-25,"70,600.00",,,,,,,,,,
2019-09-26,"72,266.67",,,,,,,,,,
2019-09-27,"71,133.33",,,,,,,,,,
2019-09-28,"66,466.67",,,,,,,,,,
2019-09-29,"60,000.00",,,,,,,,,,
2019-09-30,"71,266.67",,,,,,,,,,
2019-10-01,"59,602.27",,,,,,,,,,
2019-10-02,"59,602.27",,,,,,,,,,
2019-10-03,"59,488.64",,,,,,,,,,
2019-10-04,"57,840.91",,,,,,,,,,
2019-10-05,"55,397.73",,,,,,,,,,
2019-10-06,"55,056.82",,,,,,,,,,
2019-10-07,"58,863.64",,,,,,,,,,
2019-10-08,"59,659.09",,,,,,,,,,
2019-10-09,"59,545.45",,,,,,,,,,
2019-10-10,"59,204.55",,,,,,,,,,
2019-10-11,"57,840.91",,,,,,,,,,
2019-10-12,"55,568.18",,,,,,,,,,
2019-10-13,"54,829.55",,,,,,,,,,
2019-10-14,"58,636.36",,,,,,,,,,
2019-10-15,"59,488.64",,,,,,,,,,
2019-10-16,"59,488.64",,,,,,,,,,
2019-10-17,"59,090.91",,,,,,,,,,
2019-10-18,"57,443.18",,,,,,,,,,
2019-10-19,"55,056.82",,,,,,,,,,
2019-10-20,"54,488.64",,,,,,,,,,
2019-10-21,"58,238.64",,,,,,,,,,
2019-10-22,"59,431.82",,,,,,,,,,
2019-10-23,"60,000.00",,,,,,,,,,
2019-10-24,"59,431.82",,,,,,,,,,
2019-10-25,"57,840.91",,,,,,,,,,
2019-10-26,"54,829.55",,,,,,,,,,
2019-10-27,0.00,,,,,,,,,,
2019-10-28,0.00,,,,,,,,,,
2019-10-29,0.00,,,,,,,,,,
2019-10-30,0.00,,,,,,,,,,
2019-10-31,0.00,,,,,,,,,,
2019-11-01,"58,709.68",,,,,,,,,,
2019-11-02,"62,838.71",,,,,,,,,,
2019-11-03,"61,032.26",,,,,,,,,,
2019-11-04,"68,516.13",,,,,,,,,,
2019-11-05,"64,258.06",,,,,,,,,,
2019-11-06,"65,741.94",,,,,,,,,,
2019-11-07,"69,548.39",,,,,,,,,,
2019-11-08,"66,645.16",,,,,,,,,,
2019-11-09,"60,774.19",,,,,,,,,,
2019-11-10,"60,709.68",,,,,,,,,,
2019-11-11,"68,903.23",,,,,,,,,,
2019-11-12,"66,645.16",,,,,,,,,,
2019-11-13,"66,258.06",,,,,,,,,,
2019-11-14,"65,290.32",,,,,,,,,,
2019-11-15,"66,645.16",,,,,,,,,,
2019-11-16,"58,967.74",,,,,,,,,,
2019-11-17,"59,225.81",,,,,,,,,,
2019-11-18,"64,000.00",,,,,,,,,,
2019-11-19,"55,483.87",,,,,,,,,,
2019-11-20,"54,709.68",,,,,,,,,,
2019-11-21,"53,612.90",,,,,,,,,,
2019-11-22,"52,064.52",,,,,,,,,,
2019-11-23,"55,483.87",,,,,,,,,,
2019-11-24,"54,903.23",,,,,,,,,,
2019-11-25,"52,580.65",,,,,,,,,,
2019-11-26,"53,419.35",,,,,,,,,,
2019-11-27,"53,677.42",,,,,,,,,,
2019-11-28,0.00,,,,,,,,,,
2019-11-29,0.00,,,,,,,,,,
2019-11-30,0.00,,,,,,,,,,
2019-12-01,"54,052.29",,,,,,,,,,
2019-12-02,"64,444.44",,,,,,,,,,
2019-12-03,"67,385.62",,,,,,,,,,
2019-12-04,"63,790.85",,,,,,,,,,
2019-12-05,"66,405.23",,,,,,,,,,
2019-12-06,"68,431.37",,,,,,,,,,
2019-12-07,"61,437.91",,,,,,,,,,
2019-12-08,"57,189.54",,,,,,,,,,
2019-12-09,"66,078.43",,,,,,,,,,
2019-12-10,"69,346.41",,,,,,,,,,
2019-12-11,"62,745.10",,,,,,,,,,
2019-12-12,"57,712.42",,,,,,,,,,
2019-12-13,"58,627.45",,,,,,,,,,
2019-12-14,"52,614.38",,,,,,,,,,
2019-12-15,"50,000.00",,,,,,,,,,
2019-12-16,"58,169.93",,,,,,,,,,
2019-12-17,"50,588.24",,,,,,,,,,
2019-12-18,"46,993.46",,,,,,,,,,
2019-12-19,"53,267.97",,,,,,,,,,
2019-12-20,"58,627.45",,,,,,,,,,
2019-12-21,"51,437.91",,,,,,,,,,
2019-12-22,"50,000.00",,,,,,,,,,
2019-12-23,"50,392.16",,,,,,,,,,
2019-12-24,"46,732.03",,,,,,,,,,
2019-12-25,"46,274.51",,,,,,,,,,
2019-12-26,"37,712.42",,,,,,,,,,
2019-12-27,"38,888.89",,,,,,,,,,
2019-12-28,"11,830.07",,,,,,,,,,
2019-12-29,"39,542.48",,,,,,,,,,
2019-12-30,"38,888.89",,,,,,,,,,
2019-12-31,"37,058.82",,,,,,,,,,
2020-01-01,"42,047.62",,,,,,,,,,
2020-01-02,"44,571.43",,,,,,,,,,
2020-01-03,"56,142.86",,,,,,,,,,
2020-01-04,"54,238.10",,,,,,,,,,
2020-01-05,"52,142.86",,,,,,,,,,
2020-01-06,"64,238.10",,,,,,,,,,
2020-01-07,"64,619.05",,,,,,,,,,
2020-01-08,"63,619.05",,,,,,,,,,
