Date,TGT1001,TGT2001,TGT2002,TGT2003,TGT2004
2019-10-01,60539.7,,,,61737.08
2019-10-02,62882.02,,,,61893.26
2019-10-03,61685.02,,,,62465.92
2019-10-04,59602.62,,,,59602.62
2019-10-05,53876.78,,,,53200
2019-10-06,49452.06,,,,48671.16
2019-10-07,60800,,,,62257.68
2019-10-08,62257.68,,,,62882.02
2019-10-09,59446.44,,,,62465.92
2019-10-10,61216.48,,,,60800
2019-10-11,55802.62,,,,56375.28
2019-10-12,51170.04,,,,49608.24
2019-10-13,44610.86,,,,43309.74
2019-10-14,54553.56,,,,55542.32
2019-10-15,53720.6,,,,54605.62
2019-10-16,56895.88,,,,58093.26
2019-10-17,57989.14,,,,58249.44
2019-10-18,56167.04,,,,55646.44
2019-10-19,50805.62,,,,47109.74
2019-10-20,42164.42,,,,41331.46
2019-10-21,56479.4,,,,58249.44
2019-10-22,58301.5,,,,58301.5
2019-10-23,58509.74,,,,58561.8
2019-10-24,58977.9,,,,59238.2
2019-10-25,57520.6,,,,56843.82
2019-10-26,52835.58,,,,49816.48
2019-10-27,43882.02,,,,44142.32
2019-10-28,58197.38,,,,57572.66
2019-10-29,0,,,,0
2019-10-30,0,,,,0
2019-10-31,0,,,,0
2019-11-01,44642.78,,,,43573.46
2019-11-02,37324.36,,,,32032.48
2019-11-03,40702.18,,,,40477.22
2019-11-04,57309.7,,,,59392.48
2019-11-05,59392.48,,,,58266.54
2019-11-06,60293.46,,,,61362.78
2019-11-07,57365.94,,,,59448.72
2019-11-08,54888.72,,,,56240
2019-11-09,48133.46,,,,46894.66
2019-11-10,43629.7,,,,41321.58
2019-11-11,51961.58,,,,58322.78
2019-11-12,59561.58,,,,59505.34
2019-11-13,57028.12,,,,56408.72
2019-11-14,58097.82,,,,56859.4
2019-11-15,52918.42,,,,52693.46
2019-11-16,48302.18,,,,45937.82
2019-11-17,41771.88,,,,38506.54
2019-11-18,42841.58,,,,65022.18
2019-11-19,60800,,,,60800
2019-11-20,60800,,,,60800
2019-11-21,60293.46,,,,60800
2019-11-22,59617.82,,,,53762.78
2019-11-23,56352.48,,,,53200
2019-11-24,46782.18,,,,45600
2019-11-25,53200,,,,55170.3
2019-11-26,57253.46,,,,55451.88
2019-11-27,57478.42,,,,56971.88
2019-11-28,0,,,,0
2019-11-29,0,,,,0
2019-11-30,0,,,,0
2019-12-01,44659.88,,,,43573.46
2019-12-02,59054.66,,,,58942.18
2019-12-03,65472.48,,,,64177.82
2019-12-04,63896.24,,,,63333.46
2019-12-05,66992.48,,,,65866.54
2019-12-06,64346.54,,,,62263.76
2019-12-07,56183.76,,,,55564.36
2019-12-08,47739.4,,,,46669.7
2019-12-09,59786.54,,,,62094.66
2019-12-10,64346.54,,,,63220.6
2019-12-11,58154.06,,,,56690.3
2019-12-12,44023.76,,,,41771.88
2019-12-13,54100.6,,,,54269.7
2019-12-14,50722.78,,,,49259.4
2019-12-15,47570.3,,,,46669.7
2019-12-16,57084.36,,,,59392.48
2019-12-17,62207.52,,,,58210.3
2019-12-18,55733.46,,,,56465.34
2019-12-19,52693.46,,,,52524.36
2019-12-20,51060.6,,,,49822.18
2019-12-21,44248.72,,,,41152.48
2019-12-22,39069.7,,,,38000
2019-12-23,36198.42,,,,33271.28
2019-12-24,26008.72,,,,24432.48
2019-12-25,24432.48,,,,24094.66
2019-12-26,34340.6,,,,36254.66
2019-12-27,36761.58,,,,37155.64
2019-12-28,37042.78,,,,35297.82
2019-12-29,34622.18,,,,34115.64
2019-12-30,38619.4,,,,37324.36
2019-12-31,26402.78,,,,24601.58
2020-01-01,27276.78,,,,25819.1
2020-01-02,41383.52,,,,44767.04
2020-01-03,49035.58,,,,52991.76
2020-01-04,49139.7,,,,45600
2020-01-05,45600,,,,44194.38
2020-01-06,54657.68,,,,55698.5
2020-01-07,55646.44,,,,56739.7
2020-01-08,56635.58,,,,57780.9
2020-01-09,58874.16,,,,57780.9
2020-01-10,59186.14,,,,59446.44
2020-01-11,50649.44,,,,48514.98
2020-01-12,46485.02,,,,44714.98
2020-01-13,54449.44,,,,55542.32
2020-01-14,52835.58,,,,54605.62
2020-01-15,55854.68,,,,53043.82
2020-01-16,51950.56,,,,51898.5
2020-01-17,56062.92,,,,56167.04
2020-01-18,51950.56,,,,48410.86
2020-01-19,42737.08,,,,42268.54
2020-01-20,57104.12,,,,57156.18
2020-01-21,56583.52,,,,55750.56
2020-01-22,60019.1,,,,59967.04
2020-01-23,64547.94,,,,60800
2020-01-24,56843.82,,,,56114.98
2020-01-25,53616.48,,,,50649.44
2020-01-26,49191.76,,,,46276.78
2020-01-27,59602.62,,,,58561.8
2020-01-28,63506.74,,,,61841.2
2020-01-29,60800,,,,57468.54
2020-01-30,59134.08,,,,57780.9
2020-01-31,0,,,,0
2020-02-01,47938.52,,,,46009.26
2020-02-02,43437.04,,,,39402.96
2020-02-03,57818.52,,,,58812.22
2020-02-04,58227.78,,,,59397.04
2020-02-05,57818.52,,,,61267.78
2020-02-06,51504.44,,,,50160
2020-02-07,51212.22,,,,51797.04
2020-02-08,43202.96,,,,39402.96
2020-02-09,59572.22,,,,56882.96
2020-02-10,57175.56,,,,57818.52
2020-02-11,56473.7,,,,56824.44
2020-02-12,61969.26,,,,59162.96
2020-02-13,59397.04,,,,57818.52
2020-02-14,51153.7,,,,49633.7
2020-02-15,47762.96,,,,43612.22
2020-02-16,50510.74,,,,54895.56
2020-02-17,60273.7,,,,53200
2020-02-18,55129.26,,,,54486.3
2020-02-19,52907.78,,,,51387.78
2020-02-20,52673.7,,,,52264.44
2020-02-21,51387.78,,,,72200
2020-02-22,47002.96,,,,44430.74
2020-02-23,42092.22,,,,40162.96
2020-02-24,54193.7,,,,54953.7
2020-02-25,54018.52,,,,56824.44
2020-02-26,55772.22,,,,52790.74
2020-02-27,0,,,,0
2020-02-28,0,,,,0
2020-02-29,0,,,,0
2020-03-01,42442.96,,,,41858.52
2020-03-02,56473.7,,,,58169.26
2020-03-03,57877.04,,,,59572.22
2020-03-04,56298.52,,,,58520
2020-03-05,56006.3,,,,54602.96
2020-03-06,53200,,,,52732.22
2020-03-07,47646.3,,,,46360
2020-03-08,42793.7,,,,40998.96
2020-03-09,51738.52,,,,53200
2020-03-10,53609.26,,,,54661.48
2020-03-11,53960,,,,54895.56
2020-03-12,57818.52,,,,58227.78
2020-03-13,55597.04,,,,56824.44
2020-03-14,52030.74,,,,49867.78
2020-03-15,42326.3,,,,38584.44
2020-03-16,43027.78,,,,43612.22
2020-03-17,55772.22,,,,56006.3
2020-03-18,56590.74,,,,56298.52
2020-03-19,45600,,,,52673.7
2020-03-20,52673.7,,,,48581.48
2020-03-21,43144.44,,,,44664.44
2020-03-22,41800,,,,40513.7
2020-03-23,50393.7,,,,51270.74
2020-03-24,47529.26,,,,51387.78
2020-03-25,54661.48,,,,50452.22
2020-03-26,48055.56,,,,46360
2020-03-27,51329.26,,,,48581.48
2020-03-28,45600,,,,39286.3
2020-03-29,38993.7,,,,36070.74
2020-03-30,40397.04,,,,41273.7
2020-03-31,0,,,,0
2020-04-01,43989.18,,,,42213.06
2020-04-02,41510.82,,,,40726.12
2020-04-03,38991.42,,,,39073.88
2020-04-04,37008.58,,,,31969.4
2020-04-05,31432.46,,,,36182.46
2020-04-06,34984.7,,,,36926.12
2020-04-07,34200,,,,33993.66
2020-04-08,34860.82,,,,33704.48
2020-04-09,29573.88,,,,27467.54
2020-04-10,23832.46,,,,24947.76
2020-04-11,32465.3,,,,30854.48
2020-04-12,34943.66,,,,32134.7
2020-04-13,36100,,,,38660.82
2020-04-14,38413.06,,,,35604.48
2020-04-15,35604.48,,,,34736.94
2020-04-16,33704.48,,,,34241.42
2020-04-17,32754.48,,,,32093.66
2020-04-18,30400,,,,28995.52
2020-04-19,29202.24,,,,28252.24
