Date,TLA1,TLA2,TLA3,TLA4
2019-09-01,163129,135000,0,0
2019-09-02,227549,160000,0,0
2019-09-03,259552,160000,0,0
2019-09-04,238335,130000,0,0
2019-09-05,311143,135000,0,0
2019-09-06,239795,155000,0,0
2019-09-07,158923,150000,0,0
2019-09-08,155470,130000,0,0
2019-09-09,194091,150000,0,0
2019-09-10,194091,170000,0,0
2019-09-11,183543,166000,0,0
2019-09-12,184663,165000,0,0
2019-09-13,184106,165000,0,0
2019-09-14,192398,155000,0,0
2019-09-15,178445,140000,0,0
2019-09-16,232973,135000,0,0
2019-09-17,106697,160000,0,0
2019-09-18,143470,160000,0,0
2019-09-19,238595,160000,0,0
2019-09-20,114186,165000,0,0
2019-09-21,114186,150000,0,0
2019-09-22,114186,145000,0,0
2019-09-23,159836,166000,0,0
2019-09-24,157428,170000,0,0
2019-09-25,157428,170000,0,0
2019-09-26,157428,165000,0,0
2019-09-27,157428,160000,0,0
2019-09-28,109186,152000,0,0
2019-09-29,109186,145000,0,0
2019-09-30,152428,165000,0,0
2019-10-01,163122,165000,0,0
2019-10-02,122418,165000,0,0
2019-10-03,122418,160000,0,0
2019-10-04,122418,150000,0,0
2019-10-05,117418,140000,0,0
2019-10-06,117418,130000,0,0
2019-10-07,117418,155000,0,0
2019-10-08,122418,150000,0,0
2019-10-09,127418,160000,0,0
2019-10-10,127418,175000,0,0
2019-10-11,127418,160000,0,0
2019-10-12,127418,150000,0,0
2019-10-13,15000,135000,0,0
2019-10-14,0,160000,0,0
2019-10-15,0,155000,0,0
2019-10-16,0,160000,0,0
2019-10-17,0,170000,0,0
2019-10-18,0,170000,0,0
2019-10-19,0,153000,0,0
2019-10-20,13000,137000,0,0
2019-10-21,0,165000,0,0
2019-10-22,0,165000,0,0
2019-10-23,0,150000,0,0
2019-10-24,35000,125000,0,0
2019-10-25,30000,120000,0,0
2019-10-26,45000,105000,0,0
2019-10-27,20000,130000,0,0
2019-10-28,25000,125000,0,0
2019-10-29,0,165000,0,0
2019-10-30,0,10000,0,0
2019-10-31,4682,0,0,0
2019-11-01,155568,0,0,0
2019-11-02,50000,0,0,0
2019-11-03,0,0,0,0
2019-11-04,0,0,0,0
2019-11-05,0,0,0,0
2019-11-06,0,0,0,0
2019-11-07,0,0,0,0
2019-11-08,0,0,0,0
2019-11-09,0,0,0,0
2019-11-10,0,0,0,0
2019-11-11,0,0,0,0
2019-11-12,0,0,0,0
2019-11-13,0,0,0,0
2019-11-14,0,0,0,0
2019-11-15,0,0,0,0
2019-11-16,0,0,0,0
2019-11-17,0,0,0,0
2019-11-18,0,0,0,0
2019-11-19,0,0,0,0
2019-11-20,0,0,0,0
2019-11-21,0,0,0,0
2019-11-22,0,0,0,0
2019-11-23,0,0,0,0
2019-11-24,0,0,0,0
2019-11-25,0,0,0,0
2019-11-26,0,0,0,0
2019-11-27,0,0,0,0
2019-11-28,0,0,0,0
2019-11-29,0,0,0,0
2019-11-30,0,0,0,0
2019-12-01,0,0,0,0
2019-12-02,0,0,0,0
2019-12-03,0,0,0,0
2019-12-04,0,0,0,0
2019-12-05,0,0,0,0
2019-12-06,0,0,0,0
2019-12-07,0,0,0,0
2019-12-08,0,0,0,0
2019-12-09,0,0,0,0
2019-12-10,0,0,0,0
2019-12-11,0,0,0,0
2019-12-12,0,0,0,0
2019-12-13,0,0,0,0
2019-12-14,0,0,0,0
2019-12-15,0,0,0,0
2019-12-16,0,0,0,0
2019-12-17,0,0,0,0
2019-12-18,0,0,0,0
2019-12-19,0,0,0,0
2019-12-20,0,0,0,0
2019-12-21,0,0,0,0
2019-12-22,0,0,0,0
2019-12-23,0,0,0,0
2019-12-24,0,0,0,0
2019-12-25,0,0,0,0
2019-12-26,0,0,0,0
2019-12-27,0,0,0,0
2019-12-28,0,0,0,0
2019-12-29,0,0,0,0
2019-12-30,0,0,0,0
2019-12-31,0,0,0,0
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,2873,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,6000,0,0,0
2020-01-16,6000,0,0,0
2020-01-17,6000,0,0,0
2020-01-18,6000,0,0,0
2020-01-19,6000,0,0,0
2020-01-20,6000,0,0,0
2020-01-21,6000,0,0,0
2020-01-22,6000,0,0,0
2020-01-23,6000,0,0,0
2020-01-24,6000,0,0,0
2020-01-25,6000,0,0,0
2020-01-26,6000,0,0,0
2020-01-27,6000,0,0,0
2020-01-28,6000,0,0,0
2020-01-29,6000,0,0,0
2020-01-30,6000,0,0,0
2020-01-31,6000,0,0,0
2020-02-01,6000,0,0,0
2020-02-02,6000,0,0,0
2020-02-03,6000,0,0,0
2020-02-04,6000,0,0,0
2020-02-05,6000,0,0,0
2020-02-06,6000,0,0,0
2020-02-07,6000,0,0,0
2020-02-08,6000,0,0,0
2020-02-09,6000,0,0,0
2020-02-10,6000,0,0,0
2020-02-11,6000,0,0,0
2020-02-12,6000,0,0,0
2020-02-13,6000,0,0,0
2020-02-14,6000,0,0,0
2020-02-15,6000,0,0,0
2020-02-16,6000,0,0,0
2020-02-17,6000,0,0,0
2020-02-18,6000,0,0,0
2020-02-19,6000,0,0,0
2020-02-20,6000,0,0,0
2020-02-21,6000,0,0,0
2020-02-22,6000,0,0,0
2020-02-23,6000,0,0,0
2020-02-24,6000,0,0,0
2020-02-25,28131,0,0,0
2020-02-26,6000,0,0,0
2020-02-27,6000,0,0,0
2020-02-28,6000,0,0,0
2020-02-29,6000,0,0,0
2020-03-01,6000,0,0,0
2020-03-02,6000,0,0,0
2020-03-03,6000,0,0,0
2020-03-04,6000,0,0,0
2020-03-05,6000,0,0,0
2020-03-06,6000,0,0,0
2020-03-07,6000,0,0,0
2020-03-08,6000,0,0,0
2020-03-09,6000,0,0,0
2020-03-10,6000,0,0,0
2020-03-11,6000,0,0,0
2020-03-12,6000,0,0,0
2020-03-13,6000,0,0,0
2020-03-14,6000,0,0,0
2020-03-15,6000,0,0,0
2020-03-16,6000,0,0,0
2020-03-17,16551,0,0,0
2020-03-18,16551,0,0,0
2020-03-19,16551,0,0,0
2020-03-20,16551,0,0,0
2020-03-21,16551,0,0,0
2020-03-22,16551,0,0,0
2020-03-23,16551,0,0,0
2020-03-24,16551,0,0,0
2020-03-25,16551,0,0,0
2020-03-26,16551,0,0,0
2020-03-27,16551,0,0,0
2020-03-28,16551,0,0,0
2020-03-29,16551,0,0,0
2020-03-30,16551,0,0,0
2020-03-31,16551,0,0,0
2020-04-01,6000,0,0,0
2020-04-02,6000,0,0,0
2020-04-03,6000,0,0,0
2020-04-04,6000,0,0,0
2020-04-05,6000,0,0,0
2020-04-06,6000,0,0,0
2020-04-07,6000,0,0,0
2020-04-08,6000,0,0,0
2020-04-09,6000,0,0,0
2020-04-10,6000,0,0,0
2020-04-11,6000,0,0,0
2020-04-12,6000,0,0,0
2020-04-13,6000,0,0,0
2020-04-14,6000,0,0,0
2020-04-15,6000,0,0,0
2020-04-16,6000,0,0,0
2020-04-17,6000,0,0,0
2020-04-18,6000,0,0,0
2020-04-19,6000,0,0,0
2020-04-20,6000,0,0,0
2020-04-21,6000,0,0,0
2020-04-22,6000,0,0,0
2020-04-23,19922,0,0,0
2020-04-24,6000,0,0,0
2020-04-25,6000,0,0,0
2020-04-26,6000,0,0,0
2020-04-27,6000,0,0,0
2020-04-28,6000,0,0,0
2020-04-29,6000,0,0,0
2020-04-30,6000,0,0,0
2020-05-01,6000,0,0,0
2020-05-02,7180,0,0,0
2020-05-03,6000,0,0,0
2020-05-04,6000,0,0,0
2020-05-05,6000,0,0,0
2020-05-06,6000,0,0,0
2020-05-07,6000,0,0,0
2020-05-08,6000,0,0,0
2020-05-09,6000,0,0,0
2020-05-10,6000,0,0,0
2020-05-11,6000,0,0,0
2020-05-12,6000,0,0,0
2020-05-13,6000,0,0,0
2020-05-14,6000,0,0,0
2020-05-15,6000,0,0,0
2020-05-16,6000,0,0,0
2020-05-17,6000,0,0,0
2020-05-18,6000,0,0,0
2020-05-19,6000,0,0,0
2020-05-20,6000,0,0,0
2020-05-21,6000,0,0,0
2020-05-22,6000,0,0,0
2020-05-23,6000,0,0,0
2020-05-24,6000,0,0,0
2020-05-25,6000,0,0,0
2020-05-26,6000,0,0,0
2020-05-27,6000,0,0,0
2020-05-28,6000,0,0,0
