Date,TLA1,TLA2,TLA3,TLA4,TLA5,TLA6
2019-09-01,192297,0,0,0,14972,0
2019-09-02,173893,0,0,0,18404,0
2019-09-03,155904,0,0,0,17989,0
2019-09-04,137989,0,0,0,17916,0
2019-09-05,119461,0,0,0,18527,0
2019-09-06,103031,0,0,0,16430,0
2019-09-07,228112,0,136613,0,11532,0
2019-09-08,215530,0,0,0,12582,0
2019-09-09,202325,0,0,0,13206,0
2019-09-10,184401,0,0,0,17924,0
2019-09-11,171051,0,0,0,13350,0
2019-09-12,157821,0,0,0,13230,0
2019-09-13,144731,0,0,0,13090,0
2019-09-14,130486,0,0,0,14245,0
2019-09-15,117868,0,0,0,12618,0
2019-09-16,105303,0,0,0,12564,0
2019-09-17,248132,0,154418,0,11589,0
2019-09-18,234254,0,0,0,13878,0
2019-09-19,216924,0,0,0,17330,0
2019-09-20,204960,0,0,0,11964,0
2019-09-21,193016,0,0,0,11944,0
2019-09-22,181461,0,0,0,11555,0
2019-09-23,168531,0,0,0,12930,0
2019-09-24,154539,0,0,0,13992,0
2019-09-25,279226,0,137612,0,12926,0
2019-09-26,266729,0,0,0,12497,0
2019-09-27,254265,0,0,0,12464,0
2019-09-28,242627,0,0,0,11638,0
2019-09-29,231381,0,0,0,11246,0
2019-09-30,220156,0,0,0,11224,0
2019-10-01,208505,0,0,0,11652,0
2019-10-02,196678,0,0,0,11827,0
2019-10-03,184816,0,0,0,11862,0
2019-10-04,173357,0,0,0,11460,0
2019-10-05,162156,0,0,0,11201,0
2019-10-06,151376,0,0,0,10780,0
2019-10-07,139647,0,0,0,11729,0
2019-10-08,127989,0,0,0,11657,0
2019-10-09,116194,0,0,0,11795,0
2019-10-10,103440,0,0,0,12754,0
2019-10-11,260237,0,167999,0,11202,0
2019-10-12,248282,0,0,0,11956,0
2019-10-13,241816,0,0,0,"6,466 0",0
2019-10-14,234619,0,0,0,"7,197 0",0
2019-10-15,227525,0,0,0,"7,094 0",0
2019-10-16,220578,0,0,0,"6,947 0",0
2019-10-17,213462,0,0,0,"7,116 0",0
2019-10-18,206478,0,0,0,"6,984 0",0
2019-10-19,199601,0,0,0,"6,877 0",0
2019-10-20,192964,0,0,0,"6,637 0",0
2019-10-21,186069,0,0,0,"6,896 0",0
2019-10-22,178591,0,0,0,"7,478 0",0
2019-10-23,171169,0,0,0,"7,421 0",0
2019-10-24,164411,0,0,0,"6,758 0",0
2019-10-25,158569,0,0,0,"5,842 0",0
