Date,TOP1,
2019-08-01,0,
2019-08-02,0,
2019-08-03,0,
2019-08-04,0,
2019-08-05,0,
2019-08-06,0,
2019-08-07,0,
2019-08-08,0,
2019-08-09,1,
2019-08-10,24,
2019-08-11,0,
2019-08-12,0,
2019-08-13,17,
2019-08-14,13,
2019-08-15,25,
2019-08-16,54,
2019-08-17,21,
2019-08-18,39,
2019-08-19,110,
2019-08-20,26,
2019-08-21,97,
2019-08-22,85,
2019-08-23,25,
2019-08-24,87,
2019-08-25,69,
2019-08-26,47,
2019-08-27,66,
2019-08-28,63,
2019-08-29,50,
2019-08-30,128,
2019-08-31,80,
2019-09-01,60,
2019-09-02,47,
2019-09-03,79,
2019-09-04,76,
2019-09-05,103,
2019-09-06,92,
2019-09-07,56,
2019-09-08,47,
2019-09-09,68,
2019-09-10,130,
2019-09-11,97,
2019-09-12,45,
2019-09-13,85,
2019-09-14,71,
2019-09-15,100,
2019-09-16,111,
2019-09-17,102,
2019-09-18,33,
2019-09-19,125,
2019-09-20,103,
2019-09-21,1,
2019-09-22,0,
2019-09-23,1,
2019-09-24,87,
2019-09-25,131,
2019-09-26,59,
2019-09-27,115,
2019-09-28,139,
2019-09-29,135,
2019-09-30,140,
2019-10-01,134,
2019-10-02,76,
2019-10-03,68,
2019-10-04,77,
2019-10-05,136,
2019-10-06,149,
2019-10-07,118,
2019-10-08,138,
2019-10-09,154,
2019-10-10,165,
2019-10-11,163,
2019-10-12,159,
2019-10-13,137,
2019-10-14,135,
2019-10-15,135,
2019-10-16,116,
2019-10-17,,
2019-10-18,,
2019-10-19,,
2019-10-20,,
2019-10-21,,
2019-10-22,,
2019-10-23,,
2019-10-24,,
2019-10-25,,
2019-10-26,,
2019-10-27,,
2019-10-28,,
2019-10-29,,
2019-10-30,,
2019-10-31,,
2019-11-01,113,
2019-11-02,140,
2019-11-03,140,
2019-11-04,123,
2019-11-05,120,
2019-11-06,111,
2019-11-07,119,
2019-11-08,131,
2019-11-09,128,
2019-11-10,119,
2019-11-11,118,
2019-11-12,116,
2019-11-13,115,
2019-11-14,140,
2019-11-15,117,
2019-11-16,116,
2019-11-17,132,
2019-11-18,140,
2019-11-19,165,
2019-11-20,169,
2019-11-21,157,
2019-11-22,165,
2019-11-23,161,
2019-11-24,147,
2019-11-25,128,
2019-11-26,128,
2019-11-27,119,
2019-11-28,118,
2019-11-29,117,
2019-11-30,118,
2019-12-01,116,
2019-12-02,116,
2019-12-03,124,
2019-12-04,116,
2019-12-05,117,
2019-12-06,119,
2019-12-07,117,
2019-12-08,113,
2019-12-09,117,
2019-12-10,112,
2019-12-11,113,
2019-12-12,119,
2019-12-13,116,
2019-12-14,108,
2019-12-15,106,
2019-12-16,118,
2019-12-17,119,
2019-12-18,117,
2019-12-19,118,
2019-12-20,117,
2019-12-21,115,
2019-12-22,108,
2019-12-23,106,
2019-12-24,103,
2019-12-25,102,
2019-12-26,114,
2019-12-27,105,
2019-12-28,107,
2019-12-29,105,
2019-12-30,98,
2019-12-31,106,
2020-01-01,111,
2020-01-02,109,
2020-01-03,106,
2020-01-04,106,
2020-01-05,86,
2020-01-06,111,
2020-01-07,103,
2020-01-08,115,
2020-01-09,114,
2020-01-10,119,
2020-01-11,78,
2020-01-12,111,
2020-01-13,115,
2020-01-14,123,
2020-01-15,114,
2020-01-16,90,
2020-01-17,101,
2020-01-18,113,
2020-01-19,111,
2020-01-20,112,
2020-01-21,114,
2020-01-22,113,
2020-01-23,91,
2020-01-24,101,
2020-01-25,115,
2020-01-26,109,
2020-01-27,113,
2020-01-28,118,
2020-01-29,120,
2020-01-30,143,
2020-01-31,131,
2020-02-01,131,
2020-02-02,101,
2020-02-03,111,
2020-02-04,115,
2020-02-05,87,
2020-02-06,114,
2020-02-07,111,
2020-02-08,57,
