Date,TOP1
2019-08-01,0.162447465
2019-08-02,0.098563233
2019-08-03,0.000211888
2019-08-04,0
2019-08-05,0.356819387
2019-08-06,0
2019-08-07,0
2019-08-08,0.011618525
2019-08-09,0.527495169
2019-08-10,23.31431886
2019-08-11,0.016068173
2019-08-12,0.222588341
2019-08-13,16.4634855
2019-08-14,12.83010075
2019-08-15,24.75166109
2019-08-16,52.97214058
2019-08-17,20.66172833
2019-08-18,38.17342376
2019-08-19,107.7058473
2019-08-20,25.81509163
2019-08-21,95.07983004
2019-08-22,83.44039857
2019-08-23,24.1742663
2019-08-24,85.55408729
2019-08-25,68.08960758
2019-08-26,46.54165769
2019-08-27,64.79732719
2019-08-28,62.24241703
2019-08-29,49.17468389
2019-08-30,125.1165075
2019-08-31,78.20747133
2019-09-01,58.58148684
2019-09-02,46.11675163
2019-09-03,77.2061946
2019-09-04,74.5035632
2019-09-05,101.2582015
2019-09-06,90.5678164
2019-09-07,54.4857978
2019-09-08,46.10043625
2019-09-09,66.26044912
2019-09-10,127.319613
2019-09-11,95.31933411
2019-09-12,44.18394463
2019-09-13,82.98957154
2019-09-14,69.83090314
2019-09-15,97.57862519
2019-09-16,109.2477916
2019-09-17,100.2203741
2019-09-18,32.12278542
2019-09-19,122.1653315
2019-09-20,101.4039805
2019-09-21,0.61574652
2019-09-22,0.104566727
2019-09-23,0.969917308
2019-09-24,84.99032396
2019-09-25,128.2679883
2019-09-26,57.70331704
2019-09-27,112.2960477
2019-09-28,136.2376609
2019-09-29,132.7637925
2019-09-30,137.5761574
2019-10-01,131.3467209
2019-10-02,74.21267629
2019-10-03,66.61903425
2019-10-04,75.43170325
2019-10-05,133.1435664
2019-10-06,145.8556809
2019-10-07,115.5603588
2019-10-08,135.4034932
2019-10-09,150.7853611
2019-10-10,161.39929
2019-10-11,160.0106467
2019-10-12,156.2075749
2019-10-13,134.5088668
2019-10-14,131.9429384
2019-10-15,132.7686306
2019-10-16,114.1296911
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,111.2326406
2019-11-02,137.6239589
2019-11-03,137.3623832
2019-11-04,120.9577336
2019-11-05,117.9213083
2019-11-06,108.9927375
2019-11-07,116.778314
2019-11-08,128.73713
2019-11-09,125.5710646
2019-11-10,116.4836131
2019-11-11,116.0382599
2019-11-12,114.1661237
2019-11-13,113.2184194
2019-11-14,137.0086009
2019-11-15,114.975783
2019-11-16,113.836426
2019-11-17,129.8507073
2019-11-18,137.0086009
2019-11-19,161.865038
2019-11-20,165.9851643
2019-11-21,153.6607709
2019-11-22,161.9706288
2019-11-23,157.6202155
2019-11-24,144.3850216
2019-11-25,125.7979613
2019-11-26,125.2380473
2019-11-27,116.1899717
2019-11-28,115.5782511
2019-11-29,115.125164
2019-11-30,115.5195935
2019-12-01,114.0589084
2019-12-02,113.7232425
2019-12-03,121.6534325
2019-12-04,113.9992972
2019-12-05,114.5335021
2019-12-06,116.6096158
2019-12-07,115.1381598
2019-12-08,110.7864752
2019-12-09,114.5750675
2019-12-10,110.2323881
2019-12-11,111.0600579
2019-12-12,116.6862486
2019-12-13,113.9113284
2019-12-14,105.7239418
2019-12-15,103.7548315
2019-12-16,115.4767568
2019-12-17,116.3364922
2019-12-18,115.1414441
2019-12-19,115.5756025
2019-12-20,115.1818793
2019-12-21,112.8336662
2019-12-22,105.8144885
2019-12-23,103.8176916
2019-12-24,100.9163802
2019-12-25,100.3878963
2019-12-26,112.0679295
2019-12-27,102.9607588
2019-12-28,104.7499634
2019-12-29,103.0954714
2019-12-30,96.44730964
2019-12-31,103.8773381
2020-01-01,108.511964
2020-01-02,107.205957
2020-01-03,103.456211
2020-01-04,103.666898
2020-01-05,84.688304
2020-01-06,108.613176
2020-01-07,100.745069
2020-01-08,112.737575
2020-01-09,112.14842
2020-01-10,117.078383
2020-01-11,76.744836
2020-01-12,109.259787
2020-01-13,112.500119
2020-01-14,120.717523
2020-01-15,111.486659
2020-01-16,88.234037
2020-01-17,98.6852
2020-01-18,110.401404
2020-01-19,108.395002
2020-01-20,109.332782
2020-01-21,112.016697
2020-01-22,111.033819
2020-01-23,89.517655
2020-01-24,98.839666
2020-01-25,112.346642
2020-01-26,107.211395
2020-01-27,110.987816
2020-01-28,115.283209
2020-01-29,117.397816
2020-01-30,140.393244
2020-01-31,128.561665
2020-02-01,128.018949
2020-02-02,99.066503
2020-02-03,108.823274
2020-02-04,112.413893
2020-02-05,85.5662
2020-02-06,111.481197
2020-02-07,109.197327
2020-02-08,55.515079
2020-02-09,87.283482
2020-02-10,110.866404
2020-02-11,114.296447
2020-02-12,110.641344
2020-02-13,132.931643
2020-02-14,129.214351
2020-02-15,111.058657
2020-02-16,113.207272
2020-02-17,108.903015
2020-02-18,108.113131
2020-02-19,104.002822
2020-02-20,104.60356
2020-02-21,103.126171
2020-02-22,94.847636
2020-02-23,101.968768
2020-02-24,121.542628
2020-02-25,121.13206
2020-02-26,101.974312
2020-02-27,103.4184
2020-02-28,103.900515
2020-02-29,97.110741
2020-03-01,107.943444
2020-03-02,114.254034
2020-03-03,113.161328
2020-03-04,99.730207
2020-03-05,94.076399
2020-03-06,98.916557
2020-03-07,108.639461
2020-03-08,115.321031
2020-03-09,166.420082
2020-03-10,181.019236
2020-03-11,177.395386
2020-03-12,179.885352
