Date,TPL1,TPL1001F,TPL1002F,TPL2001F,TPL2002F,TPL2003F,TPL2004F,TPL2005F,TPL2006F,TPL2007F,TPL1001I,TPL1002I,TPL2001I,TPL2002I,TPL2003I,TPL2004I,TPL2005I,TPL2006I,TPL2007I
2019-10-01,197630,,,,,,,,,,,,,,,,,,
2019-10-02,175196,,,,,,,,,,,,,,,,,,
2019-10-03,155264,,,,,,,,,,,,,,,,,,
2019-10-04,155264,,,,,,,,,,,,,,,,,,
2019-10-05,168479,,,,,,,,,,,,,,,,,,
2019-10-06,168479,,,,,,,,,,,,,,,,,,
2019-10-07,168479,,,,,,,,,,,,,,,,,,
2019-10-08,168712,,,,,,,,,,,,,,,,,,
2019-10-09,182929,,,,,,,,,,,,,,,,,,
2019-10-10,190807,,,,,,,,,,,,,,,,,,
2019-10-11,195546,,,,,,,,,,,,,,,,,,
2019-10-12,173418,,,,,,,,,,,,,,,,,,
2019-10-13,173418,,,,,,,,,,,,,,,,,,
2019-10-14,173418,,,,,,,,,,,,,,,,,,
2019-10-15,168912,,,,,,,,,,,,,,,,,,
2019-10-16,162668,,,,,,,,,,,,,,,,,,
2019-10-17,158828,,,,,,,,,,,,,,,,,,
2019-10-18,164268,,,,,,,,,,,,,,,,,,
2019-10-19,160875,,,,,,,,,,,,,,,,,,
2019-10-20,160743,,,,,,,,,,,,,,,,,,
2019-10-21,145182,,,,,,,,,,,,,,,,,,
2019-10-22,190692,,,,,,,,,,,,,,,,,,
2019-10-23,189846,,,,,,,,,,,,,,,,,,
2019-10-24,193802,,,,,,,,,,,,,,,,,,
2019-10-25,168230,,,,,,,,,,,,,,,,,,
2019-10-26,127067,,,,,,,,,,,,,,,,,,
2019-10-27,128276,,,,,,,,,,,,,,,,,,
2019-10-28,155501,,,,,,,,,,,,,,,,,,
2019-10-29,0,,,,,,,,,,,,,,,,,,
2019-10-30,0,,,,,,,,,,,,,,,,,,
2019-10-31,0,,,,,,,,,,,,,,,,,,
2019-11-01,201668,,,,,,,,,,,,,,,,,,
2019-11-02,157410,,,,,,,,,,,,,,,,,,
2019-11-03,167310,,,,,,,,,,,,,,,,,,
2019-11-04,157410,,,,,,,,,,,,,,,,,,
2019-11-05,151698,,,,,,,,,,,,,,,,,,
2019-11-06,159680,,,,,,,,,,,,,,,,,,
2019-11-07,185863,,,,,,,,,,,,,,,,,,
2019-11-08,185863,,,,,,,,,,,,,,,,,,
2019-11-09,184432,,,,,,,,,,,,,,,,,,
2019-11-10,184432,,,,,,,,,,,,,,,,,,
2019-11-11,190372,,,,,,,,,,,,,,,,,,
2019-11-12,193650,,,,,,,,,,,,,,,,,,
2019-11-13,185123,,,,,,,,,,,,,,,,,,
2019-11-14,195923,,,,,,,,,,,,,,,,,,
2019-11-15,196645,,,,,,,,,,,,,,,,,,
2019-11-16,193088,,,,,,,,,,,,,,,,,,
2019-11-17,183942,,,,,,,,,,,,,,,,,,
2019-11-18,193088,,,,,,,,,,,,,,,,,,
2019-11-19,196645,,,,,,,,,,,,,,,,,,
2019-11-20,193197,,,,,,,,,,,,,,,,,,
2019-11-21,194750,,,,,,,,,,,,,,,,,,
2019-11-22,195697,,,,,,,,,,,,,,,,,,
2019-11-23,188804,,,,,,,,,,,,,,,,,,
2019-11-24,180389,,,,,,,,,,,,,,,,,,
2019-11-25,188804,,,,,,,,,,,,,,,,,,
2019-11-26,192497,,,,,,,,,,,,,,,,,,
2019-11-27,195071,,,,,,,,,,,,,,,,,,
2019-11-28,192334.5,,,,,,,,,,,,,,,,,,
2019-11-29,190966.25,,,,,,,,,,,,,,,,,,
2019-11-30,193805.63,,,,,,,,,,,,,,,,,,
2019-12-01,189598,,,,,,,,,,,,,,,,,,
2019-12-02,189598,,,,,,,,,,,,,,,,,,
2019-12-03,196645,,,,,,,,,,,,,,,,,,
2019-12-04,197119,,,,,,,,,,,,,,,,,,
2019-12-05,195545,,,,,,,,,,,,,,,,,,
2019-12-06,213575,,,,,,,,,,,,,,,,,,
2019-12-07,239047,,,,,,,,,,,,,,,,,,
2019-12-08,211327,,,,,,,,,,,,,,,,,,
2019-12-09,191527,,,,,,,,,,,,,,,,,,
2019-12-10,179299,,,,,,,,,,,,,,,,,,
2019-12-11,219988,,,,,,,,,,,,,,,,,,
2019-12-12,205433,,,,,,,,,,,,,,,,,,
2019-12-13,251613,,,,,,,,,,,,,,,,,,
2019-12-14,215393,,,,,,,,,,,,,,,,,,
2019-12-15,215393,,,,,,,,,,,,,,,,,,
2019-12-16,215393,,,,,,,,,,,,,,,,,,
2019-12-17,169870,,,,,,,,,,,,,,,,,,
2019-12-18,158103,,,,,,,,,,,,,,,,,,
2019-12-19,184171,,,,,,,,,,,,,,,,,,
2019-12-20,164011,,,,,,,,,,,,,,,,,,
2019-12-21,164180,,,,,,,,,,,,,,,,,,
2019-12-22,154280,,,,,,,,,,,,,,,,,,
2019-12-23,164180,,,,,,,,,,,,,,,,,,
2019-12-24,167971,,,,,,,,,,,,,,,,,,
2019-12-25,163232,,,,,,,,,,,,,,,,,,
2019-12-26,167192,,,,,,,,,,,,,,,,,,
2019-12-27,167971,,,,,,,,,,,,,,,,,,
2019-12-28,173491,,,,,,,,,,,,,,,,,,
2019-12-29,192301,,,,,,,,,,,,,,,,,,
2019-12-30,177451,,,,,,,,,,,,,,,,,,
2019-12-31,185232,,,,,,,,,,,,,,,,,,
2020-01-01,199938,,,,,,,,,,,,,,,,,,
2020-01-02,173602,,,,,,,,,,,,,,,,,,
2020-01-03,169867,,,,,,,,,,,,,,,,,,
2020-01-04,183447,,,,,,,,,,,,,,,,,,
2020-01-05,183447,,,,,,,,,,,,,,,,,,
2020-01-06,183447,,,,,,,,,,,,,,,,,,
2020-01-07,178881,,,,,,,,,,,,,,,,,,
2020-01-08,136924,,,,,,,,,,,,,,,,,,
2020-01-09,167971,,,,,,,,,,,,,,,,,,
2020-01-10,177971,,,,,,,,,,,,,,,,,,
2020-01-11,177971,,,,,,,,,,,,,,,,,,
2020-01-12,167971,,,,,,,,,,,,,,,,,,
2020-01-13,187771,,,,,,,,,,,,,,,,,,
2020-01-14,206821,,,,,,,,,,,,,,,,,,
2020-01-15,205771,,,,,,,,,,,,,,,,,,
2020-01-16,216324,,,,,,,,,,,,,,,,,,
2020-01-17,192554,,,,,,,,,,,,,,,,,,
2020-01-18,187343,,,,,,,,,,,,,,,,,,
2020-01-19,187343,,,,,,,,,,,,,,,,,,
2020-01-20,187343,,,,,,,,,,,,,,,,,,
2020-01-21,187343,,,,,,,,,,,,,,,,,,
2020-01-22,141433,,,,,,,,,,,,,,,,,,
2020-01-23,145963,,,,,,,,,,,,,,,,,,
2020-01-24,165128,,,,,,,,,,,,,,,,,,
2020-01-25,147266,,,,,,,,,,,,,,,,,,
2020-01-26,136376,,,,,,,,,,,,,,,,,,
2020-01-27,180606,,,,,,,,,,,,,,,,,,
2020-01-28,164606,,,,,,,,,,,,,,,,,,
2020-01-29,174180,,,,,,,,,,,,,,,,,,
2020-01-30,175232,,,,,,,,,,,,,,,,,,
2020-01-31,175232,,,,,,,,,,,,,,,,,,
2020-02-01,175232,,,,,,,,,,,,,,,,,,
2020-02-02,163859,,,,,,,,,,,,,,,,,,
2020-02-03,161014,,,,,,,,,,,,,,,,,,
2020-02-04,168232,,,,,,,,,,,,,,,,,,
2020-02-05,163232,,,,,,,,,,,,,,,,,,
2020-02-06,159232,,,,,,,,,,,,,,,,,,
2020-02-07,126059,,,,,,,,,,,,,,,,,,
2020-02-08,88689,,,,,,,,,,,,,,,,,,
2020-02-09,100074,,,,,,,,,,,,,,,,,,
2020-02-10,114485,,,,,,,,,,,,,,,,,,
2020-02-11,173732,,,,,,,,,,,,,,,,,,
2020-02-12,166686,,,,,,,,,,,,,,,,,,
2020-02-13,140732,,,,,,,,,,,,,,,,,,
2020-02-14,162076,,,,,,,,,,,,,,,,,,
2020-02-15,109252,,,,,,,,,,,,,,,,,,
2020-02-16,124102,,,,,,,,,,,,,,,,,,
2020-02-17,170389,,,,,,,,,,,,,,,,,,
2020-02-18,164181,,,,,,,,,,,,,,,,,,
2020-02-19,163972,,,,,,,,,,,,,,,,,,
2020-02-20,197376,,,,,,,,,,,,,,,,,,
2020-02-21,105930,,,,,,,,,,,,,,,,,,
2020-02-22,124740,,,,,,,,,,,,,,,,,,
2020-02-23,105930,,,,,,,,,,,,,,,,,,
2020-02-24,105930,,,,,,,,,,,,,,,,,,
2020-02-25,97986,,,,,,,,,,,,,,,,,,
2020-02-26,97986,,,,,,,,,,,,,,,,,,
2020-02-27,97986,,,,,,,,,,,,,,,,,,
2020-02-28,97986,,,,,,,,,,,,,,,,,,
2020-02-29,97986,,,,,,,,,,,,,,,,,,
2020-03-01,90042,,,,,,,,,,,,,,,,,,
2020-03-02,90042,,,,,,,,,,,,,,,,,,
2020-03-03,69458,,,,,,,,,,,,,,,,,,
2020-03-04,99520,,,,,,,,,,,,,,,,,,
2020-03-05,160860,,,,,,,,,,,,,,,,,,
2020-03-06,158761,,,,,,,,,,,,,,,,,,
2020-03-07,146986,,,,,,,,,,,,,,,,,,
2020-03-08,146986,,,,,,,,,,,,,,,,,,
2020-03-09,96031,,,,,,,,,,,,,,,,,,
2020-03-10,119259,,,,,,,,,,,,,,,,,,
2020-03-11,104259,,,,,,,,,,,,,,,,,,
2020-03-12,96030,,,,,,,,,,,,,,,,,,
2020-03-13,105930,,,,,,,,,,,,,,,,,,
2020-03-14,85303,,,,,,,,,,,,,,,,,,
2020-03-15,116582,,,,,,,,,,,,,,,,,,
2020-03-16,111763,,,,,,,,,,,,,,,,,,
2020-03-17,108999,,,,,,,,,,,,,,,,,,
2020-03-18,108999,,,,,,,,,,,,,,,,,,
2020-03-19,108999,,,,,,,,,,,,,,,,,,
2020-03-20,105930,,,,,,,,,,,,,,,,,,
2020-03-21,105930,,,,,,,,,,,,,,,,,,
2020-03-22,105930,,,,,,,,,,,,,,,,,,
2020-03-23,105930,,,,,,,,,,,,,,,,,,
2020-03-24,105930,,,,,,,,,,,,,,,,,,
2020-03-25,105930,,,,,,,,,,,,,,,,,,
2020-03-26,105930,,,,,,,,,,,,,,,,,,
2020-03-27,105930,,,,,,,,,,,,,,,,,,
