Date,TPL1001,TPL1002,TPL2001,TPL2002,TPL2003,TPL2004,TPL2005,TPL2006,TPL2007
2019-11-01,,,70002.4,73910.02,,22999.19,0,,0
2019-11-02,,,69555.81,60512.44,,21101.2,0,,0
2019-11-03,,,70448.98,70560.63,,19314.86,0,,0
2019-11-04,,,69220.87,76924.48,,22887.54,0,,0
2019-11-05,,,69444.17,73351.79,,22106.02,0,,0
2019-11-06,,,69220.87,94676.28,,19426.5,0,,0
2019-11-07,,,70002.4,112986.32,,17193.57,0,,0
2019-11-08,,,69779.1,114772.67,,17193.57,0,,0
2019-11-09,,,70002.4,112763.03,,22887.54,0,,0
2019-11-10,,,69555.81,109301.98,,21994.37,0,,0
2019-11-11,,,69779.1,113097.97,,18533.33,0,,0
2019-11-12,,,70337.34,116112.42,,18756.62,0,,0
2019-11-13,,,70337.34,113097.97,,23669.07,0,,0
2019-11-14,,,69555.81,104166.24,,21659.43,0,,0
2019-11-15,,,69890.75,115889.13,,23669.07,0,,0
2019-11-16,,,68327.69,104166.24,,19426.5,0,,0
2019-11-17,,,68216.04,101263.43,,16300.4,0,,0
2019-11-18,,,69332.52,107292.34,,19459.99,0,,0
2019-11-19,,,69779.1,114661.02,,23557.42,0,,0
2019-11-20,,,70225.69,114661.02,,22329.31,0,,0
2019-11-21,,,69667.46,114772.67,,22217.66,0,,0
2019-11-22,,,70337.34,116000.78,,23557.42,0,,0
2019-11-23,,,70225.69,114884.31,,22106.02,0,,0
2019-11-24,,,69890.75,101375.08,,18533.33,0,,0
2019-11-25,,,70002.4,114661.02,,23557.42,0,,0
2019-11-26,,,69890.75,114772.67,,23557.42,0,,0
2019-11-27,,,70448.98,116000.78,,23557.42,0,,0
2019-11-28,,,69248.78,112651.38,,22106.02,0,,0
2019-11-29,,,69255.75,114102.79,,22999.19,0,,0
2019-11-30,,,69655.24,114326.08,,22915.46,0,,0
2019-12-01,,,69444.17,107069.05,,18198.39,0,,0
2019-12-02,,,67211.23,112763.03,,23110.84,0,,0
2019-12-03,,,70114.04,114995.96,,23222.48,0,,0
2019-12-04,,,70002.4,115554.19,,23334.13,0,,0
2019-12-05,,,70225.69,114884.31,,23222.48,0,,0
2019-12-06,,,70002.4,114884.31,,21771.08,0,,0
2019-12-07,,,67657.81,103719.66,,19538.15,0,,0
2019-12-08,,,66094.76,94787.93,,16188.76,0,,0
2019-12-09,,,68104.4,104501.18,,23222.48,0,,0
2019-12-10,,,70002.4,104389.54,,18756.62,0,,0
2019-12-11,,,69890.75,98583.91,,18198.39,54595.17,,0
2019-12-12,,,67099.58,95234.52,,20096.38,58167.86,,0
2019-12-13,,,70002.4,113097.97,,21659.43,72458.62,,0
2019-12-14,,,67881.1,101710.02,,19538.15,26125.29,,0
2019-12-15,,,65313.24,89875.49,,13285.94,16077.11,,0
2019-12-16,,,69109.23,97914.03,,14514.05,0,,0
2019-12-17,,,69444.17,70560.63,,9824.9,0,,0
2019-12-18,,,69444.17,104277.89,,6363.86,0,,0
2019-12-19,,,69444.17,111646.57,,0,0,,0
2019-12-20,,,68439.34,104501.18,,0,0,,0
2019-12-21,,,69667.46,114995.96,,0,0,,0
2019-12-22,,,69555.81,101933.31,,0,0,,0
2019-12-23,,,65536.53,94452.99,,0,0,,0
2019-12-24,,,64196.77,91550.18,,0,0,,0
2019-12-25,,,66429.7,93224.88,,4577.5,0,,0
2019-12-26,,,68216.04,108185.51,,334.94,0,,0
2019-12-27,,,68550.98,110865.04,,18198.39,0,,0
2019-12-28,,,69332.52,112651.38,,18198.39,0,,0
2019-12-29,,,69332.52,109190.33,,18198.39,0,,0
2019-12-30,,,66987.93,98137.32,,9489.96,0,,0
2019-12-31,,,66318.05,96350.98,,0,0,,0
2020-01-01,,,68327.69,100593.56,,0,0,,0
2020-01-02,,,69555.81,112763.03,,5024.09,0,,0
2020-01-03,,,69555.81,110641.74,,3795.98,0,,0
2020-01-04,,,69220.87,100035.31,,0,0,,0
2020-01-05,,,66541.35,90098.78,,6028.92,0,,0
2020-01-06,,,69220.87,110083.5,,7480.32,0,,0
2020-01-07,,,59842.56,112763.03,,0,0,,0
2020-01-08,,,42202.4,111758.21,,7368.68,0,,0
2020-01-09,,,69220.87,109860.21,,18086.75,0,,0
2020-01-10,,,69555.81,109860.21,,19314.86,0,,0
2020-01-11,,,69332.52,114102.79,,8485.14,0,,0
2020-01-12,,,68439.34,105506,,8485.14,0,,0
2020-01-13,,,69555.81,113097.97,,21101.2,0,,0
2020-01-14,,,69555.81,112763.03,,21882.73,0,,0
2020-01-15,,,68550.98,107738.93,,19314.86,0,,0
2020-01-16,,,69109.23,100035.31,,12839.35,0,,0
2020-01-17,,,66876.29,80162.23,,11276.3,0,,0
2020-01-18,,,69332.52,95904.39,,12727.71,0,,0
2020-01-19,,,69779.1,97802.38,,10383.13,0,,0
2020-01-20,,,61517.26,75026.49,,11946.18,0,,0
2020-01-21,,,69667.46,87195.96,,9601.61,0,,0
2020-01-22,,,66764.64,73686.73,,3237.75,0,,0
2020-01-23,,,66429.7,76924.48,,1563.05,0,,0
2020-01-24,,,63303.6,73128.5,,11164.66,0,,0
2020-01-25,,,67546.17,84069.86,,11387.95,0,,0
2020-01-26,,,66876.29,87084.31,,11946.18,0,,0
2020-01-27,,,69332.52,110083.5,,14067.46,0,,0
2020-01-28,,,66318.05,87195.96,,14179.11,0,,0
2020-01-29,,,67546.17,91215.24,,7145.38,0,,0
2020-01-30,,,69220.87,108632.1,,6140.57,0,,0
2020-01-31,,,67881.1,102379.9,,3070.28,0,,0
2020-02-01,,,66541.35,96127.69,,0,0,,0
2020-02-02,,,65759.82,77259.42,,5247.38,0,,0
2020-02-03,,,68662.64,97579.09,,5917.27,0,,0
2020-02-04,,,68662.64,113767.85,,0,0,,0
2020-02-05,,,69667.46,114102.79,,2121.28,0,,0
2020-02-06,,,37959.83,103273.07,,12057.83,0,,0
2020-02-07,,,38741.36,114661.02,,14960.63,0,,0
2020-02-08,,,38741.36,39634.53,,10606.42,0,,0
2020-02-09,,,31595.98,33828.91,,12616.06,0,,0
2020-02-10,,,50799.19,40974.29,,22329.31,0,,0
2020-02-11,,,73463.44,106399.17,,8820.08,0,,0
2020-02-12,,,73463.44,113209.62,,12169.47,0,,0
2020-02-13,,,73351.79,97355.8,,2456.22,0,,0
2020-02-14,,,74133.32,87754.19,,1339.76,0,,0
2020-02-15,,,75026.49,38294.77,,0,0,,0
2020-02-16,,,70337.34,45998.38,,0,0,,0
2020-02-17,,,74914.84,110865.04,,2791.16,0,,0
2020-02-18,,,74356.61,113209.62,,7815.26,0,,0
2020-02-19,,,70337.34,113209.62,,0,0,,0
2020-02-20,,,69779.1,114102.79,,0,0,,0
2020-02-21,,,69667.46,107962.22,,4800.8,0,,0
2020-02-22,,,66652.99,97132.51,,0,0,,0
2020-02-23,,,66876.29,86861.02,,0,0,,0
2020-02-24,,,69444.17,98137.32,,6587.15,0,,0
2020-02-25,,,70337.34,113432.91,,10048.19,0,,0
2020-02-26,,,69779.1,112316.44,,1339.76,0,,0
2020-02-27,,,67782.59,101238.06,,3039.53,0,,0
2020-02-28,,,67782.59,101238.06,,3039.53,0,,0
2020-02-29,,,67782.59,101238.06,,3039.53,0,,0
2020-03-01,,,65786.09,90159.68,,4739.31,0,,0
2020-03-02,,,70976.77,108778.37,,15007.81,0,,0
2020-03-03,,,69171.32,111486.55,,21101.2,0,,0
2020-03-04,,,70186.87,113856.21,,16361.89,0,,0
2020-03-05,,,68042.91,101105.22,,11058.38,0,,0
2020-03-06,,,66237.46,79326.98,,10945.54,0,,0
2020-03-07,,,69848.36,85533.21,,6883.27,0,,0
