Date,TPN1,TPN2,TPN3,TPN4
2019-09-01,1041237,0,1041237,0
2019-09-02,1089509,0,1089509,0
2019-09-03,1085542,0,1085542,0
2019-09-04,1090105,0,1090105,0
2019-09-05,1085582,0,1085582,0
2019-09-06,1089464,0,1089464,0
2019-09-07,1106164,0,1106164,0
2019-09-08,1097203,0,1097203,0
2019-09-09,1103543,0,1103543,0
2019-09-10,1107808,0,1107808,0
2019-09-11,1107297,0,1107297,0
2019-09-12,1054369,0,1054369,0
2019-09-13,1098956,0,1098956,0
2019-09-14,1055759,0,1055759,0
2019-09-15,1000931,0,1000931,0
2019-09-16,1015701,0,1015701,0
2019-09-17,1018734,0,1018734,0
2019-09-18,1099955,0,1099955,0
2019-09-19,1049502,0,1049502,0
2019-09-20,1006884,0,1006884,0
2019-09-21,983376,0,983376,0
2019-09-22,1049200,0,1049200,0
2019-09-23,1039509,0,1039509,0
2019-09-24,1006537,0,1006537,0
2019-09-25,1061879,0,1061879,0
2019-09-26,1067048,0,1067048,0
2019-09-27,1071371,0,1071371,0
2019-09-28,986127,0,986127,0
2019-09-29,987187,0,987187,0
2019-09-30,987277,0,987277,0
2019-10-01,972544,0,972544,0
2019-10-02,926513,0,926513,0
2019-10-03,995429,0,995429,0
2019-10-04,979268,0,979268,0
2019-10-05,964563,0,964563,0
2019-10-06,972772,0,972772,0
2019-10-07,987798,0,987798,0
2019-10-08,967827,0,967827,0
2019-10-09,972620,0,972620,0
2019-10-10,982760,0,982760,0
2019-10-11,961402,0,961402,0
2019-10-12,958405,0,958405,0
2019-10-13,964394,0,964394,0
2019-10-14,973918,0,973918,0
2019-10-15,1008471,0,1008471,0
2019-10-16,917422,0,917422,0
2019-10-17,932473,0,932473,0
2019-10-18,932328,0,932328,0
2019-10-19,916298,0,916298,0
2019-10-20,918654,0,918654,0
2019-10-21,893197,0,893197,0
2019-10-22,919581,0,919581,0
2019-10-23,1041230,0,1041230,0
2019-10-24,1092420,0,1092420,0
2019-10-25,0,0,0,0
2019-10-26,1001038,0,1001038,0
2019-10-27,1037221,0,1037221,0
2019-10-28,953257,0,953257,0
2019-10-29,1103013,0,1103013,0
2019-10-30,1098549,0,1098549,0
2019-10-31,1029109,0,1029109,0
2019-11-01,1029760,0,1029760,0
2019-11-02,1142700,0,1142700,0
2019-11-03,1049901,0,1049901,0
2019-11-04,1049693,0,1049693,0
2019-11-05,1049923,0,1049923,0
2019-11-06,1041522,0,1041522,0
2019-11-07,1057983,0,1057983,0
2019-11-08,975923,0,975923,0
2019-11-09,918023,0,918023,0
2019-11-10,964644,0,964644,0
2019-11-11,894991,0,894991,0
2019-11-12,896537,0,896537,0
2019-11-13,1006699,0,1006699,0
2019-11-14,1032378,0,1032378,0
2019-11-15,1028125,0,1028125,0
2019-11-16,1022967,0,1022967,0
2019-11-17,919679,0,919679,0
2019-11-18,911649,0,911649,0
2019-11-19,1083278,0,1083278,0
2019-11-20,978808,0,978808,0
2019-11-21,1076667,0,1076667,0
2019-11-22,978853,0,978853,0
2019-11-23,978854,0,978854,0
2019-11-24,1027781,0,1027781,0
2019-11-25,1027769,0,1027769,0
2019-11-26,1017685,0,1017685,0
2019-11-27,1057024,0,1057024,0
2019-11-28,1027751,0,1027751,0
2019-11-29,1027770,0,1027770,0
2019-11-30,1027768,0,1027768,0
2019-12-01,1035562,0,1035562,0
2019-12-02,1028019,0,1028019,0
2019-12-03,1027970,0,1027970,0
2019-12-04,1024488,0,1024488,0
2019-12-05,1028048,0,1028048,0
2019-12-06,1057286,0,1057286,0
2019-12-07,1046916,0,1046916,0
2019-12-08,1057367,0,1057367,0
2019-12-09,1070055,0,1070055,0
2019-12-10,1038367,0,1038367,0
2019-12-11,1028014,0,1028014,0
2019-12-12,1028047,0,1028047,0
2019-12-13,1024776,0,1024776,0
2019-12-14,1021900,0,1021900,0
2019-12-15,1023648,0,1023648,0
2019-12-16,1027969,0,1027969,0
2019-12-17,1047040,0,1047040,0
2019-12-18,1083506,0,1083506,0
2019-12-19,1056653,0,1056653,0
2019-12-20,1087458,0,1087458,0
2019-12-21,1055342,0,1055342,0
2019-12-22,1055368,0,1055368,0
2019-12-23,1048602,0,1048602,0
2019-12-24,1034998,0,1034998,0
2019-12-25,1023123,0,1023123,0
2019-12-26,900889,0,900889,0
2019-12-27,881196,0,881196,0
2019-12-28,851204,0,851204,0
2019-12-29,881275,0,881275,0
2019-12-30,851204,0,851204,0
2019-12-31,881223,0,881223,0
2020-01-01,881978,0,881978,0
2020-01-02,881766,0,881766,0
2020-01-03,847434,0,847434,0
2020-01-04,914468,0,914468,0
2020-01-05,881825,0,881825,0
2020-01-06,881744,0,881744,0
2020-01-07,930741,0,930741,0
2020-01-08,979893,0,979893,0
2020-01-09,1028767,0,1028767,0
2020-01-10,979956,0,979956,0
2020-01-11,979857,0,979857,0
2020-01-12,1035198,0,1035198,0
2020-01-13,1011244,0,1011244,0
2020-01-14,1028847,0,1028847,0
2020-01-15,1085323,0,1085323,0
2020-01-16,1077692,0,1077692,0
2020-01-17,1080926,0,1080926,0
2020-01-18,1074431,0,1074431,0
2020-01-19,1075515,0,1075515,0
2020-01-20,1084599,0,1084599,0
2020-01-21,1084599,0,1084599,0
2020-01-22,1075618,0,1075618,0
2020-01-23,1077689,0,1077689,0
2020-01-24,1075841,0,1075841,0
2020-01-25,1076844,0,1076844,0
2020-01-26,1114522,0,1114522,0
2020-01-27,1021166,0,1021166,0
2020-01-28,1058212,0,1058212,0
2020-01-29,1058267,0,1058267,0
2020-01-30,1085215,0,1085215,0
2020-01-31,1096571,0,1096571,0
2020-02-01,1019047,0,1019047,0
2020-02-02,984855,0,984855,0
2020-02-03,1055411,0,1055411,0
2020-02-04,931290,0,931290,0
2020-02-05,966983,0,966983,0
2020-02-06,1013716,0,1013716,0
2020-02-07,1034044,0,1034044,0
2020-02-08,999531,0,999531,0
2020-02-09,987617,0,987617,0
2020-02-10,979937,0,979937,0
2020-02-11,977970,0,977970,0
2020-02-12,1017111,0,1017111,0
2020-02-13,950182,0,950182,0
2020-02-14,980206,0,980206,0
2020-02-15,963099,0,963099,0
2020-02-16,948605,0,948605,0
2020-02-17,947912,0,947912,0
2020-02-18,958391,0,958391,0
2020-02-19,961107,0,961107,0
2020-02-20,958551,0,958551,0
2020-02-21,958551,0,958551,0
2020-02-22,960375,0,960375,0
2020-02-23,953560,0,953560,0
2020-02-24,978476,0,978476,0
2020-02-25,988371,0,988371,0
