Date,TPN1,TPN3,TPN2,TPN4,TPN5
2017-05-15,637,639,0,0,0
2017-05-16,646,657,0,0,0
2017-05-17,638,631,0,0,0
2017-05-18,687,664,0,0,0
2017-05-19,708,695,0,0,0
2017-05-20,781,749,0,0,0
2017-05-21,781,715,0,0,0
2017-05-22,836,810,0,0,0
2017-05-23,849,830,0,0,0
2017-05-24,845,848,0,0,0
2017-05-25,918,973,0,0,0
2017-05-26,888,881,0,0,0
2017-05-27,851,840,0,0,0
2017-05-28,851,846,0,0,0
2017-05-29,875,870,0,0,0
2017-05-30,887,904,0,0,0
2017-05-31,887,883,0,0,0
2017-06-01,896,894,0,0,0
2017-06-02,877,868,0,0,0
2017-06-03,869,854,0,0,0
2017-06-04,887,848,0,0,0
2017-06-05,878,858,0,0,0
2017-06-06,873,886,0,0,0
2017-06-07,893,886,0,0,0
2017-06-08,917,927,0,0,0
2017-06-09,920,923,0,0,0
2017-06-10,888,893,0,0,0
2017-06-11,900,884,0,0,0
2017-06-12,0,0,0,0,0
2017-06-13,0,0,0,0,0
2017-06-14,0,0,0,0,0
2017-06-15,0,0,0,0,0
2017-06-16,0,0,0,0,0
2017-06-17,0,0,0,0,0
2017-06-18,0,0,0,0,0
2017-06-19,126,150,0,0,0
2017-06-20,937,887,0,0,0
2017-06-21,957,958,0,0,0
2017-06-22,947,945,0,0,0
2017-06-23,952,955,0,0,0
2017-06-24,960,955,0,0,0
2017-06-25,952,922,0,0,0
2017-06-26,0,0,0,0,0
2017-06-27,0,0,0,0,0
2017-06-28,0,0,0,0,0
2017-06-29,0,0,0,0,0
2017-06-30,0,0,0,0,0
2017-07-01,0,0,0,0,0
2017-07-02,0,0,0,0,0
2017-07-03,0,0,0,0,0
2017-07-04,0,0,0,0,0
2017-07-05,0,0,0,0,0
2017-07-06,0,0,0,0,0
2017-07-07,0,0,0,0,0
2017-07-08,0,0,0,0,0
2017-07-09,0,0,0,0,0
2017-07-10,897,915,0,0,0
2017-07-11,947,948,0,0,0
2017-07-12,930,920,0,0,0
2017-07-13,946,932,0,0,0
2017-07-14,945,937,0,0,0
2017-07-15,958,951,0,0,0
2017-07-16,932,907,0,0,0
2017-07-17,946,930,0,0,0
2017-07-18,929,922,0,0,0
2017-07-19,945,961,0,0,0
2017-07-20,960,955,0,0,0
2017-07-21,959,958,0,0,0
2017-07-22,954,939,0,0,0
2017-07-23,918,891,0,0,0
