"","Date","CHI_III","GAD_CHI","GAD_JUA","KM_Hueco","SIS","SMY_BRN","SMY_I","SMY_II"
"1",2024-01-25,0,65.9511910616,10.9959028243,35.6763931574,150.9248218517,0,41.8400796366,65.0905718226
"2",2024-01-26,0,58.1682902727,30.5226717835,35.6763931574,148.8321786738,0,37.1931242077,55.7794273912
"3",2024-01-27,0,57.9031121904,30.3491706624,35.6763931574,148.0068388201,0,32.2990718229,59.9177805107
"4",2024-01-28,0,58.4392952805,30.6767145049,35.6763931574,99.9476992547,0,2.7870008093,42.0437395115
"5",2024-01-29,0,65.8415389181,30.4741493857,35.6763931574,137.0683223833,0,17.5988688568,55.6787451815
"6",2024-01-30,0,58.0619223963,30.4231902736,35.6763931574,129.8004864939,0,18.5442786905,55.6335423655
"7",2024-01-31,0,58.2772008075,49.6382010612,33.714237796,163.1110772689,0,32.5832138991,55.8258662217
"8",2024-02-01,0,61.3029289888,34.5898304678,33.8064797924,99.1069268771,0,0,37.373900157
"9",2024-02-02,0,60.8387878867,34.395458359,33.6914244998,92.7669494155,0,0,30.6455316248
"10",2024-02-03,0,59.5908723328,23.1267141625,33.8905994078,79.0673884739,0,0,27.4676677159
"11",2024-02-04,0,60.7449567288,23.5584716847,34.0583089181,79.0654814801,0,0,27.7586255292
"12",2024-02-05,0,60.8648148206,23.6147280018,33.8926476604,88.4425584564,0,9.4677651259,27.8033339394
"13",2024-02-06,9.9894338743,60.4780129115,28.3323481454,43.2550690362,112.007280843,0,0,55.2547568933
"14",2024-02-07,14.983674063,60.6662755772,30.3222255463,50.6591137235,143.1166710523,0,0.9249273077,83.0708041247
"15",2024-02-08,0,60.1921757297,25.2893863905,33.9837242717,97.8437906875,0,0,44.0265539724
"16",2024-02-09,16.9813560126,59.8519185952,25.4455126792,95.1274899076,127.6654303613,0,36.7031680599,82.9245306373
"17",2024-02-10,26.9707898869,59.4583715784,10.8582814384,115.724859312,27.2262917414,0,18.3778051947,27.5236062007
"18",2024-02-11,16.9813560126,59.2543585565,10.8033317652,106.9821756065,8.6531256263,0,0,28.4159380403
"19",2024-02-12,0,0,0,0,0,0,0,0
"20",2024-02-13,24.9730726226,59.5771702292,10.8440142996,144.3820673827,41.0036862818,0,34.8081459432,54.9967476951
"21",2024-02-14,14.983674063,63.0341262122,10.8324663927,139.1664746544,8.6246972928,0,0,53.5069617609
"22",2024-02-15,19.977878937,59.2208095915,20.4050102335,151.5066668489,31.4251742567,0,22.7987818583,54.2576463388
"23",2024-02-16,27.9696308617,60.9852026329,20.3990067345,189.8993254715,12.6761409356,0,27.9664525387,57.8923058922
"24",2024-02-17,26.9707898869,59.2946173145,10.7756450404,120.1069544909,36.1591097917,0,0,54.0597780747
"25",2024-02-18,26.9707898869,64.2230309024,10.8655915813,125.2119768935,8.6444028954,0,0,27.4093631462
"26",2024-02-19,26.9707898869,64.1744731899,10.8607181527,125.2119768935,61.5684249034,0,16.4636425106,63.3947246139
"27",2024-02-20,26.9707898869,64.2018773971,10.8631901817,115.9013621826,58.6264631905,0,18.2531443037,54.7523346564
"28",2024-02-21,19.977878937,64.2474686748,23.1980851712,91.6307695724,54.6160905438,0,0,34.7232140897
"29",2024-02-22,27.9696308617,64.3887981042,22.8514007613,92.7072675725,82.2050289395,0,9.1727814368,45.7911942167
"30",2024-02-23,29.9673128113,64.0738616096,23.0909050567,65.6427524718,125.917741173,0,36.9517482332,34.1651712003
"31",2024-02-24,26.9707898869,59.6825846087,23.1235358395,62.6462295474,61.0074508939,0,11.1166790983,0
"32",2024-02-25,26.9707898869,63.6835988599,22.9643371719,66.7306218053,73.1477618864,0,0,22.9740487144
"33",2024-02-26,26.9707898869,59.3337460021,22.7873398955,59.3074718653,111.1068972518,0,9.1369017016,52.0775639637
"34",2024-02-27,40.7548589056,58.6049918529,22.5178534198,142.2347217345,66.3016188297,0,33.3785362578,54.1271232076
"35",2024-02-28,40.7548589056,59.1803036306,22.7312954666,131.0251296605,95.8177510338,0,36.4181784309,61.0059323618
"36",2024-02-29,37.4478138241,58.8076982309,19.7637305962,145.9684037067,47.5832386682,0,22.6693534828,54.333078538
"37",2024-03-01,38.4579908176,58.2887133997,28.1683466786,162.3366258979,37.4731697787,0,20.7599582832,55.257617384
"38",2024-03-02,34.4625916037,58.2062535752,28.1093358149,112.0955322783,42.5341900651,0,29.7923637875,4.516396983
"39",2024-03-03,34.4625916037,58.4588596243,28.2607652485,111.8274583906,37.3840001612,0,0,28.687543398
"40",2024-03-04,34.4625916037,58.4532799017,28.241518737,112.1114238933,73.052694714,0,9.075171606,54.4386341763
"41",2024-03-05,37.7583006665,59.0671906465,31.428317265,144.5741793507,63.7620681233,0,41.2062867157,39.3465439843
"42",2024-03-06,38.9569522139,59.0897567398,31.4658214764,152.3408353776,74.0437664548,0,36.9004006594,55.3494709187
"43",2024-03-07,34.8989047222,59.1812218128,36.2870902645,145.2084666774,78.3073808152,0,37.4446355011,58.6585642528
"44",2024-03-08,34.8004120239,59.3984425325,36.4434284414,161.7144161986,61.9910359183,0,37.1675916796,56.9310397582
"45",2024-03-09,31.7415939687,59.4082247044,33.5437031097,138.5607216053,42.3639025817,0,0,55.3882464593
"46",2024-03-10,31.6180631481,59.2695085628,33.483985952,137.8350751497,42.5832774981,0,0,55.1221501948
"47",2024-03-11,31.7120002501,59.3682131493,33.534132826,138.1250794661,51.9873349052,0,9.2069660664,55.3050803408
"48",2024-03-12,35.626175654,60.3186729851,31.6120243344,178.3204828943,41.5144427879,0,36.8961628954,55.3441030843
"49",2024-03-13,39.5145713269,60.3142586476,33.5605835363,192.3610072644,43.4820719278,0,34.1309865707,61.8060575197
"50",2024-03-14,37.8657279839,60.6047573698,37.6075422122,155.3326614469,80.3502655808,0,37.0840724141,57.4804658608
"51",2024-03-15,34.7585287897,60.4297730313,34.5740094822,148.1059318683,75.46045096,0,32.9209636899,55.5143199383
"52",2024-03-16,25.9845209453,66.3920597764,32.7862027947,113.0165043396,97.4948814515,0,24.9864922086,55.5142139942
"53",2024-03-17,26.0070164092,65.4821412162,32.8322178488,108.3157999373,81.4524726825,0,33.3531803032,27.7938695998
"54",2024-03-18,26.0125608171,57.4550745915,32.7295933306,113.0165043396,76.8453522352,0,32.4363753765,37.0720301014
"55",2024-03-19,32.8408346356,60.5886891813,34.6916074332,130.7338893296,77.3359440476,0,32.427370128,46.3209147167
"56",2024-03-20,41.0662992449,66.4396286773,34.6789647706,150.6508504091,84.7981520458,0,32.4244036932,55.5853731147
"57",2024-03-21,39.965999137,65.4590807171,31.7531418756,150.5987612266,72.2766541815,0,22.2334641407,58.3629802138
"58",2024-03-22,35.1348775476,60.4896314478,28.799844144,143.8331003712,74.5227044162,0,33.3031040586,55.5128720356
"59",2024-03-23,32.1439696605,65.2299942582,28.75676021,126.4720760189,49.6895133203,0,17.5760202459,27.7164950921
"60",2024-03-24,32.1351409855,60.3714684616,28.7427755888,113.310040126,53.928018929,0,0,41.5223885954
"61",2024-03-25,41.8444939741,60.3230520079,28.7296032057,151.6089735348,44.6333311478,0,50.6952759763,9.2251178222
"62",2024-03-26,41.9935926375,63.4755952769,36.6008966887,147.5770942358,78.907871974,0,27.7613800758,55.5374510668
"63",2024-03-27,51.6323162261,60.9160211356,38.7573182148,103.8858533399,131.4846445369,0,19.5609535888,60.5849458231
"64",2024-03-28,38.695376231,43.4844380127,28.8521805294,91.898737516,78.3132430554,0,0,55.8810630978
"65",2024-03-29,38.6407443901,60.6066643636,28.8809620099,88.785040417,65.9266120304,0,0,26.0173283016
"66",2024-03-30,38.4293505959,60.3088908132,28.7105685824,88.4948242124,67.7351837615,0,0,27.8256175151
"67",2024-03-31,38.6958706368,60.5391426572,28.8145703739,88.7813676882,98.9210302963,0,2.7896847265,55.6645486721
"68",2024-04-01,42.6949778942,58.4366819927,28.9190312565,87.9033029874,134.4263590469,0,32.5462394082,55.8077850953
"69",2024-04-02,50.5171839442,61.3558657241,37.6787366474,117.2722788366,124.5037052703,0,35.3208447578,55.7701749398
"70",2024-04-03,42.6506932604,61.3583730678,21.1109510865,117.9813980126,104.2841325265,0,32.5472635345,60.4243698822
"71",2024-04-04,39.6353476009,61.1991390855,27.8545402544,108.8810117108,102.9125095785,0,18.5551909328,60.3054652873
"72",2024-04-05,42.4996876032,42.110307721,26.3775735563,97.115425,98.1708048095,0,22.2289791738,58.3504081806
"73",2024-04-06,42.6244544383,42.2287885395,26.9156283255,97.115425,101.5643002766,0,27.8564119335,55.7134595316
"74",2024-04-07,42.6830415256,67.2650391604,26.9402426714,102.0197186478,125.2480685169,0,30.6762554138,55.7775203974
"75",2024-04-08,42.6468439581,58.3894662388,26.9381591041,111.8775346352,109.1867310687,0,30.6686627533,58.5489827387
"76",2024-04-09,45.1314096766,56.4744206872,21.0956245067,111.1286157923,105.4238085249,0,32.5456390583,60.4432985614
"77",2024-04-10,45.3498310961,67.3057923242,38.6973538542,113.8761700817,136.4253829551,0,32.5571163358,62.3237710217
"78",2024-04-11,47.2903385464,64.3196166069,35.7587470378,115.873887346,130.5020130094,0,32.558740812,62.3241241687
"79",2024-04-12,47.2679490266,64.276638617,32.8061909149,115.873887346,118.071521127,0,23.2446652605,62.2801220525
"80",2024-04-13,43.2858281399,63.2152906232,30.7928998679,111.8775346352,107.5775108191,0,20.4065640803,57.5321312669
"81",2024-04-14,43.24285015,58.2680543002,30.7754544061,111.8775346352,86.5862059362,0,6.4913362658,55.6329773303
"82",2024-04-15,43.2039333506,58.2090434365,30.7454369111,108.115247756,114.7180725297,0,27.7864181981,62.0713415461
"83",2024-04-16,47.0587447438,58.1355535458,30.7072617204,111.941242354,110.9710769156,0,13.8767701062,72.1586324541
"84",2024-04-17,47.0038303853,56.0746935979,20.9247013587,115.873887346,116.8578255174,0,13.8584417769,89.6155009022
"85",2024-04-18,0,0,0,0,0,0,0,0
"86",2024-04-19,0,0,0,0,0,0,0,0
"87",2024-04-20,0,0,0,0,0,0,0,0
"88",2024-04-21,45.3785066325,58.4946334154,23.0692218309,113.8761700817,114.3965675009,0,13.9615960156,83.7714477727
"89",2024-04-22,45.8613998403,57.9389566109,21.1272311632,111.9471752236,115.093785623,0,13.9724376285,88.4993798087
"90",2024-04-23,45.3462643114,55.9205802471,20.8948251225,211.6128512841,11.8698357052,0,13.8045868594,87.4401860116
"91",2024-04-24,42.4277515593,64.6610038118,20.8782625282,190.7772842282,37.2066144231,0,13.8079417559,85.6154048332
"92",2024-04-25,40.7572956199,57.8685744138,20.9005107892,206.1536930699,19.5712654812,0,23.0203462861,82.8754432043
"93",2024-04-26,36.8396946901,57.8611583268,20.8951076401,206.9487682257,14.9041453586,0,18.4151328326,87.4691440656
"94",2024-04-27,32.7304055687,58.1043706657,23.8782462932,180.3218375727,32.0308213617,0,13.8647277935,83.1947587217
"95",2024-04-28,32.6142555204,58.1299738232,19.9954303429,170.3387250297,37.3464959498,0,13.8260228823,82.9451191074
"96",2024-04-29,17.6280034843,57.6882222409,23.7197892343,178.2624255275,18.000255737,0,13.7734746087,82.640988911
"97",2024-04-30,35.0252960335,57.6499764208,25.6500201069,204.4469689336,12.6732804449,0,22.9312826127,74.8854923293
"98",2024-05-01,39.6951707027,51.862815273,25.650126051,208.516705591,12.0686574662,0,15.6222344684,87.2754782508
"99",2024-05-02,31.8852541683,61.4510035259,20.8574621699,196.1716752826,21.8120891403,0,20.2367003733,82.7613060939
"100",2024-05-03,42.1485888558,61.5126983068,23.7988941623,206.5951974493,38.3784621132,0,34.0610634647,82.8477917942
"101",2024-05-04,42.0657052549,55.6021122825,20.8986037954,214.1556862576,10.4832040097,0,27.581840141,78.1483587211
