Date,VD1
2019-08-01,49.507
2019-08-02,49.612
2019-08-03,47.326
2019-08-04,42.677
2019-08-05,49.538
2019-08-06,72.513
2019-08-07,81.272
2019-08-08,89.445
2019-08-09,75.271
2019-08-10,48.58
2019-08-11,45.988
2019-08-12,55.667
2019-08-13,50.473
2019-08-14,87.845
2019-08-15,89.754
2019-08-16,73.258
2019-08-17,40.804
2019-08-18,44.908
2019-08-19,41.891
2019-08-20,45.913
2019-08-21,48.974
2019-08-22,48.569
2019-08-23,78.489
2019-08-24,70.088
2019-08-25,51.124
2019-08-26,88.052
2019-08-27,80.793
2019-08-28,83.528
2019-08-29,79.827
2019-08-30,52.881
2019-08-31,77.246
2019-09-01,45.411
2019-09-02,44.38
2019-09-03,40.846
2019-09-04,41.415
2019-09-05,43.548
2019-09-06,46.794
2019-09-07,45.347
2019-09-08,42.762
2019-09-09,38.906
2019-09-10,43.153
2019-09-11,42.764
2019-09-12,44.665
2019-09-13,46.779
2019-09-14,37.64
2019-09-15,44.023
2019-09-16,45.101
2019-09-17,38.166
2019-09-18,88.991
2019-09-19,47.283
2019-09-20,70.846
2019-09-21,33.626
2019-09-22,45.88
2019-09-23,47.237
2019-09-24,28.003
2019-09-25,47.132
2019-09-26,43.566
2019-09-27,46.339
2019-09-28,43.335
2019-09-29,43.891
2019-09-30,43.685
2019-10-01,43.545
2019-10-02,43.13
2019-10-03,47.934
2019-10-04,42.516
2019-10-05,42.813
2019-10-06,42.274
2019-10-07,44.431
2019-10-08,43.45
2019-10-09,42.563
2019-10-10,44.143
2019-10-11,42.926
2019-10-12,43.479
2019-10-13,42.581
2019-10-14,43.123
2019-10-15,44.716
2019-10-16,54.901
2019-10-17,58.993
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-16,
2019-11-17,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-07,
2019-12-08,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-14,
2019-12-15,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-21,
2019-12-22,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
2020-01-01,32
2020-01-02,4.1
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,4.1
2020-01-13,23
2020-01-14,25.5
2020-01-15,5.8
2020-01-16,0.7
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,4.2
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
