Date,ZAC1
2019-08-01,14
2019-08-02,14
2019-08-03,14
2019-08-04,13
2019-08-05,15
2019-08-06,15
2019-08-07,15
2019-08-08,15
2019-08-09,15
2019-08-10,14
2019-08-11,12
2019-08-12,15
2019-08-13,16
2019-08-14,15
2019-08-15,15
2019-08-16,15
2019-08-17,15
2019-08-18,15
2019-08-19,15
2019-08-20,15
2019-08-21,15
2019-08-22,14
2019-08-23,15
2019-08-24,15
2019-08-25,13
2019-08-26,12
2019-08-27,13
2019-08-28,14
2019-08-29,15
2019-08-30,14
2019-08-31,14
2019-09-01,12
2019-09-02,12
2019-09-03,15
2019-09-04,15
2019-09-05,15
2019-09-06,15
2019-09-07,14
2019-09-08,13
2019-09-09,13
2019-09-10,14
2019-09-11,14
2019-09-12,15
2019-09-13,13
2019-09-14,13
2019-09-15,12
2019-09-16,12
2019-09-17,14
2019-09-18,12
2019-09-19,13
2019-09-20,14
2019-09-21,14
2019-09-22,14
2019-09-23,12
2019-09-24,14
2019-09-25,14
2019-09-26,14
2019-09-27,13
2019-09-28,13
2019-09-29,13
2019-09-30,12
2019-10-01,13
2019-10-02,13
2019-10-03,14
2019-10-04,14
2019-10-05,13
2019-10-06,13
2019-10-07,14
2019-10-08,15
2019-10-09,14
2019-10-10,14
2019-10-11,14
2019-10-12,12
2019-10-13,10
2019-10-14,13
2019-10-15,14
2019-10-16,13
2019-10-17,13
2019-10-18,14
2019-10-19,14
2019-10-20,14
2019-10-21,14
2019-10-22,13
2019-10-23,14
2019-10-24,14
2019-10-25,13
2019-10-26,14
2019-10-27,13
2019-10-28,13
2019-10-29,11
2019-10-30,12
2019-10-31,14
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-16,
2019-11-17,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-07,
2019-12-08,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-14,
2019-12-15,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-21,
2019-12-22,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
2020-01-01,9
2020-01-02,13
2020-01-03,15
2020-01-04,15
2020-01-05,12
2020-01-06,13
2020-01-07,13
2020-01-08,13
2020-01-09,13
2020-01-10,14
2020-01-11,13
2020-01-12,13
2020-01-13,12
2020-01-14,13
2020-01-15,13
2020-01-16,13
2020-01-17,13
2020-01-18,13
2020-01-19,13
2020-01-20,12
2020-01-21,13
2020-01-22,13
2020-01-23,15
2020-01-24,13
2020-01-25,12
2020-01-26,13
2020-01-27,13
2020-01-28,14
2020-01-29,13
2020-01-30,13
2020-01-31,12
2020-02-01,13
2020-02-02,12
2020-02-03,10
2020-02-04,13
2020-02-05,15
2020-02-06,13
2020-02-07,14
2020-02-08,13
2020-02-09,12
2020-02-10,12
2020-02-11,12
2020-02-12,12
2020-02-13,13
2020-02-14,12
2020-02-15,13
2020-02-16,13
2020-02-17,9
2020-02-18,12
2020-02-19,12
2020-02-20,11
2020-02-21,13
2020-02-22,13
2020-02-23,13
2020-02-24,12
2020-02-25,13
2020-02-26,13
2020-02-27,12
2020-02-28,13
2020-02-29,12
2020-03-01,12
2020-03-02,10
2020-03-03,12
2020-03-04,13
2020-03-05,13
2020-03-06,14
2020-03-07,12
2020-03-08,12
2020-03-09,13
2020-03-10,13
2020-03-11,13
2020-03-12,12
2020-03-13,13
2020-03-14,12
2020-03-15,11
2020-03-16,10
2020-03-17,14
2020-03-18,13
2020-03-19,14
2020-03-20,11
2020-03-21,13
2020-03-22,12
2020-03-23,12
2020-03-24,12
2020-03-25,12
2020-03-26,11
2020-03-27,12
2020-03-28,12
2020-03-29,12
2020-03-30,11
2020-03-31,11
2020-04-01,11
2020-04-02,8
2020-04-03,8
2020-04-04,8
2020-04-05,8
2020-04-06,8
2020-04-07,8
2020-04-08,8
2020-04-09,6
2020-04-10,4
2020-04-11,7
2020-04-12,8
2020-04-13,8
2020-04-14,9
2020-04-15,9
2020-04-16,8
2020-04-17,8
2020-04-18,7
2020-04-19,7
2020-04-20,8
2020-04-21,9
2020-04-22,9
2020-04-23,8
2020-04-24,8
2020-04-25,7
2020-04-26,8
2020-04-27,8
2020-04-28,8
2020-04-29,9
2020-04-30,7
2020-05-01,6
2020-05-02,5
2020-05-03,5
2020-05-04,6
2020-05-05,6
2020-05-06,6
2020-05-07,7
2020-05-08,7
2020-05-09,6
2020-05-10,6
2020-05-11,7
2020-05-12,7
2020-05-13,7
2020-05-14,7
2020-05-15,7
2020-05-16,6
2020-05-17,8
2020-05-18,8
2020-05-19,8
2020-05-20,9
2020-05-21,10
2020-05-22,9
2020-05-23,9
2020-05-24,8
2020-05-25,11
2020-05-26,11
2020-05-27,11
2020-05-28,10
2020-05-29,10
2020-05-30,10
2020-05-31,10
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,9
2020-08-02,8
2020-08-03,11
2020-08-04,12
2020-08-05,12
2020-08-06,11
2020-08-07,12
2020-08-08,12
2020-08-09,12
2020-08-10,12
2020-08-11,12
2020-08-12,12
2020-08-13,12
2020-08-14,12
2020-08-15,12
2020-08-16,11
2020-08-17,10
2020-08-18,12
2020-08-19,12
2020-08-20,12
2020-08-21,11
2020-08-22,12
2020-08-23,11
2020-08-24,11
2020-08-25,12
2020-08-26,11
2020-08-27,12
2020-08-28,12
2020-08-29,12
2020-08-30,11
2020-08-31,11
2020-09-01,10
2020-09-02,11
2020-09-03,10
2020-09-04,11
2020-09-05,11
2020-09-06,11
2020-09-07,12
2020-09-08,11
2020-09-09,12
2020-09-10,12
2020-09-11,11
2020-09-12,12
2020-09-13,11
2020-09-14,11
2020-09-15,9
2020-09-16,8
2020-09-17,11
2020-09-18,11
2020-09-19,11
2020-09-20,11
2020-09-21,12
2020-09-22,13
2020-09-23,12
2020-09-24,12
2020-09-25,12
2020-09-26,12
2020-09-27,12
2020-09-28,13
2020-09-29,12
2020-09-30,12
2020-10-01,12
2020-10-02,11
2020-10-03,11
2020-10-04,12
2020-10-05,12
2020-10-06,12
2020-10-07,11
2020-10-08,12
2020-10-09,12
2020-10-10,11
2020-10-11,12
2020-10-12,11
2020-10-13,11
2020-10-14,11
2020-10-15,12
2020-10-16,12
2020-10-17,13
2020-10-18,12
2020-10-19,12
2020-10-20,12
2020-10-21,12
2020-10-22,11
2020-10-23,12
2020-10-24,12
2020-10-25,11
2020-10-26,11
2020-10-27,13
2020-10-28,14
2020-10-29,14
2020-10-30,14
2020-10-31,12
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,11
2020-12-02,12
2020-12-03,11
2020-12-04,13
2020-12-05,13
2020-12-06,14
2020-12-07,13
2020-12-08,14
2020-12-09,13
2020-12-10,12
2020-12-11,12
2020-12-12,9
2020-12-13,12
2020-12-14,11
2020-12-15,13
2020-12-16,13
2020-12-17,13
2020-12-18,13
2020-12-19,13
2020-12-20,13
2020-12-21,13
2020-12-22,13
2020-12-23,13
2020-12-24,11
2020-12-25,10
2020-12-26,13
2020-12-27,13
2020-12-28,12
2020-12-29,14
2020-12-30,14
2020-12-31,11
2021-01-01,8
2021-01-02,13
2021-01-03,12
2021-01-04,13
2021-01-05,13
2021-01-06,13
2021-01-07,13
2021-01-08,11
2021-01-09,13
2021-01-10,13
2021-01-11,13
2021-01-12,13
2021-01-13,13
2021-01-14,13
2021-01-15,14
2021-01-16,14
2021-01-17,11
2021-01-18,13
2021-01-19,13
2021-01-20,12
2021-01-21,13
2021-01-22,12
2021-01-23,12
2021-01-24,12
2021-01-25,11
2021-01-26,13
2021-01-27,12
2021-01-28,14
2021-01-29,14
2021-01-30,13
2021-01-31,11
2021-02-01,9
2021-02-02,11
2021-02-03,11
2021-02-04,13
2021-02-05,13
2021-02-06,14
2021-02-07,13
2021-02-08,12
2021-02-09,12
2021-02-10,12
2021-02-11,12
2021-02-12,14
2021-02-13,11
2021-02-14,11
2021-02-15,13
2021-02-16,9
2021-02-17,6
2021-02-18,0
2021-02-19,1
2021-02-20,8
2021-02-21,9
2021-02-22,10
2021-02-23,9
2021-02-24,13
2021-02-25,12
2021-02-26,13
2021-02-27,13
2021-02-28,13
2021-03-01,11
2021-03-02,0
2021-03-03,12
