sys,code_receipt,receipt_point,receipt_lat,receipt_lon,type,delivery_point,delivery_lat,delivery_lon,delivery_sector,
SISTRANGAS,V024,Cactus,17.902737,-93.187675,Gas Plant,E156,17.975015,-93.131279,Various,X
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E025,20.310611,-97.957414,Oil,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E036,20.436952,-100.368814,Industrial,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E045,18.814619,-97.193233,Distribution,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E046,18.060773,-94.40243,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E054,18.102811,-94.386892,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E062,20.559308,-101.125308,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E070,18.457208,-96.341531,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E073,20.0395,-99.265075,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E076,19.614311,-98.980928,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E077,19.203052,-96.148635,Distribution,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E078,17.975958,-93.131342,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E090,18.7725,-96.385278,Industrial,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E095,18.010773,-94.570339,Various,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E097,20.499925,-100.952502,Industrial,
SISTRANGAS,V025,Nuevo Pemex,17.84924,-93.126915,Gas Plant,E123,20.37555,-100.009633,Distribution,
